Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e31	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e43	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e58	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e73	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e87	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.TK	Knudsen, Terje	M	1942	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e100	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e108	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e207	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e214	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e316	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e323	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
ParlaMint-NO-en_1999-12-08-lower	ParlaMint-NO_1999-12-08-lower.ana.ud327e332	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-08	1999-12-08	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ESF	Faldet, Eirin	F	1944	
