ParlaMint-NO_1999-03-11-lower.ana.ud381e37	Representative John I. Alvheim will present a private bill.
ParlaMint-NO_1999-03-11-lower.ana.ud381e40	On behalf of the representative Harald T. Nesvik and myself, I propose to amend the Law of 28 February 1997 No. 19 on public interest rates on the repayment of benefits from public security.
ParlaMint-NO_1999-03-11-lower.ana.ud381e45	The legislative proposal will be dealt with in accordance with the rules of procedure. At the request of the Municipal Committee, the President shall propose that cases be brought before the Court of Justice of the European Communities. 1 and 2 are processed – and considered to be agreed.
ParlaMint-NO_1999-03-11-lower.ana.ud381e68	Odelstinget treats today Ot.prp. No 20 and Inn. O. No 47, concerning amendments to the Local Government Act. These relate to changes in the gender equality rules for the composition of elected bodies. These relate to changes in the rules of leave for elected representatives. This concerns changes to the rules on parliamentary governance. And there is also a section on changing or expanding the obligation of professional secrecy for elected representatives. To take the last one first, the municipal law does not currently have any specific rules on professional secrecy. However, rules on professional secrecy for elected representatives are laid down in the Administrative Act. A proposal to provide certain specific rules on professional secrecy for members of elected bodies, linked to the rules of the municipal law on the public meeting, has been consulted and discussed in the proposal. The government concludes that no such legislative proposal should now be promoted. The Committee agrees, however, that there is a great deal of uncertainty in local authorities about the rules on professional secrecy applicable to elected representatives. It's not good, and it probably creates a lot of trouble. The Committee therefore asks the Council of State to develop without delay new easily understandable guidance material on the professional secrecy of elected representatives, which is sent to the municipalities. This should be in place until the newly elected local authorities start up in October. The Committee considers it important that the Storting imposes no more professional secrecy than is strictly necessary. If we are to get a renewal of local democracy, openness and transparency are important. Citizens must be made aware of matters before a decision is taken, otherwise there will be no real influence or influence. Therefore, proposals for new and extended rules on professional secrecy are not being promoted at this time. Amendments to the gender equality rules for the composition of elected bodies are proposed. A majority consisting of the Workers' Party, the Christian People's Party, the Centre Party and the SV support the Government's proposal, and believe that the municipal law rules on gender representation should go ahead of any decisions on horizontal representation. Derogations shall be granted only in the case of elections to the Presidency and the County Committee and where the Committees are not entitled to take decisions, but are appointed only to a higher body. After seeing the new Right-List of municipal elections in my municipality, it may not be surprising that the Right-List goes against such a proposal, because on that list there were 17 men and 2 women. The Progress Party also generally has few women on its lists, nor will it support the majority position. All except the Progress Party agree that the provisions on gender representation shall also apply to municipal enterprises. Then it becomes a little strange and not consistent, I think, that it is only the Workers' Party and the SV that go in order that the same rules also apply to intercommunal companies. We therefore ask the Government to return to this matter in an appropriate form later. On an incursion, there is an error in the settings. It is not as stated in a majority comment in the middle of page 10 of the setting that the Workers' Party supports the Government at this point. The comment does not become a majority comment, but a minority comment, and I ask that it be corrected. In the case of changes to the rules on leave for elected representatives, all Government proposals that elected representatives of municipalities and county councils should be entitled to leave for up to four years in order to provide full-time or part-time jobs as elected members of the population and that there is no lower limit to the part-time employment. It is important that these rules be interpreted as minimum standards, and where the main agreements and the like provide better conditions, this should continue to apply. Changes in parliamentary governance are probably the point that has created the most debate, and that may not be so strange. Because even if a unanimous committee says that they want to give the municipalities maximum freedom to organise themselves as they wish, the government parties and the SV will not be able to give the municipalities the freedom they need to introduce a parliamentary form of governance. Today there is a need for a two-thirds majority to decide that the municipality should change to a parliamentary form of governance, but that there is only a need for a normal majority to return to the Presidency model again. This means that a majority consisting of the Right Party, the Advance Party and the Workers' Party are not correct. It must be the same majority that decides whether to go from one form of governance to another. Both are significant changes. Therefore, the case is required to be dealt with both in the outgoing municipal council and in the new, i.e. over two legislative periods. This cannot be decided by means of a bench proposal within the local authority. But from that to going as far as the centre parties and the SV do, to let the small parties, or 1/3 of the representatives of the municipalities, shut down a large majority who want to change the governance of parliamentaryism, is not to give the municipalities the greatest freedom to organize themselves as they wish. There are several large municipalities and county councils that will be very pleased with the decision taken here today, because if the minority were to have a majority in favour of its proposal, for example, it would be very happy. The Bergen or Tromsø or Nordland County Council is unlikely to have received a 2/3 majority when, for the autumn of the new municipal councils, they are going to deal with the matter of changing the governance of parliamentarianism for the second time. This is not a constitutional change and cannot be compared to it, as someone claims. This is only a change in the municipal law. And I'm going to ask, where in the municipal law do we find that a 2/3 majority is required in a reconciliation otherwise? It is also true that the municipalities that have realised that they have not been able to obtain a 2/3 majority and thus have been able to implement parliamentary governance have organised themselves with many strange solutions and with an equal number of full-day politicians – if that is the problem for the minority. The Labour Party is confident that the politicians in the municipalities and county councils themselves will take the responsibility for the organisation of the municipality in the best possible way and will facilitate it. It is those who are responsible for the economy of the municipalities, including how many full-day politicians there are who have to make such a decision. The central association of municipalities also agrees that the usual majority is sufficient and correct. The municipalities and not least the county councils are struggling with the turnout. During the examination of the municipal law in 1992, Stortinget agreed that municipalities should have the greatest possible freedom to organise themselves both politically and administratively as they wish. That's this majority follow-up. We believe that this will be an important contribution to increasing the interest and commitment in political work locally. Political responsibility needs to be made more visible. It will contribute to such a form of governance. The Minister of Local and Regional Affairs has written to the Committee that she aims to implement the legislative changes from 1 July of this year, provided that the Stortinget deals with the legislative proposal in spring. So let's do that. I therefore assume that the Council of State is also following up its letter, so that the municipalities and county councils which have already dealt with the transition to parliamentaryism by the end of 1998 can take the final decision when a new municipal government/commitment meets in the autumn. I ask the Council of State to confirm this. So to the second case, a Document No. 8-proposals by Torbjørn Andersen, Harald T. Nesvik and Lodve Solholm of the Progress Party, which consider that there is a need for clarification, or clarification, of the delegation rules in Section 10, No. 2 in the municipal law, and has promoted a private proposal for change, which we are dealing with here today. The amendment is based on the fact that, if the Local Council/ county has delegated power of decision to a selection, the Local Council/commitment is the sole overall body of the sample, unless otherwise provided for in the delegation regulations or decisions relating to the delegation mandate. The proposers believe that in some municipalities the Presidency often intervenes and transforms decisions on matters covered by selections delegated to take such decisions. The proposers claim that the chairmanship members do not follow up on the new municipal law and continue to live in their ‘old role’ where they would say everything about the Presidency before the matter was dealt with by the local government. The proposers believe that this is contrary to the intentions of the new municipal law. The whole Committee agrees with the proposers that if a selection has been delegated decision-making powers in local/ county matters, the chairmanship may not intervene and review the decision because they disagree with the selection decision. The Committee also considers that the intentions of the new municipal law are that the Presidency/committee should not be a ‘supercommittee’ in relation to other permanent selections or other bodies set up by the local government/committees, but have the same formal status and noddling authority to the local council and can decide on matters for which they have been delegated. The whole Committee also considers that the law is very clear on this point and that the Presidency/Committee of the State cannot re-adopt legally adopted decisions. So far the Committee fully agrees, and also the Ministry of Local and Regional Affairs. The Ministry also points out that if the local government/community wants the Presidency/community committee to have an overall role in relation to other selections, for example: in the light of the desire for the best possible coordination of economic matters, it is possible to do so. But then it has to be clear in the delegation decision. The Committee agrees that municipalities must have the freedom to organise themselves as they wish, and that this will be different from local authorities. So until we're in disagreement. The Committee, all with the exception of the Advance Party, considers that the legislative text does not need to be amended. The majority believe that the law is sufficiently clear and comprehensive. The majority have also not been able to demonstrate that this is a problem in the municipalities. However, the majority will ask the Ministry, on an appropriate occasion in an information letter to the municipalities, to clarify the legal text in Section 10 paragraph. 2 in the municipal law. We are faced with a new election and get new elected members of the people into governments and advice for the autumn. I expect the Council of State to follow up the request for an information letter with the first.
ParlaMint-NO_1999-03-11-lower.ana.ud381e130	The representative Signe Eye has made a mistake in Inn. O. No 47 on page 10. This is registered.
ParlaMint-NO_1999-03-11-lower.ana.ud381e133	We're dealing with two things. I don't want to do the right thing for the Progress Party's hold when it comes to the chapters where we're in the plural. I thought the case-speaker had a good review when it comes to the obligations of the parties and parliamentarianism, and I would only support it under the order of the case-speaker in this way. Where we separate layers in the innermost. O. No 47, is in the intersection of the equality paragraph that goes on the 40/60 distribution between the selection gender to be selected. This should be done in the name of solidarity and in the name of equality, in order to ensure more of both sexes – in the first instance, perhaps more women – into the local government and into selections. And there's nothing bad about it. In the Progress Party, too, we want a broader representation of both sexes in local government, county councils, selections, councils, and so on in the Stortinget. We don't disagree about the goal, but we disagree about the way to go. The Progress Party and I don't think this will get the effect you're after, which is desirable. I believe that this will lead to more and more — both men and women — refusing to take on political responsibilities. Now you kind of prevent local government from having a continuous representation. The fact that you have the right to sit in a selection when you first enter a county council or a local government may make it a little more interesting when you're going to run a political operation. That paragraph will now be lifted. By forcing this through and closing all the possibilities for a gender bias, the continuous representation is not feasible. Then one has arranged for political work for perhaps too many not to be so interesting anymore. In addition, I believe that when a person now also has to have personal alternates for each selection to be selected in local government and county councils, this may result in a number of people – in various parties – being so burdened that the trend we have seen in the last election periods that more and more people refuse to re-election after a period is increasing. It means once again that we achieve the very opposite of what we're all looking for, simply getting a broader representation and making more people interested in politics, to take an interest and take a roof over the development of their municipality, in their state, and even in their country. Because it becomes so urgent and so labor-intensive, there is a risk that some people, if local authorities and county councils will try to keep up with the tradition of continuous representation, will be so heavily burdened that they will resign. Instead, one might start thinking: How are we going to get more – and more women – to engage and be interested in doing something? I also don't think it's right to run the almost illegal enterprise that the Equality Centre now has: to encourage women to cumulate and strike men. Organized cumulation and ironing are not allowed, but here it is even a nearly governmental body that calls for breaking election laws, as I see it. I don't think that's the way to go, either, because what has happened in all the contexts where there have been so-called organised ironing and cumulation actions? Very often we know it from small municipalities when communities start to iron and cumulate to secure their community – it goes back. At the next crossroads it strikes back. I also think that if you start with actions like this – unfortunately. And we haven't achieved what we're after, which is desirable, easy to get a broader representation, and we don't get the broader commitment to social development in our country either. One has to ask the question: why is there a falling interest in participating in politics? Why is there a falling interest also among men, and why is there so little interest among women in participating in political activity? I don't think it has anything to do with legal regulation. I think it has to do with attitudes, with motivation and organization, and not least with the time when meetings are held, with the possibility that women can find time, together with men, to be involved in political activity. I think it must be the way to go and not the way that a person is doing it. In the hope of creating more democracy, one actually creates with this promise of less democracy and less commitment. I thought it was worth saying I was sorry for that. I shall not delay the debate any longer. I shall address the proposal from the Progress Party and the Right in the Inner. O. No 47, and then say a little bit about Innst. O. No 44. What's a little funny, and it's always a bit funny, is that the majority in the committee is in agreement with the Progress Party in fact, but it works for me – the president gets to excuse me when I express my thoughts – that because the proposal comes from the Progress Party, one cannot go any further than saying one thing in the mind of the proposal. But to clarify this in the legal text so that it becomes clarifyingly clear, no, so far one won't go. One is completely unanimous, so I think it's amazing that the committee and the majority in this room could not be involved in this clarification, a clarification that the majority ask the Council of State and the Department to do through a circular. We all agree that we should have fewer and fewer regulations and circulars and that we should have clearer laws. We've seen in the last few years how the number of laws and regulations has increased, and we've said in the hall – I believe it's all about party, it's possible that SV isn't completely united, but at least all the other parties – that we want fewer laws and regulations and a clearer law so we don't have rules and circulars to interpret, to make a lot of sense. When we now have a chance to confirm this by law – instead of asking the Council of State to use its precious time to sit down and write new circulars – and with a pen stroke here in Stortinget we can save the Council of State and the Ministry for one day's work on writing a circular 'on a suitable occasion', it surprises me that the majority could not be with the Progress Party in getting this clarified by the legal text. In these words, I would also like to address our proposal at the Innst. O. No 44.
ParlaMint-NO_1999-03-11-lower.ana.ud381e159	The representative of Lodve Solholm has drawn up the proposals he referred to.
ParlaMint-NO_1999-03-11-lower.ana.ud381e162	In the municipal law, which entered into force on 1 January 1993, it was a central objective to strengthen and further develop local self-government by giving municipalities and county councils greater freedom to organise their activities, and by reducing State supervision and control of the municipal sector. During the time that the municipal law has worked, it has been found that some regulations have been misdesigned, which has been neglected, and something has not worked according to the intention. For the landfill treatment of Ot.prp. No 58 for 1996-97 asked the Municipal Committee in Innst. O. No 8 for 1996-97 that some issues had to be considered more closely with a view to subsequent legislative changes. There are these questions that are now addressed in Ot.prp. No 20. In addition, the proposal provides for a fundamental review and assessment of the provisions of the Local Government Act on parliamentary governance in municipalities and county municipalities. There are three aspects I would like to touch on in my speech: the obligation of professional secrecy, the rules on equality and the changes to the rules on parliamentary governance. The changes in the rules on professional secrecy have been assessed, but no proposals for amendments have been made. Nevertheless, it is important to point out that the consultation round has revealed a great deal of uncertainty about the rules on professional secrecy. It is therefore necessary to develop guidance material to clarify the uncertainties of the confidentiality rules that exist. An overall committee agrees that no new rules are being promoted at this stage. With regard to equality rules, according to the municipal and county elections in 1995, there was some uncertainty about their understanding in the municipal law. The proposals for amendments shall clarify and align the legislation with the purpose of the provision of the Local Government Act. The Ministry's proposal for stricter criteria to derogate from the general rule of at least 40 pst. representation of both sexes shall be deviable only where it is provided for by law that the competent body must be chosen from among the members of the local or county council. This means that some parties will have to go beyond the local government and county council representatives in order to comply with the 40 pst rule in elections and committees. This will lead to more people becoming participants in local political everyday life, which, according to my concepts, will help to strengthen local democracy. At the same time, it is important to point out that this will not result in significant restrictions on freedom of organisation. The proposal is a concreteisation of the purpose of the law. It is very important to make it possible for both sexes to have a good opportunity to participate in local self-government. The proposal will help improve the representativeness of local elected bodies and, as I said, strengthen local democracy. There is no obstacle for municipalities to continuing with a system of comprehensive representation, but there may be cases where this principle needs to be modified by involving people who are not members of the local government in some selections or committees. The rapporteur explained the matter well, and pointed out an error on page 10 of the setting. At the same time, by way of subsidiary support from the Progress Party, a majority of the committee is formed to support the department that intercommunal governs under the municipal law § 27 may be exempted from the requirement of 40 pst. representation, because the composition of the board would result from elections in several municipalities. Furthermore, this is a form of company in which the provisions of the law are largely influenced by those of general company law. Neither the municipal law nor the rules of procedure will apply to intercommunal companies established under the law on intercommunal companies, which we have recently dealt with in Stortinget. It would be totally unreasonable to oblige a municipality to choose a representative from one particular sex, because another municipality has chosen the opposite sex. As regards the amendments to the rules on parliamentary governance, these have been made in order to adapt the rules to the specific issues arising from the introduction of a parliamentary form of governance. In relation to the procedure for introducing parliamentaryism, the majority will lower the requirements of majority voting in the legal provisions we have today, namely 2/3 majority voting, to a normal majority. Christian People's Party supports the Government's proposal for changes to the procedural provisions. I would like to stress that the requirement of a 2/3 majority is something the Workers' Party has also agreed to when dealing with the municipal law earlier. It is important in a democracy to safeguard minority rights so that a majority cannot dictate the minority. We do not dispute that the parliamentary form of government in some municipalities will be involved in renewing local democracy. Today, however, Oslo is actually the only municipality in Europe governed by a purely parliamentary model. It goes without saying that the experience of such a scheme is limited. This, in our view, leads to the need for a broad consensus on the introduction of parliamentary governance. 2/3 majority will ensure such broad consensus. At the same time, I would like to point out that the proposed changes to the procedures for the reintroduction of traditional forms of governance ensure that municipalities have experience over such a long period that they can make a good impression on whether the parliamentary model is good or not for the municipality in question. The Christian People's Party, the Central Party and the Socialist Left have announced in the vote that they do not agree with the majority's proposal to amend the second sentence of Section 18(1) and will therefore vote against the majority proposal. As regards Document No: 8:119 for 1997-98, which is about clarifying the delegation rules, supports the majority voting of the Christian People's Party. We can't see that it is necessary to legislate something that is already clear in the law. With regard to alerting by circulars, the changes in the law of the municipality will now mean that the municipalities will have to be informed of the changes that have taken place, and then it will be natural to mention what the Progress Party has pointed out. The Committee has not been notified of such a problem as identified in Document No. The 8th proposal that it should allegedly be. That is the reason not to make premature changes to the law when the position of the Presidency is already established in the law.
ParlaMint-NO_1999-03-11-lower.ana.ud381e185	We are now holding a joint debate on two settings relating to local authorities. Understanding and use of the law are the subject of the legislation itself. In Ot.prp. No 20 and the subsequent setting takes up an obligation to deal with matters described in closed meeting. This question will come back in a more thorough way at a later point in time. But the hearing round has not uncovered much of an uncertain link to the understanding of the current right. The guide material directed at the populace is therefore a warning as a first step. The same medicine is prescribed in response to the Progress Party's proposal to clarify the delegation. This probably makes the majority more certain that the legal text is to settle down than the case is with regard to public administration obligations. Changes to the rules on parliamentary governance are a central theme of today's debate. The procedure for the exchange between the Presidency model and parliamentaryism has been a matter of its own. The Committee's plurality has created a legal non-discrimination between these forms of governance in the setting. This represents a monthly change in the municipality of Elva § 18. In the current law, the introduction of parliamentaryism must be dealt with for two periods. During the period of introduction, there must be, as you know, 2/3 multiples. Right, there's a multiple comment in the setting that this should be decided twice. It may have to be read with a liberal mind in the sense that at first reading it is enough that it is taken up as a voting theme. Today, simply a plurality can effectively abolish parliamentaryism at once for the next period. It is the Committee which is now in a non-discriminatory position across the board from the Ministry. Goes back to Ot.prp. No 20 page 66, we find the following under the Ministry's assessments and final proposals: ‘The protection of the minority against the possible maintenance of a parliamentary form of government which is unlucky from its point of view indicates that the rules should remain different on this point. ‘... Well, we're going to have a lot of respect for the minority in our democracy, but if this exceeds the plural, it's going to be wrong. Another matter which is worth noting is the Committee's clarification when it comes to parliamentary committee work. As the Municipal Committee now puts it, the nature of the work and not the status of the Committee so far should lead to the need for proceedings to be conducted in the open or behind closed doors. It will therefore be up to the Municipality of Oslo and, where appropriate, other succeeding municipalities with parliamentary boards to define their rules of procedure which satisfy the principle that preparatory work can be carried out behind closed doors, but the decisions will be taken in public. When it comes to unemployed leave, it would have been right for the Department to resolve the requirement for fixed-term job breaks for part-time politicians in its work. What everyone is sure about is that at the end of the four-year period, the employee must return to his normal job in order to satisfy any new leave rights. This is consistent with the obligation to accept choices and the logic there. Finally, a few words about what might involve some of the most. It is the intensification of the principles of equality in the municipality of El Salvador. Right doesn't believe that these relatively rigid intensification measures are the answer to the challenges of a local democracy with a time-laging commitment. We didn't think it reasonable either that a party fraction should deal with the loads from the missing balance in other batches when adding and ascending. Therefore, the right votes against the tightening properties and makes an old proposal to repeal Section 37 paragraph. 3rd@item: inlistbox
ParlaMint-NO_1999-03-11-lower.ana.ud381e205	I will first be able to record the SV's proposal, which is included in the setting. I'll try to focus on the main issues. The two themes that have been discussed most so far are the provisions on equality and the provisions on parliamentaryism. In the case of equality provisions, SV believes that they are important, but that in no way are these rules entirely designed to make the big difference. But it is that the gender equality work that has been carried out in this country and in other countries has not gone off. It has been the case that all proposals that have been promoted to improve equality have been voted down and countered by the right, by the right and by the Progress Party. And it's probably also that some of the arguments that are being put forward today are without trustworthiness. If you look at how the equality situation is, for example, in the Progress Party, it is such that almost only men are represented in that party, and then it is very difficult to believe that they should have some particularly credible and good methods of recruiting women and making it attractive for women to be involved in political activities. We're not treated equally, we're motivated differently, we're rewarded differently, we experience being included or excluded, even sometimes by old sex role patterns. So this is actually trying to do something active to change a situation. When I read the comments of the Progress Party on this – they say that by introducing strict sex quota provisions, as the majority wants, ‘decentness and suitability...give to sex’ – I have to ask if it is such that the Progress Party actually believes that men are more capable and more suitable than women. The reality is that we're actually over 50 pst. by the population, but is less represented in political bodies to facilitate and govern society for us. And the fact that women are particularly little represented in the organs of the Progress Party may mean that we're not fit to promote progress party politics. That might not be so weird. But I react in the way of saying, because that means that the Progress Party believes that when women are not represented, it is because they are not capable and suitable. We know that men are chosen because they are men. They've been for a long time, and we've actually had to get some measures to change this. Then there's someone who mentions continuous representation as a more important principle than the principle of equality. I'm one of the politicians who's been enjoying – and having similar – comprehensive representation, because I'm a very committed person who's wanted to be very active in politics. But I get completely different signals from almost everyone else who's not as political animals as I am, especially from women who say they can imagine participating in political activities if they let go of the journey as the continuous representation is, because that means you're being eaten with skin and hair and have to run politics around the clock. There's almost no one who wants to. I believe that the grip on the principle of comprehensive representation is one of the most important things now to let go of both women and also quite a number of men who might think of getting involved in politics, but cannot imagine spending their whole lives and all the leisure time saying to it. What the committee has done in this area, I am very pleased, because I believe that in this way we can significantly increase the breadth of political activity, both for women and men. That's probably what's important. So for the introduction of parliamentaryism and the rules around what the majority wants to change. So they want to adopt a common principle of majority voting when it is adopted. SV is positive and wants more municipalities, perhaps especially county municipalities, to try parliamentaryism. I have sail experience from it, sail if there was a system that was a little different than what it is now. Experience is consistently positive. I can reassure the Workers' Party that there is no fear that some politicians are going to be full-time politicians who have got the SV to say that we want to keep the rules as they are today. On the contrary, we see that the bureaucracy and the agency are gradually very schooled and up-to-date. They have to be – the population is too. There is certainly a greater risk that politicians will be given too difficult jobs and too little skills if almost all politicians are still to be hobbyists in an evening after a tiring working day. So I don't share the fear of all-day politicians, I actually think there's going to be more of them. But the reason why we, despite my very positive attitude towards parliamentaryism and the fact that we want to contribute to it, have wanted the rules to remain the way they are, is that we believe that the chance of success in a parliamentary system is much greater if there is a broad majority who want it. These are big conversions. I have discussed this in many municipalities and counties when I have been invited to talk about it both in my party and in other parties – because I have some experience of it – and scepticism is great in many against this new system. I therefore believe it is unwise to threaten this by a small majority, and that the chance of success in such a project – and I want to do that – is greater if a broad majority is behind and really wants us to do this. I believe that this can revitalise local democracy, that it makes responsibility visible, and that it makes position and opposition visible, and not least provides the small parties with the opportunity, where political agreements have been concluded in a majority formation, to have some means of pressuring their partners in cooperation. As it is now, local policy positions, the choice of rapporteur, etc., in the Presidency system are allocated once in the four-year period, and then there is really nothing to be threatened with, to put it this way, to keep a majority configuration together and in place. Therefore, we believe that this could be an exciting solution for many municipalities and county municipalities. So to the question of transparency, which has also been discussed: we want as much transparency as possible, that the introduction of parliamentaryism and the committee model should not automatically lead to more closedness, but that the transparency requirements of the committee processes can be set by the individual local authority. My recommendation would be that one do so, unless other laws make the meetings should be closed for taushets. We have made two proposals. I'm just going to go into one of them, and it's about appointing board members of intercommunal companies. On the basis of the draft legislative text, it is in a parliamentary model up to the City Council whether it is the Council or the City Council which is to choose representatives of municipal enterprises. The legal provision is a rule of chance, but it implies that the Council can also choose. If you look at how this is going to work in practice, in my opinion and in the opinion of the SV, it must be the Council that will have the opportunity to appoint representatives of the board of directors, because it must be the Council that is responsible for the operation of a municipal enterprise. Then there is a question of whether this should also apply to inter-communal enterprises. That's a discussion about it. In this respect, the Ministry’s letter of reply states: ‘If the local government could not place a municipal enterprise under the local council, this could result in the company’s board of directors and local councils being in practice co-ordinated and acquired overlapping competences. This, in turn, could lead to unclear powers and responsibilities between the Board of Governors and the Board of Directors of the undertaking. Moreover, if the Board of Governors could not choose the members of the Board of Directors, this confusion would be reinforced. ‘... The reason why we want this principle to apply to the appointment of board members of intercommunal companies is precisely this argument. We believe that the relationship between the competence of the local council and the competence of the local council can be inexhaustible and overlapping. We therefore recommend that the same can-declaration be applied to the appointment of board members to intercommunal companies.
ParlaMint-NO_1999-03-11-lower.ana.ud381e236	Karin Andersen has drawn up the proposals she referred to.
