Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e40	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e55	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KAO	Økland, Kari	F	1955	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e75	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e78	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e85	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e93	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e99	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e120	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e170	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e458	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-04-27-lower	ParlaMint-NO_1999-04-27-lower.ana.ud1485e465	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-04-27	1999-04-27	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-04-27	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
