ParlaMint-NO_1999-12-09-2.ana.ud2610e26	We start with a line chord shift after Thore Aksel Nistad's posts.
ParlaMint-NO_1999-12-09-2.ana.ud2610e29	We are amazed that the main speaker of the Progress Party did not mention the Post in one word. The strongest lines of postal policy go between the Progress Party and the Right and the others. In its comments, the Progress Party proposes to remove the post-monopoly. They suggest halving the government's purchases of unprofitable services. At the same time, the Progress Party has very strong demands on the quality that the Post will deliver. Is there the constant fear of the use of state money and the belief that the private market will also be settled in the Post, which is behind the proposals? Or does the Progress Party actually believe that we are getting a better and more profitable postal service across the country without the government taking responsibility for unprofitable services?
ParlaMint-NO_1999-12-09-2.ana.ud2610e34	I said clearly that I would take my way, and that others would take care of other parts of the Progress Party program – but that's okay. We want to cancel the post-monopoly, and we've also gone in to reduce subsidies, or buy services, as others want to call it. We're saying subsidies. Instead of maintaining all the post offices, we can imagine that several of these services are added to the local store, or you can add them to the gas station. In many places on the outskirts, there is a great danger that the Post will disappear, the local store will disappear and the gas station will disappear. We do not want everything to disappear, so we believe that much of this can be collected in one place, so that it can strengthen the local store or strengthen the gas station. In this way, you would not only have a 2- to 5-hour opening time; you would have said almost 24 hours – I can't say that, but at least a considerably longer opening time for postal services than what you have today in the districts. That's why we've gone in to simplify this. I guess we're a little bit special about government services, I'm going to admit that. As long as it says "state" in front, I get a little hurt in my stomach, I'll go as far as admitting it. But I believe in every respect that it is best for the private to take care of it.
ParlaMint-NO_1999-12-09-2.ana.ud2610e43	It is true that the Progress Party has considerable resources in the road sector in its draft budget. So maybe you could ask them how realistic it is, with the cuts that they've done around, and how much real money there is. But now leave it. There is no doubt that they are interested in strengthening the road sector. The party of progress has been in this room a party that has repeatedly pointed out that the most important thing is to spend the money on the projects that have the highest cost-benefit ratio. It's been implemented, it's been an argument. And precisely in view of that, there is a dramatic change that has taken place in the Progress Party during this year, which is also one of the reasons for the famous decision on the location of opera in Bjørvika, which some warned against, because it would immediately trigger a road project in the billions of years – a road project that has a minus utility in which I believe, NOK 1.1 billion. It's actually one of Norway's worst road projects. It is then amazing to see that the Progress Party here is together with the Workers' Party and SV to realise this project – SV, which has actually cut the road budget! The truth is that neither the Workers' Party nor SV has money for this project. It is possible that the Progress Party has it, but it is monopolistic money. It would be very interesting to know why the Progress Party has now changed its previous position, which to those degrees has been linked to the cost-benefit principle of road projects.
ParlaMint-NO_1999-12-09-2.ana.ud2610e52	The progressing party has never escaped the benefit-cost factor. Nor have we done so with regard to the Bjørvika project. It is true, as the representative Oddvard Nilsen said, that if you see Bjørvika in relation to the road sector alone, the cost-benefit factor is negative. But in Bjørvika there are a large number of public properties, including: NSB properties, which are 100 pst. public. Only the increase in the value of the properties in Bjørvika corresponds to more than the expansion of the Bjørvika project. It is not included in the cost-benefit analysis. It's public properties, it's ports, it's NSB properties, it's municipal properties. I believe this suggests that the Bjørvika project can be a good project. But in addition, I also believe that the Bjørvika project will be good for anyone who runs through Oslo. The cost-benefit is also formidable. So I think the utility cost calculations are not right for that project. I don't want to welcome the Opera, but I would like to welcome the Bjørvika Tunnel.
ParlaMint-NO_1999-12-09-2.ana.ud2610e57	In connection with the last speech made by the representative Nistad, the question of the realization of Bjørvika could be linked to the fact that everything should be covered by land sales. For the Christian People's Party and for the Centre, it is important to strike a balance between the appropriations within the various transport areas and to try to achieve maximum efficiency, high safety and less pollution, and not least to strike a balance between private car transport and public transport. Although the representative Nistad has stressed that he has taken the road, it is true when reading the budget of the Progress Party, that it is a road up and down – and especially tribal roads in central struts. An example is E6 Oslo-Trondheim. But what about the E6 northwards, which is half Norway? Quick route should be reduced, the Post should be cut, the NSB BA and the Railway Agency should be cut radically, priority should be given to collective actions – in fact, it says that collective fields and other road sections should be limited. Then my question becomes to the representative Nistad: Can the roads solve all the traffic challenges that we face, or is it such that the Progress Party controls transport chaos?
ParlaMint-NO_1999-12-09-2.ana.ud2610e64	In fact, when it comes to controlling transport chaos, which was the last of the representatives of Sahl, I think the Progress Party is almost the only one that doesn't control transport chaos. I think the representative of Sahl has completely forgotten that the railway network consists of 4,000 km. That's 400 miles. The public road network is 91,000 km – that's when I brought the municipal road network. That in numbers should clearly say what we think is the best. Then the representative of Sahl comes up with whether the Bjørvika project is to be covered by land sales. No, we're asking what to do with these properties. We have not said that we should sell immediately to cover Bjørvika. We have enough money in our budget to cover the Bjørvika project and many other projects. We've also added E6 to the north. The representative of Sahl knows that, because it is also covered in our budget. I did not mention that, because I could not mention all the ways when I stood and kept my post. So it's true that we've said no to the fast way. We have done that because we believe option 1 that the fast route has on its scenario is the best, and then they get completely free ropes to choose for themselves how they want to use the fast route, what sailing patterns they have, and which ports they want to go to. We think that's the best option for the fast way, and we'd rather spend the money on the way. It's better social. In the case of the Railway Agency – now I see that the lamp lights up, so the next representative of the Advance Party will get a little into it. But we've made a priority. We believe the largest traffic is on the way. Then we have to make the choice and take money from the fast route, a little bit from the NSB, a little bit from the railway station in order to give priority to the road.
ParlaMint-NO_1999-12-09-2.ana.ud2610e77	The cord shift is over.
ParlaMint-NO_1999-12-09-2.ana.ud2610e80	The Christian People's Party is concerned with good and safe communications in all parts of the country. Transport policy has a major impact on people's daily lives and on businesses in our country. The Christian People’s Party is therefore pleased that the Stortinget now adopts a transport budget with a good rural profile, a budget that prioritizes maintenance on roads in the districts, road safety, incline trains between the big cities, better marking of fairways along the coast, better regional air services and good postal services across the country. Every year more than 300 lives are lost in traffic on Norwegian roads. More than 6,000 people are seriously injured. 600 of these once again become unfit for life. This cannot be accepted. This is why the Government has introduced a long-term but radical objective of road safety, inspired by similar work in Sweden, with a vision of zero fatalities or serious road damage. The zero vision is not unattainable. The zero vision points out a course that means priorities with consequences for our entire transport policy, priorities and choices that will both save human life and save us from great human suffering in the years to come. A national road safety plan is being developed that will address these challenges. The size has just dealt with and adopted a legal basis in the Road Traffic Act to prohibit the use of electronic equipment in cars that could interfere with the driver. This will in concrete terms mean a ban on the use of hand-held mobile phones while driving. This summer, an E18 campaign has been launched in Westfold, with reduced speed limits, increased information activities and more controls. This seems to have produced good results. Both this and the ban on disruptive cell use in the car are good examples of behavioural measures that can help reduce the number of people killed and injured on our roads. When we talk about road safety, we often focus on drivers, and partly on school students. Cyclists are, however, a group responsible for an increasing proportion of traffic accidents. They are often seen as a threat to drivers and pedestrians as well as to themselves. The construction of multiple walking and cycling roads is therefore essential. The Christian People's Party is pleased that the Government is proposing a significant increase in the appropriations for the construction of walking and cycling roads to next year. The Minister for Transport has also drawn the Committee's attention to the fact that many large investment projects will be completed on the national roads in 2000, which will allow for greater scope for smaller investment projects, such as: walking and cycling roads, in 2001. We need to strengthen knowledge of the traffic rules that apply in the encounter between drivers and cyclists. In this work, we believe, like the Department, that the Cyclalist National Association can play an important role. The Christian People's Party therefore supports, together with a majority in the Committee, the proposal to grant NOK 300000 to the Cyclalist National Association. The association shall contribute to strengthening society’s environmental, road safety and transport competences, focusing on the bicycle as a means of transport. The budgetary agreement with the Workers' Party has granted 100 million. SEK extra for investments in our roads, divided by 25 million. DKK to the county roads and 75 million. kr to the national roads. These 75 million. kr is allocated to selected projects which are currently stopped or which have a rational drive due to low appropriations. This is how we ensure a reasonable and profitable use of these funds. Twenty-five million. extra for county road purposes be disposed of for the strengthening programme to correct important county road routes. In the opinion of the majority of the Committee, Nordland, Hedmark, Oppland and Süd-Trøndelag are the most kilometres of county roads characterised by long distances and poor standards. In recent years, large parts of the drugs have been tied up in adopted major projects, which must be implemented once they have been started. This has been done at the expense of smaller investment projects and maintenance. It is a matter the Ministry of Transport on several occasions has made Stortinget aware. Many major projects will now be completed during this period, i.e. during 2001. It gives us more blank papers in front of the work of the National Transport Plan 2002-2011 and opportunities for more rational and comprehensive use of the roads for the whole country. It is therefore strange that a large majority, consisting of the Workers' Party, the Advance Party and the Socialist Left Party, assume that the Ministry will follow up the Bjørvika project linked to a previously submitted financing arrangement. It is worth noting that the majority will not discuss such a large project as Bjørvika in an overall context, but assumes that it will be implemented without knowing the framework in future budgets and without waiting for Oslo or Akershus states to assess and prioritize the project in the hearing that has not yet been completed. The Bjørvika Tunnel is a large and expensive low-cost project, which will also bind state resources in Oslo, at the expense of the rest of the country, and I am particularly excited if the Socialist Left is really willing to stand for this. I will also allow myself to quote from the given setting, page 17, where the Workers' Party says the following: «Weighing investments must go a long way to upgrading and maintaining already existing ones.» And on the other hand that ‘It is particularly important to complete and ensure rational progress in road projects already under way. In the interests of nutrition and housing, it is important to improve the roadside standard.’ How much resources will there be left to improve the county road standard when projects like the Bjørvika are to be trodden through? I would also like to mention here a major issue on which the whole committee is concerned, and which – at least for me – seems to be a lot more important than Bjørvika, namely Oslopakket 2. An overall plan for collective development in Oslo and Akershus also has effects for areas far beyond these two counties. The Christian People's Party assumes that its own proposition on Oslopackak 2 is presented at the latest at the same time as the national transport plan and so that the financial framework is clarified in the national transport plan. The Christian People's Party is concerned with the cost management of the investments that are being made, not least in the light of all the very large cost excesses that we have seen in recent years. I would particularly like to refer to the 2000 Yellow Book, where the government's work to improve the management of state investment funds is mentioned. For the transport sector, a significant element has been put in place, namely that the uncertainty margin should not be greater than the plus-minus10 pst. for the priority projects. Otherwise, it's nice to have projects that finally get their solution. A good example this year is the Stokkajuvet in Hordaland. The government will return to Stortinget with a plan for development during the spring, with a view to this being completed at the same time as the Triangle Connection. Another good example is the road to the Todalen in More and Romesdal, which has been a recurring theme. Now the work goes on there as well. The government’s priority of facilitating the start of tilting trains is important in order to continue the good development of rail transport. For the year 2000, it's set at 500 million. kr for this purpose. This initiative makes it possible to insert NSB's new tilt train, Signature, on Bergensbanen and Dovrebanen as well as on the route further from Kristiansand to Stavanger in the next year. In addition to reducing travel time between major cities, the frequency of these routes is increasing. The result is a significant improvement in both capacity and the provision of freight and passenger traffic between the largest cities in South Norway. This will also have a significant impact on the economy and future operations of NSA BA. With regard to the debate on the organisation and form of association of the Aviation Agency, the Christian People's Party, together with the Centre Party and the Left, sees some important elements that should be considered: adaptability and rapid migration in the event of changes in demand for business-driven governance, which is very important The Christian People’s Party asks the Government to assess whether the Swedish Aviation Agency can meet these requirements in the current form of organisation or whether other appropriate forms of organisation should be considered. And then finally, I'd like to take to heart an area where there are rich traditions, which are trajectory on the track along the coast. One who knew the rent and the people of the coast well was Petter Dass. He expresses himself this way about the journey to Lofoten in the Northlands Trumpet: «Put the snail from the land, turn the rod west, see the bones above the sea, it pays to stand sail while the wind will add.A mile or four we watered in the sea, then I saw the hull, the fishy island, which rose up right in front of our eye.There we anchored, then we got ashore, where the heels were built by the shore and huts where the fishermen live.» Petter Dass had a burning heart for the coastal population and the sea as traffickers, and he is still often drawn out as an example and inspirational source today. It is still the case that the main gravity of population and business respectively live and are located near the coast, and maritime transport is very important in this context. Maritime transport has a dominant role in foreign and freight transport and is responsible for 75 pst. of all exports from Norway. Domestic maritime transport including oil and gas accounts for 53 pst. of the total domestic transport work. The Christian People's Party is therefore very concerned with ensuring safety and accessibility in Norwegian waters and ports. Well-functioning ports and good maritime transport infrastructure are essential for the efficiency of the transport system. In the context of the examination of the national transport plan, the Christian People's Party will be particularly concerned with strengthening maritime transport and creating a good interface between maritime transport and other modes of transport. It is gratifying that the centre parties and the Labour Party in the agreement have negotiated 40 million. kr in addition to the submitted budget for ports, lighthouses and marques. Developments in the direction of major vessels, both in the case of fishing vessels and in the case of passenger and freight vessels, have led to a gradual lack of depth and breadth. Coastal disposal plans suggest that in 2000 a total of 13 plants will be in operation, and it is gratifying to record that, among other things: has been submitted for completion of the Rice Islands in the Nordic region. The accident with the speedboat Sleipner has reminded us again of the importance of securing the rent along the coast. The Christian People's Party has noticed that the review of the quality of the fireworks service requested by the Stortinget in the previous budgetary position has been carried out. The conclusion is that the maintenance situation of the floating marks seems good, while there is still a high maintenance need for the fixed installations. In addition, we know that there is a need to set up new brands and radar reflectors. Then the equation could add another 15 million. kr to the fire and tag service, be a signal that the Storting will follow up with appropriations, in order to achieve the principal objectives of the fire service: ‘There shall be no accident or accident that can be traced back to failed service or to defective navigational alerts.’;» It is not often an experienced person to get answers before a prayer, especially in the political arena. But the happier it is now when it has happened to the fast route. At the end of 2001, the existing agreement with the fast-track operators expires. The fast route has entered the hearts of the coastal population and today has a unique position in both tourist, passenger and freight transport. The conversion carried out for the high-speed train must be considered to be very successful and the process must now be continued by replacing the two old vessels. And here we are at the answer that came before someone expected it. It is very gratifying that the central government here has demonstrated its capacity for action and obtained a new agreement ashore on the purchase of transport services from the high-speed bus companies for a period of a new five years from 2002. Today’s sailing patterns shall be maintained and new high-speed craft shall be contracted. The population of the coast may rest and the action committees may rest. Five years is not a long time perspective. The Christian People's Party is therefore prepared to look at the 'fast route response' as being very happy, and then to work towards a more long-term development of the fast route in connection with the national transport plan. Finally, let Petter Dass have the last word. He expressed himself this way, still in the Nordic Trumpet: ‘Well! Then let the ship slip out of its harbour, and we will lift the sail in the name of the Saviour and let it run on the waves.And before tonight we will see the stars, and I hope the rocks lie in smiles.In that I believe we can safely little."
ParlaMint-NO_1999-12-09-2.ana.ud2610e206	It's going to be line change.
ParlaMint-NO_1999-12-09-2.ana.ud2610e210	There is an almost touching consensus between the government parties and the Workers' Party in this budget, and in fact it was very touching also when Sahl quoted Petter Dass. But it really took a lot of time, so now I'm going to let Sahl go into what I know he's burning for. It's about district policy – I understood it this way on a line earlier. So the representative Sahl sits as a member of the Committee on Transport, and the Minister for Transport comes from the same party as he does. The parties in the centre like to characterize themselves as the mouthpiece of districts and local democracy, but when it comes to concrete actions, districts are not so important anyway. For what does the representative of the Christian People's Party really think that the invitation to tender at 26 airports has taken place without the opportunity of the relevant county councils being heard, and that some areas of the route have been offered worse, with reduced standards, except for aeroplanes, without pressurised cabins, etc.? What has the representative done in this matter to process the Council of State, so that there could be a better offer for people in the districts? Has the representative Sahl tried to influence his own council to give people an even better offer?
