ParlaMint-NO_1999-11-24.ana.ud542e27	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1999-11-24.ana.ud542e30	I am promoting the following proposal: The Storting asks the Government to propose a legislative amendment so that the Norwegian alcohol law meets the EEA Agreement’s requirements for the non-discrimination of wine and wine products and beers with the same alcoholic strength.
ParlaMint-NO_1999-11-24.ana.ud542e35	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_1999-11-24.ana.ud542e57	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Minister for Foreign Affairs Knut Vollebækstaadsråde Dag Jostein Fjærvollstaad Åslaug Marie Haga The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, wish to ask themselves the main questions asked. – We'll start with the first main questions, from the representative Jan Petersen.
ParlaMint-NO_1999-11-24.ana.ud542e76	I have a question for the Minister for Foreign Affairs. Unfortunately, there are still very many serious international conflicts we are facing, not least in Chechnya. Now, however, I understand that the Foreign Minister is invited to discussions in Moscow, and I feel absolutely sure that our general concern that the Russians are acting out of proportion will be communicated. Therefore, on this issue, I would rather highlight one of the conflicts that have developed without attention, precisely in the face of such serious conflicts, and that is the situation in Belarus. It is, in fact, a serious problem of democracy and human rights that is developing very close to Norway. This is the responsibility of the OSCE. We hear little, and my question is, why has the activity of the OSCE been as weak as it has been?
ParlaMint-NO_1999-11-24.ana.ud542e83	With regard to the first part of Jan Petersen's question, it might be a bit strong to say that I'm invited to discussions in Moscow, but I hope to work out something similar to an invitation. As far as Belarus is concerned, this is a serious problem. But I hope that the representative Petersen doesn't necessarily have to put an equal sign between the lack of news coverage through the media and the OSCE's activities. On the OSCE side, we carry out a number of activities that do not call for media interest, especially because of the situation in Kosovo and Chechnya. The situation in Belarus is one of the issues that we have been following very actively, both in terms of the relationship with the authorities and the compliance of the authorities with the rules that we think they should follow. Among other things, after a not insignificant pressure, we have had a presence there, not a good enough, but nevertheless a presence that can follow up on specific projects that go on human rights, and in addition to that, we have been concerned with the position of the opposition, among other things. the fact that oppositional arrests are carried out. The opposition was invited to participate in Istanbul, and there was contact with the opposition there, while in Istanbul they sought to avoid contact with President Lukashenko and his people, just to make the vision of the regime in Belarus visible. So this is one of the issues that is high on the OSCE agenda, but that is a very difficult matter. I don't have a clear solution to it, but through our presence now we have an opportunity to follow up on the issues that the OSCE wants to focus on.
ParlaMint-NO_1999-11-24.ana.ud542e95	To say that the opposition is being arrested is to the extent that a careful way of expressing it. In fact, important opposition politicians have simply disappeared. It is also the case that the economy of Belarus is in free fall, with the consequences it has for the population, and the President's mandate has actually expired, as we formally see it. That is why we are facing a very serious development here. I must say that I think the activity of the OSCE has been cautious in many ways. I would like to ask the Minister for Foreign Affairs whether we can wait for an increased international pressure on Belarus, precisely because this is actually a problem that is quite close to the Norwegian borders.
ParlaMint-NO_1999-11-24.ana.ud542e102	The OSCE will continue to pay attention to Belarus, and there is no doubt that there are major tasks to be addressed. One of the things we hope we can do is that by having a presence there, we can follow up on something. But in addition to that, I think we need to look at what we do bilaterally, because it has something to do with visibility, that the OSCE member country as a country needs to work more with Belarus, and we want to contribute to that through the OSCE.
ParlaMint-NO_1999-11-24.ana.ud542e109	We will continue with the next main question – Haakon Blankenborg.
ParlaMint-NO_1999-11-24.ana.ud542e112	I also have a question for the Foreign Minister, and I'm going to continue where Jan Petersen started, with Chechnya, which is a tragedy in itself. Then there's a war going on in our neighboring country, so it's extra close to us. I ask in and of the Foreign Minister as Foreign Minister and less as Chairman of the OSCE in this context, because the Foreign Minister was involved in the initiative taken in Istanbul to obtain a delegation to Chechnya. We hope, of course, that it can be completed. The most important thing is to get international representation in place in the area, then of course also to get humanitarian aid in place and so few to end the acts of war. I would like to ask the Foreign Minister if he sees other possibilities for international observers in place and humanitarian aid into this war zone, in addition to the initiative taken in the OSCE.
ParlaMint-NO_1999-11-24.ana.ud542e119	At the moment, it is not always as easy for the Norwegian Minister of Foreign Affairs to separate their two roles, and as far as Chechnya is concerned, I think absolutely I should not do that if I are to have any hope of doing something positive in Chechnya. But that doesn't mean we can't push. We're now pressing to get a visit to the region. We were in contact with Moscow last night and yesterday, and I am waiting for a response from the Russian Foreign Minister later today for a visit, either this week or early next week, to Moscow. So this will later be followed up with a visit to the region, just because we're concerned that this is going to be a process and not just a single visit. In addition to that, I have been in contact with Ogata, the UN High Commissioner for Refugees, and also with Summeruga, who is head of the International Red Cross Committee. We have also said that we are willing to cooperate with them to the extent that they need help from us in implementing emergency aid. I am also aware that the Council of Europe aims to send representatives to the region. As I hope to travel at the beginning of December, we will aim to have representatives of the OSCE troika, so that several countries are involved. We will also aim to have the EU in this delegation, so that the EU can also engage directly and get a first-hand impression. We're still going to demand the opening of an office in Nazran, which is what is realistically possible right now. And if we can get a presence there with the other organizations, it's my hope that it should be able to both help and remedy the humanitarian distress and also be an instrument to engage in dialogue.
ParlaMint-NO_1999-11-24.ana.ud542e129	I ask the question in this way precisely because of what the Foreign Minister had to say, the humanitarian situation and the need for organisations and others to enter the area with direct support for refugees and others. I understand the Minister for Foreign Affairs so that it is part of the arrangement that he, as the OSCE President, has now taken the initiative. The wider perspective here is also future for the OSCE as an organisation facing a conflict like this and where one of the central members has shown little cooperation initially. Does the Minister of Foreign Affairs view the outcome of Istanbul as a rescue plan for the OSCE to move forward, and does this decision also establish a cooperation with Russia that is satisfactory for the organisation to move forward?
ParlaMint-NO_1999-11-24.ana.ud542e136	Humanitarian work is now important. But the political work will be important in the longer term, and therefore I welcome the decision we made in the Istanbul Declaration. I would not say that there is any rescue plan, for the OSCE would continue to work on this matter and say that this was a matter on which they had the opportunity and a mandate to work. But I think the decision we made in Istanbul reveals the importance of an international press, and also makes it visible how important the OSCE as an organisation is. For precisely within the framework of the OSCE, we could put pressure on Russia in this context. If we had not had this organization, we would not have been able to put a similar pressure. Therefore, we will continue to work on these issues within the OSCE. I must say that I am not entirely satisfied with the Russian willingness to cooperate, but it is not just Russia that is difficult in the OSCE, so we will take on Russia in the same way as we are taking on other member countries of the OSCE.
ParlaMint-NO_1999-11-24.ana.ud542e143	There will be follow-up questions – Ingvald Godal.
