ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e73	The representative of Ursula Evje will make a private bill.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e76	On behalf of Carl I. Hagen, Ulf Erik Knudsen and myself, I would like to make a proposal to amend the Law of 14 June 1985 No. 73 on grants to primary private schools and private schools providing secondary education [[Private School Act]] The background to the proposal is that the law is clearly discriminatory as it is today.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e83	The legislative proposal with that comment will be dealt with in a regulatory manner.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e95	No one has asked for the floor. [[Footage, see page 745]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e109	At the request of the Justice Committee, the President will propose that the debate be limited to 40 minutes and that the speaking time be allocated by 5 minutes to each group. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e116	The development of the extent of violent crime is gloomy. National statistics showed an increase in body damage with a knife of 15 pst. from the first half of 1997 to the first half of 1998. Reported bodily damage with firearms doubled in the same period. Announced threats with knife sessions of 18 pst., and threats with firearms increased by 36 pst. The statistics of the Oslo Police show the same trend. The milder violence, the physical insults, which make up the largest number, goes down, while the more severe violence, the body damage, increases. We can say that the violence cases are getting fewer, while the violence is getting more severe and more often includes the use of weapons. It was therefore quite appropriate that last summer the national attorney took an initiative to prevent increased use of weapons. If several of the weapons can be seized in advance, life and health will be saved. To this end, the right supported the role of the national lawyer and, in the autumn, presented a proposal, Document No. 8:18 for 1998-99, where the government was asked to submit a bill on this. Today it has the support of all the parties in the Committee on Legal Affairs and Citizens' Rights. It has been properly discussed which law the search provisions should enter into and how the legislative wording should sound. The Advocate General first suggested that the provision should be laid down in the Criminal Procedures Act, but the bill expressly states that the Advocate General later concluded that the most appropriate provision of the Police Act is to be made more limited than the original proposal, while retaining the desired effect of the bill. The most important thing about the recast legal formulation is that it draws up some clarifications as to which situations and where search can take place, so that there is no impression that search can happen arbitrarily. This is important because the European Convention on Human Rights opens up for investigation as long as it takes place in accordance with objective and verifiable criteria. The whole committee, with the exception of the Progress Party, has argued that both the national lawyer and the ministry consider the legislative draft submitted, with some improvements on the part of the committee, to be the right way to legislate for increased scope for investigation. This is particularly mentioned, because the Advance Party has nevertheless chosen to maintain the First Advocate's proposal. It is positive that the State Council of Dørum, at the request of the Committee, got this matter out before the summer. It is also positive that the Council of State, through the round of consultations held in Police Norway, has listened to the objections raised and that part of it has been included in the Ministry's proposals. In addition, the Judicial Committee has made clear its views on how the law should be understood so that the law can be applied. It is the purpose of the law that it should be used. In two areas, therefore, the Justice Committee has wanted a change in the legal text, and I am happy to do so in agreement with the Government Parties and the Council of State. We remove the absolute requirement to use hand-held metal detectors, while saying that this ‘preferably’ will be the most gentle and effective way to perform the search. It is clear that in some situations, for example: where the weapon is a wooden weapon, it would not be appropriate with a metal detector. Then it must be opening up to common sense. Furthermore, the Judicial Committee states that consent to search must be obtained for more than one person at a time, in order to change the legal text from ‘one person’ to ‘person’. On this basis, I believe that the concerns raised by police Norway, Kripos and the national lawyer during the hearing have now been taken into account in the legislative proposal available. In addition, the Judicial Committee stresses that the police must use their general access to search according to § 7 and 10 of the Police Act. The experience of the Oslo Police Chamber is that they significantly increased their weapons seizures after new procedures were put in place for the application of current legal provisions. The Committee supports the use of existing legislation by the Oslo Police and stresses the need for other policy-makers to be aware of the opportunities available here, as well as the new legislative paragraph. The Judicial Committee assumes that practical information on good experience is disseminated from one police chamber to another and that the Ministry of Justice contributes to this. Against this background, the Stortinget today, with the unanimous support of the Judicial Committee, adopts an extended access to the search for weapons. This is done in full within the provisions of the EMC and will be an instrument to combat serious violence and increase the security of people most. I recommend the setting.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e154	The struggle for a safer society and against crime is very central to the Workers' Party. In several cases currently under consideration by the Judicial Committee during this period, this has been the starting point. The joy is that the Committee has been very much in agreement on these matters, either in the form of an overall committee or by a clear majority. On several occasions, the Committee has taken the lead in the field of violence crime, including: stated clearly that the punishment for violence against children, moral crimes and gross violence should be intensified and that the fight against violence must be one of the highest priority areas of criminal policy. Furthermore, a majority have specifically said that the level of penalties for intentional killing and rape is generally too low. Recurrent crime has also been put in focus. The size was discussed on 4 May this year Document No. 8:12 for 1998-99 on this topic, and provided guidance on what can and must be done to get the most active repeaters out of circulation. Another important issue is the treatment of Ot.prp. No 64 on exploration methods, on which the Committee is scheduled to give its opinion in October of this autumn. Today, it is a matter of giving the police extended opportunities to investigate whether people carry guns in a public place. Two Document No. Eight proposals, from the Right and the Advance Party, respectively, have also been promoted on this issue. In view of the work of the Ministry of Justice, the opinions of the police and not least those of the national lawyer, the majority, with the exception of the Advancement Party, have good reason to believe that the intentions of these two proposals are within the majority position. The fact that the Progress Party will continue its symbolic policy was not unexpected, but unnecessary given the possibility of today's suspension giving the police a visit. The rapporteur has given a good presentation of the content of the case and the view of the majority, so it is therefore unnecessary to repeat this. With the clarifications and adjustments made by the Committee through comments, I believe that we have got an even better starting point for meeting the violence in public places, especially in some urban environments, where the danger of the use of weapons is present. The relationship to privacy is central when it comes to body searches. The father, among others For ethnic discrimination is present. The Workers' Party considers it reassuring that the Data Protection Authority has given a positive opinion on the proposal and that the draft law is in line with the European Convention on Human Rights. Another important point, as several hearing bodies say, is that the police are taking seriously the training of the officials and women who are going to conduct a visit – something I have confidence in will be done. Otherwise, I think the opinions of the various police officers are clear that they want this extended possibility of visitation provided by the new Section 10(a) of the Police Act. However, it is worth noting that the Oslo Police Chamber's opinion that because of an internal directive within the current provisions of Sections 7 and 10 of the Police Act, they have had a significant increase in the number of knife seizures in the last half of 1998. This shows that there is also the possibility by today's law to make significant seizures, which was also covered by the case-rapporteur. All in all, I hope that we now have a change in the police law that serves its purpose. I believe, like the majority in the committee position, that it will be very important to add to practical and unbureaucratic procedures. Since this is a temporary law, initially applicable for three years, it will be possible for the Storting to make changes if necessary.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e182	Let's assume that a police patrol is observing a bunch of young people who the police positively know belong to a criminal youth community, walking down the Hegdehaugsweg in Oslo. The police have reason to believe that they are carrying knives illegally, but that it is not a probability overweight. Should the police then have the opportunity to stop these young people, check whether they are walking with knives and, if necessary, retracting the knives, so that the risk of these young people ending up as violent, in the worst case, killers later in the evening is reduced? Yes, I am convinced that more than 90 pst. by the Norwegian population. But no, the Minister of Justice says. No, Kristin Krohn Devold and Right. Just the Progress Party means yes. Today, the right vote on two proposals from the Progress Party which would both make such a search possible. Instead, the Right supports a proposal that limits access to visits to ‘situations or places where violence is easily experienced’. It is a proposal that, for example, the Chief of Police in Stavanger believes has so many limitations that the home will hardly be used at all. At the top of it all, the Right Leader of the Justice Committee believes that this proposal from the Government will make people feel more secure. The proposal of the Progress Party to amend Section 193 of the Criminal Procedures Act and Section 10 of the Police Act does not contain as many restrictions as Right-wing wishes and is in line with the National Attorney's proposal in a letter to the Ministry of Justice dated 1 July 1998. The proposals of the Progress Party will provide the police with the basis of both the Criminal Procedures Act and the Police Act to carry out searches and visits without the likelihood of a person carrying out illegal weapons. Ransaking could be carried out by a police officer without a prior decision by the prosecution authority and could thus be carried out quickly and efficiently when the need is present, in contrast to the hopeless proposal that the government parties, the Labour Party and the Right are now providing their support. Why is this proposal almost worthless? Firstly, the police officer or his deputy must give prior authorisation for the visit in a specific area and period of time. Secondly, the visit can only be carried out in situations or in places where violence is easily experienced, meaning either named streets and places or outside restaurants, in taxi cows and the like. Thirdly, the police must preferably carry a metal detector to be used during the visit. What about the youth walking down the hedgehog road in Oslo on the way to the center with knives and guns in the jacket room? They are hardly in a street or in a place where violence is carried out experientially easily. Maybe they can be stopped as they pass a restaurant, because that's where the committee majority believes that violence takes place experientially. But in that case, the chief of police must have given prior authorisation. And what happens if the police patrol doesn't bring their technical aids in the car? It is certainly not surprising that the police officer in Stavanger is “something skeptical about achieving the desired effect and whether the home will be used at all”. In the light of the proposals made by the Progressive Party, which are identical to the first draft drawn up by the Advocate General in his letter to the Ministry of Justice, the majority's proposal kicks the police out of the hook. People can now feel safer," said Höres Kristin Krohn Devold to the Norwegian Telegram Bureau. That's a pretty incredible statement. On the contrary – with such politicians, people should feel insecure.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e203	The President assumes that Jan Simonsen will also present the proposal included in the vote.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e206	Yeah, both of you.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e211	Jan Simonsen has then taken up the suggestions he referred to.
