ParlaMint-NO_1999-10-20.ana.ud802e27	The called alternate of the Nordland County, Lisbeth Holand, has taken the seat.
ParlaMint-NO_1999-10-20.ana.ud802e35	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_1999-10-20.ana.ud802e40	I suggest Asmund Kristoffersen.
ParlaMint-NO_1999-10-20.ana.ud802e45	Asmund Kristoffersen is proposed as president. – Other proposals are not available, and Asmund Kristoffersen is unanimously elected president of today’s meeting. The representative of Marit Nybakk will make a private proposal.
ParlaMint-NO_1999-10-20.ana.ud802e50	I'm going to make a proposal from the major representatives of Karita Bekkelem Orheim, Ane Sofie Tömrås, Astrid Marie Nistad and myself to ask the Government to bring up a case on measures against the coercion of the Stortinget for treatment.
ParlaMint-NO_1999-10-20.ana.ud802e55	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_1999-10-20.ana.ud802e76	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: Prime Minister Kjell Magne Bondevik County Council Odd Einar City Council Magnhild Melting Authority Kleppa The announced members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask themselves the main questions. – We then start with the first main questions, from the representative of Thorbjørn Jagland.
ParlaMint-NO_1999-10-20.ana.ud802e95	I have a question for the Prime Minister. Norway is part of a global economy. It is therefore natural that Norwegian enterprises own more abroad and that foreigners own more in Norway. However, it is important to maintain strong Norwegian ownership in key industries and financial services, including: to ensure that head offices and important research and competence remain in the country. Therefore, it is worrying that so much is about to be sold out bit by bit. The Workers' Party will criticize the Government for its loss and passivity here. The state has a lot of capital, and the state has important ownership that can be used to ensure that much of this is in Norwegian hands. I would like to ask the Prime Minister whether the Government has discussed a more offensive strategy, including: in the light of the latest examples of industrial establishments on sale.
ParlaMint-NO_1999-10-20.ana.ud802e104	The government is committed to having strong national ownership. It is important both in the financial and industrial groups. In the case of financial institutions, the Government will discuss these issues in the credit notification that we intend to present by the end of this month. We have existing guidelines for concession decisions on such issues that, as you know, require significant national ownership. My view is that experience shows that significant government ownership of these financial institutions has also been necessary in order to now have a certain direction of developments in this area. The size will be invited to discuss these issues in connection with the credit notification. This means that the Government will not only be passive and receive concession requests, but will actively seek through legislation and as the owner of an offensive policy with a view to a sufficient Norwegian ownership of financial institutions to preserve such an environment in Norway. As far as industrial and industrial activities are concerned, the Government, as it is known, has provided a ownership message showing that the Government is not passive on this issue but actively trying to facilitate national ownership of important enterprises. We have not had the same faith as the Workers' Party in establishing an investment company with state resources, but we want to stimulate private investors, so that we keep an important industrial environment in Norway.
ParlaMint-NO_1999-10-20.ana.ud802e111	I am pleased that the Government says that the state ownership of the banks has been important for what is now happening. I think the state should be able to use its ownership in such a way as to ensure a national ownership where the state is also involved in the future. I'm glad. With regard to the notification of ownership referred to by the Prime Minister, an important step could have been taken, namely to set up a State Investment Fund with private capital, which could help Norwegian companies go out and thus also secure their base at home. Many Norwegian industrial companies just say that it is necessary to grow out in order to be strong at home. In this way, you can also ensure stable ownership at home. What's sad is to see that you're not willing to use such tools to prevent much of what's happening right now.
ParlaMint-NO_1999-10-20.ana.ud802e118	I agree with the general view of the representative of Jagland that it is also important to facilitate Norwegian companies going into a globalised economy. It will also strengthen them at home. In this way we agree, but we do not agree on all the instruments. To let the state go in as an investor in a number of companies to contribute to this, I think for my part a should be detained with. So the government sees it as necessary that the state is a significant owner in some key financial market institutions, but to imagine that the state enters into a number of companies as an investor and thus has extensive ownership, I don't think it's a modern form of securing national ownership. We from the Government believe that we have provided other instruments through the ownership message. We also see that some significant Norwegian companies actually go out and invest abroad, so in my opinion it is not as one-sided a negative image that Jagland could give the impression of.
ParlaMint-NO_1999-10-20.ana.ud802e123	There will be follow-up questions – Oddbjørg Ausdal Starrfelt.
ParlaMint-NO_1999-10-20.ana.ud802e126	In the ownership and business message settings of previous years, the government party points above all to issues related to state ownership, which is currently being followed up by the Prime Minister. They have so far rather let themselves be sold out than invested in new businesses. Nycomed is already sold out. Hydro Seafoods and Dyna Industries are in danger of being sold out. Published in the newspapers suggests that this does not upset the rule, even if there is a confusing image. With a State-owned/private investment company or similar mechanism, the State could ensure that these jobs remained in Norway, at the same time. helping these companies to buy up competitors abroad. The state should not enter directly, but participate with money. The business community says there's not enough private funds, it's necessary for the state to participate. I ask the Prime Minister again: will the Government reconsider this and join in, for example. securing jobs in Dyno Industries, Hydro Seafoods?
ParlaMint-NO_1999-10-20.ana.ud802e133	Now, as you know, this is also one of the issues raised by the Workers' Party in connection with the current budgetary discussions, and we are not going to conclude in advance on all the issues raised. We want to be involved in an ongoing debate on how to best ensure the most possible Norwegian ownership, but we have an embedded scepticism that the state should spread through a number of companies in the case of investment and thus also through ownership. In the case of such enterprises as the representative Starrfeld mentioned examples, the country also has other instruments. If, for example: is about the sale of Dyno, the acquisition law could enter into the picture, where the Ministry of Economic Affairs can also assess the plans of the owners, inter alia. as regards competence and industrial environment in Norway. In addition, other Norwegian buyers may also be thought to be involved in such business sales.
ParlaMint-NO_1999-10-20.ana.ud802e141	There will be another follow-up question – Øystein Hedstrøm.
ParlaMint-NO_1999-10-20.ana.ud802e144	The main industrial policy challenge facing the country is that traditional Norwegian businesses, the larger enterprises, are confused without job creation and value creation being replaced by new activities. We have in Stortinget dealt with both a business report and a ownership report the current year without the Government having made constructive proposals, which really means something, to reverse this negative trend. The ship-industrial cluster, we have Kværner and Dyno, partly shuts down business, partly merges or moves the business out of the country. This government has no prescriptions on how to solve. An alternative or supplement to this is to have an industrial policy in which foreign activities in high-tech areas move to Norway. My question to the Prime Minister is: Does the Government administer a policy for the relocation of Norwegian companies? [[President clubs]]
ParlaMint-NO_1999-10-20.ana.ud802e153	The President will remind you that you have to keep your speaking time.
