Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e44	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e71	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e87	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e97	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e109	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e121	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e131	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e143	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e157	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.VK	Kleppe, Vidar	M	1963	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e169	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
ParlaMint-NO-en_1999-03-04-upper	ParlaMint-NO_1999-03-04-upper.ana.ud2637e179	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-03-04	1999-03-04	Upper house	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-03-04	-	Reference	English	Chairperson	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OH	Holten, Odd	M	1940	
