ParlaMint-NO_1999-06-08-lower.ana.ud224e91	The representative, Kenneth Svendsen, will make a private bill.
ParlaMint-NO_1999-06-08-lower.ana.ud224e94	On behalf of Ulf Erik Knudsen and myself, I would like to propose the repeal of the law on the registration of recreational craft and small boats.
ParlaMint-NO_1999-06-08-lower.ana.ud224e99	The legislative proposal will be dealt with in a regulatory manner.
ParlaMint-NO_1999-06-08-lower.ana.ud224e111	In the course of the review of the 1997 report on predatory game, there was strong desire from the sheep and reindeer industries to legislate on the right to compensation. A unanimous committee ended up wishing and asked the government to produce a legal text. That's the law we're dealing with today, and a unanimous committee ends up on a law-enforcement of the right to prey. In dealing with this law, the sheep and reindeer industry has expressed concern and dissatisfaction with the wording of the regulations and the guidelines. The Committee has been quite clear that the regulations and guidelines fall within the responsibility of the Government and are not for the Committee. The Labour Party, and I am convinced that all other parties in this Chamber, too, are concerned that unnecessary conflicts should not be created in the management of predatory game. I would therefore ask the Council of State to continue the good dialogue that has so far been with the trade organisations in this area, and to try to clear up any misunderstandings and ambiguities that may exist regarding regulations and guidelines.
ParlaMint-NO_1999-06-08-lower.ana.ud224e120	In my opinion, the bill under discussion today by Stortinget is a follow-up to the position of the Committee on Energy and the Environment that the right to game replacement should have a separate provision in the wild law. What has surprised me is that the department has found it necessary to attach the regulations, as a sort of excuse for the Storting to see it, but has not responded. I see that the ministry needs the level of conflict in predator management between the owners of the buffalo and the desire of the large community to keep the predators as low as possible. But is what is in the regulations enough to mitigate the level of conflict? I don't think so. It is not common for the Storting to deal with regulations separately, so the regulations it is set up for here must be in the hands of the Government. It seems strange to me, therefore, that a central government with the Center Party in its midst is acting as a child's wig in relation to the sheep industry. Let me give you an example: in the context of Section 4, the conditions for compensation, one finds reason to stress that animals should not be released prematurely on the outback – in fact, all sheep farmers know that. In addition, the animals on the outback must be healthy – it is the wish of the sheep farmers too – and you must have the best supervision on the basis of the terrain you have. What is most difficult in the context of § 4(a) is that the sinking of animals from the pasture should be adapted to the grazing quality, weather conditions and the predatory game situation. This means, in my opinion, a shortening of the field use if animals are to be sank because of the predatory situation. The inclusion of such criteria is a preventive measure and must be agreed and financed from the pot to preventive action. Another point that is strange to me that is neither sheep farmers nor interested in the industry is that you have to have a certain size of the crew to get compensation for predatory losses. For those who own the sheep, it's just as difficult when they're killed whether you own 20 or 50 sheep. This is probably not the highest level of conflict we'll experience in predator management. In a short time, there will be a management plan for wolves. I would like to remind you that the Stortinget has a dual objective of predatory policy. One must have both active agricultural production and predatory game management, and this must be done at the same time. As I have understood, the wolf should now be allowed to establish itself in zones – and that is nothing but the core area. The sons shall be located east of Åmot and Trysil and southwards to the sea. This means that an area of Norway that is already heavily burdened by predators must be able to withstand even more. I believe that the level of conflict between predator management and the pup team has reached the top.
ParlaMint-NO_1999-06-08-lower.ana.ud224e135	The President will draw the attention of the representative Grethe G. Fossum to the fact that it is the Odelstinget who is now dealing with the game law, not the Stortinget.
ParlaMint-NO_1999-06-08-lower.ana.ud224e138	I have asked for the word in the extension of Grethe G. Fossum's posts and would like to express my support for words. I think it's good that it was said from the Stortinge pulpit. Can I then express a little hope that this will herald a new vision – not only in terms of Grethe G. Fossum's personal perception – of the entire predatory game issue, that she might also have some influence in her own party besides her own? If we had done that, we would be able to get a looting game administration that had to quite another degree met the wishes of Grethe G. Fossum just expressed from this pulpit.
ParlaMint-NO_1999-06-08-lower.ana.ud224e143	The President will again remind you that it is Odelstinget who has met, and even though this is Stortingen's pulpit, it is also Odelstingen's pulpit.
ParlaMint-NO_1999-06-08-lower.ana.ud224e146	I am pleased that a joint committee ends up with the government's proposal to legislate on the right to compensation, which has been widely agreed upon in the Storting for a long time, and which Odelstinget now has to deal with. I am also pleased with the point made by Mr Gjúl, the case-rapporteur, and with the good dialogue that has been between the authorities, industry and municipalities, and I can assure you that the good dialogue will continue. It is important for the Government to contribute to the reduction of conflicts as far as possible, and also to meet those who actually have problems with the two-sided objective we are going to manage. That's why I want to go to Hedmark at the end of the month and meet the sheep farmers and discuss the situation with them at the beginning of a new season. Once the Government has chosen to present the regulations at the same time as the Odelstinget will adopt the legal text, it is because this has been a clear wish from the industry. We are fully aware that the regulation stands for the government's own account, but it seems that it has been important to present this at the same time, as this is perceived as important from the industry itself. I am also pleased that the county has come to the conclusion that it should continue to have the administrative authority, and I would like to stress that, on the part of the Government, we attach great importance and importance to ensuring that – in order to provide the best possible basis and trust – close cooperation with local authorities takes place. At the end of the day, I just want to say that this is of course not the only measure that the government is putting in place to mitigate the conflicts in the predatory game issues. This must be seen in the context of both a strong increase in the means of stocking, a wide choice of granting conditional breeding permits to speed up the collection of pests, an increase in the focus on prevention measures and, in some areas, the allocation of both money and milk quotas for conversion.
ParlaMint-NO_1999-06-08-lower.ana.ud224e157	Several have not asked for the floor in Case No. 1st@item: inlistbox [[See page 643]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e171	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 5 minutes and that speaking time be allocated to the groups as follows: Working Party 15 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – This is deemed to be adopted.
