Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e28	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e41	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.AEL	Enger, Anne	F	1949	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e58	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JOA	Alstad, Jon Olav	M	1968	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e69	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e96	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e105	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e119	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e132	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e135	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-10-2	ParlaMint-NO_1999-05-10-2.ana.ud1987e144	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-10	1999-05-10	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-10	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
