Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e39	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.INGS	Sørfonn, Ingebrigt S.	M	1950	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e67	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e74	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e77	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RF	Frøiland, Ranveig	F	1945	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e82	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e93	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e103	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e109	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e162	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e205	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e236	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
ParlaMint-NO-en_1999-12-07-lower-2	ParlaMint-NO_1999-12-07-lower-2.ana.ud2361e243	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1999-2000, Sitting day 1999-12-07	1999-12-07	Lower house	Term 1997-2001	Session 1999-2000	-	Sitting day 1999-12-07	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GS	Skaug, Gunnar	M	1940	
