ParlaMint-NO_1999-06-03-lower.ana.ud1370e59	No one has asked for the floor. [[See page 581]]
ParlaMint-NO_1999-06-03-lower.ana.ud1370e73	In this setting, the majority of the Committee, the Labour Party, the Socialist Left Party and the Government Parties indicate that it is an important objective to ensure public governance and control of hydropower resources, which are part of our national wealth. In this proposition, the Ministry of Oil and Energy proposes that long-term rights of supply of hydropower resources be subject to concession. Changes in governance are also proposed, with public ownership of at least two thirds of both capital and voting rights. In the power sector, ownership structures vary. One form of ownership rights is that some county municipalities have the right to co-ownership in state hydroelectric development. Co-property law has largely been positive for the county municipalities that have, and have had, this right, by providing greater security of access to electricity and economic benefits as the installations were disbursed. This co-ownership scheme, which allows for a share of power generation, has largely satisfied national governance and control. The county co-property court has therefore not previously required concession treatment. Following the conclusion of an agreement on 23 April 1998, signed on 2 September 1998, with two non-resident companies for the resale of long-term contracts, which resulted in long-term rentals not being subject to concession, the municipality of Nordland took into account national governance and control. This is why the Workers' Party, together with the Socialist Left Party and the Government Parties, will impose concession obligations to regulate long-term agreements. This will prevent the erosion of state resource management in hydropower issues. Some have claimed that the concession coating contributes to the deterioration of county co-property rights. Here is the content of the proposition on long-termity that triggers some reactions. What is long-term is little clarified in the proposition, but State Council Marit Arnstad suggests in a response to the Committee on ENFO Opinions on Ot.prp. No 19 for 1998-99 that contracts of a duration of up to 20 years are not considered to be long-term but that this should be assessed on a case-by-case basis and that further clarification of what should be considered as long-term is needed. This means that the county must obtain offers and enter into agreements before the municipality and the offeror knows if the lease is subject to concession. This is a weakness in the proposition that is worth pointing to. Although the proposition has a somewhat thin basis, the intentions are nevertheless so clear that the majority of the committee does not have problems in supporting the Government in the submitted. The county councils may continue to exercise the right to co-occurrence, but in the event of long-term rental, the concession must be treated as a concession. This is fully in line with the fact that the majority wants to take care of our national wealth. That two thirds of both capital and votes are publicly owned is also in line with the majority's intentions. This avoids speculative formations of companies that can help erode concession law. A majority, all except the Right Party and the Advance Party, thus support the Government's proposal in Ot.prp. No 19 for 1998-99.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e92	The Progress Party and the Right believe that the changes presented in the Industrial Concession Act and the Waterways Regulatory Act clearly demonstrate that, in general, the entire concession law hampers the efficient use of power resources, especially for the creation of small power plants, while excluding private capital and, in many cases, directly preventing the realisation of otherwise profitable development and upgrading projects. The proposed legislative changes will also reduce the ability of municipalities, counties and local power companies to conclude long-term agreements and cooperate with each other and with Norwegian and foreign investors. The Party of Progress and the Right will therefore vote against the proposed amendments.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e101	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 581]]
ParlaMint-NO_1999-06-03-lower.ana.ud1370e115	No one has asked for the floor. [[See page 582]]
ParlaMint-NO_1999-06-03-lower.ana.ud1370e129	The amendment to the Product Control Act we are dealing with today facilitates more environmentally friendly use of chemicals. The substitution principle requires that the person dealing with hazardous chemicals assess whether one can achieve its objective equally with less hazardous chemicals or with another method. The principle complements the work of the authorities on limiting and prohibiting the most dangerous chemicals in society and aims to reduce the unnecessary risks associated with the use of hazardous chemicals. Furthermore, the UN Action Plan for the 21st century, Agenda 21, highlights substitution as a classic method of risk reduction. The same approach has been developed nationally and internationally through the principle of the best available technology, or rather the concept of best available techniques, which are used to create a concession for polluting activity, and in the EU Integrated Pollution Control Directive, to which Norway is obliged by the EEA Agreement. In Norwegian law, the principle of substitution has been part of older and more recent legislation on the protection of the health of workers. It can be said that there has been a lack of Norwegian environmental legislation that the principle has not been statutory in terms of damage to the external environment. This is now being changed. It is underlined that a significant increase in financial burden is not expected as a result of the introduction of the substitution principle. The rule does not require hazard or risk assessment, or the implementation of substitution where this entails unreasonable costs or disadvantages. It is gratifying that there is a broad majority supporting the change. The Progress Party is solely concerned with its amendment.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e146	: The Government's intention to amend the Product Control Act is initially positive. The background to the proposal is that the Government wants to strengthen the project of sustainable development. The problem with the amendment of the law is that instead of sustainable development, there is a high risk of a negative and discriminatory development for Norwegian products on the Norwegian market, because importers are exempted from the obligation of assessment and action. This could distort competition between Norwegian producers and importers. The Progress Party cannot accept that Norwegian industry should be discriminated against and subjected to an unnecessary negative distortion of competition. We have therefore promoted an alternative proposal in the matter, which will address these issues satisfactorily, and especially for the end-users, which is also in line with the Government's comment on the matter. I will take up the proposal of the Advance Party in the vote.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e155	Jostein Zazzera has taken up the suggestion he referred to.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e158	Just let me make it quite brief that when the Right and the majority in the Committee have not responded to the proposals of the Progress Party, it does not mean that the majority is not committed to ensuring that the law does not have a distorting effect. The majority are concerned with ensuring non-discrimination, and I refer to the comment of a unanimous committee, where it is emphasised that no substitution is required ‘if it results in ‘unfair costs or disadvantages’. This shall ensure that the change does not distort competition, in particular between Norwegian and foreign operations. ‘The part of the progress made is particularly stressed by the Committee, but in order to be on the safest side, the Committee has also asked the Ministry to follow developments closely if the change would nevertheless prove to have such an effect. On this basis, I would like to reject the claims made by the Progress Party that this could have a distorting effect on competition.
ParlaMint-NO_1999-06-03-lower.ana.ud1370e165	I think it is remarkable that the right now can use the ministry and the bureaucrats in the department as witnesses to the truth that this will not lead to distortions of competition for Norwegian business. And when you refer to major economic consequences, I'd like to know what's in big economic consequences. Is it possible to get a concrete idea of what's in it?
ParlaMint-NO_1999-06-03-lower.ana.ud1370e170	Let me first say that I am pleased that such a broad majority of the committee has joined the Government's proposal to introduce the substitution obligation. We are facing major challenges in terms of chemicals that are hazardous to health and the environment, and we are totally dependent on all actors being conscious of their responsibilities if we are to do the task that we are facing, and it is not least important that manufacturers also have a clearly defined responsibility. An important part of getting where we want to go in terms of chemicals that are hazardous to health and the environment is that we constantly seek to use the least dangerous option by replacing the more dangerous chemicals with less dangerous alternatives where there are. However, as the representative Sanner clearly said from this pulpit, we have, of course, stressed that Norwegian producers should not get into an unfortunate situation. Therefore, it has also been included that this should be done unless there are undue consequences and costs associated with it. I would also like to say that I think you might go against this, underestimating the competitive advantage that can also lie in the introduction of this obligation. Both in Norway and in the European context, we are increasingly facing an audience and consumers who are looking for more environmentally friendly products. I have no doubt – and as the industry itself says – that it is important to be able to offer products that are more environmentally friendly. I believe that the substitution obligation, to which a broad majority here subscribe, will be an important contribution.
