ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e15	The representative, Bjørn Hernæs, will make a private bill.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e18	On behalf of Mr Ansgar Gabrielsen and myself, I would like to propose amendments to the Act of 6 April 1984 No. 17 on remuneration in the event of ownership of immovable property.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e23	The legislative proposal will be dealt with in a regulatory manner. Treatment was continued for the following reasons:
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e37	This is the fourth law that is now being finalized by the Social Committee in Odelstingen after we have completed the law on health professionals, the law on specialist health care and the law on mental health protection. A little pointedly, you could say that the first two laws I mentioned, the law on health professionals and the law on specialist health care, regulate the duties of health professionals, and that the law that is being treated now regulates patients' rights. And to the extent that health professionals are to obtain rights and not just duties, they need to acquire patient status. It would be unfortunate if it really was like that to perceive, and, as I said, it's pointed. In any case, I think that the Patient Rights Act has received a broad, real treatment in the Committee, where all the implicators have had the opportunity to influence the final result. And I would like to start by saying that I am quite surprised at the committee leader's presentation that it was almost a kind of prior agreement that was clearly concluded here between the Workers' Party and the government parties, so that the race would have been run that way. As far as I register by an superficial review, the law consists of 46 legal paragraphs. All eight of them have been amended by the work of the Committee. And they've changed, as far as I can see, by the fact that different parties and different fractions have come up with input. You've had real influence on the final result, and all the parties have been involved. And I think, as others have said, that the rapporteur deserves to be commended. There are important changes that have been made in the Committee. The concept of a patient has been changed in relation to the proposal of the Ministry in such a way as to ensure that more people will be entitled. Now it will also apply to those who address the health care system, and not only to those who receive treatment. The concept of ‘family’ has changed in such a way that it will be able to define its immediate relatives and have rights attached to it. The very concept of health has changed, not least the concept of ‘right to necessary health care’ and what it should include has changed in such a way as to extend patients’ rights. One has also incorporated a right to assessment within 30 days or rather, to the extent that the condition is so severe or life-threatening that it makes it necessary. The right to an individual plan has been guaranteed, particularly linked to those who suffer from severe, long-term suffering, for which there is a need for coordination. It has also clarified and strengthened the right to protection against the disclosure of information with a significant and longer-term comment submitted by SV, to which the Committee has joined, relating to the protection of insurance companies, that it is to be ensured that the information is in line with what the patient would consider to be useful and that it is not supplied with information that is either incorrect or that could give adverse results. Overall, I believe that the Patient Rights Act grants patients significant rights that they do not currently have. I note that both the Advance Party and the Right make a big point that part of the rights are so restricted that they do not give or guarantee the right. Right, as far as I've registered, have two suggestions on my own keel, but are mostly on most of the others. The Progress Party has a number of proposals, some of which, in my view, work – I am not sure whether it is a parliamentary expression – quite burlesque, and especially in relation to the 18-year-olds, and we are talking about minors, who in many cases will be both good adults and established with family and perhaps more children. And it's clear that that makes a lot of suggestions, but there's not going to be a good health policy out of it. I also record that the Progress Party has some reservations related to serious convictions – which were raised by the pay side – that are interesting. In the wording of the Progress Party, it states: ‘The patient does not have due to: serious convictions to refuse to receive blood or blood products or to refuse to interrupt an on-going hunger strike. ‘... So it would mean forcing patients who refuse to take food, or giving them blood by coercion. It opens up a series of interesting perspectives. And in addition, if the serious conviction is not present, then there is no law clause attached to it. Part of this bears the mark of being little thoughtful. But the total in relation to the law is good in terms of SV's view. I think you have to go in and see what kind of impact the capacitor will have, but if this is understood in the best sense, it means that, of course, a capacity needs to be built up in priority areas that are in line with the needs that arise.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e66	There is again a new, important health law that is for treatment in Odelstinget. It can then be natural for the Left in the beginning to express that we are joining the committee majority's legislative proposals. Furthermore, there may be reason to point out that the law in close proximity only contains new rules. A large part of the rules that are currently governed by the Patient Rights Act are rules that have been in other laws in the past, and perhaps also rules that will result from general legal principles, even if they have not been statutory. In the case of patient rights, it may be natural to take two perspectives. One is the individual rights, the right to be treated with respect, etc., the right to participation and consent to treatment. The second is rights vis-à-vis the public, in relation to public resources in terms of health care. The very concept of rights is a difficult one. And it's no wonder that the rights attached to the individual's relationship with the health care system, in terms of individual circumstances, are clearer and more precise than the right to treatment and thus to get a share of the common health resources. There might be reason to operate a distinction that can be characterised as the distinction between absolute rights on the one hand and more relative rights on the other. There is reason to stress that the political importance of increasing health resources is at least as important after the adoption of the Patient Rights Act as before. It will be the access to resources, not the issue of rights, which will be the most important in relation to the extent of health care that will be provided to the population. And I think that's actually something we should not initially regret. At the same time, it is clear that there is a development in these issues, which will mean that for me there will not be a change in position, but more a development in resource access, etc. if I will perhaps at some later stage go further in giving more precise rights to treatment than what we today will find right to go into. But that's a point that you have to be aware of. When you give rights, you make priorities at the same time. And I think that what Annelise Höegh had in mind was in a line-up with the undersigned in terms of the right to take money and travel to another place, for example. to the rest of the world — which is likely to be much easier for somatic patients and perhaps also for somatic patients with not too extensive disease diagnoses — could lead to resources for the category of patients at the expense of those who do not have the same ability to exercise the right elsewhere, thus contributing to the enhancement of an imbalance between somatic patients and psychiatric patients. So to the question of whether it has any meaning to introduce rights and legislation. On that question, I would like to answer a clear yes for my part. And, as far as I've been concerned in the reply to Annelise Höegh, the Hospital Journal of 1977 and the Fusa judgment of 1990 – which was first and foremost about social services – are both Supreme Court judges who have established an understanding of a legal situation that has clearly strengthened the patient's situation. And these legal decisions have also helped to clarify and better understand the legal issues that need to be addressed through legislation. I want to highlight a point in the law, and that is the deepening of the complaint rules in relation to what is happening today. In many ways, appeal procedures, complaint rules and review procedures will provide clarification and removal of the provision in Section 2-1 of the Patient Rights Act. Finally, I would like to say a few words about the patient representative. It's, I think, an advantage if the patient representatives are county councils. But what I would have liked in the law was actually a clearer emphasis on the fact that the patient representatives should be directly linked to the county council, and perhaps also better coordination with the control systems that are otherwise in the municipal law.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e89	With Odelstingen’s treatment today, Norway receives its first comprehensive law on patients’ rights. Provisions on individual rights have previously been dispersed in different specific laws. The rights are now systematised and also supplemented with new rights in a single legal document, which will clearly improve both the position of patients in the healthcare system and the availability of rights for patients and relatives. A comprehensive presentation of patient rights will provide patients with a better understanding of their rights, and thus a better way to implement them. The new law has a long process behind it in the 1990s, from the Harlem Brundtland government taking up the idea in St.meld. No 50 for the 1993-94 and the 1993-94 consultation draft law of the Jagland Government on patients' rights, to the present government, which has formally submitted the draft law to the Odelstinget. The law on patients’ rights implies a continuation of the work of the former workers’ party governments to put the patient first in the Norwegian health system. Patients already have the right to community health care and immediate help. Patients have also had their position strengthened in the past, among others. by means of a 30-day assessment guarantee, a three-month treatment guarantee and free hospital choice within the health region. There are good and important rights for patients now: right to the necessary healthcare in the specialist health service right to review the right to the choice of hospital right to participation and information right to the consent of healthcare right to the right of access to the journal right to appeal to the county implementation of the patient ombudsman system in all county municipalities; The aim of the law is to ensure that patients receive necessary and sound health care through information and participation, care and respect. The working party was mainly satisfied with the noblest proposition made by the Bondevik administration, but we thought it was very important to ensure the right to necessary health care. No one has forgotten that the leader of the Christian People's Party, Valgerd Svarstad Haugland, created very great expectations about the binding legal right to health care in the election campaign in 1997. But responsibility and government thus led to a not insignificant right of retreat. However, the Labour Party welcomes the fact that, through the treatment of the Social Committee, we have had the centre parties to ensure the right to the necessary health care in the specialist health service and thus help to ensure that no one can fall outside such a fundamental right. I would like to express our satisfaction with the constructive cooperation we have had with the government parties in the extensive legislative work we have had to deal with this spring. In the Workers' Party, it is important that the fundamentals of health policy can find their solution at the intersection of social democracy and the centre. This will, I believe, give the highest level of safety and equivalence for patients in our country. In my view, it is also necessary to give people both security and a realistic understanding that capacity does not always mean that everyone can get everything right away. Having said that, I would like to add that important elements in the policies of the Right and the Progressive Party over time have been useful corrective, and that in many questions there is a broad political basis behind the legal provisions. The law on the right to necessary health care has become very similar to an alternative that then Minister of Health Gudmund Hernes sent out to the hearing, and we believe that we avoid creating unnecessary legal food without financial control, which some have feared in the debate on the right to health care in the specialist healthcare service. Establishing rights strengthens patients’ right to treatment and contributes to national health policy objectives being pursued through the priorities and boundaries of the committee. The working party will point out that the element that is still missing after Odelsting’s treatment and that must be the next logical step is to introduce the right to a permanent doctor for the whole population. It is important to stress that the Patient Rights Act cannot alone ensure and provide health services in society. This is primarily done by the Local Health Service Act and the Special Health Service Act. The Patient Rights Act will provide patients with legal requirements and legal status in relation to municipal health and specialist healthcare, and will contribute to a better distribution of healthcare. The rules on the implementation of the rights and who are obliged to implement the rights are thus governed by the Staff and Services Act. The Patient Rights Act improves the patient’s ability to predict his legal position in relation to healthcare and reduces the risk of arbitrary and unjustified discrimination. However, the introduction of new patient rights and the implementation of a number of health reforms adopted in recent years may have combined and unintended consequences. I am thinking here in particular of the geographically equivalent availability of healthcare in the light of conditions such as the right to free hospital choice, input-driven funding and the discussion of the hospital’s form of association. The Workers' Party is therefore reassured that there appears to be a broad majority in the Stortinge which is critical of the transformation of hospitals into limited liability companies. At the same time, however, we must warn the civil parties against making new adjustments in the form of hospital funding before the scheme is evaluated and integrated in the context of the other health reforms undertaken. Legislation is an important instrument in health policy. Odelstinget adopts today the last of the four major health laws of spring. Overall, the four new laws constitute the largest legal reform in health care history. In the view of the Workers' Party, the four new laws provide a good foundation for effective and sound healthcare, which places legal certainty and the patient's needs at the centre.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e150	With today's bill, Norway will have its first patient rights law. The law strengthens the legal position of patients. At the same time, a number of provisions that were previously scattered in other laws are brought together, making it easier for the patient to have an overview of his rights. The law is one important element, together with the other new health laws, in the legal governance of the healthcare system. At the same time, the law must be seen in the context of the strong priority given to neglected areas of health services proposed and adopted by the Government in the Stortinget, in terms of both psychiatry, cancer and hospital equipment. The legislative proposal and setting up involve strengthening the legal position of the patient in a number of areas. This applies, inter alia, to: right of participation, in the case of right to information, in relation to the requirement of consent from the patient before examination or treatment can be initiated. I refer to the provisions of the bill on compliance requests and complaints, which allow the patient to have his rights tested and enforced. In Ot.prp. No 12 a comprehensive scheme consisting of a right to assess the state of health within 30 working days, a right to review and a right to choose a hospital was proposed. In addition, it was proposed that the waiting-time guarantee requirement be continued. The purpose of the right-to-assessment provision is to ensure that the patient is given an assessment of his health status within a relatively short period of time. The Social Committee supports the proposal for a right to be assessed in the vote. I have noticed that the Social Committee proposes some additions to the legal text. In some situations, there are no prerequisites for good cooperation between doctor and patient. In such cases, the patient may have a strong need to have his/her condition assessed by another doctor. Against this background, a right has been proposed for the patient to re-evaluate their health status. The Social Committee stresses that for chroniclers from time to time it may be necessary to practice a somewhat more open approach to re-examination. I agree. The free choice of hospitals includes: in order to resolve a strict division of the health service. Such a breakdown may have very unfortunate consequences for the patient and may prevent optimum use of resources. The majority of the social committee supports the proposal on the right to choose a hospital. I also take with me the views that the majority have on the matter of coverage of travel expenses. In addition, in consultation with the Government, the majority of the Social Committee has proposed the right to the necessary health care. The design of the proposal takes into account the need to strengthen the patient’s position and the feasibility of implementation within the available capacity. At the same time, there is no doubt that both the Government and a total increase are on guard against the escalation plans adopted to ensure better capacity in the priority areas. As regards the question of what health care is needed, the majority of the Social Committee is re-emphasizing the proposal for priority groups in the inquiry Priority. It is apparent from the majority’s proposal that the right to health care only applies if the patient may have expected benefits from health care. Furthermore, costs shall be proportionate to the impact of the measure. I have noted the comments of the majority, and in the further work on regulations, I will base my work on the principles of prioritisation between patient groups recommended in the position of the Wohnning Committee, which provided the basis for the design of the criteria for the treatment guarantee in the waiting period. The majority’s proposal for a provision limits the right to necessary health care to the publicly funded specialist health service and, where appropriate, other service providers with which the county council has agreed. In addition, the proposal is limited to specialist health services within the limits of access to finance, personnel and equipment. The debate has been elucidating on an important point. Both the majority and minorities recognise that today’s capacity is too small to fulfil an unconditional right to health care. That is why we need the escalation plans, as this government has proposed and has been adopted. Therefore, the minority believes that we need a break for increased health expenditure. The question that then remains is how we communicate this to most people. I believe it is then real to say that the law applies within this capacity limit, especially when it has actually committed itself to a significant escalation in the neglected areas. I must respectfully say that I do not see the representatives of the minority, who stand for an unconditional right, have given very good answers to what they mean, for example. to psychiatric patients, all of whom we know do not meet the necessary treatment capacity today, and for whom it is particularly not relevant to provide treatment abroad. These are questions that I think there might be reason to clarify.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e176	It's going to be line change.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e179	The government did not promote the right to treatment or health care in its legislative proposal. This has been the subject of the Committee's examination of the legislative proposal. As I have pointed out earlier in the debate, I believe that the text of the law, as it is now available for decision, is unclear and unprecise and stands in a direct contrast on some points to the premises made by the majority. My question to the Minister of Health will then be as follows: Does the Minister of Health see any practical problems in administering and implementing this law, even through the use of regulations? Are not these vague and unprecious legal texts a problem in itself when this law is to be practiced? And isn't the Minister of Health also anxious about what he used in the past as an argument not to legislate for treatment, namely legal food and a number of complaints and legal cases in the Norwegian judiciary? After all, as said by and re here, the consumer organisation also expressed great dissatisfaction with the legislative proposal available here.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e188	In this debate on the one hand, the Progress Party has said that the changes made by the majority in consultation with the Government in the bill are what makes this law worthy of being called a patient rights law. On the other hand, the representatives of the Progress Party have also argued in the debate that the majority proposal on this point is almost worthless. I think there is a reason why the Advance Party should choose which leg to actually stand on at the end. The legal text is unclear and unclear, says the representative Alvheim, and he asks if the Minister of Health sees some problems in practicing the law. It is a new law that requires considerable regulatory work not only on this point but also on several other points, and it is to be implemented. Clearly, this is a challenge! It would be completely wrong to try to substantiate it. But there's a job that the ministry will do on the basis of the decision of the Stortinget, and the premises that have been drawn up in the position of the Social Committee. Then we have to design regulations, and we have to make a practical arrangement for this. Then there is a challenge that the Minister of Health and the Department takes, and contributes to this becoming a structure that can build on the best we have in the Norwegian health system, which can be based on the criteria for priority drawn up in the setting and which, in practical terms, will lead to the greatest possible avoidance of this field becoming an arena for legal conflicts.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e195	I think it is clear both in the health minister's words and attitude here today that he understands that this may not have been his best day. He doesn't get what he wants. He suffers defeat at an important point, namely the right to health care. It reminded me of Bjørnstar Bjørnson's poem: 'Raise your head, you quick boy! If a hope or two were broken, a new one flashes in your eye as soon as it shines out of the high! ‘... It actually goes on to say: 'Raise your head and look around! Something is there that shouts: come! – ‘ Yes, it's the patients, it, and the rest of us, who are asking you to do the best out of the proposal that, after all, is being adopted here today. But it is quite rare, especially and alarming that the Minister of Health as late as the day before the committee gave its opinion, publicly warned against adopting a right to health care, a right he knew that his party traps here in the Stortinget would just go in for the next day. It puts – frankly – the Christian People's Party's position on this important core issue in the law in a strange light. What does the Christian People's Party really mean? Are they for what they are against, or are they against what they are for? Yes, there is reason to ask: does the Minister of Health not see that there is a danger in the majority's proposal to Section 2-1 that, through its ambiguity and by leaving so many important questions to any clarification in regulations later, it will just lead to what he warns against, namely that there will be a race of lawsuits and complaints, that there is a danger of happening to the majority's proposals?
