Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e28	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AWN	Wisløff Nilssen, Åse	F	1945	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e49	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SONS	Sjøli, Sonja Irene	F	1949	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e62	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.TNY	Nymo, Tor	M	1940	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e77	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e96	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	TF	Tverrpolitisk Folkevalgte (Kystpartiet)	-	Centre-right	person.AIJF	Falch, Arvid	M	1929	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e107	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.SHL	Ludvigsen, Svein	M	1946	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e118	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.ODDØ	Dørum, Odd Einar	M	1943	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e135	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e145	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.KVO	Vollebæk, Knut	M	1946	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e289	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HJR	Røsjorde, Hans J.	M	1941	
ParlaMint-NO-en_1999-05-25-2	ParlaMint-NO_1999-05-25-2.ana.ud206e301	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1999-05-25	1999-05-25	Unicameralism	Term 1997-2001	Session 1998-1999	-	Sitting day 1999-05-25	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JJJ	Jakobsen, Johan J.	M	1937	
