ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u2	Questions to the President of the Government. He asked, first of all, Mr Joan Coscubiela, Member of the Plural Left Group.
ParlaMint-ES_2015-04-29-CD150429.u3	Thank you, Mr. President. Mr. Rajoy, do you intend to continue to protect tax evaders and fraudsters?
ParlaMint-ES_2015-04-29-CD150429.u4	Thank you, Mr. Congressman. Mr. President.
ParlaMint-ES_2015-04-29-CD150429.u5	Thank you, Mr. President. What I intend to do is to continue to encourage the State Tax Agency so that it can present results such as those it has achieved over the past few years. In the years 2012, 2013 and 2014 37,674 million euros have been collected in the fight against tax fraud - it is the best data since time immemorial - and in the first trimester of this year 2015 they have been collected 2,889. It has been the best first quarter of Spain's history in the fight against tax fraud. Therefore, what I intend to continue to do is to support the officials of the State Tax Agency, who are doing a very brilliant job in the fight against tax fraud. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u6	Thank you very much, Mr President. Mr. Coscubala.
ParlaMint-ES_2015-04-29-CD150429.u7	Mr. Rajoy, who are you trying to fool? For years, prominent leaders of his party have devoted themselves to taking advantage of his posts to plunder this country, to plunder it for his own benefit, his party, in collusion with companies and professional offices. You have spent the whole legislature supporting and defending leaders of your party who today are corrupt convicts and confessors. You have put your hand in the fire so many times for your corrupts that today you are a burned, charred character. Remember, they first denied corruption and presented themselves as victims of a conspiracy. They have subsequently made judicial investigations difficult, destroyed evidence and prosecuted judges. When it has been evident that you were not able to hide that you are a party tainted by corruption, you are surprised, complicated, offended, deceived before the citizenry, with a defachation that is an insult to intelligence. All of this has happened under his presidency, while the workers were being robbed, labour and social rights were being cut, whole families were being evicted, and a tax amnesty was being approved that has been used to raise opaque money and criminal money from their corrupt and donor companies. Now, when you can no longer hide that dirt, you appear as the anti-corruption government. Mr Rajoy, you do something contrary to what you say; neither your most devoted voters nor your most hooligan Members believe you anymore. The director of the Tax Agency is presented saying that he has tax data that are the potato storehouse and you refuse to publish them. Our group, The Plural Left, has put forward a bill so that you can know before you vote who these tax evaders and defrauders are and you veto it so that you can't argue before the elections. Mr Rajoy, it seems that the only way you can stop protecting the corrupt and tax evaders is to stop being president of the government. Well, that's where we are, because protecting corrupt, evasive and defrauding people has ended up turning you into Mr. X of corruption. Give way to the citizenry to get us out of the dump you've put her in. [[All right, cheers. Rumours.]]
ParlaMint-ES_2015-04-29-CD150429.u8	Thank you, Mr. Congressman. Mr. President.
ParlaMint-ES_2015-04-29-CD150429.u9	Thank you very much for your balanced, balanced and democratic intervention, Mr Coscubaila. [[Laughter]] I don't know if he's confused about the country, I think he is; of course, reality absolutely denies him. During this term we have taken measures against tax fraud as never before in our country. We started in 2012 with a comprehensive reform to combat fraud, Law 7/2012. With the tax reform that came into effect in 2015 we strengthen the instruments of the fight against fraud. This has been completed with the General Tax Act and its reform, which will begin its course in Parliament shortly. We have been very active at international level - the new agreement with Andorra will shortly be approved - and we have agreed on an automatic system of exchange of tax information with large countries throughout the world. We have increased the material and personal resources of the State Tax Agency, we have given the battle against employment and social security fraud. Thanks to the measures taken by the Government and the effective action of the State Tax Agency, €124 billion has emerged. They were abroad and now they are already tax bases, so the Public Treasury is going to get more resources to meet the public services that the Spanish need. We have made fiscal regulation, as has been announced by the Greek Government and Mr Varoufakis. Such fiscal regularization has been achieved in other countries of the European Union. It was also done in Spain in 1984 and 1991. It is a fiscal regularization that, unlike these two, pays the taxpayer, their names are known by the State Tax Agency, does not clean or erase any crime, has the OECD's endorsement and has led to the largest increase in tax bases in history. We have therefore made a more just tax system. The reality you paint is that of your country, not fortunately that of this, in which we all live. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u10	Thank you very much, Mr President. - by Mr Josep Sánchez I Libre, in replacement of Mr Josep Antoni Duran I Lleida, by the Catalan parliamentary group, which forms the President of the Government: does the Government think to impose a plan of struggle against poverty on the part of the revenue collected by the Court Agency in the form of a procedure for the voluntary regulation of the courts, not accompanied with the process of external regulation of the year 2012 or of the tax amnesty? [[CONVERGENCE OF THE UNION]] [[File number 180/001283]]
ParlaMint-ES_2015-04-29-CD150429.u11	Question to the President of the Government by Mr Josep Sánchez i Llibre of the Catalan Group [[Convergence and Union]]
ParlaMint-ES_2015-04-29-CD150429.u12	Thank you very much, Mr President. Mr President of the Government, in Convergence i Unió we believe with the utmost conviction that we have a moral obligation to put an end to poverty. I'll explain. We have at our disposal the resources and the mechanisms to be able to do so. On the one hand and according to answers to questions from our spokesman, Josep Antoni Durán i Lleida, we know that after and outside the fiscal regularization of the year 2012 the state has entered for extemporanean liquidations excluded from the fiscal regularization the following amounts: year 2012, 1,343 million euros; year 2013, 1,014 million euros; year 2014, 1,332 million euros; total, 3,683 million euros. On the other hand, Mr President, according to the report of the European Network to combat poverty and social exclusion, 27 % of the population in Spain is at risk of poverty or social exclusion. This report also says that there are more than three million people in Spain at risk of severe deprivation. In the face of this, what has the State done? On the one hand, it has provided €17 million for the 2013-2016 National Social Inclusion Plan and, on the other, it has incorporated €32 million in the 2015 General Budgets. Mr President, does poverty not deserve extraordinary spending? In Convergence and Union we believe so. Mr President, does the obscene inequality in Spain not require an extraordinary plan to combat poverty? In Convergence and Union we believe so. We urge the Government to create a fund to combat poverty, to provide it with resources from out-of-time self-liquidations, to distribute it among the autonomous communities and to manage it with third-sector entities. I ended up the way I started. Mr President, we have a moral obligation to end poverty. Thank you so much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u13	Thank you very much, Mr Sánchez i Llibre. Mr. President of the Government.
