ParlaMint-ES_2015-03-24-CD150324.u1	The meeting was called to order.
ParlaMint-ES_2015-03-24-CD150324.u2	This morning we were appalled by the tragic news of the aviation accident in the French Alps on the Barcelona-Düsseldorf route. In this terrible accident 150 people have lost their lives, including many Spanish citizens. In solidarity with all the countries concerned and as a show of affection for the relatives, friends and relatives of the deceased, I ask your ladies and gentlemen to keep a minute of silence. [[The House, standing up, keeps a minute of silence]] Thank you very much.
ParlaMint-ES_2015-03-24-CD150324.u3	I would like to inform you that, on the floor of the Spokesmen's Committee we had only a few minutes ago, unanimously and on the proposal of the groups, we agreed that today we will see only one item, the first item on the agenda, and we will vote on it below. All the activities of the plenary will be suspended tomorrow, and on Thursday we will have the normal plenary, the one on the agenda, which will start at 9 a.m. and end at 5:30 p.m. or 6 p.m.
ParlaMint-ES_2015-03-24-CD150324.u4	We are therefore going to deal with this first item on the agenda, concerning the consideration of proposals for legislation. In particular, the proposed law of the Joint Parliamentary Group amending the second additional provision of Organic Law 8/1980 of 22 September on the financing of the Autonomous Communities. To defend this initiative, Mrs Barkos has the floor.
ParlaMint-ES_2015-03-24-CD150324.u5	Thank you, President. I will start, as it cannot be otherwise, by expressing my condolences, those of my group and, I am convinced, those of the whole House, and the affection of the victims' families in this unfortunate accident. I would like to point out that, as it cannot be otherwise, the decision of the Board of Spokesmen to defend this bill. In any case, I will strictly follow the arguments necessary to defend my group's position on this matter. Geroa Bai presents today this proposal of law for the reform of the Organic Law 8/1980, of 22 September, on the financing of the autonomous communities and, in particular, regarding its second additional provision referring to Navarre, which has remained unchanged since the approval... [[Rumors]]
ParlaMint-ES_2015-03-24-CD150324.u6	Please be quiet and listen to the speaker.
ParlaMint-ES_2015-03-24-CD150324.u7	Thank you, President. As I said, we tabled this proposal to reform the second additional provision of the Lofca referring to Navarra, which has remained unchanged since the initial adoption of this rule, despite the fact that the institutional reality of Navarra has undergone changes, moreover in depth and in particular with regard to this matter, first of all with the approval of the Lorafna, of the improvement of the estate, in August 1982, and subsequently with the adoption of the Law of the Economic Convention, 1990 and subsequent amendments. What I am subject to today's consideration of your ladies and gentlemen is a brief but far-reaching reform of the recognition of the Navarro regime, and this is in addition to legislative work that had previously occurred, we would certainly have avoided many frictions between the central and outlying governments. This in substance, but that is also why in the form we have preferred to keep the debate, beyond criteria of parliamentary economy that could make reasonable... [[Rumors]] I can't do that, President.
ParlaMint-ES_2015-03-24-CD150324.u8	Please, I understand that circumstances are not easy, but I pray silence to be able to listen.
ParlaMint-ES_2015-03-24-CD150324.u9	Thank you, President. As I say, in the form we have preferred to maintain the debate, beyond criteria of parliamentary economy that could make it reasonable to have included it in the reform that, after the one registered by Geroa Bai, brought the People's Party government last December 29 to this House of Reform of the Lofca. And I would like to stress this in a very special way because we would be concerned that such a reform could, would be carried out without the debate - and debate in plenary, of course - that a matter of these dimensions requires. I had previously pointed out that the reform we are proposing today could in all likelihood have avoided many of the frictions around the possibility of establishing unagreed taxes on the part of the Navarra Parliament, which have kept the central and outlying governments in the past years. But even more, I would like to recall that, especially during this parliamentary term, the disagreements between the two institutions in tax matters are resolved, among other issues, with two rulings of the Constitutional Court - the first of them in December 2012... [[Rumors]]
ParlaMint-ES_2015-03-24-CD150324.u10	Please, I'm asking for silence. If there is no silence, I will suspend the necessary time until there is. Go on, Mrs. Barkos.
ParlaMint-ES_2015-03-24-CD150324.u11	For the third time, thank you, President. The first of these, of December 2012 - it pointed out judgments of the Constitutional Court - and relating to the Foral Law on the tax of large areas, and the second of July 2014 and relating to the Foral Law on the tax of electric production, both, as I say, of particular importance. In both cases, the Constitution applies the Lofca to deny Navarra the power to establish unagreed taxes. Here's the thing. At the time of the trial of the Navarro tax system, the constitutionality block was represented by three rules: the Constitution itself, the Lorafna and the economic agreement, without the Lofca being applicable, given the clarity - I insist, at the time of its drafting and approval - of the second additional provision. But it is no less true that the lack of updating of the aforementioned additional second to the subsequent normative developments, both with the approval of the Lorafna and with the Law of the Economic Convention, has brought us here. For abounding in the need for the reform proposed today by Geroa Bai, I would like to focus on the 1990 Economic Convention Act - I insist, ten years after the Lofca - and particularly on the amendment of the convention itself, which is produced by law with 25/2003 of 15 July. This amendment adds a new point 2.2 to the text of the Convention, the text of which is as follows: The Foral Community of Navarre may impose taxes other than those agreed on the basis of the principles set out in paragraph 1 above, criteria for harmonisation, as set out in Article 7 of that Convention. That is to say, ladies and gentlemen, since then, in 2003, the Navarra Parliament has been opened up to establish unagreed own taxes which the State already imposes on common system territory, provided that Navarra respects the Constitution, the Lorafna and the convention, that is, that it respects its constitutional bloc in tax matters. Under this premise - we will agree, ladies and gentlemen - it is not possible to apply two separate blocks of constitutionality to an outside territory. In particular, it cannot be argued that in some cases the Foral Community of Navarra is subject to the Lofca, while in others the constitutionality parameter in tax matters is laid down in the convention. This dichotomy was not wanted by the constituent or by the General Courts, which, I would like to remind you - I insist - sought the elimination of possible dichotomy or legislative antinomies at two very specific moments: first, when it approves the second additional provision of the Lofca in 1980, and second, in 2003, when it approves the amendment of the convention which expressly allows the Foral Community to establish taxes other than those agreed, subjecting this process exclusively to the limits of the convention itself. The reform of the second additional that we would now be subject to would leave the following wording for the second additional provision of the Lofca in the following terms: Under its foral regime, the financial and tax activity of the Foral Community of Navarre - this would be one of the additions - will be regulated by the traditional system of the economic convention, according to the provision - here the second addition - in article 45 of the Organic Law 13/1982, Lorafna. It will determine the contributions of the Foral Community of Navarre to the general burdens of the State, as well as the criteria for harmonising its tax system with the general regime of the State - and this is the third and final addition -. In particular, and in the case of taxes other than those agreed upon, it shall be exclusively as provided for in Article 2.2 of the economic convention currently in force. I insist that this is the proposal. At this point, I would like to point out the importance of referring the above-mentioned reform to section 45 of the Improvement Act, as opposed to other initiatives registered after this proposal and which refer the reform to section 39.1 of the Improvement Act. According to article 39.1 (a), Navarra is responsible for all the powers and powers that it currently exercises under the terms of the Covenant Act of 16 August 1841 and supplementary provisions. In short, if in the proposed reform we are referred to the powers and competences that Navarra exercised before the Lorafna was approved, and even more so before the reform of the 2003 economic convention, which recognizes the foral capacity to regulate unagreed taxes, we frankly do not understand very well what is being sought, because surely what is to be found is a reinforcement of the thesis maintained by the Constitution in the observation of the Lorfca as a block of constitutionality. But it is even more serious, continuing with article 39, to which the reform of the Lofca would be intended to refer, to say that it is precisely this article, specifically 39.1.c), in which the Constitution relies to apply the Lofca in these cases. In particular, it literally points out that Navarra has all the powers and powers that the State legislation assigns, transfers or delegates, on a general basis, to the autonomous communities or the provinces. I therefore urge you to warn of the seriousness of referring to article 39 of the Lorafna a hypothetical reform of the additional second of the Lofca, in addition to pointing out that an unnecessary conflict would be created between this provision and article 2.2 of the existing convention, which would, of course, be further aggravated if the - for Geroa Bai, since the announcement - unacceptable wording agreed between the governments of the People's Party and of the Union of the Navarro People's Party were to succeed when they decide to narrow the article with the formula of without prejudice to the provisions of the general law of the State. I repeat that we do not know where we want to go with initiatives like this, nor do we know where we want to go, but of course we are very afraid of an abrupt and unwanted end to travel for one of the fundamental elements of Navarro's self-government as is its convention. Ladies and gentlemen, to rely on the development of self-government on the ability to act only and only on the agreed taxes, to do so at a time when precisely that chapter of taxation goes backwards in the weight of revenue, is to close doors to the future, but to do so in addition by accepting in any case, in this case for Navarre, a situation of legislative and tax dependence on the central executive would seem to us no longer to be a fear, but an absolute irresponsibility. I therefore call for the vote to take account of the reform of the Lofca, and I do so with particular attention, as it cannot be otherwise, to the formations which in this House have representation of any of the outside territories, especially the five formations which have representation from Navarre. Ladies and gentlemen, today, especially to condition the decision in the vote to partisan interests and to deny the necessary correction of the law to Navarra citizens, will have serious consequences, and you know it, in the future of Navarro self-government. Thank you, President.
