ParlaMint-BG_2021-08-19.u1	Good morning, colleagues.
ParlaMint-BG_2021-08-19.u2	Here.
ParlaMint-BG_2021-08-19.u3	There's a quorum. I'm opening the meeting. We begin with a hearing of the Minister of Transport, Information Technology and Communications on the grounds of art. 110 of the Rules of Organization and Activity of the National Assembly on the concession at Sofia Airport. Importer is the national representative Ivaylo Mirchev.
ParlaMint-BG_2021-08-19.u4	For procedure, Madam President.
ParlaMint-BG_2021-08-19.u5	Please come in for a procedure.
ParlaMint-BG_2021-08-19.u6	Thank you, Madam President. In connection with the closing of yesterday's meeting due to the running out of time and the commitment made by Mrs. Vasileva as chairman, that today we will have the opportunity to listen to the energy minister, my request is that you put to the vote the move of item 3 on the agenda so that it can be after hearing the current minister, because the topic is extremely important, it is related to transposition of European legislation, which is structurally defining for the sector. Thank you.
ParlaMint-BG_2021-08-19.u7	That is, since we have a fixed point first, second and third for today, you want point two, which was fixed yesterday for today, to move it with point three.
ParlaMint-BG_2021-08-19.u8	That's right. Thank you.
ParlaMint-BG_2021-08-19.u9	Okay. Here you go.
ParlaMint-BG_2021-08-19.u10	Madam President, ladies and gentlemen of the House! I've been doing reverse procedure, not for anything else, but for three weeks now, the executive director of the Forest Agency has been coming into this room, sitting on the balcony, and he's not getting enough time to come to a hearing. If we move this one more time today, it'll be the fourth week. Either we say the man doesn't come and go to work, or I'm just asking you to listen to him for the fourth week, at least once.
ParlaMint-BG_2021-08-19.u11	Thank you, Mr. Sandov. In that case, I will propose that, after the Minister of Transport, the next point on the proposal made to be the Minister of Energy, point three, remain the Executive Director of the Forest Agency, and point two, which has been fixed for today the hearing of the Minister of Environment, become point four. Am I to understand the proposal that has been made?
ParlaMint-BG_2021-08-19.u12	Yeah.
ParlaMint-BG_2021-08-19.u13	I have a counterproposal.
ParlaMint-BG_2021-08-19.u14	It's the opposite.
ParlaMint-BG_2021-08-19.u15	Here you go.
ParlaMint-BG_2021-08-19.u16	Thank you, Madam President. Dear Minister, welcome! Now for the second time, I have a feeling you'll be waiting a few hours to get your turn. Madam President, I will propose that the Minister of Energy's hearing be dropped completely. If in the National Assembly we have nothing to do and we are wondering how and in what way to find some topic to deal with, I will only tell you that yesterday, when we received the agenda, I read item three, which says that we will be listening to the Minister of Energy in connection with Directive 2018/2011. There's no such directive. We have been searching for long and wide, and it has proved that there is a Decision 2018/2011 of the European Council, which reads: A decision to support the integration of policies, programmes and actions for gender equality in the fight against trafficking and the abuse of small arms in accordance with the Women's, Peace and Security Programme. I couldn't find any member. [[Laughter and applause from DPS and GERB-SDS]] I couldn't find anything different from that outrage you're offering us. Very please, those who offer an agenda, if they are not familiar with the subject, do not offer it. Therefore, I propose that the hearing of the Minister of Energy be dismissed, he is already not familiar with energy, but with gender equality even more. Thank you. [[Laughter and applause from DPS and GERB-SDS.]]
ParlaMint-BG_2021-08-19.u17	Mr. Atalay, if we don't support Mr. Stankov's proposal, it practically remains as the fourth point, we won't get to him. You know, we have parliamentary control tomorrow all day. You want me to vote explicitly to drop point three. Is that how I understand your offer?
ParlaMint-BG_2021-08-19.u18	I suggest that you put the item to the vote very seriously and that those who are offering us an agenda should get acquainted with the documents and the directives they propose to us so that we are a very serious institution. Thank you.
ParlaMint-BG_2021-08-19.u19	Thank you. I will put your proposal to the vote first, as it is the furthest from the agenda for dropping item three. Here you go.
