Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u1	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u2	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Regular	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	DaritkovaDaniela	Daritkova-prodanova, Daniela Anastasova	F	1966	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u3	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u4	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Regular	MP	notMinister	BSPFB	Parliamentary Group: BSP for Bulgaria	Opposition	Centre-left	NinovaKorneliya	Ninova, Korneliya Petrova	F	1969	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u5	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u6	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Regular	MP	notMinister	UP	Parliamentary Group: United Patriots	Coalition	Right to far-right	VeselinovIskren	Veselinov, Iskren Vasilev	M	1972	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u7	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u8	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Regular	MP	notMinister	VOLYA	Parliamentary Group: Volya	Opposition	Right to far-right	MareshkiVeselin	Mareshki, Veselin Naydenov	M	1967	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u9	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u10	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Regular	MP	notMinister	VOLYA	Parliamentary Group: Volya	Opposition	Right to far-right	MareshkiVeselin	Mareshki, Veselin Naydenov	M	1967	
ParlaMint-BG-en_2021-03-25	ParlaMint-BG_2021-03-25.u11	Report of the meeting of the Bulgarian National Assembly, Term 44, Session 11, Meeting 464 (2021-03-25)	2021-03-25	Unicameralism	44 народно събрание	11 парламентарна сесия	464 пленарно заседание	2021-03-25	-	COVID	English	Chairperson	MP	notMinister	GERB	Parliamentary Group: GERB Party	Coalition	Centre-right	KarayanchevaTsveta	Karayancheva, Tsveta Valcheva	F	1968	
