ParlaMint-NL_2018-12-19-tweedekamer-6.u1	I'll give the Minister the floor.
ParlaMint-NL_2018-12-19-tweedekamer-6.u2	Thank you, Mr President. Thank you to Members for the questions on the various subjects. It might be good to start with how I thought I'd classify the answer. I shall begin with a number of general comments and the budgetary side of the economy. Secondly, I am talking about the under-exhaustment that many Members have mentioned. Thirdly, I am talking about energy and climate, including the budget reserve. Fourthly, I am talking about purchasing power, including the citizens' energy bill. As a fifth, I am talking about Europe, which has been back since last week. And as a sixth, the "other" block. So I start with general, economic and budgetary matters. A large number of Members have also referred to the good state of the economy and thus to the ever better state of government finances, and I would like to stress once again that it is a combination of three things that the cabinet aims to achieve. Firstly, very substantial investment in society, secondly, the return of money to the citizen by means of a reduction in the burden and thirdly, the further alignment of state finances. As some recalled, this means that, due to a combination of reasons, the EMU balance in 2018, according to the latest forecast, looks even better in 2018 than in the Millions Note, from 0.8% to 0.9%. The debt has also fallen a little further. However, I would like to point out that the downside risks have actually only increased, not so much in number but in terms of the downside risks to Brexit, the trade war and what is going on in and at the borders of Europe. Mr. Chairman. Mr Slootweg asked whether the estimates of this morning's Planning Bureau mean that there is a change. For me, that's a matter of putting it in perspective. We have had very good growth in recent years and it still looks like the Dutch economy will continue to grow significantly next year. A number of members have already mentioned the economy that would be beyond its peak. We were still thinking about the Millions note I'm saying "we," but I'm basing myself on the Planning Bureau that the growth would be 2.6%, but it's now going to 2.2%. I base myself on the Planbureau, but also the other estimates of De Nederlandsche Bank and others show a revised picture. Mr. Chairman. Mrs Leijten asked for an explanation of the trends in wages estimated by the CPB. According to the CPB December estimate, contract wages increase by 2% in 2018 and by 2.8% in 2019. Of course, that's good news. I'll say more about purchasing power in a moment, but that's out of my mind in the fourth block. Mrs De Vries and Mr Sneller asked what I am doing together with the SZW and VWS ministers to reduce the increase in expenditure on health and social security. Mr Sneller asked in particular for a sharp look at VWS. I think that these are quite right remarks, which also refer to many of the previous debates we have had here, but which I have also had in the Upper House. Because it is true that, when you look at the rich budget, those two issues are the main ones. Moreover, with regard to care, care costs have increased explosively in recent years, and Mrs De Vries also referred to them in the coming years. It is not for nothing that some people take the word 'cuckoo boy' in their mouths, because care expenditure tends, because of this explosive increase, to suppress other expenditure potentially in the long term. This does not detract from the enormous importance that society attaches to good health care, which is accessible and affordable to all. But of course we can see that the costs are increasing. In response to the questioners, I would like to say that the main agreements that have been concluded are a step in the right direction and that we are also trying to reduce the expenditure on medicines. There too, we have made a first step. However, referring back to the language that emerged yesterday in the debate, this is a wicked problem, precisely because you really want everyone to have access and that public health remains at the high level we have in the Netherlands, but because you also want money to be left for a lot of other things. Mr. Chairman. Then Mr. Slootweg asked...
ParlaMint-NL_2018-12-19-tweedekamer-6.u3	Before you proceed, Mr Sneller has a question.
ParlaMint-NL_2018-12-19-tweedekamer-6.u4	As we discussed in the debate last night, as the independent advice of the WRR approaches, it is also time to speed up thinking again. My question is: what is the Minister doing about that?
ParlaMint-NL_2018-12-19-tweedekamer-6.u5	That's a fair point. I am discussing this issue with both ministers at VWS homes. We have two; that also gives room to pay attention to this. Those two ministers and I, incidentally, agree with the Secretary of State of the United States that it is the duty of the Cabinet to ensure that it is made even better, that it remains accessible to everyone, but that it remains affordable. In that triangle, we're gonna have to find it. I see Mr Sneller's questions, as well as Mrs De Vries' questions, as an encouragement to produce results. By the way, it will in the first place be the VWS ministers who will also come to the Chamber with plans.
ParlaMint-NL_2018-12-19-tweedekamer-6.u6	At least this Minister will see the follow-up question coming. When can we have that debate in this Chamber?
ParlaMint-NL_2018-12-19-tweedekamer-6.u7	I believe that I am also speaking to Mr VWS on this subject shortly before the recess and certainly soon after the recess. Could I also give Mr Sneller, at the beginning of next year, sometime in January, an insight into how we see it on behalf of the VWS ministers? For it has my particular attention, of course, but it is primarily the responsibility of the rulers there. Mr. Chairman. Mr Slootweg asked about another subject, namely guarantees. It is right that he should draw attention to this. He asks how I look at the stake and whether I can also give an insight into what guarantees we all have. For the record, I always give insight into all the guarantee schemes in the Millions Note, but that is hidden in one of the annexes, I believe. If that is useful, I would, of course, like to give it to the Chamber again, but I really believe that we are ensuring maximum transparency. Mrs De Vries asked: how do we ensure even better estimates in the area of taxation and premium? I just wanted to break up that question. I'm about to say something specific about yard and pour in the block. I would also like to say a few words about the estimates at OCW; I wanted to do this separately. But I shall now go into it in a general sense, because that is how I understood Mrs De Vries' question. I think it is good to emphasise that the Visitation Committee, which has recently looked at it, is in a general sense really positive about how the Ministry of Finance estimates. I would also like to stress that a certain degree of deviation is inevitable. See also the somewhat more summary study on estimates made in relation to the economy, I believe from a year ago. Then you just see that if you put the plans of the planning agencies and the international predictions all side by side, almost everyone is able to point in the right direction. But it is not so easy to do it very precisely and completely right. But the good news is that according to that visit, the Ministry of Finance is doing well. However, there are a number of recommendations from the Committee on Visitation, which I can also broadly follow. In the Millions note, I also specifically discussed what I am going to do with it. Mr Sneller referred to the statements of the Minister for Defence. I think he is doing this particularly because he sees that there is underexhaustment. I think the appreciation should be like this. NATO is right to ask the various Members that there should be a credible national plan, as it is put forward, in which the changed security situation is addressed. The priorities mentioned by the Minister of Defence in her letter are long-term priorities. That's how we appointed it to the cabinet. We are going to make the effort to see if it is possible and, if so, what is possible in the spring decision-making process. But I'm not taking an advance on that. Mr. Chairman. Mrs Leijten asked about the 10 billion and the budget right. There is, of course, that budget right, but that does not apply to the expenditure financed by contributions. I'll be back on VWS in a little bit. Mrs De Vries asked about the 15 million cash drawer in the media reserve. I believe that the 2019 media budget letter explains how the falling advertising revenue will be absorbed in 2018 and what measures are being taken to prevent that reserve from running out in the coming years. On the basis of the most up-to-date Star estimate, there is now a setback of a small 17 million compared to the spring note stand. Of these, around 9 million can no longer be absorbed by the general media reserve. That's why the cash drawer was used. For the record, covering this setback is absolutely in line with and fits within the budgetary rules as agreed by the cabinet. I would like to make that clear, because that is of course important to me, and I suspect that Mrs De Vries' appreciation of this particular subject has also contributed to her question.
ParlaMint-NL_2018-12-19-tweedekamer-6.u8	Actually, I was more concerned with the system. I understand that it must have gone according to the budgetary rules. It would not be good if the Finance Minister did not keep a close eye on that. The question is how often you use such an instrument. I will not say that cash slides are completely undesirable, because of course we use this medicine more often, but the question is whether it is justified to bring that money forward in relation to future years, because then you might need that money. I believe that this should simply be secured by proposals of this kind. I am not concerned with the substance slide. I know why this is done. I know it's about the shortages in Star revenue. I'm talking about the principle that you need to know that you don't have another problem in the future.
ParlaMint-NL_2018-12-19-tweedekamer-6.u9	I very much agree with Mrs De Vries. By the way, Mrs De Vries remembers that from last summer's round, there are two sides: on the one hand, we are trying to ensure that we solve acute problems in this way, but on the other hand we are also trying to ensure that where that was possible and we saw that there could no longer be access to money that ministries are entitled to, there is also room for a cash slide. But that can be read back extensively in the Millions Note.
ParlaMint-NL_2018-12-19-tweedekamer-6.u10	It's just that I think it's dangerous. If it is not properly secured, I am curious to see how the Minister appreciates it. We will then be in trouble in 2021. I had a very specific question: why wasn't that money just taken from 2019 or 2020, because now it's being taken from even further away, from the end of the cabinet period? I think that's a dangerous development. Why isn't that money taken from earlier years?
ParlaMint-NL_2018-12-19-tweedekamer-6.u11	The latter is not atypical, because we do that more often. The cash slides we used in and around the summer are sometimes cash slides that relate to 2018 versus 2019 or 2019 versus 2020, but are sometimes also cash slides from farther away years. But of course there is a limit to that. It makes sense to limit you to this cabinet period.
