ParlaMint-NL_2018-11-22-tweedekamer-14.u1	Let's move on to the second term of office.
ParlaMint-NL_2018-11-22-tweedekamer-14.u2	We had stopped with Mr. Van Nispen. I give him the floor on behalf of the SP.
ParlaMint-NL_2018-11-22-tweedekamer-14.u3	Thank you, Mr. Chairman. The Secretary of State for Legal Protection had to wait for a moment. We were wondering: where is the legal protection of this cabinet? But fortunately, the minister just came in. According to the SP, it's time for justice. And to organize that, I will also continue my conversations with mayors, the justice system, the Legal Loket, the lawyer and other people in the country about starting facilities near people: a House of Law. But that can be done within our current system. Access to justice is the foundation of our rule of law. I am very concerned about the plans for subsidised legal aid. We are going to have a separate debate on this, but I have one motion on it, which I am also speaking on behalf of Mrs Buitenweg. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is not clear what the cost of revising the system of funded legal aid will be;]] [[Whereas, among other things, Scottish research has shown that investment in funded legal aid will also lead to savings and thus prevent social misery;]] [[invites the Government, before revising the system of funded legal aid, to examine first the total costs of such revision for the State, municipalities and semi-governments,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Nispen and Mr Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-50]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u4	People who do not cheat are sometimes dealt with harshly, for example when certain information has not been passed on in time, while white-collar criminals can buy off criminal proceedings. In this debate, the SP has made two proposals which I will put to the Chamber in motions for resolutions; the first motion also on behalf of Mr Grothuizen. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that settlements in major cases of deprivation and fraud between the Public Prosecutor's Office and a suspect require the Minister's consent, but are not subject to independent judicial review in public;]] [[noting that it is impossible for society to check whether such a settlement to a serious criminal offence is fair and constitutes an appropriate response from the public authorities;]] [[calls on the Government to ensure that the courts have a supervisory and legal role in the conduct of high and special transactions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Nispen and Mr Groothuizen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-51]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u5	Could Mr Van Nispen specify for me what he means by that test? Do I have to compare it to the marginal test a judge takes when it comes to assessing whether a lawyer is rightly taking protective measures? Or does Mr Van Nispen think that there should actually be room for the courts to carry out, for example, an integral re-evaluation of what is being presented to the court?
ParlaMint-NL_2018-11-22-tweedekamer-14.u6	Short response, Mr. Van Nispen.
ParlaMint-NL_2018-11-22-tweedekamer-14.u7	Let me begin by saying that it is an appeal to the Minister to work out this proposal. I believe that the Minister should consult with the Judicial Council and also look at experience abroad, for example Germany, where there is already a judicial test. Among other things, it should be considered whether the amount to be declared is appropriate. This openness must, of course, also be available for transparency to society. It's missing now. That is why we are proposing that the judge should have a supervisory and judicial role.
ParlaMint-NL_2018-11-22-tweedekamer-14.u8	Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u9	The motion I will also be tabling on behalf of Mr Van Oosten is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas any criminal act or omission of a business is always based on human action;]] [[considers it inappropriate to explain that, following serious criminal acts, such as a huge fraud case, the legal person concerned can settle with the Public Prosecutor's Office (a megacasting) without having to justify himself to the criminal court;]] [[calls on the Government to ensure that high and special transactions are included in the Designation that the starting point for settlements with legal persons is always criminal investigations into actual managers and clients and also to consult the Public Prosecutor's Office on how this principle can be sufficiently implemented in practice,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Nispen and Mr Van Oosten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35000-VI-52]]
ParlaMint-NL_2018-11-22-tweedekamer-14.u10	Yeah, a quick question. I assume that this motion will be tabled in response to the ING arrangement or that it has played an important role in it, while I have just read that the prosecution has carried out a huge investigation into individuals, but that there are no possibilities in the penal law to charge it. Could Mr Van Nispen give further consideration to this, also in relation to how he sees this motion?
ParlaMint-NL_2018-11-22-tweedekamer-14.u11	A brief reflection.
