ParlaMint-NL_2018-03-29-tweedekamer-11.u1	I give the floor to Mr Kuzu van Denk, as the applicant for this debate.
ParlaMint-NL_2018-03-29-tweedekamer-11.u2	Thank you, Mr President. How wonderful it would be if every Dutchman knew the meaning of fundamental rights: non-discrimination, freedom of expression, freedom of religion. How wonderful it would be if we applied these fundamental rights in the same way for everyone, without double standards. As far as DENK is concerned, this is much more important than singing the Wilhelmus, which the cabinet has explicitly included in the coalition agreement. Mr. Chairman. This debate is about our common identity. This debate is about what every Dutchman has in common and should have in common, namely citizenship: fulfilling your duties and claiming your rights. This system of rights and obligations is the foundation of our society and must be anchored in civic education. Students indicate that schools do little about civic education. Add to that that citizenship teachers indicate that they feel less competent than colleagues in other countries. In addition, if there is little use of different means of teaching, we must be seriously concerned about the quality of citizenship education in the Netherlands. That is why the status of citizenship education needs to be strengthened and we need to make more demands on citizenship education. So a warm plea to improve our citizenship education. It is essential for pupils to learn about civil rights, basic social values, state institutions and the principles of the democratic rule of law.
ParlaMint-NL_2018-03-29-tweedekamer-11.u3	Mr Van Meenen.
ParlaMint-NL_2018-03-29-tweedekamer-11.u4	I fully agree with that and that is why we took the initiative a few years ago to look at the curriculum again, also on this point. It's called curriculum.Now and it's happening now. It is about citizenship in education and how to shape it precisely, because everyone in this Chamber shares these concerns. My question to Mr Kuzu is: why at the moment? Why not wait until the discussion between people who really know it, namely teachers and others, is concluded?
ParlaMint-NL_2018-03-29-tweedekamer-11.u5	I'm sure that's what needs to be done. Let's give the teachers and the professionals some room in that. They're making steps, too. The point is that, from our point of view of the task, we can give a political direction to what is to be done there. It is also positive that it is appointed in the coalition agreement. The cabinet wants to strengthen the core objectives of citizenship education in the law, and that is nice, but the cabinet is too little concrete about how and what. That is why it is good to have this debate at the moment, so that we can take steps in it as a Chamber.
ParlaMint-NL_2018-03-29-tweedekamer-11.u6	So, if I understand correctly, Mr Kuzu's aim in this debate is to give direction to the people who are now developing the curriculum for citizenship.
ParlaMint-NL_2018-03-29-tweedekamer-11.u7	The most important thing is that several studies indicate that citizenship education in the Netherlands is poor. That's a serious signal. I think we should take that seriously with each other. There is indeed a working group. I would like to mention what is happening there at the moment. And certainly we can give that working party as a Chamber, as a political body today, at the moment, a number of important messages from our popular representative position. That's no more than usual, I think.
ParlaMint-NL_2018-03-29-tweedekamer-11.u8	Please continue.
ParlaMint-NL_2018-03-29-tweedekamer-11.u9	Mr. Chairman. I was just talking about the plans of the coalition agreement.
ParlaMint-NL_2018-03-29-tweedekamer-11.u10	Before you continue, I see Mr Beertema.
ParlaMint-NL_2018-03-29-tweedekamer-11.u11	I hear again that it would be very bad with the quality of citizenship education. Yeah, it could be better, but it's not bad, is it? The investigation shows that we're in the middle of something. Compared to similar countries, we score a little lower, but is that really why you are requesting this debate?
