ParlaMint-NL_2018-04-12-tweedekamer-4.u1	The next item is the Trade Secrets Protection Act.
ParlaMint-NL_2018-04-12-tweedekamer-4.u2	A very warm welcome to the Minister and to his officials, who I do not see but who are undoubtedly there. We have five speakers today, with Mr Alkaya of the SP as the first speaker. You have ten minutes.
ParlaMint-NL_2018-04-12-tweedekamer-4.u3	Thank you very much, Mr President. Today we are discussing a proposal for a new law implementing a European directive which lays down rules on the protection of trade secrets. Healthy companies invest in building unique knowledge and skills, to innovate and remain competitive. This often also ensures the development of the employees, who in turn make the company great. But society also benefits from better functioning companies and better products and services. So we all benefit from companies investing in innovation, research and innovation. Of course, it makes sense for companies to want to protect valuable knowledge and skills. By laying this down more legally, we ensure that it also remains interesting to invest in people and in building unique knowledge and skills within companies. Nevertheless, I felt it necessary to discuss this bill together in this Chamber today and not to deal with it as a hammer piece, for the following reason. Thus, while companies have legitimate reasons to protect unique knowledge, skills and information that they have built by investing from the outside world, there are still issues within companies that benefit society from the fact that these things come out. Think of illegal activities, products or services that could endanger public health, human rights violations or damage to the environment. It is precisely in these matters that we are in the best interest of them to come out. Unfortunately, we are often faced with abuses in companies, which are often either brought out by employees who are confronted with these abuses internally, or by investigative journalists. This law should not unintentionally set unnecessary thresholds for whistleblowers and journalists acting in the interests of our society by bringing out such abuses. Unfortunately, this is the case in the current legal text. The definition of a trade secret is quite broad in this current legal text. In summary, all information that is not yet publicly available is valuable to the company and must also remain secret and can be regarded as business secret. I get that broad definition on the one hand. Because not all forms of unique knowledge and skills that companies build can be captured in patents or something like that. For example, the explanatory memorandum refers to technological knowledge, such as manufacturing methods and recipes, but also to other data, such as customer and supplier information, business plans, research reports or company strategies. These things, too, you ideally want to protect against, for example, economic espionage. I get that. At the same time, with such a broad wording, without additional protection for whistleblowers and investigative journalists, we run the risk of failing companies even less quickly than is the case today. So we all benefit less from that. Fear of long trials and high claims may deter employees from bringing this kind of abuse to light. In such a lawsuit, such a large company is often stronger than an individual employee, who is also dependent on the same company for his income. This crooked relationship just scares off. I can imagine anything. Then I must quickly think of a statement by Johan de Witt, who said: what one can obtain through the shining of the sword, is not necessary by searching for the beating with the sword. That is the kind of deterrent effect of the new law that we simply need to adapt.
ParlaMint-NL_2018-04-12-tweedekamer-4.u4	Before you proceed, Mrs Van den Berg has a question.
ParlaMint-NL_2018-04-12-tweedekamer-4.u5	At the beginning, Mr. Alkaya said that companies can grow through innovation and new things. Now I hear him say that a large company has a much better position than the employee, whereas this law is intended to protect SMEs. I would like to hear a reflection from Mr Alkaya.
ParlaMint-NL_2018-04-12-tweedekamer-4.u6	Also in the case of an SME's, I can imagine that if you are an employee of an SME's, you would prefer not to be in a court of law against that SME's. That is of course less the case with a large company because you often have to deal with an army of lawyers and you do not want to deal with years of trial and high claims. However, an employee of an SME would prefer not to face his own employer in a court of law. I can very well imagine that this scares off, even if it is not a large but a small business.
ParlaMint-NL_2018-04-12-tweedekamer-4.u7	An SME can also be a company with three people employed. The starting point of a trial is that I think it is a really wrong assumption. Again, for us, this is precisely the protection for small SMEs. I think Mr. Alkaya has some other perceptions of that and I would like to give that to him.
ParlaMint-NL_2018-04-12-tweedekamer-4.u8	We have plenty of time to discuss it today. In my opinion, the current legal text under Article 4 provides that the standard practice of cases is actually the course of justice, that the way whistleblowers and investigative journalists are excluded from such cases should be automatically assessed by the courts. I would like to make such a course of justice less standard practice. I shall come back to that in my further text. So we have to avoid such a lawsuit as much as possible. Even though it is sometimes unavoidable, it can have a deterrent effect. If we can do that by amending the legal text, then we must avoid it as much as possible. I have therefore tabled three amendments to give extra protection to journalists and employees so that abuses in companies can be brought to light. That concerns first of all the amendment on item No. 11 that makes the abstract definition of action in the general interest a little more concrete, namely by referring to the House for Whistleblowers. Whistleblowers and investigative journalists have been able to contact the House for Whistleblowers for advice and protection for a year, which came on the initiative of the SP. The relevant law defines that the public interest is at least at stake in the event of, for example, breach of a legal requirement, danger to public health, danger to the safety of persons, danger to damage to the environment or danger to the proper functioning of public policy, service or undertaking as a result of improper conduct or omission. It would be a good thing for employees to assume that if they find one of these abuses, they will receive additional protection. I have two further amendments to further enhance the protection of the environment.
ParlaMint-NL_2018-04-12-tweedekamer-4.u9	I think that the amendment to item No. 11 very sympathetic, but I would like some further explanation as to why it says "as referred to in Article 1 (d) (2) of the Whistleblowers' Act." Are there other situations similar to that Wet Huis for whistleblowers that you want to bring under that general interest? Could you explain that a little bit more?
ParlaMint-NL_2018-04-12-tweedekamer-4.u10	Sure. Firstly, I think it is right for staff to assume that if these matters are on the agenda, they can at least appeal to them. But other cases are also conceivable, for example human rights violations. This has more to do with international companies, multinational companies, which would not be covered by this, but there are also very other cases that could be envisaged where workers should be able to assume that if they do not have a fair level of protection, they will be given extra protection. If we have already agreed on an additional definition that is at least a breach of social interest, I think it is right that they should at least be able to assume it.
ParlaMint-NL_2018-04-12-tweedekamer-4.u11	Mr Veldman also has a question on this point.
