ParlaMint-NL_2018-11-01-tweedekamer-8.u1	The next item is the debate on VAO Horses. The first speaker was Mr Graus, on behalf of the PVV.
ParlaMint-NL_2018-11-01-tweedekamer-8.u2	Thank you, Mr. Chairman. I am very pleased that the general consultation Horses was even honoured by my colleagues. I'm really grateful to them for that. We have also had specialist debates on seals and now on horses. We have to do that much more, because it is very bad with horse welfare in the Netherlands. Now a few motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to ensure that a block of horse welfare is included in the training for the purposes of the equestrian certificate,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-995]]
ParlaMint-NL_2018-11-01-tweedekamer-8.u3	There are people bumping on a horse who don't even know how to sit properly on a horse. That's what's bothering a horse. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[invites the government, in addition to a DNA database, to link the owner of a horse to the so-called I&R system,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-996]]
ParlaMint-NL_2018-11-01-tweedekamer-8.u4	Now it's linked to the holder. The animal police should be able to find out about the owner. The next motion was co-signed by my Limburg friend Wassenberg of the Party for Animals. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to increase and strengthen control and enforcement in horse farms, horse transport, horse markets, horse events and slaughterhouses,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to set up a Task Force on Horses, including a specialist team consisting of approved horse doctors and detective officers of the NVWA and the animal police,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to implement the 2011 Horse Decision in legal frameworks and to include the recommendations of March 2018 of Animal & Law,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Graus and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-997]] [[This motion was tabled by Mr Graus and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-998]] [[This motion was tabled by Mr Graus and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-999]]
ParlaMint-NL_2018-11-01-tweedekamer-8.u5	The previous two motions were co-signed by biologist Wassenberg of the Party for Animals. I just want to congratulate my good friend Spekkie, because I can't be on his birthday tonight. I wish him a blessed new year of life. At least I have a good alibi why I can't be here, because I'm standing here.
ParlaMint-NL_2018-11-01-tweedekamer-8.u6	Just your TV moment for a friend, I understand. The next speaker was Mr Wassenberg, on behalf of the Party for Animals.
ParlaMint-NL_2018-11-01-tweedekamer-8.u7	Mr. Chairman. I have one motion and it's about horse hairs. In the Netherlands, the tasty hairs of horses are still fully or partially shaved off. Those tasty hairs have a very vital function for the horse. They serve to find food or to explore their environment. Because horses see very badly at close range, these tasty hairs also serve to prevent the horses from damaging their heads to nearby objects. That's why cutting or shaving those tasty hairs is a violation of their well-being. In Germany this is already prohibited by law, not yet in the Netherlands. That is why I have the next motion, which was co-signed by fellow fighter against animal suffering, Mr Graus. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the total or partial shaving of the ears and the partial or total cutting of the tasting hairs of horses are still taking place;]] [[noting that the tasty hairs around the mouth, nose and hairs in the ears of horses and ponies have an important function to explore the surroundings, and to prevent the horse from getting wounds to the head;]] [[Whereas cutting off the tasty hair is an infringement of the welfare of the horse;]] [[noting that the cutting or shaving of horse tasting hair is prohibited in Germany;]] [[invites the Government to work towards a ban on the partial or total shearing or cutting of the horse's tasting hair,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-1000]]
ParlaMint-NL_2018-11-01-tweedekamer-8.u8	Mr. Chairman. I am replacing Mr von Martels, who is currently in a debate with the Minister for Infrastructure and Water Management. He could have said the following words. First of all, I would like to thank the Minister and his colleagues for their good handling during the general consultation. We agree on banning the coupage of tails. However, in order to allow cultural events such as tests and ring marks, we would argue that there should be a transitional period for the participation of horses that have been copied in the past. To that end, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the ban on coups entered into force on 1 December 2016, but it is now prohibited for horses that have been cut before that date to participate in cultural events such as inspections and ring marks;]] [[Whereas, without these young but coupled horses, there is a risk that these events will not be able to continue;]] [[calls on the Government to provide for a transitional period for horses which have been couped prior to the entry into force of the ban so that they can continue to participate,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Geurts and Mr von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-1001]]
ParlaMint-NL_2018-11-01-tweedekamer-8.u9	I have given up speaking time, because I really had my hopes set on Mr von Martels when it comes to the Gelders migration horse. Something's going on in Gelderland. I don't know what, but they've been going on for 50 years about whether that can get a pedigree recognition or not. One application after the other is then dismissed for procedural reasons. My question, perhaps through Mr Geurts to the Minister, is: can you not do everything you can to end that Gelders feud to the great peace of Gelders equestrian country?
ParlaMint-NL_2018-11-01-tweedekamer-8.u10	This is actually a question for the Minister, but Mr Geurts is free to answer it.
ParlaMint-NL_2018-11-01-tweedekamer-8.u11	If that question is asked to a Gelders MP and it is about the Gelders horse, at least I would like to express my pride about the Gelders horse. I think it is a good thing that the Minister, in her capacity to use Mr De Groot's words, solves the feud. Everything else is going well in our province.
