ParlaMint-NL_2018-10-18-tweedekamer-17.u1	The next item is the continuation of the budget debate on VWS.
ParlaMint-NL_2018-10-18-tweedekamer-17.u2	We're ready for the first term of office. Before I give the floor to the VWS Minister, I would like to say that after him the Minister for Medical Care will speak and then the Secretary of State of the United States of America. Mr Agema has asked me to say something briefly because it will save a lot of interruptions, and I, as President, am very pleased with that. Mrs. Agema.
ParlaMint-NL_2018-10-18-tweedekamer-17.u3	Thank you, Mr. Chairman. Last year I was actually standing here with the same message. We have received written answers to a number of questions, but I am not happy with them. Answers are given to questions that I have not asked or my words are distorted, which makes it easy to answer, whereas that is not really what I meant. I am bothered by that, all the more so because there are a number of people there who work very hard, not these people; last night there were other people sitting there and writing down my words. So my words are literally recorded and yet I get answers to questions I have not asked. I find that annoying, because these pieces end up in the Acts as well. Normally I would fly forward with each of those things and interrupt them, but I'm not really going to do that. I made this point last year and I'm making it again now. I don't think my integrity can be compromised. I'm asking questions, and I'd like them answered. I do not want answers to questions I have not asked or whose words are distorted. I will leave it at that and in the second term I will draw conclusions, but I really do not think that this is the way things are going.
ParlaMint-NL_2018-10-18-tweedekamer-17.u4	Thank you. It's up to the Minister to respond. It wasn't really a question, but I'm giving him the opportunity to start the answer.
ParlaMint-NL_2018-10-18-tweedekamer-17.u5	I would like to respond to that, Mr President. Yesterday there was until deep into the night by I do not know how many people in the beautiful department of VWS worked with heart and soul to answer the questions, so that it managed to answer all the questions as they were asked yesterday. If a question has not been answered correctly or if a question has been misunderstood, that can happen. Let me address myself to it, but let us not take anything away from the many work done by all the people of VWS.
ParlaMint-NL_2018-10-18-tweedekamer-17.u6	Actually, I mean this kind of thing. I do not diminish the work done on VWS, but my words and the questions I have asked have been literally recorded. If then answers are then given to questions that I have not asked or if my words are distorted, which also leads to an answer that is not correct, I think I should be able to report it here. It's my integrity that's at stake. If there are answers to questions that I have not asked, in pieces that do end up in the Acts, my integrity will be compromised.
ParlaMint-NL_2018-10-18-tweedekamer-17.u7	Mr. Chairman. Let's get started. Yesterday we discussed the question of how to quote Mrs Ellemeet 'the most interesting budget of the government'. Of course, we do not say that to colleagues, but we do. First of all, I would like to thank all the right compliments to those who work in the care sector, but also thank you for all the questions that have been asked and for all the reflections that have sounded in your Chamber yesterday. We agree on a great deal: the importance of good, accessible and affordable care, with sufficient time and attention for clients and patients and as little administrative burden as possible. You received the answers in writing at the beginning of the afternoon. All the questions that have been asked were there more than 170 questions have been answered. On a number, which are more suitable for an oral hearing as well, we are happy to go into it today. I want to organize that myself as follows. Indeed, some of these questions are organised in themes. I will start with the issue of affordability in this cabinet period and in the longer term. The second theme is access to care and life with a limitation, partly following the story of the Ombudsman, the Court of Auditors and the SCP. Then I want to cluster the questions about care for the elderly. I would also like to comment on a number of prescriptive questions from various groups. Mr. Chairman. Before I go into the cubes, I would like to make a few introductory remarks. We've been working on that beautiful department with that beautiful wallet for almost a year. If you take the view that the core of our political work is to make a difference in people's lives, and I am committed to that view, then care is the most beautiful subject to be able to work on. It was a year in which colleagues Bruno Bruins, Paul Blokhuis and I were allowed to look into the concerns people have about care, and in the answer that is most appropriate, along with that concern. In practice, like your Chamber, we have seen and heard many examples of beautiful, loving and personalised care. Take care that you would choose for your own parents, which you would want yourself if you needed it. In addition, we have also seen a lot of things that can and should be done better. On work visits I saw well-organised care, exactly fitting, aimed at the people who needed this care. No matter how complex this need for care was at times, it was nevertheless possible to organise that care. But I also got stories, in the mailbox and last night when I got home in the mailbox, with examples where it just doesn't work out to get the care organized properly. Yesterday, Mr Van der Staaij gave an intrusive example of a boy with autism who has been in a closed youth care institution for over a year. And that's gotta be different. We saw how smart applications often make people who need more care more self-reliant and less patient. Mrs Hermans told us about Marieke; Mr Rutte told us about Henny and Corien. These are wonderful examples of how cold technology helps to deliver warm care. Smart applications that also offer more space to our professionals. But we also see, like Mrs Hermans, that it is still not enough to deploy these applications on a wide scale. Several spokesmen have indicated that institutions are constantly reinventing the wheel for themselves. I spoke to a nurse who, after strictly removing the rules within the institution, said, "I just have an hour a day to do my job, to provide care. That's why I chose to take care of it." And that's beautiful, of course. But you talk so much more about the paperwork, telling how much of their time in the week goes on paper instead of care. Mrs. Sazias mentioned that, too. And then you think, "Why are we doing this to ourselves?" Who's gonna think that's necessary? All those sounds we heard yesterday in the contributions of the Chamber. Beautiful, moving stories on the one hand and sometimes poignant stories of what needs to be different and better. It shows that when we talk about care, it's best to speak with two words. There's a lot going well and there can be a lot better. 'Cause that does the most right thing to the care. Mr Raemakers was right to say that we have perhaps the best concern in Europe in the Netherlands. We have one of the best performing healthcare systems in the world. That's something to be grateful for. In every conversation with a foreign delegation, we are particularly admirably asked how we organize and pay for things here in the Netherlands, while we often have on the retina what needs to be done even better. And that is also right, because there can and should be much better. And by the way, if you don't manage to organize the care that is needed, then an international benchmark is not so crazy. Mr. Chairman. Back to the Netherlands. The visits we made, the discussions with the people at the table and the debates with your Chamber have resulted in a pact, twelve programmes and four main agreements. In doing so, we want to ensure that our care becomes noticeably better and remains good, affordable and accessible. Those programmes are in place and 2019 will be a year of work, of implementation, of implementation, of hands-on. The task is to say, I quote Mrs Bergkamp, that the actions we have planned are also felt. She said the improvements should be noticed. That is exactly what should be the key: to make things noticeably better for everyone who has to deal with care. "Take care of the people and the people," we have set out our mission in the introduction to the budget. And we do that together, together with you, with care and beyond. Nowhere in the department have we found a button on which we could push to radically change reality. I wish! Maybe we think here at this square kilometre in The Hague that this button could be the law, or the system or the money. But laws, systems and euros don't care. People do. I thought Mrs Agema's story made that very clear. She told the story yesterday about the last care her own parents experienced and the professional involvement. She said how meaningful that was to her parents, but also to herself. At that time, people make the quality of care, not the system. There are so many stories like that. Of course, laws get in the way sometimes. That's true. Systems don't always connect. That too is true. More money is always easy, of course. But the task is not so much to make the law or the system better, but above all to make reality better. That is what our policy is for. These programmes are intended for this purpose, with concrete objectives, concrete measures and concrete monitoring. Mr. Chairman. I'm going over to the cubes. I start with the affordability of care in the longer term. Mr Rutte sketched it strikingly yesterday. If you compare the images of demographic development, you can see that our country's demographics are changing dramatically. You used to be able to draw society into a pyramid. There were a lot of young people and very few elderly people. That pyramid gradually became a kind of onion in the nineties. And now you could say it's a pillar, a pillar, albeit with some bumpy edge. It may be a Corinthian pillar, but it is a pillar. People live longer. As they age, they often use multiple medications at the same time to keep chronic diseases at bay. Soon we'll have a lot of people to take care of, and actually no more people to do that job. The number of people with dementia will double in the coming years, until 2040. According to the future exploration of the RIVM, that number will increase from around 150,000 in 2015 to 330,000 in 2040. If you're trying to figure out what that means for the intensity of care, you know it's heavy. We already spend a lot of money on healthcare in the Netherlands. Net healthcare expenditure is over 71 billion this year. No, I have to say 'the financial year 2019', because it is in the budget before us. This is still excluding the own payments of about 5 billion, the budget-funded expenditure of over 3 billion and the care of municipalities, as it runs through the Municipal Fund from 2019. That amount is also about 5 billion. If you add all that up, you'll get a total spending ceiling of about 85 billion. These expenditures are also growing very rapidly. So next year it's 5 billion more compared to this year, but at the end of the cabinet period, healthcare spending is about 16.7 billion higher than in 2017, to provide everyone with good care. That is as much as we spent on agriculture, defence and development cooperation together every year. So the budget for development cooperation, the agricultural budget and the defence budget combined is the amount that will be added to this cabinet period for care. Already, 25 cents of every euro of public money we spend goes to healthcare. Let's compare it to something that costs a lot of money. A comparison like that always helps. Take the North/South line in Amsterdam. It's been 20 years. The cost was 3 billion. We'll give you exactly two weeks' care next year. An average adult pays €5.490 through contributions and taxes. So that's still without Wmo and youth care. In our work, it must certainly never be just about what costs anything. It's got to be about what's worth. Our health and care for those who love us are infinitely valuable, but our financial opportunities are not endless. That is why we have taken and will take a number of measures. First of all, these measures are aimed at ensuring the affordability of care for people who incur high healthcare costs and at preventing the accumulation of healthcare costs. The capital income adjustment for the Wlz is halved by January. The percentage of income included in the calculation of the own contribution has been reduced. Its own risk is frozen. And a subscription rate of €19 per month for the Wmo is introduced. Secondly, through the main agreements, Minister Bruins will thus go further into the increase in expenditure growth of 1.9 billion. Otherwise, this increase would not have been 16.7 billion but almost 2 billion higher. The same basic agreements agreed that it should be an ambition not to increase the cost of care for a multiannual period faster than the economy is growing. It's much higher now. A movement has been initiated towards the right care in the right place. Mr Bruins will go into this in a moment. This is how we keep the care affordable during this cabinet period, but we are not there yet. Some of you have referred to this in detail. We need to start thinking now to prepare the right choices for this cabinet period. Of course, we do this ourselves, in the department, in conversation with many people, including the signatories of the main agreements. But we also ask experts to consider how to keep our care affordable and accessible. Mr Slootweg asked for that. For example, we have asked the ESC to explore the increasing cost of care for the economy and its significance for the solidarity that underpins our system. At the request of your Chamber, we have asked the WRR to investigate the possibilities of keeping care expenditure manageable for the longer term, while also looking abroad. Of course, affordability and organisability are closely linked. So, following a motion by Mrs Bergkamp, we have a committee that will consider how to organise care at home, with substantially greater demand and not an increase in the number of people in the workforce. In this sum we have to prepare ourselves and prepare ourselves for the questions of affordability in the future.
ParlaMint-NL_2018-10-18-tweedekamer-17.u8	I have a very brief question for the Minister. He talks about summing up and thinking. I would point out to him that one of my questions has not been answered in writing. It has to do with the cost of a certain treatment. I thought: let me bring it to the attention of the House, because then perhaps there will be an opportunity to think about it during the debate. Then we can debate it later. It's about the cost of recovery operations in genital mutilation. I would be very grateful if that question could be answered.
ParlaMint-NL_2018-10-18-tweedekamer-17.u9	Mr Bruins replied to this question. Mr. Chairman. It is an achievement that our care is truly accessible to everyone. Not who or what you are or what you have on the couch decides what care you get. Mr Kerstens rightly said so yesterday. The care you need is available and accessible. I do not agree with what Mr Hijink said about this. Our system is characterised by the great degree of solidarity. We want to keep it that way. Healthy pays for sick. Young pays for old and high incomes pay for low incomes. That's how our entire system works. We would like to keep it that way, including for our children and grandchildren. I have another question in this block of Mrs Agema's on the Financial Review Standards Act that we have announced. Mrs Agema wonders why not just decide independently how much money is needed for its quality. Why a law to the Chamber to prevent this? This is, of course, due to the observations we have made on the new quality framework for nursing home care. Quality standards are drawn up independently by the field, or if one does not get out of it, by the Zorginstituut. Following registration in the Register of the Healthcare Institute, these standards can now automatically lead to substantial financial consequences. That actually happens without a political weighting, without a minister or without the power of the House of Representatives being able to influence it. The proposal for a financial review of quality standards enables a political weighting to be made between the added value for quality and the financial consequences for the quality standard. That is not the case at the moment, and that is what we want to do. Why? In order to restore the political primacy, where this type of trade-offs has taken place. It will work in such a way that the NZa makes a mandatory budget analysis and can thus identify these financial consequences. The Minister may then decide whether a quality standard with such a financial effect can be registered. The Chamber can therefore also appeal to the Minister. I think that is an important addition when it comes to the manageability of our spending. Mr. Chairman. Then I'm going to the second block and that's about the lives of people with disabilities and access to care. A large number of questions and a large number of reflections were devoted to what needs to be changed and what needs to be improved in access to care and support, including for people with disabilities. With the Wmo and the Youth Act in 2015, the previous cabinet deliberately opted for care and support close to home, organized on its own square kilometres and without all separate flows of money, but in conjunction with each other, with the municipality being the first and closest government. And it is certainly true that, after decentralisation, there can be a solid number of improvements in our system. Moreover, this was also the issue of decentralisation and hence the very reason why we want to opt for these decentralisations. Mr Kerstens asked about it, Mrs Bergkamp asked about it and Mr Slootweg asked about it, namely: what to do with the observations of the Ombudsman, the SCP and the Court of Auditors yesterday in Trouw? I am happy to deal with this later, because they say that access to care needs to be strengthened, and that is the case. Nevertheless, I would like to strike a balance in what also happens by, among other things, saying that SCP has been said about the way it works now. We know from customer experience research that almost 80% of the Wmo clients are able to find access to care and that most clients, about 75%, are satisfied with the conversation in the context of municipal research and the solutions that result from it. We know from the SCP that the experienced quality of care and support is approved by most clients, namely 81%. But we also know that about 20% of the Wmo clients don't like access at all. These are, for example, young people with a slightly intellectual disability. The healthcare system is not easy for everyone and professionals do not always listen carefully to the people who ask for care and support. And people don't always know that they can use an independent client supporter. This sometimes leads to the fact that the package of care and support that has been delivered does not quite fit them well. Your question was: but what actions have been launched since these reports? The first is that we work with municipalities on access to care with the association of district teams and with knowledge institutes. This is what we do in the various programmes, and this means that the quality of the district teams and the effectiveness of the district teams are strengthened. We support municipalities in different ways. The second, one important, is the work on client support. 55 million has been made available to better organise customer support in access and improve awareness of independent customer support. And there is expertise from client supporters to improve the support of particularly vulnerable groups such as young people with lvb in combination with behavioural issues. There are a number of pilots on which we are committed to the Full Life Programme. Of course, we are going to talk about this programme, but we are also doing a number of things in the social domain in the area of customer support. I pointed this out last week in the direction of Mrs Bergkamp. This includes that group of young people with lvb in combination with behavioural problems. In addition, we are also making a range of improvements in many programmes. I mention 18-min/18-plus, improvement of care, integral pgb et cetera. One more thing, Mr President, is that people sometimes don't know the way. Those people are gonna be in my mailbox, too. They also come to you in the mailbox. Then what we do is help people on their way. And we have also set up a support structure for this with the right window.
ParlaMint-NL_2018-10-18-tweedekamer-17.u10	This minister has launched a proposal to give 450 families with a child with severe multiple disability additional support in finding their way into the maze, say the maze that has become the care. That sounds very nice, but we read yesterday in the newspaper that one of the parents who spoke to the minister said: "Stay away with your plan. We were interested, but we are now saying: we really do not want this at all." In fact, he writes: I hope no one is going to report for this. Why? He says: this is another person that we are going to get to the front door and who is going to explain to us again what is happening and it is again an extra layer of people who are not going to care. How does the Minister respond to such a letter and what does he say to this parent?
ParlaMint-NL_2018-10-18-tweedekamer-17.u11	The first thing I'm gonna say to these parents is that I'd like to talk to them. It seems that the background to this idea has not come across sufficiently. We didn't come up with this on our own. We didn't think of that in the department. That is the Working Group We see you have been, with parents of very serious intellectual and multiple limited children, who, under the guidance of Ton Heerts, have come up with some very serious proposals to improve support for those parents. It's not about creating an extra layer. That's what I read in it: another person who doesn't care. No, it's about supporting, really supporting parents in just very complicated regulation, not only in what you have to formally regulate for care, but also in what you have to do together in the combination of care and family life. They've called that "a copilot," someone who can take control of the wheel for a while when it's getting too much for parents. We didn't think of that. Parents came up with that. They have asked whether we want to make this possible. And I said: yes, that seems to me a very sensible idea. Not only for parents of severely limited children, but also for complex autism, e.g. with severe behavioural problems, non-congenital brain injury. Then Mrs Bergkamp said: yes, but if you don't belong to these four groups, do you fall outside? No. Children are not always easy to classify, so we also want to set up such a pilot for other parents with a very complex support question, a complex care question for their child. I would very much like to explain that to this father, because I did read that letter and I was sorry that he reacted that way.
