ParlaMint-NL_2018-03-29-tweedekamer-10.u1	We continue with the VAO's deficit policy. I give the floor to Mr Kwint on behalf of the SP.
ParlaMint-NL_2018-03-29-tweedekamer-10.u2	I have good hope this time I'm gonna make it in two minutes. I have two proposals: one on the possible disappearance of jobs and facilities and the other on the risk that work pressure resources will eventually be used to overcome educational disadvantages as a result of the substantive choices made by the cabinet. Therefore, the next motion, by the way, with apologies for all the jargon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the G37 has achieved quality with the administrative arrangements for vve policy and that many initiatives have been launched to combat educational disadvantages, including broad provision for toddlers;]] [[Whereas the choice of one of the five scenarios may lead to redistributing effects and may result in the disappearance of initiatives that have been launched due to a lack of funding;]] [[calls on the government to identify what is going to disappear in the G37 as a result of the choice of a particular variant,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kwint, Mr Westerveld and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-80]]
ParlaMint-NL_2018-03-29-tweedekamer-10.u3	Then there is the motion on schools in difficult neighbourhoods in large cities, which are in danger of deteriorating considerably. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that due to redistributing effects there is a possibility that some schools will receive less money to combat educational disadvantage among their pupils;]] [[having noted that a work pressure agreement was concluded in February allowing schools to receive additional funding to reduce the workload;]] [[calls on the Government to ensure that, in schools with a large number of pupils at risk of educational disadvantage, the current means of combating educational disadvantage remain the same, so that schools are not forced to choose between combating educational disadvantage and tackling the workload,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kwint, Mr Westerveld and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-81]]
ParlaMint-NL_2018-03-29-tweedekamer-10.u4	Thank you, Mr. Chairman. In general discussions on educational disadvantages, the Minister has submitted a number of scenarios to us. But together with colleagues from the PvdA and the SP, among others, and a whole series of organisations, we are actually advocating a completely different system. That is why I am tabling two motions on behalf of these colleagues. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that childcare is fragmented and that this segregation facilitates;]] [[Whereas a single integrated provision reduces inequality of opportunity and strengthens the ongoing development to primary school;]] [[noting that there is a great deal of support for this in the sector organisations childcare, municipalities and the educational field;]] [[Whereas the Cabinet has developed different scenarios on pre-school education, but a model with an integral provision is lacking;]] [[calls on the Government to clarify the educational, social and financial implications of a single integrated provision for all young children,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that the various sectoral childcare organisations, the VNG, PO Council and BOinK have argued in favour of a pre-school provision for all toddlers and have calculated that sufficient resources are available to achieve this;]] [[calls on the Government, in consultation with these parties, to examine the possibility of making a pre-school offer of at least 16 hours for all toddlers,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Westerveld, Mr Kwint and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-82]] [[This motion has been proposed by Mr Westerveld, Mr Kwint and Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-83]]
ParlaMint-NL_2018-03-29-tweedekamer-10.u5	Then I have a third short motion, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that bass schools have to repay EUR 32 million in late payments as a result of strict checks on the administration of the weight regime;]] [[Whereas, in the event of doubt as to whether the information is correct, the burden of proof lies with schools;]] [[calls on the government to look again at the recoveries and in cases where there is doubt as to whether the administration was deliberately incomplete, to be helpful and to find a solution with the school,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Westerveld. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-84]]
ParlaMint-NL_2018-03-29-tweedekamer-10.u6	Thank you, Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that early and early school education can make a major contribution to combating inequality of opportunity and preventing educational disadvantages at a young age;]] [[Whereas the adopted Yücel c.s. in June 2016, asked the government to improve the ability of smaller municipalities to offer good vve-spots for children with disabilities, without affecting the budget of larger municipalities and without cutting down on educational deficits;]] [[calls on the Government to implement this Chamber's ruling in a way that allows municipalities to maintain their vve facilities and does not require the destruction of facilities,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government has developed a new indicator for determining the risk of educational disadvantages and has presented scenarios for the distribution of available financial resources for municipalities and schools;]] [[whereas the Yücel c.s. motion from 2015 called for a new indicator to be developed for the distribution of educational resources;]] [[Whereas, according to this motion, it was also necessary to examine the resources needed for an effective and nationally-enabled VVE offer for all target children;]] [[believes that wherever you live in the Netherlands, every student should be sure of equal opportunities in education and that delays should be prevented and addressed;]] [[Calls on the Government, in consultation with the PO Council and municipalities, to identify what is needed for a genuinely effective and national coverage of disadvantaged pupils;]] [[Invites the Government to make a roadmap and to offer the Chamber before Princess Day 2018 on a truly effective and nationwide coverage offer for disadvantaged students,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-85]] [[This motion was tabled by Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27020-86]]
ParlaMint-NL_2018-03-29-tweedekamer-10.u7	Thank you. We are waiting for the final motion, but the Minister can start. The Minister has the floor.
ParlaMint-NL_2018-03-29-tweedekamer-10.u8	Thank you, Mr President, for the motions that have been tabled. This too was an interesting general discussion, which will be followed up as soon as possible from my side. I have indicated to you what timetable we are in in order to ultimately ensure that we arrive at a new indicator as soon as possible and a new distribution system that will result from it, with all the choices that have been made. I'm going straight to the motions, first of all the motion-Kwint c.s. in piece No. 80, with the request to identify what is going to disappear in the G37 jobs and pre-school and early-school facilities as a result of the choice of a particular variant. I advise against this motion. As you know, I will of course present you with a choice which will also have consequences, both for the amounts that go to the school boards and for the amounts that go to the municipalities. I have also indicated that each municipality itself must be able to make choices regarding the offer they want to maintain in their own municipality for this target group. This is a choice that is also explicitly made by the municipalities themselves. It is up to us to make it clear as soon as possible what our choice is, what the Chamber will eventually have to decide on, with the amounts that go with it. However, I have promised the Chamber that I will ensure a broad transitional period if there is a reduction in the budget for schools or municipalities. This is inevitable in the case of redistribution. They will then have ample time to take action if necessary. The motion-Kwint c.s. in piece No. 81 calls on the Government to ensure that, in schools with a large number of pupils at risk of educational disadvantage, the current means of combating educational disadvantage remain the same, so that schools are not forced to choose between combating educational disadvantage and tackling the workload. I also advise against this motion. We're gonna make a choice, as I just said. This will mean that financial resources go to schools and municipalities, but as I have indicated in general consultation: if a municipality feels that more is needed for the choices it makes, there is full scope for doing so. You know that there is still quite a large budget going to the municipalities as an accessory, in which they have free choices. So I also advise against this motion.
ParlaMint-NL_2018-03-29-tweedekamer-10.u9	This is about programs within the schools. They are, to a large extent, educational programmes, especially in the neighbourhoods where children are most vulnerable to an educational disadvantage. Then it's weird to take money out of there on the one hand and say on the other: we're gonna do something for the workload. That goes through the lumpsum again. The Minister can tell how that's gonna work out, right? What is taken with one hand is given with the other. Eventually, you may wonder if you'll do something for both the teacher and the undergraduate.
ParlaMint-NL_2018-03-29-tweedekamer-10.u10	As a result of the general consultation, I see it as my next task to ensure that ultimately a choice is made in the way we distribute the available resources. It is becoming more money, because this cabinet also invests extra. That is what we stand for now. I would ask Mr Kwint to wait until that letter with that choice lands with you. Then we will continue the debate on the basis of the views of the Chamber on the consequences of that choice. You are then again in a position to judge it. What Mr Kwint is actually doing is to draw the discussion on this subject to this continuing general discussion, while there is still no definitive choice on the basis of which we can actually talk about where we are going.
ParlaMint-NL_2018-03-29-tweedekamer-10.u11	Your request is to hold the motion.
