ParlaMint-NL_2018-01-18-tweedekamer-2.u1	I give the floor to Mrs Van den Hul as the first speaker on behalf of the PvdA.
ParlaMint-NL_2018-01-18-tweedekamer-2.u2	Thank you, Mr. Chairman. Each student is sorry for my vote and deserves the best education in the MBO. The best education is or is also in the MBO with the best teacher who has been equipped for that purpose, with as little work pressure as possible and of course as little teacher shortage as possible. We see this in other educational sectors and also in the MBO. That is why I have two motions on the AO we had. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in its Opinion on Future Vocational Education, the Economic and Social Council concluded that the workload for MBO teachers should be reduced and that this would cost time and money;]] [[Considering that many MBO trainings burden their teachers unnecessarily by imposing too strict an hour standard on the institutions so that they schedule much more contact hours;]] [[Furthermore, considering that MBO institutions devote a significantly lower share of their funding to the primary process than is the case in the other education sectors;]] [[Calls on the Government to examine in spring 2018 for which part the necessary reduction of workload for MBO teachers can be achieved by:]] [[more flexible enforcement of the hours standard in the MBO;]] [[a greater share of the funding used for the primary process;]] [[extra-remuneration fees for the institutions;]] [[and, on this basis, to formulate a roadmap to effectively reduce the workload,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31524-343]]
ParlaMint-NL_2018-01-18-tweedekamer-2.u3	Certainly, Mr. Chairman. I have tabled a motion to the budget which certainly calls for a discussion on the hour standard, because the possibilities are there to use it lower, but are not used. What's the difference with this motion?
ParlaMint-NL_2018-01-18-tweedekamer-2.u4	A proposal for a concrete roadmap which we would like to see before spring.
ParlaMint-NL_2018-01-18-tweedekamer-2.u5	Thank you. You had another motion?
ParlaMint-NL_2018-01-18-tweedekamer-2.u6	I think that was in my motion, too.
ParlaMint-NL_2018-01-18-tweedekamer-2.u7	Please continue.
ParlaMint-NL_2018-01-18-tweedekamer-2.u8	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, within the MBO too, teachers' shortages are likely to assume such proportions;]] [[Considering that especially in the MBO side-intromers can make a valuable contribution to reducing this problem, since they can add their own value to training with recent knowledge and experience from professional practice;]] [[having also noted that only 470 side-intromers po, vo and mbo together are available;]] [[calls on the government to substantially increase the budget for side-inflow grants for MBO in order to tackle the teacher shortage,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van den Hul. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31524-344]]
ParlaMint-NL_2018-01-18-tweedekamer-2.u9	Mr. Chairman. During the debate on the MBO, the Minister said nice things. But when it comes to tackling the shortage of teachers, for example, we really need to make haste, says GroenLinks. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a danger of a teacher shortage in the MBO;]] [[Whereas they are able to cope with part of this shortage of teachers;]] [[having noted that more applications for the side-inflow path were made in 2016 and 2017 than could be met;]] [[calls on the Government to consider whether the subsidy ceiling for side-intromers in the MBO can be increased through the non-legally compulsory part of Article 9 of the OCW budget, without compromising the subsidy for side-intromers in primary and secondary education,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Westerveld and Mr Özdil. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31524-345]]
ParlaMint-NL_2018-01-18-tweedekamer-2.u10	Thank you, Mr. Chairman. I would also like to table a motion together with Mr Van Meenen of D66 on strengthening the rights of employees and students on the MBO. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas participation of students and staff improves the quality of education and ensures greater involvement in the institution and training;]] [[noting that, unlike higher education in the MBO, only a participation council at institution level is legally required;]] [[calls on the Government to consider how to strengthen participation in the MBO and also to consider the possibilities for decentralised participation at, for example, the level of establishment;]] [[calls on the Government to include the rights and support of the individual participatory press in this investigation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Westerveld and Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31524-346]]
ParlaMint-NL_2018-01-18-tweedekamer-2.u11	And finally, a point about the internships, Mr. Chairman. Because for years, one in five students has struggled with finding an internship place, while that internship place is mandatory. As far as we are concerned, we really need to do something about that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that an internship for an MBO student of the vocational training pathway (student) is a compulsory part of the curriculum;]] [[Considering that one in five MBO students has had difficulty finding an internship since 2008;]] [[Whereas business has a responsibility to provide sufficient internships for MBO students;]] [[calls on the government to engage with industry and the MBO Council with a view to a plan of action to increase the number of placements,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Westerveld and Mr Özdil. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31524-347]]
