ParlaMint-NL_2018-11-20-tweedekamer-26.u1	The next item is VAO Terrorism, with Mr De Graaf of the PVV as the first speaker.
ParlaMint-NL_2018-11-20-tweedekamer-26.u2	Thank you, Mr. Chairman. Even though there is the Justice and Security budget today and there is also a part of terrorism in it, I thought it was important to clarify one issue for this report of general consultation so that it does not have to be discussed again later because, I think, it does not fit fully in that setting. I have a motion on caliphate children and jihad women. That story, that situation has been going on for a while. The NCTV and also the AIVD have said things about that. That's why I have the next motion; I won't riddle any further. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are women who have chosen to stay in the IS Caliphate and that children in IS area are indoctrinated and used by IS to commit violence;]] [[noting that both the AIVD and NCTV indicated in a report that minor children from IS area could commit attacks;]] [[Whereas the security of our country should not be subject to any risk;]] [[Whereas the Minister refuses to take a stand on this matter;]] [[noting that the campaign of the subsidised sadness industry to bring caliphate children and their parents to the Netherlands is coming on steam;]] [[calls on the government to ensure that so-called jihad brides and their caliphate children never come to the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-476]]
ParlaMint-NL_2018-11-20-tweedekamer-26.u3	Thank you, Madam President. I'll get to the same point, but I'll do it with a different angle. I am very concerned about those women and children who are in those camps and also about the fact that it has been said that those children and women may be taken away or taken away by the Syrian Democratic Forces and that they will be out of the picture with us. I think there is a greater danger to the Netherlands. That has led me to another motion, which I would like to make together with Mr Chicken. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, according to the Threat Picture of Terrorism in the Netherlands in September last year, the Syrian Democratic Forces are in danger of ending the care of Dutch women (and children);]] [[Whereas these women are then excluded from the public authorities and, moreover, remain unpunished;]] [[calls on the Government to examine how the return of Dutch women and children can be achieved through the intervention of Kurdish organisations and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Buitenweg and Mr Kuik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-477]]
ParlaMint-NL_2018-11-20-tweedekamer-26.u4	Thank you, Mr. Chairman. I have a number of motions, which deal in particular with the extremist and terrorist threat from right-wing extremistism. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the NCTV says that "watching the potential destruction from right-wing extremist and terrorist angles, it remains of the utmost importance to follow the threat as closely as possible and to remove it wherever possible";]] [[noting that the NCTV says at the same time that we do not know how extensive right-wing extremist violence is, inter alia, because of a flawed European overview of right-wing extremist data;]] [[calls on the Government to promote, at European level, an overview of right-wing extremist data and thereby a better understanding of right-wing extremist violence,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the research office RAND concluded in its study on the evaluation of counter-terrorism measures that several improvements could be made;]] [[believes that it is essential for our security to understand the effectiveness of counter-terrorism measures as well as possible;]] [[calls on the Government, on the basis of RAND's recommendations, to make efforts to improve measures to improve the quality of the evaluation of counter-terrorism measures,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the government has an Integral Approach Jihadism Action Programme, which focuses on the resilience of (local) government parties, of first-line professionals, of young people and their environment and the resilience to extremist messages;]] [[noting that the NCTV states that "watching the potential destruction from right-wing extremist and terrorist angles, it remains of the utmost importance to follow the threat as closely as possible and to remove it wherever possible";]] [[calls on the Government to draw up an integrated action programme on legal extremism,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-478]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-479]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29754-480]]
ParlaMint-NL_2018-11-20-tweedekamer-26.u5	Then the last one, Mr. Chairman. The Chamber, heard the debate, noting that reports from the security services show that the discussion about Black Piet is triggering the right-wing extremist threat; Considers that the lack of moral leadership on the part of the government will allow extreme right-wing parties to take advantage of this discussion to sow divisions, hatred and violence; Noting that fellow member of the Christian Union said Gert-Jan Segers: "So we can say goodbye to the Black Piet, who, without many of us knowing that, has long caused pain and sorrow.'; Noting that Mr Klaver also said: "That is why I call on all party leaders and the Prime Minister to distance themselves from racism and violence.'; calls on the government to engage in talks with municipalities and civil society organisations with a view to reaching an inclusive Sinterklaas party without the racist caricature of Zwarte Piet through dialogue, and goes to the order of the day.
ParlaMint-NL_2018-11-20-tweedekamer-26.u6	I note that it is somewhat unusual to discuss fellow chamber members in this way in motions. My question is therefore whether the submission of this motion is sufficiently supported. I don't see sufficient support for filing this motion, Mr. Azarkan.
ParlaMint-NL_2018-11-20-tweedekamer-26.u7	What is the number that should support her? I saw two.
ParlaMint-NL_2018-11-20-tweedekamer-26.u8	Five, and you're one of them yourself. And I see Mrs. Buitenweg.
ParlaMint-NL_2018-11-20-tweedekamer-26.u9	I see the D66 colleagues. They don't support her? The VVD isn't? The CDA isn't? It's possible. That's democracy. Then she goes back. That's how it works.
ParlaMint-NL_2018-11-20-tweedekamer-26.u10	Yeah, you don't have enough support to file her. Mr Sjoerdsma has a question.
ParlaMint-NL_2018-11-20-tweedekamer-26.u11	I would like to help Mr Azarkan. I think there really is a small part of the motion that he should and perhaps he can change. He might even be able to do that here behind the cathedral. Then I shall wholeheartedly support the tabling of this motion.
ParlaMint-NL_2018-11-20-tweedekamer-26.u12	Then what is your request? At what point? The names out?
ParlaMint-NL_2018-11-20-tweedekamer-26.u13	Mr President, I'd be happy to. If that pulls the D66 colleagues across the line, I will.
ParlaMint-NL_2018-11-20-tweedekamer-26.u14	That's the only thing, Mr. Chairman. For the rest, I'd like to support all the motions, but I like it if those names can come out.
ParlaMint-NL_2018-11-20-tweedekamer-26.u15	That goes for us, too.
ParlaMint-NL_2018-11-20-tweedekamer-26.u16	Sure.
ParlaMint-NL_2018-11-20-tweedekamer-26.u17	Okay. That's what you're admitting, Mr. Azarkan. Then there is sufficient support for the tabling of this motion.
ParlaMint-NL_2018-11-20-tweedekamer-26.u18	Thank you, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that reports from the security services show that the discussion about Black Piet is triggering the right-wing extremist threat;]] [[Considers that the lack of moral leadership on the part of the government will allow extreme right-wing parties to take advantage of this discussion to sow divisions, hatred and violence;]] [[calls on the government to engage in talks with municipalities and civil society organisations with a view to reaching an inclusive Sinterklaas party without the racist caricature of Zwarte Piet through dialogue,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. file/29754]]
ParlaMint-NL_2018-11-20-tweedekamer-26.u19	President. - I call the Group of the European People's Party (Christian-Democratic
