ParlaMint-NL_2018-09-11-tweedekamer-22.u1	The next item is the Act Register of Educational Participants.
ParlaMint-NL_2018-09-11-tweedekamer-22.u2	I welcome the Minister and give the floor first to Mr Rog of the CDA.
ParlaMint-NL_2018-09-11-tweedekamer-22.u3	Mr. Chairman. This was actually a hammer piece, but in response to a letter from the PO Council, the CDA Group asked for a brief plenary discussion of the Register of Educational Participants Bill. The point of discussion concerns whether or not to add the administrative number of the secondary school to the data set provided by primary schools on the study results of their former pupils. With this information, primary schools can test the quality of their school advice. The law now states that the primary school may ask the secondary school at the end of the first year of school to provide the study results of former pupils. This bill will ensure that primary schools will now receive a feedback on the first three years of their former pupils in secondary education. The CDA welcomes the fact that we are extending the feedback from one year to three years, as this will give us a better understanding of the quality of the school advice provided by the primary school. In addition, the school leader and the primary school teachers' team can draw lessons from this. However, we do not understand why this feedback from now on only contains data on the school year, the type of school and the learning path or the exit profile in the secondary special education, and not on the school to which this pupil has gone. The primary schools know which secondary schools their pupils attend after elementary school. Then why shouldn't they know which school their former students attend in second and third years of high school? In addition, we can very well imagine that it is relevant for primary school to know which secondary school it is about when assessing the quality of the school advice. That is certainly the case when one group of students, for example, does better or worse than the other group. Look at the students going to the havo. If one learner goes to one school and the other learner goes to another and there is a lot more outflowing or more students stay in one school, because they do not seem to have the right level, while the students who went to the other school do, then that can also say something about further education. That also seems relevant to me to know for primary schools. It seems to us that we can actually improve the analysis of the quality of the school advice, especially now that primary schools can watch for three years. However, the Minister states in the letter of amendment that adding the administrative number of the secondary school is not strictly necessary for the analysis of the quality of the school advice. Then how does he assess the arguments that we put forward? After all, is this not about the overall quality of the school advice? It's not just about the individual students, is it? It is also about improving equality of opportunity. In addition, primary schools are paid for the quality of the school advice. Then why is it not possible to add the administrative number of the secondary school, my group asks the Minister. We are therefore considering tabling a motion for a resolution to that effect.
ParlaMint-NL_2018-09-11-tweedekamer-22.u4	Thank you. I shall then give the floor to Mrs Westerveld van GroenLinks.
ParlaMint-NL_2018-09-11-tweedekamer-22.u5	Thank you, Mr. Chairman. We have been talking about this for years, but inequality of opportunity in education remains a very persistent and very versatile problem. We haven't found the solution yet. If only it were so easy to make a law here, so that every child in future has an equal opportunity in education, regardless of the education of the parents, the family situation or the place of residence. Unfortunately, reality is more complex, but that does not relieve us of the responsibility to dwell on inequality in education and to think about solutions. In part, inequality of opportunity comes from the fact that children who are cognitively at the same level and who should, in theory, have the same school results or sometimes have the same ones, are still assessed differently. So it's not so crazy that some kids are subconsciously misjudged. Yet these children deserve equal opportunities. Mr. Chairman. Today, we are discussing a bill that contributes to this or a part of the bill that can help teachers in primary education to receive feedback on the school advice, so that the teacher knows how his or her former pupils perform in the secondary education. This allows the school with the teachers to improve the process of giving school advice to future students. In a letter the PO-Council wrote to us that he also wants primary schools not only to know how the former pupil is doing in secondary education, but also to find out which secondary school he or she is in, so I quote from the letter "possible notable differences of results." I'll ask the Minister how he looks at this. Is this necessary for primary schools and teachers to improve the delivery of school advice? Is this knowledge necessary? What does that knowledge add? What does the privacy laws say about this? Could this be possible from a privacy point of view? Mr. Chairman. We also reach out to messages that express concerns about privacy in the current bill. My group believes it is important to have this issue clear as well. Is it true that this law allows the Minister himself to decide, whenever he so wishes, to adapt the collected data of pupils? What happens if a student or parent doesn't want data to be returned? I would like an answer from the Minister to this question. For GroenLinks, equality of opportunity in education is a very important starting point, as is the privacy of students. We hope that this bill will contribute to equality of opportunity and that this will not be at the expense of children's privacy.
ParlaMint-NL_2018-09-11-tweedekamer-22.u6	Thank you. Then I'll go to Mrs. Tielen of the VVD.
ParlaMint-NL_2018-09-11-tweedekamer-22.u7	Thank you, Mr. Chairman. The basic register of educators, now about 17 years old, looks a bit like the bookcase in my study at home. Ever started in a clear and functional way, but after many years of rebuilding and refurbishing shelves, drawers in and out again, the right hand side with the left side is now large and complex and I'm not sure if he's doing what he needs to do, saving books. So it is also the same with the basic register of participants in education. It was once one of the first automated projects. Now it has become somewhat unclear and may not be the best solution to the task. The VVD is therefore positive about this bill, which aims to create more simplicity and logic in the system. This helps to reduce unnecessary bureaucracy. And who doesn't want that? This room as a whole is, I think. Mr. Chairman. Of course, my group still has a number of questions on three subjects. First of all, it is convincingly stated in the proposal that this new law creates more opportunities for digital education and examination. The VVD would like to know from the Minister what ambition he has in this area and whether he can make concrete what steps he has in mind. How can this law contribute to greater flexibility for students and students? Can the Minister undertake to give explicit consideration to how digital opportunities can be addressed in the review of this law? Secondly, I have questions about the opportunities of this bill with regard to reducing school absenteeism. The VVD considers that too little policy-relevant information is yet to be collected in the field of absenteeism and early school leaving, while the register has the tools to do so. The VVD fears that there is still far too much hidden outage. Is the Minister prepared to raise more national figures, of course anonymised, and use them for evaluation and improvement plans, so that we can make much better and much more effective efforts to reduce failures and failures? Finally. In addition, it is widely known that the government has no spotless reputation for innovations in databases and similar ICT innovations. I would like to receive an undertaking from the Minister that he will regularly inform the Chamber about the progress of the implementation after the adoption of this bill. In doing so, we would like to draw specific attention to the use of the new digital possibilities, the cost and the privacy of the educational participants. Specifically about the latter: to what extent is or will it become possible for each educational participant to have access to his or her stored data? Can the Minister confirm that no more data is collected than is laid down in the law? I'd like a response.
ParlaMint-NL_2018-09-11-tweedekamer-22.u8	Thank you. Then I give the floor to Mr Bertema of the PVV.
ParlaMint-NL_2018-09-11-tweedekamer-22.u9	Thank you, Mr. Chairman. This bill integrates a number of existing registers at DUO, the Implementation Education Department. In terms of content, it is not a new register. We therefore believe that this proposal is purely to streamline existing registers. This creates a more coherent information structure. Previously, the exchange of information was mainly sector-specific. This proposal will involve cross-sector and domain data traffic. That is progress, according to the explanatory statement. But is that really true? The fact that this bill was rejected by the CDA gives us the opportunity to ask the Minister some questions about the objections raised by the Council of State. The Council of State even goes so far as to recommend that this bill should not be sent to the House of Representatives until these objections have been taken into account. Then came a letter of amendment. I was the most affected by this: of course, everyone wants more simplicity and accessibility of legislation, but education is highly sectoral. For this reason, the Council of State states that a general law on education is more complicated precisely because of sectoral diversity than a sectoral regulation and, moreover, that the layering of the scheme is increasing rather than decreasing. Does the Register of Educational Participants Act actually provide a significant improvement in approachability, transparency, regulation and regulation, as promised by the explanatory memorandum? Or is it actually becoming more complicated and layered by the sectoral diversity that exists in education? Does the letter of amendment sufficiently respond to the concerns? Can the Minister reflect on that for a moment? Is it perhaps appropriate to refer the amendments made to the Council of State again, also in order to avoid any possible reservations in the Upper Chamber? Thanks to the CDA we are here tonight, not without reason. I agree with the motives of my colleague Rog. The motion adopted by Van Meenen, Rog and Klaver was not included in the bill. Despite the fact that we did not vote in favour of this motion, it was adopted. This bill goes for the proposers of the motion, or at least for one of the proposers, the CDA, so not far enough. In the spirit of the motion, the registration numbers of pupils in secondary education should also be included. Is this gonna happen? I'd like a response from the Minister. Finally, Mr President. Working on improving the quality of school advice should also be possible. Surely it should be possible for all individual performance data to be shared with primary schools? It must also be possible to discuss with parents exactly what information is then shared. Finally, none of this would have been necessary if we had kept in honour of the unsavory Cito test that wonderful matching instrument we defended until the last time, but unfortunately has been abolished by this Chamber. Mr President, that aside, I just wanted to say that.
ParlaMint-NL_2018-09-11-tweedekamer-22.u10	Very good. Thank you. Then I give the floor to Mr Kwint of the SP.
ParlaMint-NL_2018-09-11-tweedekamer-22.u11	Thank you, Mr. Chairman. Today the SP can make it short. We support the objective of this law. Merging all registers in which data are collected is not only practical, but also sensible. We believe that one law and one way of dealing with the personal data of educational participants also reduces the risk of errors in implementation. A simpler version is often also a less risky version. Well, we do have a few more questions. For example, there is talk of third parties who are given the personal number, but this will only be dealt with later by a general measure of governance. We are wondering which third parties we should think of more. Wouldn't it make more sense, then, that the Council of State has already referred to the fact that the purposes for which that data is to be used are laid down in a law, and not in underlying rules that would later come to the Chamber if we wanted to? Then you immediately know what else such a register could be used for. I wonder why that wasn't chosen. The debate on the system and the implementation to which it is applied is now separated, but we can imagine that these two are rather connected in practice. For what is the procedure to be followed in the future if the government wants to use data for something or change the scope of the register? If I am not mistaken, there will be a general measure of governance or a test by the Personal Data Authority. Is there going to be any further treatment in the Chamber? In this way, the Court is in any case in control of decision-making: if it wishes, we can always decide not to do anything. Finally. Why has it now been decided, for example, to automatically link traceable personal data from high school students back to their old primary school? Can't it be simple to ask permission when a student leaves primary school? The moment you choose to do so, you leave the choice with the parent and the student who goes to high school. I can't think of one-two-three of these serious reasons why a parent or a student would object to this, but that doesn't mean it's not neat to ask. This way you control your personal data yourself. Thank you.
