ParlaMint-NL_2018-09-21-tweedekamer-10.u1	Before we vote, I give the floor to Mr Van der Staaij.
ParlaMint-NL_2018-09-21-tweedekamer-10.u2	Thank you, Mr. Chairman. Mr Wilders and I are only in the General Reviews for the 21st time.
ParlaMint-NL_2018-09-21-tweedekamer-10.u3	Me too.
ParlaMint-NL_2018-09-21-tweedekamer-10.u4	We have a little more time for that, just like you do. Thirty-seven minutes to the next moment after the committee's report.
ParlaMint-NL_2018-09-21-tweedekamer-10.u5	At the request of Mr Van der Staaij, I propose his motion (35000, No. 37). That is what is decided.
ParlaMint-NL_2018-09-21-tweedekamer-10.u6	Mrs. Thieme.
ParlaMint-NL_2018-09-21-tweedekamer-10.u7	Mr. Chairman. I'd like the motion on part number one. Twenty-six hold on.
ParlaMint-NL_2018-09-21-tweedekamer-10.u8	At the request of Mrs Thieme, I propose her motion (35000, No. 26). That is what is decided.
ParlaMint-NL_2018-09-21-tweedekamer-10.u9	Mr Öztürk.
ParlaMint-NL_2018-09-21-tweedekamer-10.u10	Mr. Chairman. I see two motions have been made. So we have all the time to discuss the motion in part no. 38 by roll call vote.
ParlaMint-NL_2018-09-21-tweedekamer-10.u11	That is Mr Kuzu's motion on item No. 38. Mr Baudet.
ParlaMint-NL_2018-09-21-tweedekamer-10.u12	Let me make a brief comment. We have just submitted written questions to the Prime Minister: on what points has he changed his mind and on what basis? Depending on his answers, we are considering doing this standard as a parliamentary question to each State Secretary and every minister after each plenary debate and debate: on what grounds have they changed their views?
ParlaMint-NL_2018-09-21-tweedekamer-10.u13	We're gonna vote.
