ParlaMint-NL_2018-10-30-eerstekamer-5.u1	I shall reopen the sitting and the debate on the General Political Reviews.
ParlaMint-NL_2018-10-30-eerstekamer-5.u2	When the sitting was suspended at 5:00 p.m. this afternoon, we were in the discussion of the group chairman of the CDA, Mr Brinkman. He is now going to pursue his argument. Mr Brinkman, you have the floor.
ParlaMint-NL_2018-10-30-eerstekamer-5.u3	Thank you. I would have stuck to the fact that, in my opinion, majority coalitions do not necessarily need to be ruled, provided that the minorities do not take an intransigent attitude either within or outside any coalition. In the meantime, budgetary developments continue to give cause for concern to our budgetary accountants. The agreements with the healthcare sector to moderate growth are good. It is also understandable that there are resistances to more own risk. But let's not blind ourselves. Insurance premiums continue to rise, and despite all the possibilities for demedification, desugaring, degreasing, robotisation and social and technological innovations, many view package reduction and differential as against a mountain, for example. Research after research continues to follow, but what do we leave behind and what does the cabinet leave behind for new generations? Hopefully, the cabinet will once again have the courage to engage in this broad and necessary social debate. After all, there is more than one end of life in politics. Madam President. It is often about the contribution that the administration can make to a decent and stable society in the First Chamber, but we know very well that we are only dealing with this to some extent. We are a small country, with open borders, and we depend on the woe and woe of our wider environment. We live in an unstable world. We can't keep that world out of the door. Even the mighty America comes no further than a powerless attempt to build a large wall around it. The idea that we could close our borders here is therefore at best a myth and at worst pure deceit. That is why we are obliged to work together across borders, to make agreements and to give and take them. Our most important arena for this work is the European Union. That arena has been spoken of with little love for years. We can all do that, but we have to realize that this is our most important arena. Only on a European scale do we have sufficient weight to defend and promote our interests and values in the world. Or is there still the idea that we can warn Google or China on our own for the last time? Madam President. I argue that our world view can no longer be the same as when I started at the Binnenhof. We live and in our home, our neighborhood, our city or our village and in the world, even if we thought to exist only on the www. And yet we must realise that citizens often do not see much of this useful function of the European Union. It doesn't protect them enough. In this way they can come to the conclusion that our national government cannot protect them and that the European Union does not want to protect them. Frankly, I do not always find the role of this cabinet clear on this point either. For example, the European Commission launched a plan to strengthen external border surveillance. There had to be 10,000 European customs officers to protect the border with Africa in particular. The Prime Minister, if I have seen it correctly, made it clear that this much effort was not meant to be. Border surveillance should not become a European task, because that would affect our sovereignty. Besides, he thought the bill was too high. Question is, what do we want? That the patchwork of the leaked border guard remains? That those holes in cheese stay and that the population explosion in Africa continues to search its way north? That we ourselves do not continue to succeed in actually shortening admission procedures with a clear yes or no on record, without endless judicial proceedings based on an increasingly obsoleet Refugee Convention? No, just for a good understanding, this is not about promoting unkindness or keeping a pure conscience. However, it is a question of maintaining the virtual and literal basis of support under a reasonable understanding of persistent migratory flows. What does the cabinet really want in this respect? Men and women who are going to serve at Frontex want to know what they are going to do, other than arrest people, send them back and arrest them again? Does Germany, Belgium and the Netherlands agree with the requirements of our inland countries and the facilities offered to us? And what will more cooperation with African countries in order to rebuild there with their own people mean? Madam President. Sometimes it seems that the cabinet unilaterally withdraws from the world order that has been established with the US since the Second World War and removes its institutions and agreements as an observation that something happens everywhere. No, this is a fundamental reversal of proportions. What does this cabinet want to do in the new, multipolar world? From a shooter's pit staring across the ocean or with an open vision, first, to bring Europe back together peacefully and productively? Madam President. In such a global perspective of uncertainty, pension here is perhaps a bagatelle compared to unrest and worse in the world. However, electoral risk management would require a higher acceleration of cabinet policy in this area. Do not let the cabinet stumble over banana peels, either at the old age's dining table or at the Brussels meeting tables. It doesn't have to be called vision, but what does the MP really think about Europe and the US in the new world order-in-the-making? That can't just be a breakdown, can it? Tradition is not for nothing, no matter how much news comes under the sun. Young people still have the future, but our generation, happy and quite tolerant, should not leave a mess. Madam President. I closed my still constructively meant but perhaps here and there some fashionably eclectic and disruptive remarks on behalf of our group with words that my foreseeable successor might have already spoken. Let me finish with the next one. New states will be elected in a few months' time. Then 400 years ago, their distant predecessors had a State translation of the Bible delivered to the people. Are those vistas back in time? No, because even then the age-old plea was held for the cultivation and preservation of the earth. That mission still stands for the future. So there is still plenty to do, as sustainability, among other things, brings with it ever more concrete tasks. Now increasing social stress and reducing 2 million people from the antidepressants memories of too much work failure in the nineties. No, we should not flee into a supposed paradise of a cloud full of vague, symbolic plans and false because empty promises. Implement well-funded and administratively well-thought-out policies, that's what it's about, and to take people with them in more of their own responsibility instead of speaking over their heads and hearts from the point of view of collectivity or merely letting them speak. What has fortunately turned out to be a good thing in recent decades should not go up in smoke of continuing to tolerate too easily, nor perish in bureaucratic catastrophes. In conclusion, therefore, may I ask this good Prime Minister to finish his work here?
ParlaMint-NL_2018-10-30-eerstekamer-5.u4	Thank you, Mr. Brinkman. I give the floor to Mrs Sent.
ParlaMint-NL_2018-10-30-eerstekamer-5.u5	Thank you, Mr. Chairman. I would like to congratulate the Cabinet on its first birthday. There is optimism that the cabinet will have its second birthday. There is therefore much to celebrate. Purchasing power is increasing, unemployment is falling and the economy is growing by 2.6%. But that doesn't say much about the reality of many people in the Netherlands. Why can't they join us at the birthday party? Because in a civilised country everyone should benefit, but that is not the case now. For example, our country has 320,000 working poor; that is 4.6% of all workers. Hundreds of thousands of children live in poverty; that is more than one in ten. There is loneliness among one in five single parents, and also more and more among young people. And behind those numbers are heartbreaking stories. Michiel can't afford his children's music lessons anymore. "The worst thing about poverty is that my mother has to cry when we have a financial setback," says a younger person. Brigitte has to do more and more in less time, under pressure from outsourcing the cleaning work, for little money. Edith can't afford her rental house because of successive rent increases, but she can't find another place. Mr. Chairman. Fine, such an increase in gross domestic product, but growth...
ParlaMint-NL_2018-10-30-eerstekamer-5.u6	Finish your sentence, Mrs. Sent.
ParlaMint-NL_2018-10-30-eerstekamer-5.u7	... but growth does not distinguish between good and bad economic activities.
ParlaMint-NL_2018-10-30-eerstekamer-5.u8	Mrs. Strik.
ParlaMint-NL_2018-10-30-eerstekamer-5.u9	Ms Sent indicated that it was a party for the cabinet, but that only too few people participated in it. She mentions a number of groups that should also participate. What do you think of the next generations? You are sketching people's lives now, but how can we ensure that this party will also be a celebration for generations in the future?
ParlaMint-NL_2018-10-30-eerstekamer-5.u10	I think that is a very good point. When we look at how a country does it, we have to use the concept of "wide prosperity." The concept of "wide prosperity" is about the people here, but also about the people in the future. They should be taken, too.
ParlaMint-NL_2018-10-30-eerstekamer-5.u11	Okay, good.
