ParlaMint-NL_2018-11-07-tweedekamer-7.u1	I call Mr Van Aalst of the PVV Group.
ParlaMint-NL_2018-11-07-tweedekamer-7.u2	Thank you, Mr President. We had a solid debate twice last Thursday and last night. The reason for having to have this debate was terrible. We have said together: we must now move forward as quickly as possible and see that we are going to get this lack of legislation as it is now in order to give clarity to everyone as well. So on behalf of the PVV the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the requirements for special vehicles do not distinguish between goods transport, individual transport, passenger transport and passenger transport for vulnerable groups such as children and disabled persons;]] [[noting, for example, that passenger transport in the regular target transport sector is subject to stricter requirements than individual transport and parcel delivery;]] [[calls on the Government to make a clear distinction in the new authorisation policy for special vehicles between the requirements for goods transport, individual transport, passenger transport and passenger transport for vulnerable groups such as children and disabled persons,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Aalst. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-619]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u3	Thank you, Mr. Chairman. A brief comment to the Minister: let us now take up the gauntlet with each other and come forward with new legislation in the very short term. This part really requires a great deal of urgency, given the terrible circumstances in which we had to request the debate. Thank you.
ParlaMint-NL_2018-11-07-tweedekamer-7.u4	Thank you, Mr. Van Aalst. I now give the floor to Mr Laçin of the SP Group. Oh, I'm sorry, I see Mr. Van Dijk of the PvdA suddenly flew in. Welcome and you'll have the floor right away.
ParlaMint-NL_2018-11-07-tweedekamer-7.u5	Mr President, thank you. I just made it. It was just running from one thing to another. I think we had a thorough general discussion on what happened after the fatal accident. As my group has also pointed out in the debate, we consider security to be of the utmost importance. But we also think it is important that we look closely at the situation in which the daycare centres are now affected and that unsafe situations can arise there. So that's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that by suspending Stint on the road, childcare organisations should find alternative ways to transport children;]] [[considers that a decision to suspend Stint should also provide a perspective for childcare organisations;]] [[Whereas parents should be sure that their children can be safely transported by childcare organisations;]] [[calls on the Government to identify as soon as possible the problems related to the safe transport of children in childcare organisations and, in consultation with experts and childcare organisations, to come up with a perspective to get the Stint back on the road safely and to inform the Chamber about this before the Road Safety Authority on 12 December,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Gijs van Dijk, Mr Remco Dijkstra, Mr von Martels and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-620]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u6	Mr. Chairman. I have four motions, so I'll start very quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that opinions of the RDW and SWOV on the admission of Stint on the public road were not followed in 2011;]] [[noting that these organisations have a great deal of knowledge and skills on the possible risks of new vehicles to road safety;]] [[calls on the Government to follow advice from the RDW, SWOV and other organisations involved in the admission of new vehicles and to inform the Chamber before decision-making takes place,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the category "special mopeds' has been created for vehicles such as the segway;]] [[noting that the development of the category "special mopeds" was based on small numbers of vehicles;]] [[noting that current laws and regulations have become obsolete compared to practice and that thousands of vehicles are now covered by the category "special moped";]] [[Whereas this category was not intended for vehicles capable of facilitating collective transport;]] [[Whereas new laws and rules for the category "special moped' are necessary;]] [[calls on the Government not to add new vehicles for collective transport to this category until new laws and rules have been laid down,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is unclear what testing framework the Ministry of IenW applies to applications for new vehicles or notification of changes to existing vehicles under the category "special moped';]] [[Whereas the review framework used should be clear so that producers have clarity in advance;]] [[Calls on the Government to share with the Chamber the review framework of the Ministry of IenW before 1 December 2018,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-621]] [[This motion was tabled by Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-622]] [[This motion was tabled by Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-623]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u7	Mr. Chairman. Finally. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that nurseries indicate that the suspension of Stint has resulted in additional costs and that the transport of children has not become safer;]] [[Whereas it is necessary to avoid financial difficulties in day care centres and to pass on the additional costs incurred to the parents of children receiving care;]] [[Calls on the Government to engage in discussions with industry organisations in childcare on possible solutions to this problem and to inform the Court of Justice about this for the Christmas holidays of 2018,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-624]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u8	Mr. Chairman. We have had a strong debate. I would like to say once again that I regret the way it has been, but a great deal was also about how it all happened. As far as the future of Stint and other future vehicles are concerned, I support the motions which Mr Dijkstra will put forward so immediately. I would very much like to call on the Minister to make the most of the European rules and categories of light-duty vehicles. The improvised goat path of the special moped turned out to be a bad idea. I'm not really waiting for an even more special moped. I am waiting for sensible, clear rules and demands that we can also enforce. The next motion is about how it happened and how we prevent it from happening again. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Ministry has authorised a vehicle intended for the carriage of small children for use on public roads;]] [[noting that the Minister acknowledges that this has not been monitored since the authorisation in 2011;]] [[considers that this is a highly undesirable situation and that the Minister has failed in her role as responsible supervisor;]] [[calls on the Government to identify new traffic risks to new vehicles in good time and to monitor whether the current laws and regulations are sufficient to mitigate them and to inform the Court annually,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger and Mr Laçin. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-625]]
ParlaMint-NL_2018-11-07-tweedekamer-7.u9	Thank you, Mr. Chairman.
ParlaMint-NL_2018-11-07-tweedekamer-7.u10	Thank you. I now give the floor to Mr Remco Dijkstra. He is speaking on behalf of the VVD Group. Go ahead.
ParlaMint-NL_2018-11-07-tweedekamer-7.u11	Thank you, Mr. Chairman. Two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas TNO is conducting technical research into the Stint;]] [[noting that this research is still pending for some time and that, among other things, nurseries would like to know what to do with their Stints;]] [[Considers that this TNO study should be carried out with care so that nurseries can safely re-use their Stints with any technical adjustments;]] [[Calls on the Government to urge TNO to complete its investigation of the Stints as soon as possible, so that any technical adjustments to the various variants of the Stints can be urgently addressed;]] [[invites the Government to inform the Chamber as soon as possible,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Stint falls into the category "special mopeds';]] [[noting that the category "special mopeds' does not impose special requirements on vehicles transporting persons;]] [[noting that more and more vehicles are on the market falling under the category "special mopeds';]] [[calls on the Government to speed up the review of the category of "special mopeds" or modernisation of existing legislation in order to allow innovative vehicles and not to inhibit innovation, at least as a matter of principle: road safety and regulatory clarity, the definition of responsibilities of market players and public authorities and clear supervision combined with adequate enforcement;]] [[calls on the Government to include Stint and other vehicles in the Road Safety Strategic Plan,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Remco Dijkstra, Mr von Martels, Mr Schonis, Mr Van der Graaf, Mr Gijs van Dijk and Mr Kröger.]] [[She's getting No. kst-29398-626]] [[This motion was proposed by Mr Remco Dijkstra, Mr von Martels, Mr Schonis, Mr Van der Graaf, Mr Gijs van Dijk and Mr Kröger.]] [[She's getting No. kst-29398-627]]
