ParlaMint-NL_2018-06-12-eerstekamer-4.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2018-06-12-eerstekamer-4.u2	I shall open the debate and give the floor to Mr Van Hattem. Ladies and gentlemen, please allow the Minister to listen to what is being said.
ParlaMint-NL_2018-06-12-eerstekamer-4.u3	Thank you, Mr. Chairman. Mr. Chairman. Finally, this Chamber today deals with the Law on partial ban on facial covering clothing. This will enable us to take the final step in the legislative process. After all, this proposal has a (too) long history at a time when Islamisation is taking place at an increasingly rapid pace. It was already in 2005 that the House of Representatives adopted the Wilders motion to ban the public use of the burka in the Netherlands. The then cabinet did not go beyond an investigation into the possibilities of a burka ban in 2006. In this study several variants were set out, the scope of the current legislative proposal being the least far-reaching variant: a general ban on all facial clothing in specific places. In the intervening years, successive Cabinets and various variants have proposed a ban on burkas and/or facial clothing, but this has not so far led to concrete legislation. So now there is this proposal. Geert Wilders and Sietse Fritsma also filed an initiative law on behalf of the PVV Group in 2007 to introduce a burka and nikab ban. This initiative law describes in detail why it is necessary for a democratic rule of law to ban burqas and nikabs in public places. Essentially, the following key arguments were mentioned. The burqa or the nikab is at odds with modernity. It is an expression of the rejection of Western core values and core standards, including the equivalence of men and women. Whether forced or voluntarily worn, they are a symbol of women's oppression and symbolize a subordinate role of women vis-à-vis men. The burka or nikab hinders the emancipation and integration of women into Dutch society. It makes participation in social life very difficult. There is a lower chance of training and a job and a greater chance of being dependent on a benefit. The burqa or nikab pose an undesirable safety risk. It reduces the sense of security of citizens and it removes among other things the effect of using security cameras. Examples of the use of the burqa as a disguise in terrorism and crime are also mentioned. One of the suspects of the terrorist attacks in London on 21 July 2005 tried to flee the city dressed in a burka. And in 2007 a bank was robbed in Sarajevo by two men dressed in a burqa. It was also argued that a ban could remove the social pressure from the environment on Muslim women to wear a burka or nikab and that it would remove problems with interpersonal communication. These arguments have not lost any weight after more than ten years; quite the contrary. In response to this PVV initiative law, the Council of State already stated that wearing facial clothing, even if the choice is based on the free will of the carrier, makes it difficult to communicate and to wear a burqa or nikab in so far as it hinders an open relationship between the carrier and its surroundings. The Council of State also shared the view that a burka's facial cover poses a safety risk, in particular because of the unrecognizability of the person wearing it. These elements also come back as a basis for the present legislative proposal, which, although it is a compromise with its general character and its limitation to specific places, is nevertheless a necessary step. This step is so necessary that the cabinet had designated this bill as "urgent." It is therefore noteworthy that the Minister needed no less than nine months to provide a further response to some of the questions raised by a small number of political groups. Why did this response of barely four and a half sides take so long, when the bill is urgent? We'd like to hear that from the Minister. In the time needed to reach this answer, several events have taken place in the world which illustrate why a burka ban is necessary. I will mention some of these examples. In July of last year, the news appeared that a suicide bomber, a man shrouded in a nikab, had blown himself up in the Iraqi capital Baghdad, resulting in 14 dead and 20 wounded. Last December, five men in burkas shrouded entered a government building in Pakistan and committed a terrorist attack with automatic weapons, with nine dead and thirty-five injured. And in the Australian Melbourne it was hit twice. In August a woman in a burka attacked a Subway sandwich shop with a big knife and last February a 56-year-old man was stabbed there in his sleep by a Bengal woman in a burka who had been inspired by ISIS for this act of terror. In Europe, too, there are the necessary examples of Islamic terror and violence involving burqas and nikabs. I mentioned the terrorist suspect in the London attacks in 2005. In 2006 another British terrorist suspect escaped into a burqa and in 2012 this scene repeated itself. The Somali terrorist suspect Mohammed Ahmed Mohamed, suspected of being involved in the Al-Shabaab terrorist network, managed to get rid of his electronic anklet in a mosque and escape into a burqa. I would like to give another example of this, but there is no doubt that there is much more to be found in this area, which took place last March in Dijon, France, where a woman in a burqa threatened people in the street, shops and in a cathedral with a large knife. It is not for nothing that more and more countries impose a burqa ban. In France Belgium, Austria, Bulgaria and the Swiss canton of Ticino a ban on wearing a burka is already in force and several other countries, such as Italy, Spain and Germany, took restrictive measures. And last week Denmark also decided to ban burkas. The Danish ban also extends to the public road. Several European countries have thus been able to introduce a ban on public space. That is therefore legally feasible. Can the Minister explain why the Netherlands does not yet want to take this step? Is she prepared to do this after all? Even in a number of largely Islamic countries in Africa, a burqa ban has already been decided, or they are considering it, as in Cameroon, Chad and Senegal. This region is experiencing the Islamic terror of Boko Haram. For example, in Chad at least 27 people were killed when two suicide bombers dressed in burkas blew themselves up. And even Morocco has decided to ban the manufacture and sale of burkas for safety reasons. While these measures are being taken in Morocco, Moroccan Muslims in the Netherlands are now more and more fanatic of Islamic ideology. A SCP report published last week shows, among other things, that Moroccan Muslims are increasingly wearing body-covering clothing: 78% now compared to 64% ten years ago, with an increase in younger generations as well. According to the report, a large part does that because they see it as an Islamic rule because of the rules of the Qur'an about covering parts of the body. The report also states that this can function as an identity marker. I quote: "a statement from Muslims to the outside world about being their Muslims." Professor of Sociology Ruud Koopmans stated earlier that wearing a veil is the best predictor of Muslim fundamentalism. I quote: "As tolerant Dutch people, we tend to think that the veil is an innocent patch of fabric. That's not right." Thus Koopmans, who has calculated that 55% of the couples whose women wear a veil is fundamentalistic. The signal by using a burka or nikab to cover the face to the outside world as an identity marker is a signal of accepting and facilitating women's oppression and social pressure within a community and environment and thereby an Islamic middle finger to our western society. Nevertheless, some parties in this Chamber still live in the ill-naïve idea that wearing a burqa stands for freedom. In the written round, the CDA, D66 and GroenLinks in particular raised the question of whether this ban should outweigh the freedom of religion. Freedom of women's oppression would be a better term. The PvdA made it even more colourful by explicitly worrying about restricting the freedom of a small group wearing face-covering clothing. What freedom? And how much is the freedom of our Western society not restricted by this Islamization? The Islamic action group Stay away from my nikab has apparently found a willing ear among these parties. In January 2017, this action group sent a joint statement on behalf of the Islamic community in the Netherlands that spoke out against this bill. This letter was signed by a whole bunch of notorious salafists and salafist organizations, such as Sheikh Fawaz Jneid, imam Abdul-Jabbar van de Ven, Arnoud van Doorn, the Hague As-Soennah mosque, Stichting Waqf and the Eindhoven Al-Fourqaan mosque, but also by all kinds of mosques that are owned by local authorities in particular, such as the collaboration of mosque authorities Brabant and Zeeland, the SMBZ. Among other things, I mention them at the El-Feth Mosque in Tilburg, the Mosque Arrahman in Breda, the Mosque Assalaam in Zundert, the Mosque Al-Taqwa in Etten-Leur, the Moroccan Islamic Centre in Roosendaal, the Mosque El-Feth in Bergen op Zoom, Stichting Arrahman Mosque in Goes, Stichting Touba Mosque in Vlissingen, Stichting Mosque Almohsinininin in Oosterhout, Stichting Al Rahman Mosque in Middelburg, as well as the Essalam Islamic Cultural Centre in Rotterdam, the ICC Essalam, the Blue Mosque in Amsterdam et cetera, et cetera. Read the letter again. What does this say about all these organizations and mosques? Salafistic or not, they all pursue the same Islam. The same Islamization that threatens our society and makes it necessary to de-islamize it. The burqa and the nikab are seen as commonplace in broad Islamic circles. The question to the Minister is how she looks at such a joint appeal from that Islamic community. What does this say about this community?
ParlaMint-NL_2018-06-12-eerstekamer-4.u4	Mr Van Hattem states that wearing the burqa and the nikab in broad Islamic circles is seen as normal. As I know, there are several hundred Muslim women in the Netherlands with the nikab and the burqa, about 0.1% of Islamic women. How does he reconcile his statements with these data?
ParlaMint-NL_2018-06-12-eerstekamer-4.u5	As such, they are consistent with the fact that it is not about the number of women involved, but about the fact that all these Islamic organizations I mention a whole procession of mosques and there were many more organizations in it that accept that these women walk with them, who accept that the burka and the nikab are worn. That's the point. They issue a joint statement on behalf of the Islamic community in the Netherlands. I haven't heard any of those organisations shout: yes, but that's not on our behalf. They support it, facilitate it and call with force to renounce this law. With this they express their support for carrying the burqa and the nikab, with broad support from the Islamic community, because almost every mosque in Brabant and Zeeland has already been mentioned plus a whole lot of others.
ParlaMint-NL_2018-06-12-eerstekamer-4.u6	I doubt that people who believe that the nikab should be allowed everywhere belong, from their beliefs, to a mainstream in the Islamic community. There are also certain parliamentary groups, at least in the House of Representatives, who felt that this should be allowed. They could've been under that statement. That doesn't mean much to me. By the way, this statement has been endorsed by a small minority of the Dutch mosque authorities and not by a large part, as you are now suggesting.
ParlaMint-NL_2018-06-12-eerstekamer-4.u7	Well, look at the letter. There's a whole procession, a whole lot of it. It is a joint declaration on behalf of the Islamic community. I have not heard one Islamic organisation in the Netherlands distance itself from that statement, not one. They're right behind it. That's the point. They accept the burqa and the nikab, because they are based on the Islamic principles, on the principles in the Koran and the Hadith. That's just what they're assuming. That's whether it's salafistic or not, no different. That's Islam, that's Islamization. We must fight this and we must de-Islamicise against it. The fact that you do not want to see that is a pity, but the PVV is making a hard effort to do so. In the meantime, it was the VVD party in this Chamber who asked in the written round whether instead of this ban on facial clothing the gradual path of integration would not be better. What gradual path? It is precisely this form of integration that has failed fatally over the past few decades. What fairy tale does the VVD still believe in? Islamization continues at a rapid rate and Islam does not integrate. Islam will never adapt to other societies, only other societies adapt to Islam. To illustrate the situation the following example. In 2015, a bus driver from Arriva refused to take a woman with a burka on the line from Oosterhout to Tilburg. A similar case occurred in Lelystad a year earlier. Instead of standing up for their own drivers, Arriva felt it necessary to talk to the driver and apologize. This bending to Islamization is precisely what makes this law necessary, so that bus drivers know where they stand and have the right on their side. The legislative proposal is supported by a comprehensive justification for international conventions. There is no reason to waive this bill on those grounds. Moreover, there is no question of absolute freedom with regard to the wearing of clothes in public. In addition to restrictions in local regulations, Article 435a of the Code of Criminal Law has been in existence for 85 years, prohibiting, inter alia, the public wearing of garments which are expressions of a particular political desire, better known as the uniform ban, but which, according to the explanatory memorandum, is not limited to uniforms. Back then, Minister Van Schaik stated in the explanatory memorandum: "Clothing documents are as general as possible. There is therefore no need for uniforms or parts of uniforms to be worn. Also ordinary garments, black or brown shirts, high hats on occasions where they are not prescribed by use or, for example, even completely identical costumes may be characteristic of a particular political endeavour and as such fall under the penalty clause." Since the burka or nikab also stands for the political pursuit of the Islamic ideology of Sharia as a state form, wearing these garments could also be subject to this penalty. Can the Minister state whether it considers the application of this penalty provision also applicable to the carrying of burqas and nikabs on the public road, in addition to the application of this legislative proposal for specific places? Finally, Mr President. If this bill is adopted, it will be necessary to introduce it quickly. Can the Minister indicate the period within which it intends to bring the law into force? Mr President, as far as the first deadline is concerned.
ParlaMint-NL_2018-06-12-eerstekamer-4.u8	In his speech, Mr Van Hattem focused on Islam and wearing a burka or a nikab, but the bill also has a few other things in mind. In his speech he mentioned a number of safety arguments. Does he agree with me that these safety arguments are also important in the event that people may not hang on to Islam, but are walking around with balaclavas or full helmets? In other words, do these safety arguments apply not only to a particular group, but also to others?
ParlaMint-NL_2018-06-12-eerstekamer-4.u9	Sure. That is what this law is for. If someone with an integral helmet appears at a desk, that is indeed true. But the origin of this bill is a motion by our group chairman in the House of Representatives, Mr Wilders, who already asked for a ban on burka in 2005. A long journey has been followed. Finally, this variant came out on the basis of the study carried out in 2006, with a general ban on specific places as one of the variants on the table. That's what this bill has become. But the reason was to ban burka in the Netherlands.
ParlaMint-NL_2018-06-12-eerstekamer-4.u10	I would like to thank Mr Van Hattem for his explanation. I understand that there was a reason, but I'm glad he sees the other side, too.
ParlaMint-NL_2018-06-12-eerstekamer-4.u11	You'd finished your speech by now?
ParlaMint-NL_2018-06-12-eerstekamer-4.u12	Yes.
ParlaMint-NL_2018-06-12-eerstekamer-4.u13	Thank you very much, Mr Van Hattem. I give the floor to Mrs Nooren.
