ParlaMint-NL_2018-04-18-tweedekamer-4.u1	The first speaker is Mr Bishop on behalf of the SGP Group.
ParlaMint-NL_2018-04-18-tweedekamer-4.u2	Mr. Chairman, thank you very much. I'd better admit it. Of all the reclassification proposals before us, I find this proposal on the Hoekse Waard the most difficult. Frankly, we're not quite out of it either. The answer to the questions I am going to ask the Minister really matters. Always natural, but very special in this round. When you look at what happened and how the proportions are, you see a very clear difference of opinion. Two municipalities are very clear for reclassification: Oud-Beijerland and Strijen. Three municipalities are against the reclassification, one of which is close, but well, still against reclassification. They opt for enhanced cooperation. Then we are talking about Binnenmaas, Cromstrijen and Korendijk. When you read the government's documents, you see plenty of arguments that argue for reclassification. For example, doing nothing is not an option. Now that is not usually the strongest argument, I think. In the documents of the cabinet, we also find arguments such as 'a stronger position in the region', 'equivalent partner for the region', 'energy from the municipalities is now largely internally oriented', 'the region leaves opportunities to Europe and the national and provincial level' and 'cooperation is not getting off the ground'. All these are essential points of interest, which call for a reclassification of these municipalities. But if you take note of the pieces of the opponents of the reclassification, you will encounter: there is no basis for reclassification. That's where they put their finger on a weak spot in the proposal. You can also read: there is already very good cooperation in the region and the common arrangements are working well. There are no financial problems and there is no shortage of administrative power. From the cooperation body Hoekse Waard there is always only one alderman on behalf of the five municipalities at the province to defend the interests of the Hoekse Waard, to show that the cooperation is indeed there. Another important concern: the local identity of the cores must be preserved. Again, these are arguments that show that there is indeed much to say against reclassification and for good cooperation. If we keep this planned reclassification under review, we see the following. In fact, we always read in the documents behind the words the province's vision: we have such a good plan, but there is no basis for it yet. I'm just going to summarize it in my words. Is there sufficient recognition by the province that administrative cooperation can also be serious and good to defend the common interests, that it is legitimate and that it takes time to achieve better cooperation? On the other hand, it seems that the opponents of this reclassification make the threat of reclassification so great that it is no longer clear why administrative cooperation, i.e. at some distance from the citizens, is good and municipal reclassification is a threat, because of the same distance from the municipal administration. Do they recognise sufficiently the benefits that a larger scale can also have? Last night, I mentioned a number of points on which we always test reclassification proposals: it has to come from the bottom; there must be sufficient support; there must be awareness that a larger scale is not always automatically better than a small one; there can be substantial problems to deviate from the voluntary nature, there can be insoluble problems or inadequate job performance by the local authorities, i.e. too little administrative power; there must not be a straitjacket to solve regional tasks. That's kind of the review framework. In the light of this, we would like to ask the Minister a number of questions. On the basis of the answers, we will eventually reach a judgment on this reclassification. There's seven of them. First of all, to what extent does the present proposal make sense to force municipalities that function properly against their will to reorganise? Why should we overrule local democracy? A second question. Cooperation between the municipalities in the Hoeksche Waard has already been established in many areas. What is this cooperation really and concretely failing in? A third question. Can the Minister explain in detail what she sees as arguments for saying that administrative cooperation does not have a sustainable future? We sometimes see that cooperation does indeed set in motion an organic process which over time creates a need for aggregation. That's a process that takes a little more time, but so what? Sorry. Why wouldn't you accept that? The fourth question. You can find certain choices of municipalities unwise, but aren't municipalities themselves primarily about their municipal household and about the matters they consider important? The fifth question. Is it okay to force another municipality against its will to take advantage of opportunities? That's how it's named in the papers. Municipalities seem to make their own choice to stay small-scale and closer to the citizen. The sixth question. How do we prevent provinces from coming up with a sort of blueprint of what is a good municipal administration and a good administrative scale, despite the fact that the minister does not want it? Finally, the last question. For a good assessment of the different options it would have been good if the province had also seriously examined strengthening administrative cooperation. Does the Minister agree with the SGP that provinces should also seriously examine other options that are not supported in advance by each municipality in this case, and that these options should be placed on an equal footing with the others?
ParlaMint-NL_2018-04-18-tweedekamer-4.u3	Before you continue, Mrs Den Boer also has a question.
ParlaMint-NL_2018-04-18-tweedekamer-4.u4	Great. I am almost ready for my conclusion and I was afraid that there would be no interruptions.
ParlaMint-NL_2018-04-18-tweedekamer-4.u5	To make it a little exciting. I've been behind the interrupting microphone for some time, but I thought, well, sitting down is the new smoke, so I'm gonna stand behind the microphone for a while. You are talking about support, and I was wondering what kind of support you mean. Do you mean social support or regional support or administrative support? Would you mind going into that?
ParlaMint-NL_2018-04-18-tweedekamer-4.u6	Let me answer that very simply and clearly. What determines whether or not there is support in a municipality is the result of the vote in the city council. Of course, it is up to the municipal councils to organise themselves how they involve and inform the residents. But in the end, as a national government, we have to deal with the choice made by the local government. And that determines whether or not there is support. In addition, of course, you have all kinds of interest groups and all kinds of people with strong opinions. They remain active, perfectly legitimate. I would also like to receive them and talk to them, but for me it is decisive what image the local council, the city council, shows.
ParlaMint-NL_2018-04-18-tweedekamer-4.u7	Thank you very much for this statement. So you are actually talking about democratic support within the Councils. I wonder: for what? Are we talking about the reclassification as it is now, or about other proposals such as setting up a Corner Council, some kind of regional council, or some kind of administrative merger between the municipalities?
ParlaMint-NL_2018-04-18-tweedekamer-4.u8	I do not think that the latter is the issue. There are two options. A number of municipalities have declared themselves in favour of a scaling-up in the sense that the Hoeksche Waard is merged into one municipality, and three municipal councils have spoken out against this scaling-up in the form of a merger. They are prepared to cooperate more closely, and they also see the need for it. I think those are the two flavors that are in the picture.
ParlaMint-NL_2018-04-18-tweedekamer-4.u9	Finally.
ParlaMint-NL_2018-04-18-tweedekamer-4.u10	Thank you for this clarification.
ParlaMint-NL_2018-04-18-tweedekamer-4.u11	You're welcome. Mr President, I shall conclude. We see five municipalities each making their own legitimate choices for or against reclassification. In the light of the framework of the SGP that I have just outlined, this reclassification raises these questions as far as we are concerned. The SGP has not yet adopted a definitive position on this reclassification. You may not be used to the fact that the SGP does not have a strong opinion, but that is the case in this case. We will also arrive at a final position on the basis of the Minister's replies. That seems to me to be a good challenge for the Minister. Mr President, well within time. I'll leave it at that. Thank you very much.
ParlaMint-NL_2018-04-18-tweedekamer-4.u12	Nice. Thank you, Mr. Bishop. I now give the floor to Mr Van Raak on behalf of the SP Group.
