ParlaMint-NL_2018-05-31-tweedekamer-11.u1	I give the floor to Mr De Roon on behalf of the PVV.
ParlaMint-NL_2018-05-31-tweedekamer-11.u2	Thank you, Mr. Chairman. The general consultation that we are discussing here was held with the Minister about six weeks ago. I have motions that speak for themselves, so I do not think it is necessary to recapture the whole history of what we were discussing then. The first motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the government's desire for the so-called "two-state solution" is pointless;]] [[whereas a Palestinian State, called Jordan, already exists alongside Israel;]] [[calls on the Government to stop spending money and effort on the "two-state solution,"]] [[and goes to the order of the day.]] [[This motion has been proposed by Members De Roon and Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-450]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u3	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, if necessary, appropriate violence by Israeli troops against terrorists and their followers, who violate or threaten to violate the border with Israel, is fully legitimate;]] [[Whereas the fight for a democratic rule of law against terrorists deserves support;]] [[calls on the Government to support the Israeli fight against terrorists,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-451]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u4	Third motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas investigations focusing unilaterally on the use of force by Israeli troops against terrorists and their followers, threatening the sovereign borders of Israel, are superfluous;]] [[calls on the Government not to support such an investigation,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Roon. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-452]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u5	Over the last few weeks, we have been able to see that there has been a diplomatic move towards Jerusalem. All kinds of countries have moved their embassy there or are advanced in preparing such a transfer. So you will understand that the PVV also wants to argue that with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas Jerusalem is the capital of the State of Israel;]] [[calls on the government to follow the example of other countries by also moving the Dutch embassy to Jerusalem,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members De Roon and Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-453]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u6	This is a bit of a groundhog day, a recurring motion. My question to Mr De Roon is: what is the coverage?
ParlaMint-NL_2018-05-31-tweedekamer-11.u7	Cover for what?
ParlaMint-NL_2018-05-31-tweedekamer-11.u8	Mr De Roon is quite a gentleman. Politically, we all know that this is an extremely awkward move, but if you want to move an embassy, it costs money. We need a new building and the equipment must be transferred. Where does Mr De Roon get the money?
ParlaMint-NL_2018-05-31-tweedekamer-11.u9	For example, coverage can come from my proposal to stop spending money and effort on the two-state solution. The embassy buildings in Tel Aviv can be disposed of. That's gonna get us some money. We will undoubtedly find a solution for the rest of the post that may remain. That should not be the problem, because it is extremely important that we do move that embassy to Jerusalem. I am sure even Mr Sjoerdsma will be able to provide a solution to this once it is done.
ParlaMint-NL_2018-05-31-tweedekamer-11.u10	Thank you. I give the floor to Mr Sjoerdsma on behalf of D66.
ParlaMint-NL_2018-05-31-tweedekamer-11.u11	Mr. Chairman. A large part of the general discussion was about the terrible situation in Gaza and the shelling there. I would like to say straight away: the Netherlands rightly condemned Hamas' shelling from Gaza on Israel, because they are unfocused shelling of civilian targets. They're unacceptable. At the same time, if you look at what happens from the other side over the last few weeks, the targeted shelling was of civilian targets, of journalists and children. I also expect a condemnation of this minister. That is the current state of affairs. More structuralally, and I am still happy about this, the Christian Union and I have made a proposal to see if we could really create a perspective for the Gazans through a physical corridor. I am very pleased that the Minister has taken that in a positive light. It fell back on the Oslo Accords. We have already had the Palestinian Minister here in the House of Representatives, who has expressed a positive opinion on this. I hope that the Minister here today may be able to say something about the work he has already done with both sides. Maybe there's something left to say about that, or else at a later date. Finally. In general consultation I also asked about the container scanners at the Gazan border, which will of course now have to be repaired. "Unfortunately," I'd like to say. The Minister indicated that Israel will not allow containers to pass through this scanner. He would come back to the question of why Israel would not allow that. I would like to have that explanation, because of course those scanners were delivered ideally to secure containers. So I wonder what considerations are left to avoid doing so. Mr. Chairman. I want to leave it at that today.
ParlaMint-NL_2018-05-31-tweedekamer-11.u12	Thank you. I now give the floor to Mrs Karabulut on behalf of the SP.
ParlaMint-NL_2018-05-31-tweedekamer-11.u13	Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government has condemned missile firings from Gaza against civilian targets in Israel, with no deaths;]] [[Considering that the government has not condemned Israel's recent violence against Gaza, with more than 120 deaths and 12,000 injuries, including civilians;]] [[Believes that rocket fire from Gaza is rightly condemned against civilian targets in Israel, but that violence against civilians in Gaza should be condemned equally;]] [[calls on the Government to condemn the violence of Israel against Gaza,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Government has repeatedly urged the Israeli authorities in the past that the rights of Palestinian minor prisoners in Israeli detention should not be violated;]] [[Considering that despite this commitment, the rights of Palestinian minor prisoners are still being violated on a large, even increasing scale;]] [[calls on the Government once again to urge Israel to put an end to these violations;]] [[calls on the Government to seek international support for increased pressure to ensure that measures are taken to promote the rights of Palestinian minor prisoners in Israeli detention, if there is no results in this area,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-454]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-455]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u14	And finally, a motion to put an end to Gaza open-air prison. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that there has been a serious humanitarian crisis in Gaza for years, against which Israel has imposed a blockade;]] [[Considering that the Israeli army has recently used violent force against demonstrators in Gaza, killing more than 120 people and firing missiles from Gaza on Israel;]] [[calls on the Government to urge Israel to lift the blockade immediately, in a sustainable manner and without conditions,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-456]]
ParlaMint-NL_2018-05-31-tweedekamer-11.u15	Thank you, Mr President. After the general discussion that continues, we discussed the situation in Gaza with the Minister for the Middle East and with the debate on the ISD once again. Then we had a lot of discussion about the question of how so many people were killed and so many wounded, more than 12,000. I wonder if the Minister has found out more about this research, which is not independent, but is carried out by the Israeli army. I have a motion that follows a small debate I had with the Minister during the AO on labelling. There are strict rules for that. A European directive requires products coming from settlements to be identifiable as such. I asked the Minister whether this directive was indeed implemented in the Netherlands. He actually said, quite translated, "I don't know, you have to be with the Food and War Authority" if I remember correctly. I think that is an unsatisfactory answer, and that is why I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, in accordance with the communication from the European Commission on the indication of the origin of goods, the Netherlands requires labels of products originating in the territories occupied by Israel to indicate that they originate from occupied territories;]] [[calls on the Government to inform the Chamber of whether products from the settlements in the occupied territories are in practice labelled as such and how this labelling requirement is maintained,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Ojik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-23432-457]]
