ParlaMint-NL_2018-09-21-tweedekamer-8.u1	I'll give the Prime Minister the floor.
ParlaMint-NL_2018-09-21-tweedekamer-8.u2	Madam President. There are still a few questions and then a lot of motions. One question that was left was the question about 2,000 vulnerable migrants. It has become clear from the media today that Greece would have decided to transfer 2,000 people from Lesbos to the mainland. Furthermore, it is really unclear to us what exactly is going on here. It's really a Greek decision. The Secretary of State reported to the Chamber about a year ago that, looking back on the previous period, about 50% of the people on the Greek islands had been identified as vulnerable and that they had then also been partly or entirely transferred to the mainland, but that was not a commitment and not an expectation for the future either. It really is an internal Greek matter. So the whole issue of the islands to other parts of Greece is outside Europe. With regard to the situation on the islands, I replied in the first place that this cabinet, which applies to many people in Europe, is prepared to help. A second question left was Alexander Pechtold's on Groningen. Here's what I'm gonna do. In July, the Mining Council issued an opinion on strengthening housing in Groningen. That was in the light of the rapidly falling gas extraction. The Mining Council advises to move on to a new approach as soon as possible. The most risky houses should be considered first, covering approximately 1,500 buildings, and there should be a standard approach to strengthening, the so-called "catalogue'. The Mining Council also distinguishes a group of buildings which cannot be excluded from the need for reinforcement and where inspection against the latest standard must take place. According to the current insights, this is about 7,000 buildings. At the request of the region and the Empire, the new approach was developed by the National Coordinator during the summer. Yesterday, the Ministers for Economic Affairs and Climate and Home Affairs and Kingdom Relations discussed this with the representation of the region. At the request of the region, a number of issues will be further developed and monitored in the coming weeks. After that, the residents will be informed by letter. Of course, the Lower House will be informed of the new approach by the Minister for Economic Affairs. Meanwhile, the already ongoing reinforcements continue. Some operational barriers will be removed. That was, I understood, a good consultation yesterday in the region. Mr President, that brings me to the motions.
ParlaMint-NL_2018-09-21-tweedekamer-8.u3	Mr Pechtold has another question.
ParlaMint-NL_2018-09-21-tweedekamer-8.u4	That sounds like the right direction, but I just want the cabinet not tonight, but it is for the budget to be dealt with, and I think that is a little too late to be clear about what that road map is. Because I think those 1,500 homes have been waiting for a long time. I just want to know when those cohorts... I just want to get to Groningen a little more clarity. If there's agreement with the drivers, fine. But I want to know when that letter is sent and when people know what they're up to. Not tonight, but somewhere for the next two weeks.
ParlaMint-NL_2018-09-21-tweedekamer-8.u5	As I said, the Lower House will soon be informed by the Minister about the new approach. Let me then agree that in that letter we also walk through the different cohorts, the old situation and the new situation, because it is about numbers that are sometimes almost the same, so that we get that straight. Which brings me to the motions, Mr. Chairman. The motion in part No. 7 of the PVV... Oh, Mr. Baudet has something to say.
ParlaMint-NL_2018-09-21-tweedekamer-8.u6	Mr Baudet.
ParlaMint-NL_2018-09-21-tweedekamer-8.u7	Madam President, I have a question for the Prime Minister. At what point has he changed his mind in response to the speeches and speeches made by the Members of Parliament today and the day before yesterday?
ParlaMint-NL_2018-09-21-tweedekamer-8.u8	On a number of points, and these have also been laid down in a number of opposition and coalition motions, so I shall come back to that in a moment.
ParlaMint-NL_2018-09-21-tweedekamer-8.u9	So all the points on which you have begun to think differently can be found in a motion. There is nothing more that has changed your mind than what we can find in the motions. Is that a good summary?
ParlaMint-NL_2018-09-21-tweedekamer-8.u10	No. I have, of course, made a number of commitments in the debate to the Chamber in the event of all kinds of interruptions. All these commitments, which of course Mr Baudet has not heard, because he was busy setting up his party, stand up. Of course, nothing has changed. What is left, apart from that, are the insights that have shifted and which have been laid down in the various motions.
ParlaMint-NL_2018-09-21-tweedekamer-8.u11	Finally.
ParlaMint-NL_2018-09-21-tweedekamer-8.u12	We're very curious.
