ParlaMint-NL_2018-12-05-tweedekamer-3.u1	We're gonna start soon, 'cause... The first speaker is Mrs Ouwehand.
ParlaMint-NL_2018-12-05-tweedekamer-3.u2	Thank you, Mr President. What was that poem coming from your heart? Heartwarming.
ParlaMint-NL_2018-12-05-tweedekamer-3.u3	Yes, and that on 5 December the only withdrawal is Mr Bishop. Sorry, um...
ParlaMint-NL_2018-12-05-tweedekamer-3.u4	I think he did that to you...
ParlaMint-NL_2018-12-05-tweedekamer-3.u5	No, he's working. Yeah, yeah, yeah, he's gotta be on all those rooftops today.
ParlaMint-NL_2018-12-05-tweedekamer-3.u6	I think he did that to do you a favor, and maybe he'll show up later. Mr. Chairman. We have received a report from a social organisation that has found out what Dutch policy actually means for farmers here and building possible competition elsewhere against welfare standards that are lower than in the European Union. This does not seem to be such a good idea for the position of farmers here and of course for the animals. That's why two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Ukrainian chicken meat company MHP claims to have doubled its exports to the EU by 2020 compared to 2017;]] [[noting that Dutch suppliers of livestock systems for MHP received guarantees from the Dutch government institution Atradius DSB of more than EUR 200 million;]] [[calls on the Government not to provide any funding to companies supplying MHP,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government's trade policy includes financial instruments that can be used to build livestock industry elsewhere, as happened with the Ukrainian chicken company MHP;]] [[calls on the government to adapt trade policy including funding so that the building of the livestock industry is no longer supported by (guarantees from) the Dutch taxpayer,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-1005]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-1006]]
ParlaMint-NL_2018-12-05-tweedekamer-3.u7	Thank you, Mr. Chairman. I would remind the Minister that yesterday the Chamber adopted a motion which says that, in view of the circular vision of this minister, the Dutch trade policy may also need to be reviewed in order to avoid any unnecessary deterioration in the income position of our farmers. In that light, I think these motions fit in very well with that. Thank you.
ParlaMint-NL_2018-12-05-tweedekamer-3.u8	Thank you. The last speaker from the Chamber is Mrs Bromet of the GroenLinks Group.
ParlaMint-NL_2018-12-05-tweedekamer-3.u9	Mr. Chairman. Agriculture in the Netherlands is keen to be the most sustainable in the world. At the same time, the Chamber often complains about the level playing field, which would be lacking. We have therefore tabled the next motion on the basis of the report. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are countries where the welfare level of animals in industrial livestock farming systems is below the European legal minimum;]] [[Whereas Dutch holdings in these countries may contribute to the establishment and expansion of livestock farming systems and thus be at risk of being involved in unacceptable animal welfare practices;]] [[Whereas in the long run this will harm the fair playing field for farmers operating in the Netherlands;]] [[Whereas both the OECD and the FAO are publicly available (i) CSR policies which are part of animal welfare and that these Dutch suppliers often do not have such (i) CSR policies;]] [[Considering that the Cabinet intends to promote the improvement of animal welfare and a level playing field in Europe and beyond, and the Minister considers it "strongly desirable" that such businesses include animal welfare in their (I) MVO policies;]] [[noting that there is currently (yet) no import agreement for sub-contracting companies operating internationally in animal production chains;]] [[calls on the government to engage with Dutch suppliers working internationally in animal production chains and civil society organisations to encourage them to participate in an improv agreement whose animal welfare is one of the components,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bromet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-28286-1007]]
ParlaMint-NL_2018-12-05-tweedekamer-3.u10	This was a very heavy motion, of only two pages. I'll suspend for a few minutes.
ParlaMint-NL_2018-12-05-tweedekamer-3.u11	The Minister has the floor.
ParlaMint-NL_2018-12-05-tweedekamer-3.u12	Good morning, Mr. Chairman. I wish I was as creative as you, but unfortunately I couldn't. Because I have to work very hard, so I have to think about it very carefully. But thank you for the warm words. I think Mr Bishop is undoubtedly listening, because bishops generally know a lot, and also about children. Well, I don't want to say that we're children here, but the bishop often knows a lot about big people, so I think he's listening to what's going on here. I have three motions. The first motion, the one on Chamber of Commerce No. 1005 (28286), is actually addressed to the wrong person. It's about trade policy. Trade policy, and certainly its financing, lies not with me, but with the Minister of Finance. Trade policy and so on lies with Minister Kaag. So I have to say something about a government institution that is not my responsibility, but that of the Minister of Finance. For procedural reasons, I do not think it is very appropriate for me to say something about this. Of course, when that guarantee is given, the substance of the matter will be looked at as to what kind of company we are giving that guarantee to. So not to which customer it goes; that would be a very complicated palette of things that you have to take with you all. I therefore do not recommend this motion for procedural reasons, but there is also something to be said about the substance of the motion.
ParlaMint-NL_2018-12-05-tweedekamer-3.u13	The Party for Animals had also ordered Minister Kaag here today.
ParlaMint-NL_2018-12-05-tweedekamer-3.u14	That hurts a bit to hear, Mrs. Ouwehand.
ParlaMint-NL_2018-12-05-tweedekamer-3.u15	We thought two is more fun than one. But the cabinet has decided to send this minister alone. I also understand that she says that the Minister of Finance should also be involved. Would the Minister like to ask for a response from the Minister of Finance and can we then get an opinion on this motion by letter?
