ParlaMint-NL_2018-12-04-tweedekamer-3.u1	Let us now turn to Mr Wassenberg's question to the Secretary of State for Infrastructure and Water State, whom I would also like to welcome. The question is about the news that toxic PFAS......................................................................................................................................................................................................................................................... Mr Wassenberg on behalf of the Animal Party.
ParlaMint-NL_2018-12-04-tweedekamer-3.u2	Mr. Chairman. It's quite a mouthful indeed. The practice is that there are questions about fluorinated hydrocarbons such as GenX and PFOA. These are substances that are very carcinogenic and are now found all over the Netherlands. Each time it is hit and each time the substances appear to be spread more widely than we thought. We've talked about it a lot in the Chamber. Those substances are found everywhere in the Netherlands, not only in Dordrecht, where Chemours is located, but also around Schiphol, Sliedrecht, Papendrecht, Helmond, Eindhoven, Moerdijk; the total list is longer. This is partly because GenX is being processed and apparently discharged, but also because fluorinated hydrocarbons are used in extinguishing water used in industrial fires. That is where water with carcinogenic substances is put out. Seventeen municipalities have therefore slept a cry for help and asked for national policy. This problem is too complex, too big, too serious to be dealt with in a fragmented way. What is the response of the Secretary of State to this distress call from the municipalities? By the way, municipalities do not always carry out research on pollution before earthmoving takes place, so there is a risk that contaminated land will be moved instead of being cleaned up. It is often annoying for municipalities to find contaminated land, because that means high costs for the clean-up. These costs cannot be recovered from the polluter, because Chemours and DuPont refuse to pay the consequences of pollution at Dordrecht, Sliedrecht and Papendrecht. Does the Secretary of State agree with me that the polluter should pay? What is she going to do to force these companies to pay? I also have a question about the toxicity of the substances. RIVM applied certain exposure standards, but the European Food Safety Authority, EFSA, presented much stricter standards last summer. The new standard for PFAS will be fifteen times as strict as the standard used by RIVM. How is that possible? Shouldn't we be able to sail blindly on RIVM standards? What is the basis for RIVM to question the EFSA standard? Finally, does the Secretary of State agree with me that the strict standard of EFSA should be implemented here as soon as possible?
ParlaMint-NL_2018-12-04-tweedekamer-3.u3	I call the Secretary of State.
ParlaMint-NL_2018-12-04-tweedekamer-3.u4	Thank you, Mr. Chairman. First of all, the letter from the various municipalities. It seems very important to me that we really get a good picture of where the various pollutants might be. So I am also willing to consult with local authorities to map that out. Mr. Chairman. A question has been asked about the contaminated soil. How do we get to 'polluter pays'? We have a regular conversation with the Chamber about that. There is always a broad premise in the Chamber that the polluter should pay. Mr Wassenberg's question is: how can municipalities then recover their costs? In the letter that you received from me for the general consultation External security matters we are talking about at the end of January, I said a number of things about how these costs can be recovered. The legal framework for this is Title 17.2 of the Environmental Management Act. The competent authority for the company, in this case the province of Zuid-Holland, can make a cost statement if the situation meets the requirements of the law. We also find out that there are still things missing from time to time. We also had a discussion about, for example, financial collateral if companies go bankrupt. This is also the subject of research, which deals with how we can make the polluter pay as much as possible in this way. The intention is to fill any gaps in the law. Mr. Chairman. Then there is the question of standards. They are indeed a very important reason for this question. That's what the article was about. At the request of the European Commission, EFSA, the European Food Safety Authority reviewed the health limit values for PFOA and PFOS. RIVM has indicated that it has scientific questions on the new scientific method used by EFSA for its new proposal. In addition to the Netherlands, Denmark and Germany have also asked questions to EFSA. The scientific debate must also be left to the scientists. It will take place. EFSA is expected to publish its standard later this year and to respond to the scientific discussion and how it is incorporated into the standard it will eventually publish. But if EFSA publishes that standard, the Netherlands will indeed have a fact in the question: how do we translate that standard into the Dutch situation? That is what we are going to do at the same time.
ParlaMint-NL_2018-12-04-tweedekamer-3.u5	Mr. Alkaya. I'm wrong. He's gonna be here. Mr Wassenberg.
ParlaMint-NL_2018-12-04-tweedekamer-3.u6	The Secretary of State says that the province as competent authority can recover the costs, but the pollution is in the area of the municipalities. The municipalities are therefore unable to recover the costs. Apparently, the province did not play a role in this, which makes it possible for municipalities to recover these costs. Chemours and Dupont do not pay, and so the municipalities are in the hair. In addition, I had asked for a national approach, because these municipalities actually say: the problem is too big to leave it to all these different municipalities, more than 300 in the Netherlands. It is a national problem and it must also be tackled nationally. The minister says he's talking to everyone, but what the municipalities are actually asking is: come up with a national direction, pick this up nationwide! It has been thrown across the borders of the municipalities and the province, but these substances are now spread throughout the Netherlands, either through companies working with GenX or with PFAS, or through the extinguishing water. Wherever you're going to do research, you'll find them almost everywhere. So you're going to have to deal with this nationwide problem nationwide. Then I have another question about that fire-fighting water. I know that the fire department is also looking at alternatives to that fire-fighting water with those carcinogenic flame retardants. Shouldn't we implement those alternatives as soon as possible? Shouldn't we put a ban on extinguishing water containing carcinogenic substances as soon as possible? 'Cause there's another way.
ParlaMint-NL_2018-12-04-tweedekamer-3.u7	Mr Wassenberg is right that the point sources are in the picture and that we also know that there is also a very diffuse spread of these substances across the Netherlands. That may be because teflon pans have been used or because gore-tex clothing has been used. All this can contribute to its spread, as well as to the extinguishing water. So it is indeed a national problem that also calls for a good approach, so that not every municipality has to invent the wheel independently. That's what the conversation's about. I think that next week, when we have the discussion on the Soil Supplementary Act, we will discuss it even more extensively. But I share Mr Wassenberg's point that this is not a local problem that is in one municipality and that we can say: otherwise it does not play. So I also see the need for a number of things to be agreed with each other on a country-by-country basis. The cost story of the municipalities can and must be included in a possible cost story of the province, but it is up to the province to assess whether such a cost story is being started. Oh, yeah, and the fire foam. Fire foam with PFOA is banned in the short term. This is covered by REACH, and we are talking about 2021 and 2022.
ParlaMint-NL_2018-12-04-tweedekamer-3.u8	Finally, Mr Wassenberg.
ParlaMint-NL_2018-12-04-tweedekamer-3.u9	Is it not possible to introduce that ban on extinguishing water in the short term? Because I told you, the fire department already has an idea that there are alternatives. A report has also been published on this subject. And the Secretary of State says: it is indeed a national problem; there is a diffuse spread and there are point sources, but that is why you really have to leave this to the municipalities. What I want to ask is: can the Empire, the government, not handle this and take over the municipalities?
ParlaMint-NL_2018-12-04-tweedekamer-3.u10	I would be happy to see if, through the colleague responsible for the fire department, we can have a discussion on this with the fire department, or perhaps they can switch to alternatives that exist on a voluntary basis. I'd be happy to have that conversation. I have just said that we are talking about a problem that also requires a consistent policy at national level. To this end, of course, I must also have talks with the local authorities. I can't just take over from them one way or the other. But those conversations about how we can handle this country properly, I'm going to have them.
ParlaMint-NL_2018-12-04-tweedekamer-3.u11	Thank you, Mr. Wassenberg. Mrs. Van Brenk, 50PLUS.
