ParlaMint-NL_2018-11-06-tweedekamer-27.u1	We're ready for the VAO Mining. I give the floor to Mr Wassenberg on behalf of the Animal Party.
ParlaMint-NL_2018-11-06-tweedekamer-27.u2	Thank you, Mr. Chairman. I have three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that international research, which TNO also participated in, shows that methane emissions from gas extraction in Groningen are higher than was assumed;]] [[noting that this is due to the use of calculations and estimates, rather than to structural measurement;]] [[calls on the Government to set up a national measurement programme for the Dutch methane emissions and leakages,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg, Mr Akerboom and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-140]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u3	Mr Akerboom will follow me on this dossier for the next few months.
ParlaMint-NL_2018-11-06-tweedekamer-27.u4	You'll still be a Member of Parliament, won't you?
ParlaMint-NL_2018-11-06-tweedekamer-27.u5	I'll stay with you, but we've got a change of portfolio. I'm gonna stay here in the Chamber for a while, sure.
ParlaMint-NL_2018-11-06-tweedekamer-27.u6	Please continue.
ParlaMint-NL_2018-11-06-tweedekamer-27.u7	Second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the planned gas extraction under the Wadden Sea from Ternaard was selected for the pilot "environment management";]] [[noting that this pilot is aimed at involving local stakeholders in decisions on fossil mining;]] [[noting that the inhabitants have expressed serious concerns about the planned gas extraction;]] [[considering the vulnerability of the Wadden Sea;]] [[calls on the government to take seriously the wishes of those concerned and not to start drilling for gas under the Wadden Sea,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg, Mr Akerboom and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-141]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u8	My third and final motion concerns the small gas fields. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the unrest among residents around small gas fields is increasing;]] [[Whereas no guarantees can be given about the future;]] [[Whereas the causer of the Groningen misery is not concerned with the inhabitants of our country;]] [[considers it necessary to speed up the energy transition;]] [[calls on the government to stop all new gas drilling initiatives,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32849-142]]
ParlaMint-NL_2018-11-06-tweedekamer-27.u9	Thank you.
ParlaMint-NL_2018-11-06-tweedekamer-27.u10	Thank you, Mr. Wassenberg. I now give the floor to Mrs Agnes Mulder on behalf of the CDA.
ParlaMint-NL_2018-11-06-tweedekamer-27.u11	Mr President, thank you. In Limburg, damage to houses occurred years after coal mining. The previous Minister for Economic Affairs has examined and confirmed the damage caused by coal mining. So the question was not whether it was mining damage, because the Tcbb also concluded that at that time. The problem was that the previous minister was not prepared to compensate for the damage from the Guarantee Fund. That went against the express wish of the CDA. The minister had the argument that it was damage that was statute of limitations. The CDA didn't agree. As far as we are concerned, mining damage must not be allowed to lapse, and it cannot be the case that society is failing to pay for the damage that would actually have to be paid for by its authors. That is why the CDA is very pleased with the judge's ruling on the limitation period for mining damage in Limburg. The judge concluded that the damage was not statute of limitations. Will the Minister now pay these damages out of the Guarantee Fund as soon as possible after years of litigation? In addition, there is also a motion of ours which we are calling on the government to ensure that mining damage is no longer subject to a statute of limitations. In this way, I maintain that citizens are given greater legal certainty, while the risks for mining companies are covered, because we have the Guarantee Fund for mining damage. Fortunately, the ruling provides relief for the current damage cases in Limburg, but it may not be for other damages in the future. I would like a response from the Minister to this motion, which has been tabled before, in order to prevent mining damage from being subject to a statute of limitations. Mr. Chairman. I see I have a few seconds left. Then I would like to thank the Minister for working on Harlingen's pilot to see how you deal with mining, how you look at zero situations and what measures are needed, together with the community. That community is basically willing to engage in mining activities, but how do you take the local people into it? I would very much appreciate it if the Minister would take the Harlingen pilot seriously with the people of Harlingen and make it a success. Mr. Chairman. Thank you.
