ParlaMint-NL_2018-12-20-tweedekamer-5.u1	The next item is a VAO Ggz, with Mrs Agema of the PVV as the first speaker.
ParlaMint-NL_2018-12-20-tweedekamer-5.u2	Thank you, Mr. Chairman. I have already tabled the next motion once and have even received a ruling from the Secretary of State. So you'd think, "Cat in the bag." But it wasn't, because the CDA voted against it. That's why I'm filing the motion again and putting all my hopes on the CDA. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that perpetrators of terrorist offences are increasingly referred to as "confused persons";]] [[considers that psychologizing these perpetrators does not benefit society or the ggz sector;]] [[calls on the Government to stop calling perpetrators of terrorist crimes "persons with confused behavior,"]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Agema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-436]]
ParlaMint-NL_2018-12-20-tweedekamer-5.u3	I call Mr Hijink of the SP.
ParlaMint-NL_2018-12-20-tweedekamer-5.u4	Thank you, Mr President. I spoke in the debate with the Secretary of State about the possibilities for the Health Insurance Act to provide more interference for people who avoid care. This is now entirely up to the municipalities and we would like to see more cooperation in this. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas prevention of intensified care in public mental health care is currently difficult to achieve due to the choice of care and responsibilities between municipalities and health insurers;]] [[Whereas well-organised interference can contribute to the well-being of people and to the prevention of nuisance by people with confused behaviour;]] [[Whereas interference by the ggz, funded by the Health Insurance Act, could help to speed up the start of appropriate treatment;]] [[Calls on the Government to examine how and to what extent social psychiatric nurses who are part of municipal district teams can be involved in indicating interference in people who have a serious suspicion of mental problems but are not yet in the picture of the ggz, and to inform the Chamber about this in spring 2019,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Hijink. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-437]]
ParlaMint-NL_2018-12-20-tweedekamer-5.u5	I call Mr Renkema van GroenLinks.
ParlaMint-NL_2018-12-20-tweedekamer-5.u6	Thank you, Mr President. I would like to thank the Secretary of State for the discussions we have had. In that consultation, I expressed my concern about the waiting lists within the ggz. The Secretary of State has also made commitments on this point, but it does not reassure me yet. I therefore have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the waiting lists in mental health care have been far too long for years;]] [[Considering that the Dutch Healthcare Authority will issue a quantitative report by the end of 2018 setting out the waiting times and operating within the target standards and where not;]] [[noting that the Secretary of State has undertaken to link this report with a qualitative explanation setting out the interventions which appear to be working or not and where additional efforts are needed;]] [[Calls on the Government, on the basis of this report and qualitative explanation, to make it clear to each main treatment group and region how the waiting lists will be reduced, indicating the measurable objectives and when they will be achieved;]] [[invites the Government to inform the Chamber of the NZa's half-yearly progress reports on progress,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Renkema, Mr De Lange and Mr Van den Berg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-438]]
ParlaMint-NL_2018-12-20-tweedekamer-5.u7	Mr President, I have three motions, so I am going to start quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that despite the efforts of the current staff of the GGZ crisis services, it is difficult in practice to get the schedules in place as a result of staff shortages;]] [[noting that the general practitioners in the BIG registration have agreed that they must operate evening, night and weekend services to maintain the BIG registration;]] [[Whereas the link between the obligation to provide ANW services for BIG-registered professions in the ggz sector is not yet settled;]] [[Calls on the Government to enter into consultations with the profession in order to have them examine whether the conditionalisation of ANW services for BIG-registered professions in the ggz sector is possible and what steps should be taken subsequently;]] [[Calls on the Government also to discuss the possibilities of using psychiatrists and social psychiatric nurses for ANW services in the intervening period;]] [[Invites the Government to inform the Chamber of the state of play before 15 March 2019,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are currently waiting lists in the ggz for several head diagnostic groups and that there are staff shortages;]] [[Considering that physician assistants as well-trained health professionals and BIG registered professionals would like to work in the ggz, but this is not possible because they are not included in the quality status ggz and are not included in the DB profession table of the NZa;]] [[noting that there is no payment title for the physician assistants;]] [[invites the government to consult with the relevant ggz parties, the Healthcare Institute and the Dutch Healthcare Authority in order to speed up the inclusion of physician assistants in the quality status ggz and create a payment title, and to inform the Chamber before 15 March 2019,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the final report of the Switch Team Persons with Confused Behaviour shows that despite previous agreements on 1 October 2018 there was not yet a single municipality with a conclusive approach to people with confused behavior;]] [[having noted that in mid-December 2018 the government indicated that it would come forward with proposals on the next phase and the follow-up to the Switch Team;]] [[Considering that a study carried out by RIVM shows that 13,000 people repeatedly appear in police reports about people with confused behaviour;]] [[calls on the government to consult with municipalities to reach concrete and measurable agreements on how to reach a person-oriented approach for the 13,000 people who repeatedly appear in the police reports who also see care and support for them;]] [[calls on the Government to inform the Chamber of progress and follow-up by 15 March 2019,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Lange and Mr Van den Berg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-439]] [[This motion was tabled by Mr De Lange and Mr Van den Berg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-440]] [[This motion has been proposed by Members De Lange, Van den Berg and Diertens. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-441]]
ParlaMint-NL_2018-12-20-tweedekamer-5.u8	Thank you, Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government agreement does not provide for additional measures, such as the organisation of a regional perseverance force, if it appears that the current agreements to shorten waiting lists in the ggz are not working properly;]] [[noting that the government has laid down the impact on how to reach the regional perseverance force in the field;]] [[Considering that deadlines to bring the ggz intake and treatment within the threshold standards are not met time and time again and we now have an approach in which regional task forces are active with regional consultation tables where the people of the region who matter are trying to solve this;]] [[Whereas, at the end of 2018, there will be a quantitative intermediate position of the NZa for the different main diagnostic groups and also progress in the action plan of the parties who have agreed to reduce waiting times;]] [[calls on the Government to make clear how the regional transfer power is deployed per region and where this is inadequate, to put forward proposals for more national guidance on this matter as soon as possible;]] [[also invites the Government to inform the Chamber before 15 March 2019,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering the importance of quality information within the ggz to provide the right care for the patient and become a learning organisation;]] [[Considering that an initiative to measure quality information should have as many participating healthcare providers as possible in order to allow more guidance on quality treatments;]] [[Whereas in the absence of quality information, the Scientific Council for Government Policy cannot at present make any policy recommendations on the ggz;]] [[considers that the level of coverage of the participation of healthcare providers in different quality information systems is currently low;]] [[Whereas, if necessary, the legal basis is adjusted;]] [[Calls on the Government to consider whether and how a single quality system can be developed to guide quality treatment methods and to what extent participation in a single quality system can be made mandatory, and invites the Government to inform the House of Representatives before 15 March 2019;]] [[Invites the Government to also require ggz institutions to participate in the urge and coercive data system set up by parties from the field as from 1 June 2019,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van den Berg, Diertens and Renkema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-442]] [[This motion has been proposed by Members Van den Berg, Diertens and De Lange. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-25424-443]]
ParlaMint-NL_2018-12-20-tweedekamer-5.u9	I have already asked this question in general terms, but then Mrs Van den Berg was unable to answer it. She'd come back to it later, which is why I'm asking the question now. I have retabled the motion to no longer designate terrorists as persons of confused behavior. I've set my sights on the CDA. I wonder if the CDA will support the motion now.
ParlaMint-NL_2018-12-20-tweedekamer-5.u10	I have to disappoint Mrs Agema in that. We're not gonna do that this time either. We know that the motion was then given a ruling on Chamber and that we have therefore looked at it with a positive attitude. However, the implication of the motion is that it may legally be that a person committing a terrorist attack could by definition not be a person with confused behavior. We really think that goes too far.
ParlaMint-NL_2018-12-20-tweedekamer-5.u11	Of course, a terrorist is by definition someone who's mentally disturbed. By people with confused behavior, we also mean demented people who are picked off the streets. Surely it can't be that the CDA thinks that a terrorist who is after death and destruction should be thrown into the same container as a demented one who's just lost his way and needs help? It is really impossible for the CDA not to support this motion.
