ParlaMint-NL_2018-11-01-tweedekamer-4.u1	The next item is part two of the budget for Education, Culture and Science.
ParlaMint-NL_2018-11-01-tweedekamer-4.u2	A warm word of welcome to both ministers. Our first speaker has a plumbing bag full of readings with him, so we're gonna sit down for a while. I wish her every success. Oh, I see she's condensated it to two folders. That's good. We've got cubes. I assume they will be announced by the Minister himself. There's six of them. I think it's best if we interrupt after the end of those cubes. I'd be happy to do any interruptions in threes, because at least that way you can make your point. I propose that we limit the number of interruptions to four per group distributed among the two directors. Then you must be able to come a long way. I give the floor to the Minister for Education, Culture and Science. But, oh, I get into a fight right away and we didn't even start. Not to the chairman!
ParlaMint-NL_2018-11-01-tweedekamer-4.u3	I have a clarifying question. Do you mean four interruptions per governor or for both directors?
ParlaMint-NL_2018-11-01-tweedekamer-4.u4	Per each political group.
ParlaMint-NL_2018-11-01-tweedekamer-4.u5	Both? So that means two per person.
ParlaMint-NL_2018-11-01-tweedekamer-4.u6	Well, or three versus one. Or four, zero. You may also do zero versus zero. That's not up to me, but four is the maximum.
ParlaMint-NL_2018-11-01-tweedekamer-4.u7	By ruler?
ParlaMint-NL_2018-11-01-tweedekamer-4.u8	No, for both regiments. Shall I write it out for you? You want me to get it?
ParlaMint-NL_2018-11-01-tweedekamer-4.u9	That's really not enough. This is a very heavy budget and we have two directors.
ParlaMint-NL_2018-11-01-tweedekamer-4.u10	Do you want to do the interruptions in half?
ParlaMint-NL_2018-11-01-tweedekamer-4.u11	No, I just want more interruptions.
ParlaMint-NL_2018-11-01-tweedekamer-4.u12	Yeah, I want more pay, too.
ParlaMint-NL_2018-11-01-tweedekamer-4.u13	Anything else?
ParlaMint-NL_2018-11-01-tweedekamer-4.u14	And I want more nice weather. Why don't we just start with four and see where the ship is stranded? Maybe we'll have time. The situation is now that we are working on this until 5 p.m. today. Initiators say it's gonna be late. Last night it was 3:00 a.m., but that was a completely different debate.
ParlaMint-NL_2018-11-01-tweedekamer-4.u15	I was there last night at 3:00 a.m. and I'll do the agricultural budget after that. So no one benefits more from doing it fast than I do. And yet I say we need more interruptions.
ParlaMint-NL_2018-11-01-tweedekamer-4.u16	I am going to listen to Mr Van Meenen, because he is a reasonable person. But you are.
ParlaMint-NL_2018-11-01-tweedekamer-4.u17	I do not know whether that applies to me, but at least it applies to my colleagues. I think that this request is reasonable, so I would suggest that you make six interruptions, for example, and then two if necessary. But this is really very little.
ParlaMint-NL_2018-11-01-tweedekamer-4.u18	Six in two I like. Is that a good compromise? Six in two?
ParlaMint-NL_2018-11-01-tweedekamer-4.u19	We're out!
ParlaMint-NL_2018-11-01-tweedekamer-4.u20	We're out. Give me a hand. Well, I guess I survived that again. I almost got my first motion of censure. Quickly to the Minister. You have the floor.
ParlaMint-NL_2018-11-01-tweedekamer-4.u21	Thank you, Mr President. I would also like to thank Members for their input in the first term. Before I get to the block classification I would like to start with a list of the facts: just a dry list of figures on investment in higher education and on cuts, to give a fair and complete picture. In 2019, the proceeds from the study advance will be...
ParlaMint-NL_2018-11-01-tweedekamer-4.u22	I don't want to interrupt you, but can you tell me what the cubes are first?
