ParlaMint-NL_2018-03-27-tweedekamer-37.u1	At the request of a number of Members, I propose that the following motions be repeated: 21501-02-1786; 32716-28; 25422-211; 30175-272; 31409-177; 25422-214; 30196-571; 30175-282; 25422-213; 34627-37. I propose that the following work be carried out: I propose to add to the Chamber's agenda the VAO Circular economy, with Mr Wassenberg as the first speaker on behalf of the Party for Animals.
ParlaMint-NL_2018-03-27-tweedekamer-37.u2	I now give the floor to Mr Azmani on behalf of the VVD. It's very noisy on this side. Mr Azmani.
ParlaMint-NL_2018-03-27-tweedekamer-37.u3	Thank you, Mr. Chairman. I am here on behalf of the Committee on European Affairs. In this capacity, on behalf of Members, I would ask that a plenary debate be scheduled with the Prime Minister around the informal summit to be held on 27 May.
ParlaMint-NL_2018-03-27-tweedekamer-37.u4	We will take that into account as it has been requested by the whole committee. Mr Kuzu on behalf of DENK.
ParlaMint-NL_2018-03-27-tweedekamer-37.u5	Mr. Chairman. "It's really five to twelve when it comes to opportunity inequality." This is a quote from several sociologists, including the Rotterdam sociologist Ilias El Hadioui. The age of parenthood, income or educational attainment for school success must be over. We would like to have a debate on this with the Minister for Education.
ParlaMint-NL_2018-03-27-tweedekamer-37.u6	Mr. Chairman. We have all kinds of options for discussing these issues in a general discussion. It would be good if Mr Kuzu or members of his DENK Group were present.
ParlaMint-NL_2018-03-27-tweedekamer-37.u7	Mr President, I should also like to draw Mr Kuzu's attention to the existence of the Committee on Education, in which we hold debates of this kind regularly. So no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u8	For me, Mr. Kuzu doesn't have to take part in this debate. No support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u9	This is, in my view, a very important subject. Moreover, it has not been discussed very often recently at the Education Committee. So I understand Mr Kuzu's request very much and I wholeheartedly support it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u10	No support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u11	Support on behalf of GroenLinks.
ParlaMint-NL_2018-03-27-tweedekamer-37.u12	Also support, Mr President.
ParlaMint-NL_2018-03-27-tweedekamer-37.u13	Mr. Kuzu, you have no majority.
ParlaMint-NL_2018-03-27-tweedekamer-37.u14	I would like to point out that we are a three-man group, so the arrogance of the large parties... I will not comment on it. I'll put it on the list for 30-member debates.
ParlaMint-NL_2018-03-27-tweedekamer-37.u15	Yes. We will add this debate to the list of 30 Members' debates. Mrs Ouwehand on behalf of the Animal Party.
ParlaMint-NL_2018-03-27-tweedekamer-37.u16	Thank you, Mr President. Air scrubbers are placed on stables to wash the stench that comes out before it goes out. You'd think: put fewer animals in the stable, then it stinks a little less. Those air scrubbers are heavily subsidised. Now, according to Wageningen's research, news has come out that they work far less well than always thought. We would therefore like to have a debate with the Minister of Agriculture and the Secretary of State for Infrastructure and Water Management. Before that debate, we would like a letter to come to the Chamber and the report to come to the Chamber.
ParlaMint-NL_2018-03-27-tweedekamer-37.u17	Mr President, support from the SP for a debate and also specifically for a letter. I would also very much like to read in when this report came to the Ministry and why it was not sent to the Chamber earlier. At present, it is suggested in the area that it was deliberately withheld until after the municipal elections. It seems to me that the cabinet has every advantage in taking away that idea.
ParlaMint-NL_2018-03-27-tweedekamer-37.u18	That's right.
ParlaMint-NL_2018-03-27-tweedekamer-37.u19	Mr President, D66 does support a letter, but not a debate on this point. I also believe that there is a plenary debate on pig farming.
ParlaMint-NL_2018-03-27-tweedekamer-37.u20	So no support. Mr Nijboer, PvdA.
ParlaMint-NL_2018-03-27-tweedekamer-37.u21	Mr. Chairman. Mr Moorlag has asked written questions about this. I would like it to be answered for the debate, which we would like to support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u22	I wholeheartedly support Mr Futselaar's idea of a letter, but this can also be debated elsewhere. So no support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u23	No support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u24	A letter seems sufficient to us in the first instance.
ParlaMint-NL_2018-03-27-tweedekamer-37.u25	Mr President, there is no support either, but I would like to start with a letter from the Minister.
ParlaMint-NL_2018-03-27-tweedekamer-37.u26	Good. Mrs. Ouwehand.
ParlaMint-NL_2018-03-27-tweedekamer-37.u27	No support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u28	No.
