ParlaMint-NL_2018-07-10-eerstekamer-16.u1	The next item is the continuation of the joint debate on legislative proposals 34915 and 34916.
ParlaMint-NL_2018-07-10-eerstekamer-16.u2	I give the floor to the Minister of Security and Justice.
ParlaMint-NL_2018-07-10-eerstekamer-16.u3	Thank you, Mr President, if you do not point out to me that I am the Minister of Justice and Security.
ParlaMint-NL_2018-07-10-eerstekamer-16.u4	You're absolutely right. I have said "Security and Justice" with great reluctance for a number of years, because I think that justice is more than enough. It's the other way around now, but apparently it's so etched in my head that I keep saying "Security and Justice." But I still prefer the Justice Department alone.
ParlaMint-NL_2018-07-10-eerstekamer-16.u5	It is a great boost for me in my life that the President of your Chamber is quite right. I would like to begin by expressing great gratitude for the speed with which your Chamber has dealt with these legislative proposals. But I also think that the tragic history makes that perfectly understandable. The enormous loss of lives due to the downfall of flight MH17 is incomprehensible. 298 people have been ripped out of life from one moment to the next. For next of kin facing such a loss of loved ones, life has taken an irrevocable turn. It has also touched your Chamber in particular. Senator Willem Witteveen died together with his wife Lidwien and daughter Marit. Two days before taking down flight MH17 Willem Witteveen had handed over the manuscript for his magnum opus The law as an artwork to the publisher. Witteveen uses the metaphor of the artwork in that book. He compares the creation of laws with the writing of a novel. From that perspective, he characterizes laws as a guiding framework that opens up an imaginary space within which the democratic community can develop. According to Witteveen, laws must provide guidance for the present and the future. Laws themselves no longer need to provide a solution to societal problems, but rather to define the spectrum within which these solutions can be formulated. A philosophical view that we should make a motto. With his death, the Netherlands lost a gifted lawyer and a passionate politician. Mr. Chairman. Truth finding and satisfaction cannot take away the loss of this life and the lives of all other victims, but they are important, for the relatives, but also for society in general, for the Netherlands, Australia, Malaysia, Belgium, Ukraine and the other grieving nations. Since that terrible day in July 2014, government, police and justice have been working to get the facts on the table and to call those involved in taking down the flight to account. With the presentation of the JIT, the Joint Investigation Team, on 24 May this year, more clarity has already been achieved. The Buk installation with which MH17 was taken down comes from the 53rd brigade of the Russian army. In this light, the Netherlands and Australia have held Russia liable for taking down flight MH17. It concerns the liability of Russia as a State within the framework of its responsibility for the relevant Buk installation of the 53rd Brigade. Today we are discussing the ratification of the MH17 Convention and the implementing legislation that is essential for criminal proceedings. That is to say: the individual criminal responsibility for taking down flight MH17. Last year, the JIT countries jointly decided that the prosecution of suspects could take place in the Netherlands and according to Dutch criminal law. National persecution in the Netherlands will be embedded in close and lasting international cooperation and support. Mr. Chairman. Since that joint decision, the preparations for a process have been vigorously undertaken. A treaty has been concluded with Ukraine and implementing legislation has been drawn up. Both of us are discussing today. In addition, there are a large number of practical issues that require preparation, such as the location for the process, which has recently been announced, the necessary infrastructure for process parties, media etc., and security, both physically and digitally. There, too, is and is being worked hard on. Then there is the treaty between the Netherlands and Ukraine. The starting point for criminal cooperation between the Netherlands and Ukraine is the existing multilateral conventions in the field of mutual legal assistance in criminal matters. The MH17 process will be a special process that requires specific adjustments. However, the starting point is to keep the adjustments limited, so that derogations are only made from existing frameworks if there is really no other way. In the bilateral treaty, the Netherlands and Ukraine have made some additional arrangements. As a result, uncertainties in the existing questions have been removed and solutions have been provided for situations that have not been taken into account by the existing treaties. I would like to briefly discuss the most important issues with you. First of all, the transfer of criminal proceedings. Ukraine transfers its right to prosecute the taking down of flight MH17 to the Netherlands. The Netherlands has jurisdiction, but the transfer of criminal proceedings by Ukraine makes it clear that persecution and trial in the Netherlands can include all victims, regardless of their nationality. This is an important condition of Australia and Malaysia in the joint decision of the JIT to allow national prosecution and trial to take place in the Netherlands and under Dutch law. Then there's the extradition of suspects. Ukraine will extradite suspects found on its territory to the Netherlands. However, Ukraine cannot extradite its own nationals. I shall come back to the trial by means of videoconference when I answer the questions in a very detailed manner, but I am now going to say a few words about it. Any suspects who are on Ukrainian territory and cannot be extradited may be tried using a videoconference link. Whether that happens, the Dutch judge decides in the trial. Then there is the transfer of the enforcement of custodial sentences. The Convention lays down arrangements for the transfer of the execution of any prison sentences imposed by the Dutch courts. This means that a Ukrainian suspect convicted in the Netherlands after the trial will serve his sentence in Ukraine. Let me briefly outline the proposed legal arrangements. The starting point for the prosecution and trial of taking down flight MH17 is, as I said, that they take place within the existing frameworks of Dutch law and regulation. Those frameworks are also suitable for this purpose. There are a few additions. I refer here to the appointment of the court of The Hague as competent court, the taking over of criminal proceedings concerning the foreigner who has his permanent place of residence or residence outside the Netherlands, the use of videoconferencing in the context of the trial of suspects, and the creation of the possibility for the court to use the English language during the hearing. I'll come to the questions, Mr. Chairman. I will answer that in order of the speakers. I will start with Mrs Faber-van de Klashorst, who asked if there are any other countries that are legally restricted in the extradition of nationals, such as Russia. That's the case. Several countries in the world have a ban on extradition of their own nationals. Our eastern neighbours, Germany, know that. Russia also has such a ban, as stated in Article 61 of the Russian Constitution. Mrs Faber also asked what guarantees the government could offer that any sentence imposed would actually be enforced and what means of coercion provided for in the Treaty. In the Treaty with Ukraine, the government has agreed to take over the enforcement of penalties imposed by the Dutch courts. On the basis of these agreements, Ukraine is obliged to implement them effectively in the event that the execution is taken over. If for some reason there is no complete execution in Ukraine, the Netherlands can take over the execution itself. In that case, the convicted person will be reported internationally and can be extradited to the Netherlands as soon as he moves outside Ukraine. Mrs Faber also had a question about airspace. She asked why that was not completely closed. A number of these questions have been addressed extensively in the parliamentary proceedings in your two chambers in 2015. I am not going to repeat them all here, if you and Mrs Faber agree, Mr President. Those questions are well known. The question is why there was only a flight ban of 32,000 feet, et cetera. The airspace above eastern Ukraine was not completely closed because there was no concrete threat to civil aviation above 9.7 kilometres. The Antonov who was shot down on July 14th flew down to a lower level, a level that can be reached with other weapons, for example with so-called MANPADS. Those are rockets from the shoulder. As far as avoiding airspace is concerned, some airlines did fly over the area in eastern Ukraine on the basis of their own information position and others did not. Former so-called "Minister of Foreign Affairs' of the so-called "Donetsk People's Republic'. The collapse of the Antonov on 14 July and the coverage of this has not changed that.
ParlaMint-NL_2018-07-10-eerstekamer-16.u6	Ukrainian minister Klimkin did say that Antonov could only be hit with advanced anti-aircraft guns or by another aircraft. This was later endorsed by Ukraine's Minister of Defence and the US Government. So they knew that there was just heavy, advanced artillery in the wrong hands in that area. They knew that. Of course, it is also remarkable that commercial airlines have made the decision not to fly over Ukraine anymore.
ParlaMint-NL_2018-07-10-eerstekamer-16.u7	I don't know what the question is.
ParlaMint-NL_2018-07-10-eerstekamer-16.u8	The question is then the following. They were aware that there were heavy defence guns. There were airlines that had chosen not to fly over it anymore. So they did have that information. Then there is the question: why didn't they shut down the airspace? You indicate that Antonov could also be taken down by, for example, rocket launchers from the shoulder, but that is contrary to what the Ukrainian Minister Klimkin said. He said otherwise. It has just said: it can only be done with advanced defence guns, not with a weapon from the shoulder.
ParlaMint-NL_2018-07-10-eerstekamer-16.u9	The tricky thing is: I find it difficult to comment on what a Ukrainian minister says about it. These are the findings from the cabinet and they are what they are. That was discussed with you in 2015. I would like to further philosophize about that, but this is how the cabinet sees it.
ParlaMint-NL_2018-07-10-eerstekamer-16.u10	But then there seems to be a difference between what the US Government, Ukrainian Minister Klimkin and the Ukrainian Minister of Defence say, and what our own government says. Well, there's a difference, isn't there?
ParlaMint-NL_2018-07-10-eerstekamer-16.u11	I don't know. All I've said so far is that Antonov was flying at a lower level. I think that is the most important point.
