ParlaMint-IS_2017-03-02-38.u1	We're expecting lunchtime off the clock. 13 o'clock. 14 today.
ParlaMint-IS_2017-03-02-38.u2	Borist has a letter from the Department of Economic and Economic Affairs asking for deadlines to give a written answer to a letter on the spell. 197, for the funding of individuals, from Andrés Ingi Jónsson.
ParlaMint-IS_2017-03-02-38.u3	Borist has received a letter from the chairman of the Independence Party in which he was informed that Hildur Sverrisdóttir, 8th. Smoke. This will include Ólöf Nordal committees previously served in accordance with 2 mg. 17th par. Parliamentary law.
ParlaMint-IS_2017-03-02-38.u4	To answer, Prime Minister, Minister of Health, Minister of Social Affairs and Equal Opportunities, Environmental and Resource Ministers, Foreign Ministers and Foreign Affairs, Industrial and Neoplasmic Ministers.
ParlaMint-IS_2017-03-02-38.u5	A respectable president. I had a word with the highest. Minister when he proposed a proposal for a change in the Council of Justice or the establishment of a new Ministry of Justice. We discussed this discussion about the cost of these changes. Many of us were concerned that this discussion revealed that no cost - price assessment had taken place. V.E.G. In fact, a minister answered that it was quite clear that taking one service and turning it into two would involve some additional cost, as he put it in the discussions. He mentioned a specific basic service, a special Ministry Secretary, etc. I proposed to the highest level. Minister to sharpen this answer, on what scale the figures were, the annual figures below, 10 million, 50, or 100. It has now been shown in the case of the Committee that, after some time, the administrative and monitoring committees have managed to achieve a 120 million per year rate, costing this change. This imagination of a new government, i.e. To build a special Ministry under the current Minister of Justice, it costs nearly half a billion during the term. I'd like to ask the highest. Minister, because he spoke of seeing ways to arrange for this elsewhere in the Board of Directors, where to do so, and whether this figure is in harmony with what he thought, and why he did not make it clear to the council at the time, or whether this figure would be unpleasant to him as it is here.
ParlaMint-IS_2017-03-02-38.u6	A respectable president. I'm sure this number surprises me, and I don't really think it's possible. I don't think it's possible that we're going to need it when we're not adding a minister, when not adding a new car to a driver, when not adding a new secretary in themselves, but only making a separation between two advisers. There's no new housing or anything else being added, and I don't think it's an option for the Ministry to suggest that after the divorce costs more than 100 million more so that the operation can continue unchanged. I don't think that's an option. I'm sure it wasn't the sort of numbers mentioned as saving when the old scheme was clicked into a new ministry together. Therefore, at this point, I would like to let it be noted that I feel that it is not possible to proceed with the case on that basis. This needs to be over and over. I state, as directed, that I realize that this will require some kind of work, e.g. Like advertising the Ministry's office. Of course, something is being costed. But I require the whole administration system, and in this case of the Board of Management, that people constantly seek ways to save and not take the opportunity to add more than the circumstances call for.
ParlaMint-IS_2017-03-02-38.u7	A respectable president. Thank you very much. Minister of clear answers. It is so that in today's expense assessment of the committee, seven new employees, including, are expected if a respectable minister would listen to two new experts whom I would have thought would be present in the current State Department for replacements. I hear it at the highest. Minister to believe he should reconsider this decision, i.e. At least review this arrangement. I'm asking the highest. A minister may consider that in this revision it is proper to try to do so at the highest level. As we noted here at 1st. The issue of this matter could be considered to add to the Management Board's supporting systems and to keep costs to a minimum, since it cannot be considered responsible for the use of public funds to do this at this convention. I also want to ask the highest. Minister and beg him to overturn his words whether I am not properly understood by the matter as presented in this setting, i.e. Half a billion in the season, if stopped.
ParlaMint-IS_2017-03-02-38.u8	A respectable president. What I'm simply saying is this: I still believe that it is the right to set up a special Ministry of Justice on the other hand and the special Department of Transport, the local government, on the other hand. However, this is not because if the ministry involved, the Ministry of Internal Affairs, cannot provide for the council an alternative strategy that is more realistic on the costs of this than the one that has been received by the Committee today. We will not continue with the situation if the cost is more than 100 million at the time of the transition alone, without any new issues to be taken care of. It's perfectly clear to me. It's out of the question. But I'm quite convinced that if you're more concerned with this matter, they'll see that you can do this without costing it much. That's how I want to see it end.
ParlaMint-IS_2017-03-02-38.u9	President. I'd like to start by celebrating what has been presented in this inquiry just now. I'm very happy to hear that. The prime minister is willing to take a closer look. I'm in a lot of other places. The pension rights of public employees were recently undergoing very extensive changes. When that matter went through the council, it was done at great speed. It was then on the website of the BSRB that the law had been approved. By permission of the President: The General has agreed to this significant change in the law on the pension of public employees without agreeing to these changes among government workers. It is clear, therefore, that the project is not finished. Therefore, BSRB will continue to work on this matter to ensure the legal rights by the General Assembly. It is obvious then that this procedure will have a negative impact on Community relations. That's why I'd like to ask the highest. Prime Minister on how to cooperate with BSRB in this matter and how to work with the Director of the Management Board. Governments plan to achieve what had not been accomplished sufficiently before the legislation on the integration of pension rights was adopted here at the Council, with far too many free ends and all too fast before Christmas last year. It is now worth considering that following the ban on public workers to strike, there will be a loss of 31st August of this year and there will be no suggestions for correcting the pay panels over the next six to ten years in agreement with the government organisation. I'd like to ask the highest. Prime Minister to see if any work has taken place and how it will be handled in order to ensure that this workforce is not upset this year.
ParlaMint-IS_2017-03-02-38.u10	A respectable president. What really matters is that there is talk, that you can communicate, and that you can discuss your priorities. What we have recently done is that we have spent half a day taking the lead in these total organizations and others in order to listen to their important issues. You're right about what you're doing. A senator that this is one of the issues involved when talking to the overall labour market organization, especially the employee side. I've previously expressed myself in a rather long way about the situation in terms of the equivalent of pension rights. There were always groups who, under no circumstances, refused to give up on their Kingdom responsibilities and did not want this change. Then there were others who led the conversation with the government who wanted to do so under certain circumstances. What I think can be very important about the continuation of these matters is that the overall interest in them is being put in perspective. Unfortunately, as I have been expressing myself relatively recently, I feel that the work model we have in our hands is shattered. It's very hard to get men on the same bus. It doesn't really matter where your foot is killed. Not all parties are at the framework. Not everyone was at the SALKK meeting. For now, people have been talking freezing. Each one makes his own demands, viewing the matter from the interests of his peers. It is very difficult to cover a group that is being viewed far above the platform and asks: " What are the best results for the overall population in time? That is really what I want to see happen, trying to get the conversation back into the direction that we are looking at the interests of the whole group, not from each group at a time. [[The president calls.]] [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u11	President. I can totally agree that it is a noble goal to try to look for the interests of the group. Of course, in these huge companions, however, there are certain societies with a very special working environment and a different pressures. That's exactly what I've heard. The prime minister's discussion of a new market model would be most helpful to learn more. I realize they can't be ripped off here at such a short time, but I'd like to know how to do it. A minister sees that it looks, and he sees if more information can be made and at what location it is in the council so that we can look at it. I hope there will be some consultation with all parties, including the council.
