Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	-	Centre to centre-right	EygloHardardottir	Harðardóttir, Eygló	F	1972	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	-	Centre to centre-right	EygloHardardottir	Harðardóttir, Eygló	F	1972	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	SigridurAndersen	Andersen, Sigríður Á.	F	1971	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SteingrimurSigfusson	Sigfússon, Steingrímur J.	M	1955	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	VilhjalmurArnason	Árnason, Vilhjálmur	M	1983	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	THorhildurAEvarsdottir	Ævarsdóttir, Þórhildur Sunna	F	1987	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-09-27-8	ParlaMint-IS_2017-09-27-8.u11	Speeches in the national parliament of Iceland, 22. term, regular meeting 147-8, 27.09.2017.	2017-09-27	Unicameralism	22. kjörtímabil	147. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	
