Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u1	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u2	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u3	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Chairperson	MP	notMinister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	UnnurKonradsdottir	Konráðsdóttir, Unnur Brá	F	1974	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u4	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	BjarkeyGunnarsdottir	Gunnarsdóttir, Bjarkey Olsen	F	1965	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u5	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	V	Viðreisn	Coalition	Centre-right	BenediktJohannesson	Jóhannesson, Benedikt	M	1955	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u6	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	KatrinJakobsdottir	Jakobsdóttir, Katrín	F	1976	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u7	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	P	Píratar	-	Pirate Party	BirgittaJonsdottir	Jónsdóttir, Birgitta	F	1967	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u8	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	S	Sjálfstæðisflokkur	Coalition	Centre to centre-right	BjarniBenediktsson1970	Benediktsson, Bjarni	M	1970	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u9	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	F	Framsóknarflokkur	-	Centre to centre-right	SigurdurJohannsson	Jóhannsson, Sigurður Ingi	M	1962	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u10	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	Minister	Bf	Björt framtíð	Coalition	Centre	OttarrProppe	Proppé, Óttarr	M	1968	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u11	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Sf	Samfylking	-	Centre-left	LogiEinarsson	Einarsson, Logi	M	1964	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u12	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	V	Viðreisn	Coalition	Centre-right	JonValdimarsson	Valdimarsson, Jón Steindór	M	1958	
ParlaMint-IS-en_2017-03-13-43	ParlaMint-IS_2017-03-13-43.u13	Speeches in the national parliament of Iceland, 22. term, regular meeting 146-43, 13.03.2017.	2017-03-13	Unicameralism	22. kjörtímabil	146. löggjafarþing	Hefðbundinn	-	-	Reference	English	Regular	MP	notMinister	Vg	Vinstrihreyfingin - grænt framboð	-	Centre-left to left	RosaBrynjolfsdottir	Brynjólfsdóttir, Rósa Björk	F	1975	
