ParlaMint-IS_2017-05-24-70.u1	The president assumes that there will be a vote at about 1 00 p.m. 15th
ParlaMint-IS_2017-05-24-70.u2	To answer, Secretary of Economic and Economic Affairs, Social Affairs and Equal Opportunities, Transport and Regional Ministers and Ministers of Justice.
ParlaMint-IS_2017-05-24-70.u3	Madam President. V.E.G. For example, during the first day of the media, the minister of finance said that the situation in currency was so serious that we had to watch some very radical solutions, or words of the highest degree. Minister, with permission of presidents: We cannot have this floating currency. This is not supposed to be a roller coaster. I was wondering what to do with the highest level of action. Minister's turning. Of course, I thought about it in view of the highest. A minister has produced a financial program that is proclaimed tax losses that obviously make the economy even worse to cope with the spell than it already has already been. Obviously, at the highest. Ministers not in changing tax policy to reduce the amount of money in traffic. In view of our highest policy. Minister and his party will have two radical solutions in mind, and I would like to ask the highest. Minister: Is he referring to a fixed policy with a currency plan, as we know elsewhere? Is he referring to the entry into the European Union and the recording of the euro or the recording of any other currency? What is the most radical solution. A minister of ours? V.E.G. Ministers have also ignored the present system of currency. A top-level money policy committee is now active. Governments and I'm asking: What is the position of the government community if the result of the money policy committee continues to float with an inflation goal? With any national emissary equipment right now? Will this government continue? It's the highest. After saying that the present arrangement is ruined, a minister of finance was accepted? It's the highest. Ministers even putting pressure on the results of the money policy committee, that there will be some drastic solutions, and what are these radical solutions, Mrs. President?
ParlaMint-IS_2017-05-24-70.u4	Madam President. Thank you. A senator for the inquiry. It is true that I and others have seen that it is a serious matter when a currency so rapidly turns around, as has been the Icelandic crown for the past two years, but it certainly has not been possible for the scholarship. Granted, there are ways to take action. We know what has been done, that the bat has been buying, but he has declared that he is planning to reduce measures. We've taken away the budget, so now we can have Icelandic companies, individuals, and pension funds invested abroad, and bought currency, stock markets, and other things. Although I truly respect the independence of the Secret Bank Penitentiary Committee, I have believed that one of the main factors is that the growth differences between Iceland and abroad were as low as anything, so I have encouraged the growth of my numbers. There are other measures, but these are key. In fact, I have also encouraged the pension fund to expand my investments abroad. It's not right. A senator that I offer taxes. Changes in the worth tax system include the transfer of certain items and subsequent declines of others. [[The president calls.]] But in the latter part of my reply, I will come near to that in detail.
ParlaMint-IS_2017-05-24-70.u5	Madam President. V.E.G. A minister cannot come here to list what has already been done. He showed up for an interview last day and said that this time a radical solution would be needed to get a hold of the currency. He also showed up for another interview in euros, probably not because nothing else was clean in his home. V.E.G. Minister is sending a message. He needs to speak to the Allied Parliament about his radical solutions. Witnessing to what has already been done is not enough. He needs to tell us where he's headed. I guess the highest is going. A minister does not continue to sit in a house that he has already declared has yet to collapse. We haven't heard no party at all. A minister will open any of the radical solutions mentioned earlier. We need to figure out where the highest is. Iceland's financial and economic secretary wants to go to currency and what radical solutions he's reporting. I'm waiting for the highest. Minister to give a clear answer.
ParlaMint-IS_2017-05-24-70.u6	Madam President. It's very complicated. It's no secret to be heading for the election's Action Programme. There's a way we've been introducing to others, and I know that many have taken an interest in them. The Government's policy declaration refers to the environment of the money policy where creation will become a new money policy that aims to reduce the swing of the crown's gangs. [[The Claus of the Assembly Hall.]] President. Is a conversation allowed here in the hall?
ParlaMint-IS_2017-05-24-70.u7	The speaker who stands in the public speaker's public assembly has become.
ParlaMint-IS_2017-05-24-70.u8	He'll have to answer.
ParlaMint-IS_2017-05-24-70.u9	Is a conversation allowed between presidents and senators? I...
ParlaMint-IS_2017-05-24-70.u10	There's been talk.
ParlaMint-IS_2017-05-24-70.u11	Now my speech session is over, but hopefully I'll have a little extra time in view of a disturbance. [[Up front.]] It is true that the currency business of the currency, the crown, is linked to a foreign currency, and there I see the radical solution I have spoken about. [[Up front.]]
ParlaMint-IS_2017-05-24-70.u12	President. First, I'd like to ask the highest. Minister on issues related to financial programmes. [[The Claus of the Assembly Hall.]]
ParlaMint-IS_2017-05-24-70.u13	The president asks for a better sound in the room.
ParlaMint-IS_2017-05-24-70.u14	First, there is a lack of action at the General Assembly, and the minister has repeatedly testified that if we are allowed to disunite the process, which is, of course, an amazing disrespect for the Council of Justice. But more importantly, there is absolute uncertainty as to what this strategy involves. When it comes to stating that this five - year program is binding, the members of the administration and management committees feel that they are missing something of the government's campaigns for health or other community foundation measures, it is possible to respond to the lack of financial resources in these sectors by altering financial laws. Is that right, chief? Secretary of finance, Benedikt Jóhannesson? Is this a flexible frame that can be changed from year to year? Or is it a five - year plan that should be strictly adhered to? I'd also like to reiterate the council's demand for access to disunition. First of all, a change in proposals cannot be made; what if any adjustment is accepted here, we don't know how it will affect another budget team that is related to a financial plan, and it's very serious. This means that we senators, as well as members of the greater part, have a very difficult time offering tips and suggestions on how the plan should look after the General treatment. Or maybe that's how it is, chief. Secretary of finance, that the council should have nothing to do with the government's financial or financial fees? Is that solely clear on the executive authority's hand? If so, it must be a violation of the constitution. Or what's the bottom line. A minister of that?
ParlaMint-IS_2017-05-24-70.u15	Madam President. Thank you. A senator for this inquiry. I have to say, and I've been through it quite often, that with the budget, we're putting the budget frames on the individual categories. We could say that if we were setting a total budget frame on the kingdom, we would be deciding that the total budget is 800 billion, not 750, or any other number. That is the decision we are making now when discussing financial programs. This is a very important process, a process that has been in many other places. We're learning something about it. But there we put the frames around the issues, how much to go on every subject. That's what they asked me for. The legal committee, to what extent the frame was flexible. I think we should take this frame very seriously, but we must, of course, be able to cope if circumstances change. I can mention examples we've seen in a year and a year ago, in which suddenly a large number of inmates were multiplies, and we had to respond even if financial expenses were not approved. In fact, there are a number of cases that the Parliament recognizes of the kind that must always arise. While we generally agree to a five - year frame, we change it every year to the International Assembly. Of course, I respect the authority of the Generals in it.
ParlaMint-IS_2017-05-24-70.u16	President. I thought it was a rather hairy answer if I was to say exactly what it is. If the highest. A minister would respect the Council of the Council would provide the information that has been called upon here. I want to inform the highest. Minister that if we don't get this information, we can't accept this frame. It's just that way. Coming to another question. February 3rd. is made up of the following statements on the Ministry of finance, by permission of the president: The government intends to make public access to financial information from the state. An important step in this situation will be taken in mid- March when the tissue opens accounts.is will be opened. It is also stated that work started last year, and most of it is done. This was reported less than four months ago. It's been two and a half months since an open bill was due. What's the reason this project has been delayed by two and a half months, tops. Secretary of finance?
ParlaMint-IS_2017-05-24-70.u17	Madam President. You're right about what you're doing. Senator, the project has been delayed. However, this has not meant that the work has not been done fully. The project has been prepared, but it has only taken longer. There have been comments and tips e.g. From character protection. I'm very interested in this project, as I have expressed at the Senate, and I hope it will work out as quickly as possible. I just have to admit, though, that it's been slower than I hoped, yet the tips that have been presented have certainly been right. I'm expecting them to see the site when the web takes off. I hope it's as soon as possible. I'm afraid to promise anything, but hopefully it'll be before the fall, perhaps before.
ParlaMint-IS_2017-05-24-70.u18	A respectable president. I'd like to direct a question to the highest level. Financial and economic ministers. During the weekend, the minister expressed his concern for the sponsorship of the crown. Of course, such an exaggeration is not necessary. Industry in exporting enterprises fall apart, but there are, of course, less available for consumers. So the situation is sour. The late bank issued an announcement earlier in the previous week, saying, by permission of the president: ▪ The bank's high rates of currency in recent years have led to a huge expansion of the way that makes it impossible for these regular purchases to be needed at this time. So they will be stopped starting next week. For a player, this arrangement seems very special. If there was any reason to eliminate the crown's overpriced gangs with regular purchases of currency, the need seems now to be gone. This morning's reports are that foreign companies are beginning to invest in federal bonds again, but the purchases stopped when the Sullen made a special charge in June 2016 after we had approved it here at the council. Today, according to the newsletter's check sheet, foreign funds are reported to have invested for several billions more in federal accounts for the rest of this month. In view of how much money I have grown, I would like to ask the highest. Minister to see if he agrees with the Federal Bank that now is the time to stop the regular purchase of currency. Second, I would like to ask a minister if he believes that if the Sustainer reduces his wages, he will stop getting stronger. Third, I'd like to ask a minister if he believes that the growth trade has played a significant role in the development of Iceland's economy on the side of the autumn 2008 and whether he is concerned with taking action to support this business that is now under way.
