Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e1788	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e1819	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e1852	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2415	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2452	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2470	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2506	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04477	Wittmann, Peter	M	1957	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2597	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2629	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_01226	Molterer, Wilhelm	M	1955	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2681	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00024	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00024_d7e2703	Sitting Number 24, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 24	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35517	Fichtenbauer, Peter	M	1946	
