Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u1	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u4	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	MlakarDavorin	Mlakar, Davorin	M	1958	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u5	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u6	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	HDSSB	Hrvatski demokratski savez Slavonije i Baranje	Opposition	Centre-right	GlavašBranimir	Glavaš, Branimir	M	1956	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u7	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u8	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	PodolnjakRobert	Podolnjak, Robert	M	1958	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u9	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u10	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ŠukerIvan	Šuker, Ivan	M	1957	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u11	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u12	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Regular	MP	notMinister	NLSP	Nezavisna lista Stipe Petrina	Opposition	-	PetrinaStipe	Petrina, Stipe	M	1954	
ParlaMint-HR-en_2015-12-03-0	ParlaMint-HR_2015-12-03-0.u13	Minutes of the National Assembly of the Republic of Croatia, Term 8, Session 1	2015-12-03	Unicameralism	8. mandat	-	Zasedanje 1	2015-12-28	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
