ParlaMint-HR_2015-03-20-0.u96596	I swear.
ParlaMint-HR_2015-03-20-0.u96597	Congratulations. I congratulate my colleague Krnić on his oath, I wish you success in the work in the Croatian Parliament. [[Applause]]
ParlaMint-HR_2015-03-20-0.u104950	Dear colleagues and colleagues, we can start working. Clubs aren't looking for any breaks, no one's going to comment on the sun's eclipse, okay. Then we move to: - Environment report in the Republic of Croatia 2014. (term 2009 to 2012); Report was submitted by the Government of the Republic of Croatia. You've received the motion for an act. The debate was conducted by the Committee on Environmental and Nature Protection and the Committee on Spatial Planning and Construction. You received the reports at the session. Does the proposing representative want to further explain the proposal? Yeah. Dear Croatian Dokoza, Deputy Minister for Environmental and Nature Protection.
ParlaMint-HR_2015-03-20-0.u104951	Honored MPs and MPs, respected esteemed colleagues and colleagues. In accordance with the Environmental Protection Act, the Environment Protection Agency draws up an environmental report at national level every 4 years. The focus is a four-year period, although most of the changes in the environment can be observed and numbered only over a long period of time. The data shown in this report shall have a distance of 2 years, i.e. contain data based on 31. 12. In 2012. The report was drawn up in cooperation with 40 state and public, and scientific and professional institutions of all sectors having an environmental impact. The data are the basis for carrying out the overall environmental assessment and for assessing the objectives of basic, strategic and planning documents in the field of environmental protection, the Strategy for Sustainable Development of the Republic of Croatia and the National Environment Action Plan. This provided guidelines for action not only for decision-makers in the environmental protection sector but also for other sectors as well as the basis for assessing the eligibility of measures and activities carried out. The new report is the introduction of key questions for each chapter to which a brief and clear answer is given. The environmental components in the reporting period from 2009 to 2012 were the reduction of emissions from major air pollutants, which contributed mostly to the measures implemented by air protection policies. Climate change, greenhouse gas emissions are decreasing, the Kyoto Protocol target has been achieved, the greenhouse gas emission limit for 2008-2012 to 95% of the 1990 value. Water, pollution emissions, water's down. The number of wastewater treatment devices increased from 101 in 2008 to 117 in 2012. The sea and coast, the ecological state of Croatia's largest part of the Adriatic, remains the highest level of quality. The soil and land, in the Republic of Croatia, has established 13 locations, so-called Black dots and by the end of 2012 a total of 4, in the recovery process 6 and three locations are in preparation. Biodiversity, a proposal for the Natura ecological network, which covers 36% of the land area and 16% of the sea surface. 3984 species are protected, making up a total of 10% of the property. Environment and health have increased the life expectancy of citizens on average for both sexes to 76.7 years, as well as the expected years of healthy life average for both sexes for 60.8 years. With regard to sectoral burdens, space building and demographic burdens, the population is reduced with an increase in artificial surfaces, resulting in greater demands for citizens in terms of taking up space. Regarding industry and transport, the share of electricity produced from renewable energy sources in the total electricity consumption in 2012 was 28.7%. In primary energy production other renewable energy sources, energy from the sun, wind, geothermal energy, biogas, liquid biofuels share 3.2%. Their growth was significant and increased by an average annual rate of 102% in 2004-2012. The building sector is the largest individual consumer and represents the greatest potential for energy savings. Agriculture in the total area of Croatia, crop land is represented by 27%, land is increasingly used in accordance with the principles of sustainable production. Fisheries and aquaculture are working to establish a continuous monitoring and monitoring system of the marine environment. Tourism in total GDP took part with 15% and is a significant economic branch of the economy. The number of visitors in national parks and nature parks is growing. Of course, in order to better protect protected areas, it is necessary to deploy more evenly the burdens of parks by investing in the visitor's infrastructure in line with sustainable development. And waste management and material flows, at the end of 2012, decreased the amount of waste produced by 7% compared to 2008. The share of municipal waste that has been delayed at landfills since 2008-2012 is reduced, down from 97% to 83%. Since 2008-2012, the number of dumps recovered has increased from 63 to 112. Recommendations to improve the situation, the report makes recommendations to improve the state of the environment such as strengthening the cooperation of institutions, involving the business sector in environmental protection, strengthening the system, monitoring. Part of this report has become part of the European Environment Report published on 4 March 2015. Thank you very much.
ParlaMint-HR_2015-03-20-0.u104952	Thank you. Do the committee's reporters want to take a word for it? No, I don't. I'm opening a debate. In the name of the club... Yes, on behalf of the Committee on Spatial Planning and Construction. [[You can't hear the intruder.]] Here you go.
ParlaMint-HR_2015-03-20-0.u104953	Dear Vice President, Deputy, colleagues and colleagues. The Committee on Spatial Planning and Construction of the Croatian Assembly discussed it at its 37th session held on 22 October 2014. Report on the state of the environment in the Republic of Croatia for the period 2009-2012 as an interested working body. It has been pointed out that this report period and marked the alignment of national legislation with the acquis of the European Union. The importance of this document is highlighted in which 178 indicators were processed and the esteemed interaction of certain areas. The main positive and negative trends for some thematic areas are given and the following are set out. In Croatia, as a prerequisite for sustainable and balanced development of the country, the high development of the highway network has been achieved and developed by the European Union. The objectives of politic development are not met, so we have an unbalanced settlement, which is an increasing pressure on cities and the trend of leaving rural areas. Demographic trends remain negative, insufficient progress has not been made in the area of cleaner production, a decline in energy consumption and a reduction in industrial production as a result of the economic crisis, as well as a reduced amount of waste produced. The air is mostly clean or slightly polluted, we have enough water for our own needs and information that most of the Croatian Adriatic remains the highest level of quality. It is argued that there are still illegal waste dumps and that much more should have been done in this context and the need to make strategic environmental impact assessments in accordance with the provisions of the Environmental Protection Act. Following the discussion, the Committee unanimously proposed to the Croatian Parliament the conclusion that the Environmental Report in the Republic of Croatia for the period 2009-2012 should be adopted. Thank you very much.
ParlaMint-HR_2015-03-20-0.u104954	I would like to thank the chairman of the Committee on Spatial Planning and Construction of fellow Ronko. I'm opening a debate. On behalf of the Club of Representatives of Independent Leftists, Branko Vuksic will speak, please.
ParlaMint-HR_2015-03-20-0.u104955	Dear Vice-President of the Croatian Parliament, dear deputy, distinguished colleagues and colleagues. Right at the beginning, the Independent Left-handed Club will support the report. The report is comprehensive, so we are Croatian, independent of Croatia, comprehensive. Actually study and it's nice to read it, you get new knowledge, it's transparent, you actually get a good picture, and I even think it's a real picture. So there are no disputed points in the report itself and congratulations to those who worked. But it's past time, we analyze what it was and what it is today, but we need to turn around here for what it's going to be. A colleague spoke on behalf of the board, I read the committee's report, which was spoken on the board. One of the biggest problems is actually you know and they're people themselves, the biggest problem. We still feel that we are stronger than nature and that we can control nature, but nature well knows that old, nature without us can, and can we people without nature. We can't. And nature if we're going to stick to the fact that we didn't inherit nature from our ancestors, we've already borrowed it from our grandsons and our great-grandsons, and if we're going to treat nature like this and the environment then there's some future for us. It is certain that when we look at the picture of the environment, or nature in the world that Croatia has no reason to be deeply concerned, unless we follow someone, if we do not look at some announcements, let's say the survey of the Adriatic, gas, oil, but I'll talk about it a little later. For years Croatia has been at the very top of the European sea and is absolutely safe in the world. I don't know who was in the famous Caribbean and you're sailing on a boat, you need to sail a few dozen miles to get clean water on those Caribbean and to get to the Caribbean Islands and islets. It's seas without smell. You cross Učka today, and you smell that Mediterranean smell, the smell of the Adriatic, and it should be kept for as long as it sounds silly now, as the pupil of your eye. Now the question is, there's a dilemma whether we're going to die of smell or hunger. What to do, because we know that as soon as someone takes a shovel in their hands there is a group of people who yell no in Croatia. No Adriatic research, I don't have answers right now, so I don't have answers, I'm not an expert in this area, I'm a general-type politician, but I have questions and I'm trying to answer myself. So we want to investigate the Adriatic, we say no, we won't explore the Adriatic. We want to build a power plant, we say no, it'll pollute the environment. On the other hand, every little bit here we talk about how new jobs should be opened. Can new jobs be opened without endangering the environment? You can be absolutely sure, but then we need to build a new strategy, a strategy that will not be just a matter of one club or club of the one who is ruling or coalition, but of everyone in the Croatian Parliament and we need to agree what Croatia wants in the next 50 years, what kind of country it wants to be. Whether it wants to be a country with a clean Adriatic, whether it wants to be a land with no too much poison, whether it wants to produce healthy food, organic food and be the center of ecological food in Europe. And when we agree that we want to do that, then we know what's going on in the Adriatic, what's going on with the exploration of gas in the Adriatic, what's going on with the exploration of oil and what's going on with the exploitation if it's in the Adriatic, gas and oil, which is all that's expensive on the long stick, which is then going to work. We must not forget about that either, I am talking about one of the strongest things that Italians, that Montenegrins, that Albanians drill the Adriatic, explore and exploit the Adriatic especially the Italians. That when it happens in the Adriatic Sea, if it happens on the Italian side, the Adriatic Sea isn't that big that we wouldn't be threatened. Another thing is to see what tourism means to Croatia. How much tourism we can earn, and what would mean is a smaller seam, means smaller proportions so that our neighbours and Greeks and not literally neighbours, but countries that are close to us and the Spanish, and the Italians, too, will make sure that they make an ad about the unclean Adriatic that threatens health if it happens. However, there is that the thesis of people who are prone to drilling the Adriatic to sail the great tankers daily in the Adriatic, and these tankers are also a great threat, perhaps even a greater threat because we do not control them from the draining water to that it can happen that tanker simply leaks out, that some hash and pollutes Croatia's Jaran. Is there any answer to that? No, we don't have answers. I'm asking questions. But we should discuss here, we should do some expert analysis and then make decisions afterwards. Why are we in terms of purity at the very top? Well, first of all, and because we destroyed all the industry. We have no one to pollute, or if it pollutes very few of these contaminants. Well, twenty years ago, in the 1990s, if you remember, they were often on Croatian television, which was the only one since the national televisions of the 1990s when you had a report that this and this factory dropped into that stream or there and that river of uncleanness, and then it was discussed. Today it is no longer debated, for there is no more anyone to flush water that would pollute drinking water. There's less and less of those contaminants. And by that, we've lost more jobs. Less and less employees, more and more unemployed, are all, the ratio between pensioners and employees is almost 1:1 which Croatia will not be able to bear. Now the question is, again it's a question of what industry. Do we at this time know what kind of industry Croatia will be, which will stimulate. Of course, the government cannot run the economy of the Republic of Croatia alone, that it must be negotiated, that it must give incentives, that it must be stimulated, that it must be connected, that it must create frameworks. However, if we knew what we wanted then it would be much easier for foreign investors as well as for domestic investors. One of the biggest problems being said here, I spoke in a comprehensive study, not in the report is traffic. We are one of the biggest polluters in Croatia are cars. When we talked about traffic, we mentioned the railroad and we mentioned the relationship between the railway and the road traffic. How many goods are transported on Croatian highways and how many Croatian railways? The ratio is 2:8 in favour of road traffic. In other countries that care about their environment, but also care about being competitive, making it as cheap as possible to transport goods to ports or to their destinations is the opposite ratio. So more, it's cheaper on the railroad. How little we think and how clean the sea is and how clean the environment is, the relatively clean air of chance tells us about it. Let's say I take an example of Zagreb. Zagreb, which at no time despite what is said to have, so far and we still have a genius, I say it with the irony of the mayor who has built a lot of things, and he has built parking lots in the city centre. And told everyone in the city center, you're all driving, stimulate as much gas as possible, as much smell in the city of Zagreb. What do we do, for example, European centres that are thinking about what kind of air is going to be 50 years? They do parking lots, they do underground garages on the edges of the city, they stimulate to park there. Even some cities have when you buy a parking ticket it's also worth public transportation and public transportation to the city center. However, in order for you to come from Dubrava or come from another part of Črnomerec to the city center, just because traffic is jammed, it takes you an hour. So we're not planning on it. What happens to the Croatian environment is that we are fortunate to do nothing or do little under quotes and not develop enough. But just the city of Zagreb is an example of how badly planned and how little thought is being given about what will be tomorrow. One of the cancer wounds, so other than the traffic that we don't have a full traffic strategy, cities that don't say they have a traffic strategy. You know there are cities that stimulate cycling and public transportation. We in this, says the City of Zagreb built 70 km of cycling trails. That's a notorious lie. Cycling trails are drawn on narrow sidewalks, half the bike trail takes that car beak, the front part, and the other half you can't even get through. When you're driving a baby cart, it's amazing. You're afraid of being killed that some cyclist will crush you, child. Zagreb does not have 70 km of built paths, there are drawn lines which are actually the biggest fraud and there is some big money because it has spent quite a lot of color and spent some steps and actually the cyclists, very few cyclists in the City of Zagreb have. Not to mention some other cities not to be stimulated here. And one, at the end, I'm one of the bigger wound cancers that's gonna be waiting for us, remember those pictures from Italian cities when you're looking at or some other cities when the residents are suffocating in the smell because no one's driving the trash. We have seen examples of Croatian Adriatic cities that have no place to dump garbage. The same situation will be experienced by the City of Zagreb, which is not about the disposal of waste, and it is spent, and there the DORH should wrinkle, so much money that we could make a waste management centre for all of Croatia. What's done, where's that money? Nobody knows that. He probably doesn't want to know because there's too many people in the biggest business, and the waste business is one of the biggest businesses, connected and there's a lot of silence. What will happen in Croatia that does not have a dump, which does not have a good waste disposal strategy and when will we start choking in the smell? We're already starving in hunger, and we sure as hell will get in the stink. So, the one we own in our own households. So I say and I repeat once again that our air is clean, which is a crystal clear sea for us, which when you come to the islands you can't believe how beautiful Croatia's Adriatic is is just a coincidence because we were insufficiently "smalled" under the quotes of Todorovic and other tycoons are not interested in the sea or in waste management because it would be even worse. Thank you very much.
ParlaMint-HR_2015-03-20-0.u104956	On behalf of the Independent Representatives Club, colleagues Grubisic and Cain signed up.
ParlaMint-HR_2015-03-20-0.u104957	Your Honor, Mr. Vice President, gentlemen of the Parliament. Yes, I will continue here where my predecessor stopped and paraphrased a sentence that I said that ecological Croatia is a paradise on earth, full of life we can say for what we paid 2.8 million kuna for. We've destroyed the entire industry so we can't talk about pollution. But what is it about this study? This is about energy, it's about industry, it's about transport, it's about agriculture, it's about fishing, it's about tourism, it's about waste, it's about islands, etc. I'll start with the junk, meaning the Buzet compost. This really belongs to the waste head, although only those who unwisely can push that plant into the heart of the Buzetski ski, meaning, the heart of the Buzet hole, bringing thousands of tons of chicken and turkey feces 500 meters from school, kindergarten, hospital, playground, first settlements, houses, etc. You know what an absurd thing is? Slovenians said don't compose, and that team wants a replacement location in Buzet. That can't go. In Slovenia, the European directive, which is prescribed from Germany, cannot be built 500 metres from the first houses, or closed 300 meters from the first houses. Croatia, this country case, not a random state don't give God that someone wouldn't replicate it to me because too much blood has been shed for that country, doesn't prescribe that matter. Let them build a composite but not in the heart of the city. And why does Croatia not prescribe this matter? Because waste management, like my predecessor said, is a big business, and it's best to hunt in gunpowders like us. When we talk about energy and air before that, I will only mention these demographic trends where it is said that in the 20-year period the number of inhabitants in Croatia decreased by 10.7% or 510 thousand people. The number of live births decreased by 25.6% 14 212, but at the same time decreased by 2.25 years. Then it is further said that the migration balance until 2008 was positive mainly from BiH with the highest values of '93. 48.5 grand, '98. Forty-four thousand, and since 2009, it's become negative. And then it is said that Croatia, at the average age of the population, is 8. in Europe. Then it is further said here in this report that Croatia is reducing energy imports. On Sunday, the referendum was held on 29.03., without any effect, late, absolutely late Plomino 3 referendum. I want to believe that Labinjani or Labinioni will be against it even though the whole of Istria should be manifested, and if not all of Istria then with Labinština and Cres and Moscenička Draga, part of Opatija, because it is certain that they should be or should be affected by this pollution, so the ecological rent should also be shared. When we talk about these platforms that my predecessor was talking about, I'm just saying that 73rd in the northern Adriatic, we found respectable gas reserves, in '99, at the time the HDZ government was headed by Mr. Matesha, closing a concession with the ADP. From 99th to today, it is exploited in the northern Adriatic, and in the 15th year, no incident occurred, neither in Italy where gas efficiency was 20 times higher than in Croatia. There's no need to be afraid of the platform, if there's anything to be afraid of, it's the ferry. Only the Anamarija platform 30 milli actually draws 1/3 of Croatian gas from Istria. Since this is about the sea, since it is about the epicontinental belt of the County of Istria, there is no income from it. I would also like to translate Plomin C from coal to gas in the northern Adriatic as well as to translate all platforms into Croatian shipyards. A few days ago, the Croatian government gave the Uljanica, which I said yesterday was a guarantee for the construction of a 88m-euro platform. The platform alone costs 99.1m euros. So the state provides a guarantee, a financial guarantee for 80% of that amount in advance. So we see for ourselves that it's a huge, huge job. We simply have to do something, clearly that the coal thermo power plant will not, it is a cancer factory, regardless of what will ultimately cost 800 million and euros, and that would trigger the economy of the entire Labinština, the whole of Istria and perhaps the Republic of Croatia. And why, I mean, why is investment important? So just one piece of information to say, for the first time, what seemed impossible 10, 5 or 4 years ago, the gross social product of the Primorje-Gorski County exceeded the gross output of the County of Istria, so that the gross product of the County of Istria is 90 556 or 13 110 euros per capital, and the County of Istria falls to 95 298 kuna or 12 677 euros per capital. And what's even worse, in Istria, the gross product was 13 179 euros and 2012. 12 677 euros. So there was a 502-euro drop in just one year per capita. When we multiply it by 208 thousand people, it's a loss of 104 million euros, 800 million kuna. So if we want to survive we simply have some things to do or some things have to happen. A lot has been said before and about the railroad, I am now openly asking what will happen to the LNG terminal in Krk? Is that what I'm asking in the context of Plomina C? The Italian government recently gave the green light to build LNG terminals in Trieste, in Trieste they had previously opposed but mostly Slovenians not so many Italians LNG terminals, and now we see that they are all for. The question arises whether one Omishal can compete with Trieste, is Omishal another lost job, I will say centuries or thousands of years in the Republic of Croatia? Trieste is simply closer to the EU, there are far bigger consumers and normal logic is to go towards it. The term wants both Italians and Slovenians, we want to believe it too, I think, but Europe says it can only finance one. The one in Omislje would cost 630m euros, in Trieste 500m euros. The capacity in Omislje would be 6 billion cubic metres of gas a year, in Trieste 8 billion, so we can figure out what's just going to happen. So I said if we want to survive, we have to want some things, or we're going to. to pay now I don't know how much more 40 limes of excise duty per litre of gasoline. We now pay for lead gasoline 4.3 kuna per litre plus Croatian highways 20 limes, for Croatian roads 80 limes, for Croatian railways 20 limes and for unleaded ones, totaling 5.5 kuna per litre, and for unleaded gasoline we pay is 3.66 kuna plus these 20 for highways, 80 for Croatian roads, for railways 20 kuna which is 4.86 kuna. In one word, we here no matter what we are, we can't live under a glass bell. On the 27th side of this report, greenhouse gas emissions, pollutants, air and water from the energy sector were discussed among other things and it is said that greenhouse gas emissions from the energy sectors in 2012 decreased by 8.9% compared to the previous year while they decreased by 15.6% throughout the observed period. And then we get to page 50, and then we're literally talking about the assessment of the situation in the area, and it's said that in the last 10 years the total number is now going from there, and then I'm going to get to the industry, the personal vehicles increased by 11.7%, in 2012, there were 338 personal vehicles per 100,000 inhabitants, concerned by age, but when it comes to industrial production, it's said that at the end of the observed period, industrial production was lower by 16.5% compared to that in 2008 at 80% of 1990. What I want to believe is that, when the word is mainly in Istria, it will be financed 100% from the budget of the Republic of Croatia, not the county, the municipalities, thank God, and this should also be paid by the toll which is certainly the most expensive in the Republic of Croatia. All of this is being directed by Bukko and some of the disagreements with the company have been overcome in the meantime and it is clear that we only expect the work to begin as soon as possible. When we speak what should be done, beware, a man simply cannot believe today I simply read, it does not know whether he believes it or not that the head of logistics in the Croatian railways suggests that between Zagreb and Split they no longer drive passenger trains but that passengers are transported by buses. I just couldn't believe it. So because of the lack of a driver, we have to talk about it openly. Once again, I will appeal to the railway tunnel through Učka for the modernisation of the railway in Istria from Buzet to Pula, Buzet to Copra, from Lupoglav down to Stali, i.e. Bršice, because without major projects when the adaptation is put under quotes by Ipilon Istria will simply be without any major content. There is a clear port of Bršica and the port of Pula. Those must be Istrian priorities. Unfortunately, that's not what you're talking about. When we talk about agriculture, what this report is about, I'm going to put an emphasis on land policy. Peasants all, speculators should take everything. Since 2012. The OPGs are shrinking rapidly. 10 per day were put out in 2014 alone, which is simply a disaster but to the farmer all and the speculators who received what they would later resell for 100, 200 or 300 euros should take everything. Fishing, small fishing is a way of life, a clear sea needs to be preserved, the fish fund is what it is, it needs to be preserved, and everything needs to be regulated when it comes to waste, and between that and that compost matter. And not to say the Slovenians, the whole of Western Europe regulates these issues and in Croatia is being hunted in a blur because there are no regulations, there are no directives taken to express myself, slightly and roughly not respecting any standards, so everyone simply does and does what he wants. All in all interesting study, extensive, hopes like that wing "Full of Life" didn't cost 2.8 million kuna, I know it didn't cost nearly that much, and understandably we have no reason not to support it.
ParlaMint-HR_2015-03-20-0.u104958	Thank you. We have a reported replica of Nikola Vuljanić.
