ParlaMint-HR_2015-07-09-0.u106685	My colleagues and colleagues, colleague Cain?
ParlaMint-HR_2015-07-09-0.u106686	Dear Madam Vice-Presidents, in case the collective agreements do not pass, three major strikes threaten Croatia. strike of Jadrolinija, Croatian railway infrastructure and air navigation control. If that were to happen, then you know for a fact that the country's paralysis would occur in the course of the tourist season or the full season. So please pause outside the club for a few minutes.
ParlaMint-HR_2015-07-09-0.u106687	I'm setting a break to 9.40. It's 9:00.31. [[CONTINUATION AFTER 9:40 AM]] After a break on behalf of the Independent Representatives Club, colleague Cain.
ParlaMint-HR_2015-07-09-0.u106689	Dear Madam Vice President and gentlemen, the season has begun and I want to believe that this season will be solid. The tourism development strategy commissioned by the former minister of staff also said by 2015. Croatia is incometing 9.1 billion euros but here we are approaching 8 billion. For the first time, more revenue will be made than the pre-crisis years 2008 or 2009 does not matter. Let's just let if we're having a crisis in Tunisia, Greece, but I think the season is going to be solid. But I answered for one other thing. In the event that the collective contract does not pass, three major strikes threaten Croatia, the strike of Jadrolinija, the strike of the railway infrastructure HZ infrastructure and the strike of air navigation control. If that were to happen in Croatia, there would be an air, maritime and rail blockade. I'm sure some unions have absolutely justified reasons to strike, some may not, but no one should in the course of the season paralyze this country. The request of Jadrolinia in my court is 100%, or unions, they're 100% management. They demand that the lower crew on these +40 deserve to receive a full average salary plus food, etc. Peace starts in HZ infrastructure, it is about saving about 200 million kunas of which about 80 million kuna should be saved on workers. I think that's where the unions are right. In the case of flight controllers, the severances now amount to or reach more than 1 million kunas. The new ones would be about 500 thousand kuna. Some are paid in flight control and over 50,000 kuna. I agree that it is one of the most stressful jobs in the Republic of Croatia, it is probably rare that the job "responsible" is more responsible than the flight controllers, but that should be discussed. I think we all need to focus on how these strikes wouldn't happen in the course of the full tourist season. What will certainly cause the season's recommendations is also the announcement of shutting down one good part of the tourist communities, more specifically those who spend more than 25% on their salaries or the cost of their office. We in Croatia have 304 tourist communities and this legal proposal should be halved, meaning on the proposal of the IDS Minister of Tourism and the IDS head of the tourist community. About a third of these tourist communities should be shut down in Istria and Kvarner, down Dalmatia for sure 50% and up after Slavonia probably everything. On the one hand, someone will say it's good to put out bureaucracy, but someone will need to explain whether it's decentralisation or ethics. Citizens don't give their municipalities, I listen down to me defending the most expensive management in Croatia, but I think we should talk about it all, and it would be best if this central tourist community had 50% of its resources directed to those where these money is coming true. And thank God for the end, it seems that that cowardly cross on Pomljek has come to an end, seems to have ringed, finally after 30 days of reviewing these footage, the police seem to be on a good track to discover who committed that disgrace to Split, Dalmatia all over Croatia and all the citizens of this country. It took them long enough.
ParlaMint-HR_2015-07-09-0.u106690	Well, in five minutes, I've listed one six topics you've been talking about and you've announced collective agreements. And I'm not going to comment on it. We are passing as the clubs agreed to a united discussion of three of the following points on the agenda: - Final proposal of the Law on Amendments and Supplements of the Law on the Use of Language and Letters of National Minorities in the Republic of Croatia, emergency procedure, first and second reading, P.Z.BR.858. The legislator is the Government of the Republic of Croatia. You've received a proposal for action. In accordance with Article 204. The Registrar's emergency procedure combines the first and second readings. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Law, the Committee on the Constitution, the Rules of Procedure and the Political System, the Committee on Human Rights and the Rights of National Minorities. You received the report at the session. Then: - Proposal for a conclusion on the problem of placing bilingual inscriptions in the City of Vukovar and applying the Constitutional Law on the Rights of National Minorities. The proposal for a conclusion is 1/3 of the Croatian Parliament's representative. You've received the motion for an act. The government delivered an opinion. I: - Final proposal of the Law amending and supplementing the Law on Local and Regional Self-Government, emergency procedure, first and second reading, P.Z.BR.859. The legislator is the Government of the Republic of Croatia. You've received the motion for an act. In accordance with Article 204. The Registrar's emergency procedure combines the first and second readings. Amendments may be submitted by the end of the debate. The debate was conducted by the Committee on Law, the Committee on the Constitution, the Rules of Procedure and the political system and the Committee on Local and Regional Self-Government. You've received their reports. I now call upon the Prime Minister of the Administration of Mr Arsen Bauk to give an opening statement to the two draft laws and opinions of the Government.
ParlaMint-HR_2015-07-09-0.u116027	Thank you, Madam Vice President. Given the chronological order of the proposal, I would not mind proposing the second point explaining the proposal first. And I would also like to report that on the proposal of the Committee on the Constitution, the Rules of Procedure and the Political System, the Government of the Republic of Croatia is removing the emergency procedure, so that the laws are discussed in the ordinary procedure. So I don't know how it's regulated in business anymore, but the MPs know during the debate that it's a regular procedure. As regards the proposal to amend and supplement the Law on the Use of Language and Letters of National Minorities, I would like to remind the honourable MPs that the Constitutional Court in its decision of 12 August 2014 is in the process initiated at the request of the Croatian Parliament in order to determine whether a referendum issue has been raised in respect of Article 12(1). The Constitutional Act on the Rights of National Minorities in accordance with the Constitution and whether the assumptions set out in Article 87(1) to (3) have been fulfilled. The Constitution for the opening of the referendum adopted a decision which does not comply with the Constitution, the referendum issue proposed in the application for a referendum of the Civil Initiative of the Croatian Vukovar Defence Centre submitted by its organisational committee to the President of the Croatian Parliament on 13 December 2013. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The Constitutional Act on the Constitutional Court has been laid down by the Constitutional Court that the City Council of the City of Vukovar shall, within one year of the publication of the decision in the NN, be bound by Article 6. The Law on the Official Use of Language and Letters of National Minorities in the Statute of the City of Vukovar provides for and regulate for the whole area, or for certain parts of the City of Vukovar, individual rights of members of national minorities to use language and letter, and public obligations of the body of state and public authority between those mentioned in the Law on Official Use of Language and Letters which it considers to correspond to the life facts and factual circumstances in the city of Vukovar in an extent that does not endanger the very essence of these rights, while respecting the needs of the majority Croatian people that originate from the still living consequences of large-scale aggression in the early 1990s and the need of a fair and proper treatment of the Serbian national minority in the area of Vukovar. It also tasked the Government of the Republic of Croatia to refer, within one year of the publication of the decision in the NN, to the parliamentary procedure of amending and supplementing the Act on the Official Use of Language and Letters in which it will regulate an appropriate legal mechanism for cases where the representative bodies of the unit of local self-government do not implement the obligations laid down in the Law on the Official Use of Language and Letters of National Minorities or when obstructing its implementation. It also tasks the Government of the Republic of Croatia with the fact that during the period until amendments and addition of the Law on the Use of Language and Letters of National Minorities, the competent national authorities will not implement that law in the City of Vukovar by means of coercive measures. In its decision taken on the same day, the Constitutional Court repealed Article 22 of the Statutory Decision amending and supplementing the Statute of the City of Vukovar, which was adopted by the City Council in October 2013, and, in the light of that decision, states that it fully accepts the views of the Government of the Republic of Croatia concerning the interpretation of Article 8. The Constitutional Law on the Rights of National Minorities, i.e. calling for that Article of the Constitutional Law on the Rights of National Minorities, cannot be the basis for exemption from the application of the Constitutional Law in the City of Vukovar. In other words, the Constitutional Court called for a compromise, dialogue and tolerance on the introduction and way of introducing into equal use of the language and letters of the Serb national minority in the town of Vukovar. As far as the Government of the Republic of Croatia's mission is concerned, we are fulfilling it with this bill and we suggest that, this is Article 11. The Act amending and supplementing the Law on the Use of the Language and Letters of National Minorities in the Republic of Croatia that, if conditions for the use of the language and letters of the national minority are met in a municipality or city, the conditions laid down by this Act and by the Constitutional Law on the Rights of National Minorities of the municipalities or the City shall be governed by their statutes to the use of the language and letters within 6 months of the fulfilment of the conditions. In the municipality and the town which did not regulate the use of the language and letters of national minorities within the time limit set out in paragraph 1 of this Article, therefore within 6 months, and they were obliged to do so under the provisions of this law and the Constitutional Law on the Rights of National Minorities, the provisions of this law and the provisions on the disbanding of the representative body under the law governing the system of local and regional self-government will apply directly. If the city, municipality or county offices of the use of the language and letters of the national minority contrary to the provisions of this law, the provisions of the law governing the system of local and regional self-government, relating to the supervision of the legality of general acts, which in the self-rule, are adopted by the representative bodies of municipalities, cities and counties. If the municipality and the town re-arrange the use of the language and letters of the national minority against the provisions of this law, provisions on the disbanding of the representative body under the law governing the system of local and regional self-government will apply. The central authority of the State Administration or the Ministry may also directly suspend the application of the Statute or of a provision thereof and propose without delay to the Government of the Republic of Croatia to initiate a procedure for the assessment of the consent of the statutes of the units with the Constitution and the law before the Constitutional Court of the Republic of Croatia in accordance with the law determining the system of local and regional self-government. In the transitional provision, we define that municipalities and cities that have been obliged to comply with their statutes with the provisions of the Law on the Use of Language and Letters of National Minorities are obliged to align them within 3 months of the date of entry into force of this Act and to deliver them without delay to the central authority of the Administration authorised to supervise the application of that law. And if they don't, within 3 months, provisions on the disbanding of the representative body will apply. As for the Law on Local and Regional Self-Government. It therefore complies with these provisions of the Law on the Use of Language and Letters and also defines that, after the procedure has been carried out, it will, for the disbanding of a representative body in a unit which is disbanded in accordance with paragraph 1 of point 7 or this, if it does not regulate the right of national minorities that the rights of national minorities will be governed by the Commissioner of the Government of the Republic of Croatia. Of course, this does not mean that after being elected to a representative body, it cannot do so in any other way but not outside the framework prescribed by the Constitution, the Constitutional Law on the Rights of National Minorities and the Law on the Use of Language and Letters of National Minorities. Since in 2000 the Law on the Use of Language and Letters of National Minorities in the Republic of Croatia was passed by a two-thirds majority, a question was raised by the majority needed to adopt amendments to that law. Of course, the answer to that question also requires a way of agreeing the concrete text of the law and as to which, for what proposal, it is possible to obtain a two-thirds majority but also to make it clear whether only the ruling majority or that responsibility in that case is responsible for non-implementation or decisions of the Constitutional Court, and a part of the opposition that would not accept a proposal that would be in line with the Constitutional Court's decision, but this is more now a political issue than any other issue. And in this sense, the Government of the Republic of Croatia will not enter into the debate over which most are required, that is, the jurisdiction of the Croatian Parliament and in the case of disputes and the Constitutional Court. However, in its conclusion, the Constitutional Committee has defined that the Law on the Use of Language and Letters of National Minorities requires a two-thirds majority which I could agree on because, otherwise, almost all the rights laid down in that Act without a two-thirds majority could be abolished and which would not be in accordance with Article 83, I believe that paragraph 1 is 83. The Constitution of the Republic of Croatia. As regards the proposal for a conclusion on the problem of placing bilingual plates, the Government of the Republic of Croatia is on 10 October 2013. She delivered an opinion to the Croatian Parliament stating that she did not support the proposal for a conclusion on the problem of placing bilingual panels in the city of Vukovar and applying the Constitutional Law on the rights of national minorities submitted to the president of the Croatian Parliament by one-third of the MPs. The proposal proposed that the Government of the Republic of Croatia undertake to take all the measures provided for in the law for the consistent application of Article 8. The constitutional law on the rights of national minorities and the suspension of the application of the law referred to in Article 7(1). Constitutional law on the rights of national minorities related to the establishment of bilingual inscriptions on public institutions, institutions in the city of Vukovar until the next census. Respecting the argument, part of the arguments put forward by the proposings by the Government of the Republic of Croatia states the following. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The constitutional law on the rights of national minorities is prescribed that the provisions of this Constitutional Law and the provisions of specific laws governing the rights and freedoms of members of national minorities must be interpreted and applied for the purpose of respecting members of national minorities and Croatian peoples, the development, understanding, solidarity and tolerance and dialogue between them. The provision of Article 8 falls within the basic, principled provisions of the Constitutional Law on the Rights of National Minorities, which determines the principle of access to interpretation and application of the rules governing the rights of national minorities. The provision points to the need to understand the entire constitutional law why certain rights of national minorities are prescribed by law and the need to apply all the rights contained in the Constitutional Law as well as the Law on the Use of Language and Letters of National Minorities which regulates the right of the minority to use its own language and letters without neglecting relevant international regulations. In the light of that provision, the Proposal for a Constitutional Law on the Rights of National Minorities with the Final Proposal for a Law submitted by the Government of the Republic of Croatia to the President of the Croatian Parliament on 22 July 2002 states that the provision in question is in conformity with the provisions of Articles 2 and 6. Framework Conventions for the Protection of National Minorities. The Republic of Croatia is mentioned in the Framework Convention and the decision to declare the Law on Confirmation of the Framework Convention for the Protection of National Minorities The House of Representatives of the Assembly of the Republic of Croatia took place on 29 September 1997. The Parties to the Framework Convention undertake to promote the full and effective equality of minority members in all areas of economic, social, political and cultural life and to provide conditions for national minorities to express, preserve and develop their own culture and identity. In the provisions of Article 2(2), The Framework Convention states that the provisions of the Framework Convention apply in good faith in the spirit of understanding and tolerance and in accordance with the principles of good neighbouring, friendly relations and cooperation between countries. Furthermore, Article 6 states that parties will encourage the spirit of tolerance and of intercultural dialogue and take effective measures to promote mutual respect, understanding and cooperation among all people living in their territory, regardless of ethnic, cultural, linguistic or religious background, particularly in the fields of education, culture and media. Furthermore, the same Article of the Framework Convention states that the parties undertake to take appropriate measures to protect persons who may be exposed to threats or discrimination, hostility or violence for their ethnic, cultural, language or religious origin. The above provisions of the Framework Convention make it clear that their purpose is to promote the right of minorities with the promotion of a spirit of tolerance and intercultural dialogue. In particular, the obligation to take the protection of persons who could be exposed to any kind of discrimination or violence because of their ethnic, cultural, linguistic or religious origin is prescribed. The Advisory Committee shall be composed of independent experts who shall follow the application of the Framework Convention for the Protection of National Minorities in their thematic comment on language rights of persons belonging to national minorities from 5 July 2012 in the framework of an explanation of the purpose of Article 6. The Framework Convention stresses that this provision concerns society as a whole and requires a policy that maintains and promotes diversity, removing obstacles and fostering contact and cooperation between people belonging to different groups, particularly in the field of education, culture and media. Thus, the obligation to promote tolerance and mutual understanding as well as the fight against any form of discrimination thus supports all rights to use language. As a consequence, and in accordance with the general spirit of bilingualism and multilingualism contained in the Framework Convention, the work of the Advisory Committee is based on the recognition and respect of the meaning of multilingualism in promoting tolerance and respect for the different in society. It is clear from the above that the provision of Article 8. Constitutional law adopted for the purpose of promoting the diversity and tolerances to be achieved by applying the Constitutional Law on the Rights of National Minorities. Government of the Republic of Croatia within the meaning of Article 8. The constitutional law shall take measures under its jurisdiction to fully bring about the application of the law or the exercise of the rights of national minorities. To this end, the Government of the Republic of Croatia also submitted to the Croatian Parliament an annual report on the implementation of the Constitutional Law on the Rights of National Minorities at its meeting on 8 April 2011, so it adopted an action plan for the implementation of the Constitutional Law for the period 2011 to 2013 and tasked the Office for Human Rights and Rights of National Minorities to submit annual reports to the Government of the Republic of Croatia on its implementation. The aim of the implementation of the measures laid down in the Constitutional Law Action Plan from 2011 to 2013 is to further improve or intensify the implementation of the Constitutional Law, in particular in areas where shortcomings are observed. Any other interpretation of Article 8 would be contrary to the Framework Convention for the Protection of National Minorities and Efforts of the Government of the Republic of Croatia since the Constitutional Law on the Rights of National Minorities was adopted. The prescribed rights shall be interpreted and applied in such a way as to benefit from the principle of equality and non-discrimination. In that regard, the Constitutional Court, therefore in its decision of 12 August on the decision on the provisions of the Statute of the City of Vukovar, stressed that it fully accepts the views of the Government of the Republic of Croatia on the application of Article 8. Constitutional law on the rights of national minorities. In view of the request from the proposed conclusion that the Government of the Republic of Croatia postpones the application of the Constitutional Law, it should be pointed out that the Constitution of the Republic of Croatia prescribes that the Government exercise the executive power in accordance with the Constitution and the law. One of the government's listed powers in the constitution is to implement the laws and other decisions of the Croatian Parliament. Since the Constitutional Law on the Rights of National Minorities and the Law on the Use of Language and Letters of National Minorities in the Republic of Croatia is in force, it is the obligation of the Government to fully apply the applicable regulations. The Constitution of the Republic of Croatia stipulates that in the Republic of Croatia there is an official use of the Croatian language and Latin letter, and that a second language and Cyrillic or any other letter under the terms of the prescribed law may be introduced in the Republic of Croatia. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The constitutional law on the rights of national minorities is explicitly governed by the fact that the equal official use of the language and the letter by which the services of members of the national minority are carried out in the area of the unit of local self-government where members of a national minority make up at least a third of the population of such a unit. The following, given that the 2011 census results show that members of the Serb national minority account for 34.87% of the population of the city of Vukovar, it is evident that members of the Serb national minority in the city of Vukovar are entitled to equal official use of the Serbian language and Cyrillic letter in the area of the city by force of law. Since that provision of the Constitutional Law explicitly requires the exercise of the right in question and that, in accordance with the relevant results of the census, the introduction of official bilingualism in the City of Vukovar is therefore not a question which should be the subject of discussion on the basis of a request or initiative, it should already be accessed directly by law. In addition, the Government of the Republic of Croatia points out that in all three rounds so far, monitoring the implementation of the Framework Convention for the Protection of National Minorities in the Republic of Croatia, the Advisory Committee, as a body accompanying the implementation, called on the Government of the Republic of Croatia to ensure that the provisions of the Constitutional Law on the Rights of National Minorities relating to the implementation of Articles 10 and 11. Framework conventions are implemented in all units of local self-government where a national minority makes up at least a third of the population. It is necessary to stress that the Advisory Committee maintains that the requirement of at least a third of the share in the local population of a unit for the recognition of the right to the equal use of the minority language and the letter represents a high threshold. In the third opinion of the Republic of Croatia, the Advisory Committee concluded that in the application of the law governing the use of language and minority letters, there are serious shortcomings because, in order to achieve the provisions on the equal use of minority language and letters on topographic labels, local and regional authorities are mostly competent, which is particularly problematic in those areas in which a large number of Serb minority members live. The Advisory Committee therefore encouraged the authorities in the third opinion to take proactive measures to ensure, in particular at regional and local level, effective implementation of the provisions of the Constitutional Law relating to the implementation of Article 11. Framework conventions. In addition to the Framework Convention, the Republic of Croatia was also a party to the European Charter on Regional and Minority Languages, and the Croatian Assembly adopted the Law at its meeting on 17 October 1997 confirming the European Charter on Regional and Minority Languages. The countries which access the European Charter commit to the protection and promotion of regional or minority languages, since they are often exposed to the risk of marginalisation. The Charter contains a series of principles and measures that protect languages that traditionally use fewer citizens of the given state and which differ from its official languages in a given territory. In ratification, the Republic of Croatia made its own statement, and thus determined that the provisions of the third section of the Charter would apply in relation to the Italian, Serbian, Hungarian, Czech, Slovak, Russian and Ukrainian languages. The States are obliged to protect, promote and encourage the use of languages listed in their declaration when joining the Charter. In its latest opinion on the Republic of Croatia, the Committee of Experts pointed out that in certain units of local and regional self-government it is necessary to amend or harmonise the statutes with the Constitutional Law on the Rights of National Minorities. The government of the Republic of Croatia also reminds the promoters that the Republic of Croatia has concluded several international bilateral agreements that have committed itself to protecting minority members who are its citizens. One of these agreements is the Agreement between the Republic of Croatia and Serbia-Montenegro on the protection of the rights of the Croatian minority in Serbia-Montenegro and the Serb-Montenegro minority in the Republic of Croatia, and the agreement was signed in 2004 to highlight continuity. Under that agreement, the parties undertake to ensure that minorities are free to use the language and letters of national minorities in private public life. In addition to international contracts which are valid, confirmed, published and which are in force and which form part of the internal legal order of the Republic of Croatia and of the Croatian laws which commit to full application in the exercise of the rights of members of the national minority units of local self-government, they may prescribe certain minority rights in accordance with the Constitution and the law. The Constitutional Act on the Rights of National Minorities in Article 12 provides for the equal use of the language and the letter to which members of the national minority are to be served when prescribed by the Statute of the Unit or the Statute of the Unit of Regional Self-Government in accordance with the provisions of the specific law on the use of the language and the letter. The city of Vukovar covered by the request from the proposed conclusion has taken advantage of the possibility that despite the lack of a legal basis for the regulation of the equal use of the Serbian language and the Cyrillic letter, the right to the Serb national minority should be prescribed by its Statute. The report on the implementation of the Constitutional Law on the Rights of National Minorities, as well as the expenditure for 2009 adopted by the Croatian Parliament, contains the information that the City Council of the City of Vukovar adopted on 14 July 2009 the new Statute of the city of Vukovar and in Article 51, paragraph 3 of the Regulation on the free use of Serbian language and Cyrillic letters in official communication and public affairs from the self-government part of the city of Vukovar. In addition to that report, the Government of the Republic of Croatia concluded at the meeting held on 17 December 2009, which adopted the fourth report by the Republic of Croatia on the application of the European Charter on Regional Minority Languages, which was submitted to the Council of Europe, which, among other things, commended the City Council of the City of Vukovar for having adopted a new statute governing the free use of the Serbian language and Cyrillic letter and in official communication and in public affairs from the self-government part of the city of Vukovar. Based on the above all I have read, the Government of the Republic of Croatia is of the opinion that the proposed conclusion is contrary to the Constitution of the Republic of Croatia, the Framework Convention for the Protection of National Minorities, the European Charter on Regional or Minority Languages, the Agreement between the Republic of Croatia and Serbia-Montenegro on the Protection of the Rights of the Croatian Minority in Serbia-Montenegro and the Serbian and Montenegrin Minority in the Republic of Croatia, the Constitutional Law on the Rights of National Minorities and the Law on the Use of Language and Letters of National Minorities. In addition to those international agreements and domestic regulations, the Government of the Republic of Croatia takes into account the fundamental values of the Homeland War, the substantive Declaration of the Homeland War, adopted by the Croatian Parliament on 13 October 2000, is of the opinion that the proposed conclusion is contrary to the declaration. The declaration points out that the fundamental value of the Homeland War is the establishment and defence of the state sovereignty and territorial integrity of the Republic of Croatia, thus creating assumptions for the rule of law and the rule of law, and the legal functioning of state bodies as the best way to further affirm the dignity of the Homeland War. As it is quite a number of regulations that the proposed conclusion is contrary to the Government of the Republic of Croatia, the Government proposes the Parliament not to accept the conclusion, and I would remind again that the regulations I have read date and have confirmation of the Croatian Parliament in '97, 2005, 2002, 2009 and the Government since 2011. At that time, there were different political options in power, so I am sure that any government of any political commitment would write such an opinion as the Governments, which mainly consisted of party representatives whose representatives also signed this proposal, but are now slightly changed roles, and this was obviously more politically worthwhile. Thank you.
ParlaMint-HR_2015-07-09-0.u116028	We're moving on to replicas. A colleague of Vesna Skare-Ozbolt.
ParlaMint-HR_2015-07-09-0.u116029	Thank you. Your Honor, Mr. Minister, I'm going to give this all the comments you've made on behalf of the club. However, the basic question is raised since the Constitutional Court has given the city of Vukovar a clear deadline to bring the Statute within a year, and to the government of the Republic of Croatia, or to your ministry, to initiate the procedure for amending and supplementing the law that we are discussing today. So it's been a year and we are now five days before the end of this session discussing such an important issue. Why didn't you bring this amendment and supplementation to the Assembly a half-year ago and in the regular procedure as a Parliament, as Parliamentarians discussed this extremely important and sensitive issue and perhaps together with the town of Vukovar, that is, brought and influenced that they also bring their statutes. This is how the city of Vukovar will bring the Statute. The question is whether he'll be back to your grade fine, and we haven't passed the law. These provisions you provide for the disbanding of units of local self-government are dragonous. The Constitutional Court has told you the appropriate legal mechanism, not the dragon measures to regulate this issue unless the cities adopt the statutes in accordance with the law. Thank you.
ParlaMint-HR_2015-07-09-0.u116030	Arsen Bauk, reply to the replica.
ParlaMint-HR_2015-07-09-0.u116031	Thank you. So, as far as the teaming is concerned, it is always a teaming issue and a kind of political assessment, but this proposal is in line with the Constitutional Court's decision, so the Government of the Republic of Croatia has proposed amendments within the time limit set by the Constitutional Court. As regards the procedure in Parliament, an emergency procedure has been removed, so there is sufficient time to find if there is a will to find a more appropriate legal mechanism than the mechanism we have proposed and which I think is also appropriate because it is therefore a multiple, frequent and persistent violation of the provisions of the Constitutional Law and the Law on the Use of Language and Letters. So for that and the representative body should collectively be sanctioned. Of course, however, I am aware that if a two-thirds majority is required to pass laws, other proposals must be heard and likely to come up with different proposals. In this sense, the Government of the Republic of Croatia is open to other ideas. Some of us have heard of the Committee on Human Rights, which we will also consider between the two readings. As for the issues of implementation itself, I believe that the City Council of Vukovar will, within the time limit set by the Constitutional Court, adopt amendments to its statutes in a manner that will be in accordance with the Constitutional Court's decision. And if this happens before the second reading, then it is likely that the debate on this law will no longer be in the shadows or in some way under the glass because of the city of Vukovar, but we will see how we can improve the use of language and letter in those units of local self-government in which, for example, minority members make up the majority, which also did not regulate their rights to the statutes. Therefore, if a statute is adopted in the city of Vukovar which will be in accordance with the Constitution and the law and how the Constitutional Court has written that will respect the fact of the Croatian people's suffering but which will not violate the essence of the use of language and letter, which is, in this case, the visibility of the letter, I think the debate will be much more peaceful. But neither is this restless one, for now.
ParlaMint-HR_2015-07-09-0.u116032	Thank you, time. Please stick to all the time available for replica. Josip Djakic, replica.
