ParlaMint-HR_2015-03-12-0.u103936	... [[The speaker is not enabled.]]
ParlaMint-HR_2015-03-12-0.u103937	Turn on the microphone.
ParlaMint-HR_2015-03-12-0.u103938	So distinguished MPs and MPs. Before you is the Proposal for a Law on Amendments and Supplements to the Pension Insurance Act, with the final proposal for a law to be proposed. In the current Pension Insurance Act, the legal order of the Republic of Croatia has been adopted and Council Directive 97/81 on the Framework Agreement on part-time work is applicable. According to that directive, work with reduced working time to obtain certain social security rights was even with full-time work, so the Pension Insurance Act needed to deal with this issue more clearly, i.e. a explicit provision to define a way of equalising work with part-time with full-time work to obtain pension insurance rights. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The Pension Insurance Act removes the possibility of different interpretations in implementation and ensures one access to pension insurance rights for unfulfilled workers such as those provided for in the applicable provisions allow insurance workers working full-time. The law on the life partnership of persons of the same sex who entered into force on 5 August 2014 the life union of persons of the same sex in the exercise of the right of pension insurance is equal to that of a married or extramarital community of men and women. This draft law will bring into line with the Law on the Life Partnership of persons of the same sex, i.e. to enable the exercise of the right to a family pension to secure family members, in particular those who have concluded a life partnership with the competent authority, as well as family members of persons who have not concluded a partnership, and their life union can be leveled with an extramarital community. In addition, the right to extended insurance will also provide life insurance partners who have concluded a life partnership with a person of the same sex under the conditions prescribed for a spouse. The relevant Pension Insurance Act stipulates that monetary incomes that have not been paid to the death of the beneficiary can be inherited, and monetary incomes after the death of the beneficiary who does not have an heir belong to the Republic of Croatia, i.e. the State budget. This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. The law on succession is prescribed that after the death of a person who does not have an heir his legacy belongs to the city or municipality and that the city or municipality in that case have the status of successor. Since the Law on Inheritance is the basis of the Law governing the issue of succession, it is necessary to remove the doubt more clearly in the application of that law and the Pension Insurance Act. This bill prescribes that current users of early retirement pension due to long-term insurance are translated into old age pensions for long-term insurance workers in order to ensure a uniform monitoring of the number of those insurance companies. An important provision of the Pension Insurance Act stipulates that the right to early retirement due to long-term insurance can be achieved by an insurance undertaking when it is 60 years old and 41 years old, and the pension is determined without a reduction. For insurance companies first earning that pension after the age of 60 and having 41 years of insurance training is prescribed so-called. Bonding in a way that pensions increase by 0.15% per month for each month after the completed years of life insurance prescribed for obtaining the right to that pension, and not more than 5 years, which can be up to 9%. This pension has been introduced because, in certain professions after long work and after 60 years of life, it is impossible to successfully carry out the tasks of its profession, and it has been estimated that the prescribed period of insurance or long-term insurance is sufficient for the insurance undertaking to invest in pension insurance in order to achieve that right even before the age limit prescribed for retirement 65 years. The basic pension shall be determined by insurance undertakings other than in pension insurance on the basis of generational solidarity provided for in compulsory pension insurance on the basis of individual capitalised savings if, in the mandatory retirement insurance of generational solidarity, they acquire the right to an age or early retirement pension under a special regulation. Mirovina is defined as being secured only in compulsory pension insurance on the basis of generation solidarity. The provision of the right to invalidity pension of insurance workers, a member of a pension fund under the age of 55 and provided for less than 10 years in compulsory pension insurance on the basis of individual capitalised savings in the event of a complete loss of employment, as well as the exercise of the right to family pension, a family member, a deceased insurance undertaking less than 55 years of life and less than 10 years in the compulsory pension insurance of individual capitalised savings. Those insurance companies acquire the right to an age, early retirement, i.e. disability pension due to total loss of working ability as if they were secured only in compulsory retirement insurance of generation solidarity. A total capitalised amount of contributions from the personal account of the insurance undertaking at the time of retirement according to the central insurance register shall be transferred to the national budget. It is also arranged to determine the basic pension to a member of the insurance family who acquires a family pension if the funds from the insurance personal account have been inherited before the right to a family pension. The Mandatory and Voluntary Pension Funds Act, which was in force until 20 February 2014, required that pension insurance rights be regulated under more favourable conditions only from mandatory pension insurance of generation solidarity. A total capitalised funds from the personal account of those members of the Peace Fund shall be transferred to the central insurance register at the time of retirement and shall be determined as being secured only in compulsory pension insurance on the basis of generation solidarity. In the meantime, a new law has been passed in compulsory pension funds which entered into force on 20 February 2014 and has regulated the way in which insurance rights are exercised by special regulations governing the rights of persons in employment, police officers and authorised officials or are determined under that regulation in such a way that, if within 30 days of the date of entry into force of that law, it does not choose to stay in the second pillar of the asset from its personal account, it is transferred through the central register of insurance undertakings to the state budget, and the right to pension is acquired as if only in the mandatory retirement insurance of generation solidarity by making the pension subject to a special regulation governing the rights of those users. This law harmonises the provisions of the Pension Insurance Act with the provisions of the Mandatory Pension Funds Act in the section relating to the transfer of funds from the personal account of a member of a mandatory pension fund on the occasion of the exercise of the right to pension. The Mandatory Pension Funds Act only provides for the exercise of the right of a pension fund member from compulsory pension insurance of individual capitalised savings under the conditions of age to obtain an age pension under the Pension Insurance Act, and for the event of a complete loss of employment with the right to a disability pension under the Pension Insurance Act and the achievement of the right to a family pension if a member of the Fund dies before the right to retire under the Pension Insurance Act is established and where the right to a disability pension and family pension is recognised under more favourable conditions than the conditions laid down in the Pension Insurance Act. By harmonising the Pension Insurance Act with the Mandatory Pension Funds Act, insurance companies whose pension is determined under more favourable conditions, which are secured in the second pension column, will be allowed to determine the disability pension due to the general inability to work, i.e. because of the total loss of working capacity under the provisions of the Pension Insurance Act, by determining their pension as being secured only in compulsory pension insurance on the basis of generational solidarity. The members of the family of those insurance companies whose funds from the personal account have not been inherited will be allowed to determine family pensions as if the insurance company had only been secured in the first pension column. The disabled person’s disability pension due to professional inability to work and the disabled person’s disability pension due to partial loss of working ability if he achieves a disability pension due to total loss of ability, age or early retirement, a new pension shall be determined on the basis of the pension internship and the value points achieved up to the date of obtaining the right to a disability pension due to a complete loss of working ability. The right to an age or early retirement pension as it is prescribed for users of old and early retirement pensions that have been compulsoryly secured in pension insurance after the right to pension is granted only if they have achieved at least one year of retirement. In order to obtain the right to a new pension, all beneficiaries should be equated and this proposal shall allow the right to complete loss of employment without the conditions so far of attaining the pension, i.e. the status of the insurance of disabled pensioners due to partial loss of employment. The deadlines for the submission of applications for the keeping of the home records shall also be laid down. It is prescribed that the bonds supply data, i.e. business statements, business termination or changes in the business of the contributors of the contribution within 24 hours of the start or termination of the business of the resulting change in the business of the obligor of the contribution. This proposal proposes further precision of the provisions on the provision of data for the keeping of parent records in such a way as to allow the obligor or legal person to provide the Institute with information on the initiation, termination or changes in the business of compulsory contributions within 24 hours of the start or termination of operations, i.e. from the beginning of a change in business. Autonomous contribution bonds shall be required to provide the Institute with information on the initiation and termination of insurance within 24 hours of the power of the solution in the register, e.g. Trade register, register of holders or members of the OPG. For persons in working relationship and with a working relationship equal to or similar insurance base, the obligor is obliged to submit an application to the Institute for the start of insurance at the earliest 8 days prior to the start of work and at the latest before the start of work with the employer, and the application for termination of insurance within 24 hours of the termination of work with the employers. However, if the insurance undertaking does not start working with the employer on the date of the start of the insurance agreement and is covered by the relevant contract, the obligor is obliged to register that fact to the institution on the same day. This will ensure better control of employers, protection of workers and their rights and more effective work of labour inspectors in curbing the grey economy and working on black. In the case of procedures for the exercise of the right to disability pension, it is prescribed that the procedure for the assessment of the working ability is initiated by the primary health care doctor when it is assessed that the insurance company has stabilised and that further treatment and medical rehabilitation will not lead to the re-establishment of the work capacity and that as a consequence of this creation, the reduction of working ability. The expert on the fact of the reduction of the working ability or the complete loss of the working ability of a member of the insurance family and the physical damage in the first and second degree shall be performed by authorised witches, or senior experts of the Institute of Skills, Professional Rehabilitation and Employment of Persons with Disabilities. This Regulation shall enter into force on the twentieth The Retirement Insurance Act shall be prescribed for the purpose of determining the control review within 3 years whose purpose is to verify the health and working capacity of the insurance undertaking. They are subject to disability pension and compensation for physical damage. All findings and opinions of an authorised expert and senior expert on the basis of which the right is acquired shall be subject to the statutory audit carried out by the Ministry of Pensions. The exemption from those rules is insurance undertakings where the total loss of working ability is determined on the basis of medical documentation provided by the foreign pension insurance holder and the foreign institution has not also established the obligation to review. It may be determined that that user is not subject to a control review. It is also prescribed that the ministry responsible for the pension system in the control and control procedure may carry out a check-up under the official duty of rights established on the basis of a reduction in the working ability or partial or total loss of work capacity, physical damage or total loss of family member's ability during the application of those rights, and this brings an opinion and opinion. This law regulates the conduct of findings and opinions adopted in the control and control procedure. This Regulation shall enter into force on the twentieth The Pension Insurance Act is authorised by the Government of the Republic of Croatia to prescribe in detail the way and procedure of medical skills in pension insurance. Meanwhile, the Law on Professional Rehabilitation and Employment of Persons with Disabilities was adopted, which started from 1 January 2015, among other things, as well as skills for the needs of pension insurance in the first and second pillars. Jobs will be carried out by a single body of the basic Law on a single body of art as an organisational unit of the Institute of Arts. The unique body of art will also skill in the process of exercising rights in the field of social care, maternity and parental rights, education, professional rehabilitation and employment of persons with disabilities, the protection of war and civilian victims of war and other areas where certain rights are exercised on the basis of skills, i.e. on the basis of findings and opinions of the body of art. The activities of the audit of the findings and opinions of the Institute of Art will be carried out further at the Ministry of Pensions, since the Institute has since 1 January 2015 not been responsible for the work of skills for the needs of pension insurance it is necessary to comply with the Pension Insurance Act with those laws. It is also proposed to prescribe a legal basis that will regulate the ways and procedures of carrying out the audit of findings and opinions on the work capacity adopted by the Institute of Arts. The procedure for training in pension insurance is in line with the Law on Professional Rehabilitation and Employment of Persons with Disabilities and the Law on the Single Body of Skills in a way that the competence for the skills and physical damage is transferred to the Office of Art. The supervision and control procedure for rights established on the basis of reduced working capacity, partial and total loss of working ability and physical impairment shall be regulated. As from 1 January 2015, the pensions recognised or designated under a specific regulation shall be divided into a part of a specific regulation and a part determined under Article 80(3) of this Act. Starting from the current events and taking into account the issue discussed at the 23rd session of the Croatian Parliament's War Veterans Committee, the retirement period is set aside by 6 months, which is the fully recognised proposal contained in point 1 of the conclusion of that session of the Committee. This bill postpones 6 months of retirement for Croatian defenders from the Homeland War and family members. In fact, it is an extremely sensitive category of pensioners who have made pensions under specific circumstances. The aforementioned separation has no financial effect on the level of defence pension i.e. Thus, defence pensions will not be reduced or the separation of pensions in July will be equal to the amount of pension paid in June 2015. Furthermore, the proposal to amend and supplement the Pension Insurance Act also addresses the issue of the evidence force and documents issued by the Institute for the guarantee of its jurisdiction, which are recorded on the microfilm, produced by digitisation or by the reproduction of microfilm copies or are digital copies of the document. The dynamics of equating the starting factor that reduces early retirement in the period from 2026 to 2029 were not consistent with the dynamics prescribed for the period 2014 to 2025 and are corrected by the proposed laws. The implementation of the Pension Insurance Act also identified the need for a clearer determination of certain issues related to the date of acquisition or loss of rights, the application of the rules and others and therefore needed to implement the relevant amendments and additions of the Pension Insurance Act. In view of all of the above, the Government of the Republic of Croatia is based on Article 1. The Law on the Powers of the Government of the Republic of Croatia to regulate certain questions from the Croatian Parliament's December 2014 section of the Croatian Parliament adopted a regulation amending that law. This bill proposes the termination of the existing regulation. Thank you very much.
ParlaMint-HR_2015-03-12-0.u103939	Thank you too, Deputy Minister. We have a few replicas. The first replica and respected representative Branko Hrg.
ParlaMint-HR_2015-03-12-0.u103940	Thank you very much, Mr. President. Dear Deputy Minister, I'll just look back on one part of your argument of this law, it refers to that part of the same-sex marriage community. It seems to me that in this work, this law continues to play the will of the citizens of the Republic of Croatia in a referendum. I'm not sure, so I'm asking you for an additional explanation that the law will eventually prevent possible abuses because there could be a fictitious partnership for the use of rights, and this has also been warned when the Life Partnership Act or the Law on Same-Sex Marriages has been discussed. And it also seems to me that this approach actually encourages Croatian citizens socially unacceptable behaviour, that we may encourage the consumption of the law by same-sex marriage because it seems to me that this law did not give rise to some great fruit, that not many citizens were involved and that not many citizens consumed the law. Do we now, by this law in this work, want to encourage more citizens to use the right to make same - sex marriages? Here I'm really interested in this part of what is, how will it possibly prevent the possible manipulation of fictitious assembly of same-sex marriages because of the rights that the law allows?
ParlaMint-HR_2015-03-12-0.u103941	Thank you very much. Replication response, Your Honor's Deputy Minister.
ParlaMint-HR_2015-03-12-0.u103942	Your Honor, this High House has passed the law you're talking about. So this Proposal for a Pension Insurance Act equals the terms and conditions and use and abuses aren't really the only exception in this part. If it's some kind of abuse, then it's possible for other communities. And if we only have one community, we have to comply with the law. So if we have one community of this guy, we have to align it with the law. Therefore, we have only actually transposed the provisions of the directive and incorporated it into our law.
ParlaMint-HR_2015-03-12-0.u103943	Thank you very much. Dear Representative Boro Grubisic, replica.
ParlaMint-HR_2015-03-12-0.u103944	Thank you very much. Sir, Your Honor, Mr. Stubelj, namely, I will proceed to this issue, it is quite clear that in the assessment of the resources necessary for the implementation of this law it is written that a circle of insurance companies that have the right to family property is spreading, precisely by the basis of the life partnership of persons of the same sex. So here, you've defined it quite clearly here and said it in the material itself. But I didn't want to ask that, I'm interested in something else, and I hope that I'll get an answer that, given that you've been professionally and very extensively explained everything except that you've gone over one topic very quickly that you said at the beginning. He says like this, so, "Working part-time to acquire certain social security rights..." so the first thing that's social security, I don't know, has health care, has pensions, I don't know if there's more, life insurance, but I don't know, it's no longer working out that term, "...it's even with full-time work, so in a mandatory retirement law, it's necessary to clear the issue." What it means is, so part-time or how it says part-time here, how and how you think about equating with those who work full-time and especially the word social security, I think that's not what it looks like to me here. Let me explain how, namely, there's a shortened working hours as it used to be called four hours where someone volunteered to work four hours, doesn't want to work eight hours, does four hours. And there's one that comes from e.g. Someone who has, a woman who has three children, so she's entitled to it, that's perfectly clear to me. But this part where someone works voluntarily for only four hours, what are his pension rights, and how is he equalized with those who work eight hours?
ParlaMint-HR_2015-03-12-0.u103945	Thank you very much. The reply to the replica, dear Deputy Minister Bozidar Stubelj.
ParlaMint-HR_2015-03-12-0.u103946	Well, here's the esteemed representative, social security was transferred from the directive because we initially stressed that we transposed the provisions of that directive. As far as part-time is concerned, you know that we have in our own time introduced vouchers to work in agriculture, that we have introduced seasonal jobs, that we have allowed pensioners to work for up to half their working hours, so this is all covered by contributions to pension insurance. And as they enter, there will be a reckoning. Because every hour of work has its own size of contribution, it affects the total hour, the entire hours fund, and after one year of work everyone who has used incomplete working hours has the right to recalculate their pension.
