ParlaMint-HR_2015-09-09-0.u117855	Mr. President.
ParlaMint-HR_2015-09-09-0.u117856	Can I finish the bar announcement, fellow MP? Would you like an explanation on behalf of the Government? Yeah. Now let me hear it. Here you go.
ParlaMint-HR_2015-09-09-0.u117857	Your Honor, Mr. President, gentlemen, it's been over five months, actually five months, and I can't get an answer to a question from the Raiffeisen Savings Department of Finance. I would ask you to take advantage of your authority, since it has been five months, the parliamentary question in the procedure has been addressed on 30 April of this year and let them try to answer me.
ParlaMint-HR_2015-09-09-0.u117858	I agree with you fellow MP. We'll ask the government and the departments of power to give you a regular session of answers. Yeah, I agree. Comrade Bubalo Kresimir, MP.
ParlaMint-HR_2015-09-09-0.u117859	Mr. President, I have the same problem. I've been looking for a state of duty for the Republic of Croatia with currency and deadlines and months from the Ministry of Finance. I can't get an answer. I don't think the Ministry of Finance knows how much Croatia owes.
ParlaMint-HR_2015-09-09-0.u117860	We will address the Government of the Republic of Croatia and ask that procedures and deadlines for answering parliamentary questions be respected. And now I ask the respected Jacksu Pugliz, Deputy Minister of Regional Development and Funds to give a preliminary explanation to the Government of the Republic of Croatia's proposal.
ParlaMint-HR_2015-09-09-0.u117861	President-in-Office of the Parliament, distinguished MPs and MPs before you is the draft law amending the Law on the financing of units of local and regional (regional) self-government. In particular, as announced several times during 2014 by the representatives of the Government of the Republic of Croatia after the adoption of a package of laws in the area of regional development and financing of units of local and regional self-government in 2013 and 2014 a series of amendments to the laws aimed at introducing permanent additional incentive measures for units with mountain-mounted status were planned for 2015. Therefore, following further consultations with representatives of local self-government units during the last year and this year, it has been established that the level of incentives of mountainous and mountainous areas should be established somewhere between units that have the status of assisted areas and units outside any support system, and approximately at the level of support such as local self-government units on the islands. Meanwhile, in past changes, the government introduced provisional measures to help the status of these areas, i.e. the budgets of local self-government units and transitional measures were planned for a period of 3 years. However, by introducing these permanent measures, the need to implement transitional measures ceases. Following that conclusion, adjustments were made in the distribution of income tax revenues for units of local self-government from mountainous and mountainous areas in a way that the share of non-intentional income in income tax increased from 60 to 70.5%. In addition, units in mountain and mountain areas acquire the right to an additional share in the income tax of 10% intended to finance capital projects in their area. It's a model similar to that model that applies to local self-government units on islands. This increase in the share of local units in income tax with the status of mountain-mounted areas simultaneously monitors the reduction of other positions. First of all, the position of the county's share in income tax that collects income in the area of units with the status of mountain-mounted areas. It is proposed to reduce the share of income from 16.5% to 12% and also propose to abolish the position to help offset decentralised functions. As regards the share of decentralised functions and assistance for projects co-financed by European Structural Investment Funds, they do not change and remain the same. The proposed redistribution of income tax increases the total income tax revenues by 35 units of local self-government from mountain-mounted areas classified in the 3rd and 4th categories according to the development index for the total annual amount of HRK 58.1 million. At the same time, the counties that have local government units on their territory with mountain-mounted status will record reduced revenues by 12.5 million kuna. At the same time, the lack of aid for balancing for decentralised functions will amount to 45.6 million kuna, but the deficit will be compensated for other revenues from the state budget. The consequences of this proposal would mean that more funds are provided for mountainous and mountainous areas. So even when you look at areas, the total areas of individual counties get more, above all the local level of 58 million kuna, but this increase by 58 million kuna follows and decreases the revenues of the counties themselves from 12.5 million kuna. But it should be stressed that the greatest burden of this increase is still being borne by the state budget. Thank you for your attention.
ParlaMint-HR_2015-09-09-0.u117862	Thank you very much, Deputy Minister. We have two replicas. Dear Representative Ivan Shuker.
ParlaMint-HR_2015-09-09-0.u117863	Thank you very much, Mr. President of the Croatian Parliament. It's very interesting what happens at the time before the election. This is a law by which the Ministry of Finance is the Ministry of Finance and not the Ministry of Regional Development because it is exclusively about the implementation of fiscal policy and the guidelines of fiscal policy that the government has adopted. So, the government hasn't changed the fiscal policy guidelines, but it needs votes in the mountainous and mountainous areas, and now it's doing what? He takes counties, takes the poor units of local self-government out of funding for primary education above all. So, what kind of way is that? Who gave you that right? You just can't do it, why? Because you sent these units of local self-government guidelines based on budgeting. And that's what the finance minister sent. And any of the leaders of those units will be given a criminal trial against the government because you cheated on them the moment they practically planned the costs. They can't cut costs right now. It's the end of the fiscal year. But obviously before the elections, you can do whatever you want. Aid for balancing, we said when adopting the budget, when amending the Law on the financing of units of local self-government that there would be about 450 million missing and 450 million missing. With this right now, you've definitely taken 900 million kuna from local self-government units, and you haven't compensated them with anything, and that's extremely unfair. It's about money for kindergartens, it's about preschool money, it's about basic school money, it's about fire money, it's about social care money and health money. And the question arises who gave you the right to do so without changing the guidelines of fiscal policy that you sent to local self-government units?
ParlaMint-HR_2015-09-09-0.u117864	Thank you very much. The reply to the replica, Deputy Minister Jacksa Puljiz.
ParlaMint-HR_2015-09-09-0.u117865	As I said, this bill is the result of consultations that have been done since January of this year and before that. Therefore, this is no news for local self-government units or county units. This bill is known and incorporated into the guidelines, therefore there are no surprises. What's just a fact and that's what's left to provide additional resources for local self-government units in mountainous and mountainous areas. No decentralised function will be questioned about that.
ParlaMint-HR_2015-09-09-0.u117866	Thank you very much. Dear Representative Josip Boris has a replica.
ParlaMint-HR_2015-09-09-0.u117867	Thank you very much. I'm interested in whether you thought of this because of the election or if it's really an ex-post mind after the debate we had last year about the 12th month when we had a set of the Law on Regional Development, the Law on Amendments and Supplements to the Law on Income Tax when you claimed that it was the most fair thing for local self-governments, especially for self-government in assisted areas, mountain-mounted areas, PPDS? You then strongly defended the justice of all these laws and claimed that the state would make up for everything that was missing and that you would take them through certain legal proposals. Today, on the eve of the election, it is obvious that the SDP stands badly in the 7th constituency, and you have remembered to change this law again in an unfair way by taking the counties in one piece to give to those you then took not only 50 but almost 100 million kunas in the mountainous and mountainous area. So here's clean to tell us and for the sake of the public did you think of that later, do you, with this law, tear down everything you spoke about a year ago or is this really the government's wish to help, truly help those you told a year ago, but at the expense of some of the next governments, because the fact is that at an extraordinary session, we are discussing this law and it's now in effect at 1.1.2016? Well, we'll honor you at the expense of others, and we'll look nice at least in that 7th constituency. Thank you.
ParlaMint-HR_2015-09-09-0.u117868	The reply to the replica of Deputy Minister Jacksa Pugliz.
ParlaMint-HR_2015-09-09-0.u117869	Well, let me remind you, a year ago and more, we passed a set of laws that we finally corrected a long-standing injustice that is very well known to you. It is 99 units of local self-government that have never been in the state budget support system, and are among the least developed areas. Most of these units are located in the area of Slavonia and Baranja. These are areas that were not occupied during the Homeland War but were certainly in a socially very difficult situation. And that's what we did. And as far as mountainous mountainous areas are concerned, we have introduced temporary measures for 3 years that we are now changing for permanent measures, and that is what is the point and that is what is the key content. We are getting a permanent framework to support mountain-mounted areas.
ParlaMint-HR_2015-09-09-0.u117870	Thank you very much. ... I have no reason to deny it, so they didn't suggest I write it down and I didn't see it. [[You can't hear the intruder.]] But we'll give it to you. Replicated representative Branko Bačić.
ParlaMint-HR_2015-09-09-0.u117871	Thank you, Mr. President. I don't have any particular reason to look for a replica if I didn't look for it.
ParlaMint-HR_2015-09-09-0.u117872	Well, I trust you, colleague.
ParlaMint-HR_2015-09-09-0.u117873	Mr. Deputy, after this bill of law, I rightfully ask you the question of what is the government's relationship and attitude towards the territorial structure of the Republic of Croatia? Your ministry, government and Prime Minister Zoran Milanovic have claimed for 3 years that the counties are ballast in the territorial structure and that regionalisation will take place in a way that will form 5 to 6 regions. It was also the law on the regional structure of the Republic of Croatia. A month ago, the Prime Minister said there was no need to form a region in Croatia, that the counties had come well and that even more should be financially strengthened. Following this law, which now reduces the fiscal capacity of the counties in the Republic of Croatia, the question arises whether the government has a view of the territorial structure at all. If he is not there, it is very bad, and in this way it is the impression that the Government's position on the territorial structure on the position of the county actually adapts to the daily political needs, especially when it comes to the campaign for the parliamentary elections that is ahead of us and when a law like this is welcome in the 7th constituency where the most funds will be allocated to the obvious government needed to improve its image in these election units. Thank you.
ParlaMint-HR_2015-09-09-0.u117874	Thank you very much. Do the representatives of the working bodies of the Board of the Croatian Parliament wish to present their reports? I don't think so. I'm opening a debate on the final draft of the law in the debate, and we're going to go to counsel clubs. The club of independent leftists and respected representative Branko Vuksic is next.
ParlaMint-HR_2015-09-09-0.u117875	Dear President of the Croatian Parliament, distinguished colleagues and colleagues. Walter once wrote, "It's dangerous to be right when the government is wrong." Yesterday, the Deputy Prime Minister said one sentence to me, and it seems to me that there are election campaigns in these discussions. The only correct sentence of one of the great Croatian populists Milan Bandic is that election campaign starts with the end of the election and lasts 4 years. So our every performance in the Croatian Parliament is an election campaign. The biggest election campaign is this set of laws and the call for a session 7 days before the start of a regular session of the Parliament, spending taxpayers' money. And this law belongs to a clean election campaign because it needs cities and municipalities where voters are returned to what was taken from them a year ago, a little less than a year ago. I remember that debate. These discussions warned about exactly what the government today is not correcting. The correction would have been if they understood it in the first, second, third month, but they realized again as they understood it, they read that the Constitution said that we are a social state and that we should help the poor, and unfortunately Croatia will soon be all poor, so they remembered it 7 or 15 or 30 days before the parliament was disbanded. So it's all clear, I hope everything's clear to the citizens as well. This is a clean passing of Mr. Prime Minister Milanovic, a pre-election run from hollow to blank. We might even make it to one of our mayors because his area belongs to hill-mounted areas. First, Mr Milanovic increased the non-intentional part of the county's income from 16% to 16.5%, and now reduces it to 12%. And this part of decentralisation function has already been reduced from 12 to 6%, and now it's completely abolishing it. Most of the time, it takes away 58 million kunas from the county, and it gives the cities and municipalities in these mountain-mounted areas the same money. No strategy, no long-term development, no idea just ad hoc laws according to the old phrase "gets on the bridge and loses on the pot". One of the promises to the Kukurik coalition, if you remember, was the decentralisation of Croatia. And many when they voted for Kukuriku, the coalition believed that Croatia would decentralisation. Croatia has never been more centralised than it is today, everything is decided in Zagreb. What's this about? Because power is in the hands of a man or a group of politicians in power who do not want to share their power with the local community. All we need to do is compare how much money has been allocated from the state budget or from various taxes to local self-government offices in Croatia, and how much in the countries that we should be modelling. The disproportionate is very large. And why centralization? Because you can. This was also done by previous parties, the previous governments, because they can then set up various agencies, various councils, can spend money on what money cannot be spent on, cars can be bought, smartphones can be done with money that the Government wills. I have no intention of talking about it for a long time because everything was said a year ago and a few days ago, and in the introduction I said, it's a pure pre-election trick, nothing else. In socialism, too, they resorted to tricks, so there was a magician coming to Sunday school for years. After every school opening in the fall when we started walking again some in the same, some in the upper class, a magician came, gathered us in a hall and sold various tricks, and one was sleeping. And then he kept telling us again and again, you're sleeping or you're sleeping, you're sleeping, and everyone's asleep, and I couldn't sleep, and every time he threw me out and said you're disturbing order and peace, you're disturbing my tricks. After I was kicked out of the gym and asked the rest of my classmates and fellow students, you fell asleep, said no, no one fell asleep, says we were all pretending to sleep. That's the same thing. What we're all pretending to not understand right now. Yesterday I heard that a new coalition is called "Croatian Growth". So now Mr Milanovic says "Croatia is growing, Croatia is growing, Croatia is growing". I don't know if she's in a different state, whether she's spreading beyond the borders and how it's growing. It grows with coalition partners of 0.5%. So Mrs. Vesna Pusic says voters will cast votes in one cup. And she's in that cup at 0.5%. It's a big pile. Thus, this set of laws is meant for Croatia to grow. Do you feel that Croatia is growing? Does anyone really think the voters are asleep? Or thinks Mr. Milanovic since he has failed to charm voters that he will charm them with the mantra that Croatia is growing. Well, you still believe that Croatia is growing. Before Croatia started growing yesterday, Mr. Milanovic said their coalition is called the Homeland Coalition. The day after that, he said it was a joke. This "Croatia is growing, Croatia is growing" is a big joke. Thank you very much.
ParlaMint-HR_2015-09-09-0.u117876	Thank you, too. Dear colleague, we have nine replicas on your exhibit. Let's go to the first line will be presented by the respected representative Tomislav Klaric.
ParlaMint-HR_2015-09-09-0.u117877	Dear colleague Vuksic and subsequent mind is good, but there seems to be no one here. Here on this side of the pay phone when this law was passed when the status of the mountain-mounted area was lifted to dozens of speakers was said what we have now heard from Mr. Pugliz. But with one injustice, there is another injustice. He said here, we just heard him give up the state the most. What's the country giving up? The one that took the Gorski Kotar. And who's he taking now? It takes the Primorje-Gorski County and other counties that are in that status with this model. It's good to have him back to the mountain cotter. These days during the Parliament break, I went to the entire Gorski Kotar, to attend many meetings of municipal, city councils, and there is one and the same story in the mayor's presentations. They've lost their budget, their resources, their dissatisfaction with this law. And we warned of what would happen. And then they assured us that their development index was too large and that's why they're being taken away. Over 57 million kunas were taken from these cities and municipalities for a year. Now we're gonna pay them back before the election, but we're gonna take the county and then we're gonna ease it up a little bit to the state budget. What did the state get with those 50 and some million kunas? And the local self-government units on the ground that had the budget, were the Gorans supposed to come here and protest at Mark's square? Should it have been so many times to point out this problem that no one listened to us to pass a law like this three weeks before the election? Which is good for the Gorski Kotar because they'll get something back next year but this year they're dead because of the failure and for not listening.
ParlaMint-HR_2015-09-09-0.u117878	Thank you very much. Replica response, respected representative Branko Vuksic.
ParlaMint-HR_2015-09-09-0.u117879	Dear counterpart Klaric, yesterday the law we discussed, the first law I spoke about on behalf of the club, was asked whether we would support it. We will all support what is useful for the citizens of the Republic of Croatia. You just said in the first sentence, "post-wise," it was a warning a year ago and something. Do people really need to come to Mark's square, protest, threaten, pray, bestow on someone to remember before the elections and say here we will now return, not correct because this is not the correcting of mistakes, the error was seen at the very beginning. Besides, they didn't trust their people because they have a lot of mayors there. They have a lot of people in the county, they know, they're actually in power there. They know they made a mistake. That's blasphemy. The second you asked a question whose money it was. Well, that's the citizens' money that needs to be distributed differently. And there was a promise to distribute differently that Croatia would decentralisation. Croatia is centralized and unfortunately we are discussing it and we were warned yesterday that we must essentially discuss it. Be careful, one of the coalition partners warns us that we should essentially discuss 10 days before the Parliament is disbanded. And when we talked in these four years countless times that we needed to talk about the essence, about the reconstruction of Croatia, about decentralisation of Croatia, about economic programs, of course, that they did not listen to us but mocked us.
ParlaMint-HR_2015-09-09-0.u117880	Thank you very much. The Honorable Vice President of the House, Nenad Stazic, replica.
ParlaMint-HR_2015-09-09-0.u117881	Comrade Vuksic, you have said one single sentence about this legislative proposal, that it is being adopted for the purpose of the election. All your speech, all the other sentences were pre-election speeches that had nothing to do with this law, but you accuse the government of making this law for election purposes. We have been listening for two days, so yesterday from you and other representatives of the opposition that and the opposition are all these laws that we discussed yesterday and that we will discuss here before. And that she was doing it in the interest of the people. So when the opposition proposes something, then it's in the interest of the people and when the government suggests the same thing, it's cheap pulsism for the purpose of the election. Well, I think that skill deserves to be entered into books, textbooks of logic as an example of a illogical review of the case. But the government works in the interest of the election, the parliamentary majority works in the interest of the elections, works, so the GDP in the interest of the election has increased by 1.2% and is likely to be 2% in the third quarter. So that's how exports increased 12%. That's all the result of this government's work for the purpose of the election. Well, industrial production is growing 1.6% compared to last year, and that's for election purposes. So the VAT in 8 months is 2.1 billion kuna larger than last year, and that's for the purpose of the election. And it's all populism, fellow Vuksic. It's all populism. So foreign investment is 40% higher and it's populist and it's for election purposes. So the record tourist season is 7.4 billion euros, the growth of revenue is 13.8%, the number of arrivals is 8% higher, nights are 6.5%, and that's pulsism, and that's the purpose of the election. So unemployment is the lowest rate in the last 7 years, 72000 employees more than two years ago and that's populism and it's for election purposes. Please be, try to be a little bit more logical.
ParlaMint-HR_2015-09-09-0.u117882	Replica response, respected representative Branko Vuksic.
