Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117404	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117405	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117406	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	VukšićBranko	Vukšić, Branko	M	1956	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117407	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117409	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Regular	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	ReinerŽeljko	Reiner, Željko	M	1953	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117410	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117411	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Regular	MP	notMinister	nezavisni	nezavisni	-	-	VukšićBranko	Vukšić, Branko	M	1956	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117412	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117413	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Regular	MP	notMinister	ID	Istarski demokrati	Opposition	Centre to centre-left	KajinDamir	Kajin, Damir	M	1962	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117414	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Chairperson	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	LekoJosip	Leko, Josip	M	1948	
ParlaMint-HR-en_2015-09-10-0	ParlaMint-HR_2015-09-10-0.u117415	Minutes of the National Assembly of the Republic of Croatia, Term 7, Session 19	2015-09-10	Unicameralism	7. mandat	-	Zasedanje 19	2015-09-10	-	Reference	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	DragovanIgor	Dragovan, Igor	M	1968	
