Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-BE-en_2014-06-19-54-plenair-ip001x-meta.tsv,2014-06-19,0,5,6,2,0
ParlaMint-BE-en_2014-06-30-54-plenair-ip002x-meta.tsv,2014-06-30,0,8,5,1,0
ParlaMint-BE-en_2014-07-17-54-commissie-ic001x-meta.tsv,2014-07-17,0,7,4,2,0
ParlaMint-BE-en_2014-07-17-54-plenair-ip003x-meta.tsv,2014-07-17,0,3,0,0,0
ParlaMint-BE-en_2014-07-18-54-commissie-ic002x-meta.tsv,2014-07-18,1,4,5,0,0
ParlaMint-BE-en_2014-07-30-54-plenair-ip004x-meta.tsv,2014-07-30,0,1,0,0,0
ParlaMint-BE-en_2014-09-24-54-commissie-ic008x-meta.tsv,2014-09-24,0,4,6,0,0
ParlaMint-BE-en_2014-09-26-54-plenair-ip005x-meta.tsv,2014-09-26,0,11,11,1,0
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x-meta.tsv,2014-10-07,0,2,1,0,0
ParlaMint-BE-en_2014-10-14-54-plenair-ip007x-meta.tsv,2014-10-14,0,7,4,1,0
ParlaMint-BE-en_2014-10-15-54-plenair-ip008x-meta.tsv,2014-10-15,0,17,11,2,0
ParlaMint-BE-en_2014-10-15-54-plenair-ip009x-meta.tsv,2014-10-15,1,18,18,3,0
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x-meta.tsv,2014-10-15,1,30,26,5,0
ParlaMint-BE-en_2014-10-16-54-plenair-ip011x-meta.tsv,2014-10-16,1,19,22,2,0
ParlaMint-BE-en_2014-10-16-54-plenair-ip012x-meta.tsv,2014-10-16,1,17,24,2,0
ParlaMint-BE-en_2014-10-23-54-plenair-ip013x-meta.tsv,2014-10-23,0,12,17,3,0
ParlaMint-BE-en_2014-11-04-54-commissie-ic010x-meta.tsv,2014-11-04,0,4,3,1,0
ParlaMint-BE-en_2014-11-04-54-commissie-ic011x-meta.tsv,2014-11-04,0,2,6,0,0
ParlaMint-BE-en_2014-11-05-54-commissie-ic012x-meta.tsv,2014-11-05,0,4,6,0,0
ParlaMint-BE-en_2014-11-05-54-commissie-ic013x-meta.tsv,2014-11-05,0,10,7,0,0
ParlaMint-BE-en_2014-11-06-54-plenair-ip014x-meta.tsv,2014-11-06,0,18,11,1,0
ParlaMint-BE-en_2014-11-12-54-commissie-ic014x-meta.tsv,2014-11-12,0,0,2,0,0
ParlaMint-BE-en_2014-11-12-54-commissie-ic015x-meta.tsv,2014-11-12,0,6,9,2,0
ParlaMint-BE-en_2014-11-12-54-commissie-ic016x-meta.tsv,2014-11-12,0,5,6,0,0
ParlaMint-BE-en_2014-11-12-54-commissie-ic017x-meta.tsv,2014-11-12,0,3,5,1,0
ParlaMint-BE-en_2014-11-13-54-plenair-ip015x-meta.tsv,2014-11-13,0,20,14,1,0
ParlaMint-BE-en_2014-11-18-54-commissie-ic018x-meta.tsv,2014-11-18,0,0,2,0,0
ParlaMint-BE-en_2014-11-18-54-commissie-ic019x-meta.tsv,2014-11-18,0,1,0,1,0
ParlaMint-BE-en_2014-11-18-54-commissie-ic020x-meta.tsv,2014-11-18,0,2,2,0,0
ParlaMint-BE-en_2014-11-19-54-commissie-ic021x-meta.tsv,2014-11-19,0,4,7,2,0
ParlaMint-BE-en_2014-11-19-54-commissie-ic022x-meta.tsv,2014-11-19,0,2,7,0,0
ParlaMint-BE-en_2014-11-19-54-commissie-ic023x-meta.tsv,2014-11-19,0,2,5,1,0
ParlaMint-BE-en_2014-11-19-54-commissie-ic026x-meta.tsv,2014-11-19,0,5,5,1,0
ParlaMint-BE-en_2014-11-20-54-plenair-ip016x-meta.tsv,2014-11-20,0,20,17,0,0
ParlaMint-BE-en_2014-11-26-54-commissie-ic027x-meta.tsv,2014-11-26,0,4,5,0,0
ParlaMint-BE-en_2014-11-26-54-commissie-ic028x-meta.tsv,2014-11-26,0,5,3,0,0
ParlaMint-BE-en_2014-11-26-54-commissie-ic029x-meta.tsv,2014-11-26,0,8,8,1,0
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x-meta.tsv,2014-11-26,0,0,3,1,0
ParlaMint-BE-en_2014-11-27-54-plenair-ip017x-meta.tsv,2014-11-27,0,16,9,2,0
ParlaMint-BE-en_2014-12-02-54-commissie-ic031x-meta.tsv,2014-12-02,0,1,1,0,0
ParlaMint-BE-en_2014-12-03-54-commissie-ic032x-meta.tsv,2014-12-03,0,0,2,0,0
ParlaMint-BE-en_2014-12-03-54-commissie-ic033x-meta.tsv,2014-12-03,0,3,6,1,0
ParlaMint-BE-en_2014-12-04-54-plenair-ip018x-meta.tsv,2014-12-04,0,9,12,2,0
ParlaMint-BE-en_2014-12-10-54-commissie-ic035x-meta.tsv,2014-12-10,0,2,3,1,0
ParlaMint-BE-en_2014-12-10-54-commissie-ic036x-meta.tsv,2014-12-10,0,7,15,0,0
ParlaMint-BE-en_2014-12-11-54-plenair-ip019x-meta.tsv,2014-12-11,0,2,0,0,0
ParlaMint-BE-en_2014-12-11-54-plenair-ip020x-meta.tsv,2014-12-11,0,19,19,0,0
ParlaMint-BE-en_2014-12-16-54-commissie-ic037x-meta.tsv,2014-12-16,0,5,5,0,0
ParlaMint-BE-en_2014-12-16-54-commissie-ic038x-meta.tsv,2014-12-16,0,5,7,1,0
ParlaMint-BE-en_2014-12-16-54-commissie-ic039x-meta.tsv,2014-12-16,0,6,12,1,0
ParlaMint-BE-en_2014-12-16-54-commissie-ic040x-meta.tsv,2014-12-16,0,3,6,0,0
ParlaMint-BE-en_2014-12-16-54-commissie-ic041x-meta.tsv,2014-12-16,0,4,5,1,0
ParlaMint-BE-en_2014-12-17-54-plenair-ip021x-meta.tsv,2014-12-17,0,9,9,1,0
ParlaMint-BE-en_2014-12-17-54-plenair-ip022x-meta.tsv,2014-12-17,0,17,12,2,0
ParlaMint-BE-en_2014-12-17-54-plenair-ip023x-meta.tsv,2014-12-17,0,26,25,4,0
ParlaMint-BE-en_2014-12-18-54-plenair-ip024x-meta.tsv,2014-12-18,0,16,23,2,0
ParlaMint-BE-en_2014-12-19-54-plenair-ip025x-meta.tsv,2014-12-19,0,19,13,1,0
ParlaMint-BE-en_2015-01-06-54-commissie-ic042x-meta.tsv,2015-01-06,0,3,1,0,0
ParlaMint-BE-en_2015-01-06-54-commissie-ic043x-meta.tsv,2015-01-06,0,4,5,1,0
ParlaMint-BE-en_2015-01-06-54-commissie-ic044x-meta.tsv,2015-01-06,0,5,5,1,0
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x-meta.tsv,2015-01-07,0,1,5,0,0
ParlaMint-BE-en_2015-01-07-54-commissie-ic046x-meta.tsv,2015-01-07,0,2,10,0,0
ParlaMint-BE-en_2015-01-07-54-commissie-ic047x-meta.tsv,2015-01-07,0,0,3,0,0
ParlaMint-BE-en_2015-01-07-54-commissie-ic048x-meta.tsv,2015-01-07,0,3,8,1,0
ParlaMint-BE-en_2015-01-07-54-commissie-ic049x-meta.tsv,2015-01-07,0,6,4,0,0
ParlaMint-BE-en_2015-01-07-54-commissie-ic050x-meta.tsv,2015-01-07,0,9,9,3,0
ParlaMint-BE-en_2015-01-08-54-plenair-ip026x-meta.tsv,2015-01-08,0,14,12,2,0
ParlaMint-BE-en_2015-01-13-54-commissie-ic051x-meta.tsv,2015-01-13,0,2,4,1,0
ParlaMint-BE-en_2015-01-13-54-commissie-ic052x-meta.tsv,2015-01-13,0,10,10,1,0
ParlaMint-BE-en_2015-01-13-54-commissie-ic053x-meta.tsv,2015-01-13,0,5,7,1,0
ParlaMint-BE-en_2015-01-14-54-commissie-ic054x-meta.tsv,2015-01-14,0,1,4,0,0
ParlaMint-BE-en_2015-01-14-54-commissie-ic055x-meta.tsv,2015-01-14,0,8,10,2,0
ParlaMint-BE-en_2015-01-15-54-plenair-ip027x-meta.tsv,2015-01-15,0,18,10,3,0
ParlaMint-BE-en_2015-01-20-54-commissie-ic056x-meta.tsv,2015-01-20,0,2,4,0,0
ParlaMint-BE-en_2015-01-20-54-commissie-ic057x-meta.tsv,2015-01-20,0,6,4,0,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic059x-meta.tsv,2015-01-21,0,3,13,0,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic060x-meta.tsv,2015-01-21,0,2,3,1,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic061x-meta.tsv,2015-01-21,0,5,5,0,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic062x-meta.tsv,2015-01-21,0,4,7,1,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic063x-meta.tsv,2015-01-21,0,5,8,1,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic064x-meta.tsv,2015-01-21,0,6,10,0,0
ParlaMint-BE-en_2015-01-21-54-commissie-ic065x-meta.tsv,2015-01-21,0,10,15,1,0
ParlaMint-BE-en_2015-01-22-54-plenair-ip028x-meta.tsv,2015-01-22,0,19,13,2,0
ParlaMint-BE-en_2015-01-27-54-commissie-ic067x-meta.tsv,2015-01-27,0,1,1,0,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic068x-meta.tsv,2015-01-28,0,1,3,0,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic069x-meta.tsv,2015-01-28,0,5,5,0,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic070x-meta.tsv,2015-01-28,0,5,6,0,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic071x-meta.tsv,2015-01-28,0,3,11,0,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic072x-meta.tsv,2015-01-28,0,7,13,1,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic073x-meta.tsv,2015-01-28,0,6,4,2,0
ParlaMint-BE-en_2015-01-28-54-commissie-ic074x-meta.tsv,2015-01-28,0,6,7,2,0
ParlaMint-BE-en_2015-01-29-54-plenair-ip029x-meta.tsv,2015-01-29,0,16,12,1,0
ParlaMint-BE-en_2015-02-03-54-commissie-ic075x-meta.tsv,2015-02-03,0,1,2,1,0
ParlaMint-BE-en_2015-02-03-54-commissie-ic076x-meta.tsv,2015-02-03,0,5,5,0,0
ParlaMint-BE-en_2015-02-03-54-commissie-ic077x-meta.tsv,2015-02-03,0,1,5,1,0
ParlaMint-BE-en_2015-02-03-54-commissie-ic078x-meta.tsv,2015-02-03,0,6,11,1,0
ParlaMint-BE-en_2015-02-03-54-commissie-ic079x-meta.tsv,2015-02-03,0,6,2,1,0
ParlaMint-BE-en_2015-02-04-54-commissie-ic080x-meta.tsv,2015-02-04,0,0,6,1,0
ParlaMint-BE-en_2015-02-04-54-commissie-ic081x-meta.tsv,2015-02-04,0,3,4,0,0
ParlaMint-BE-en_2015-02-05-54-plenair-ip030x-meta.tsv,2015-02-05,1,23,26,2,0
ParlaMint-BE-en_2015-02-10-54-commissie-ic082x-meta.tsv,2015-02-10,0,4,3,2,0
ParlaMint-BE-en_2015-02-10-54-commissie-ic083x-meta.tsv,2015-02-10,0,8,7,2,0
ParlaMint-BE-en_2015-02-10-54-commissie-ic084x-meta.tsv,2015-02-10,0,4,5,1,0
ParlaMint-BE-en_2015-02-11-54-commissie-ic085x-meta.tsv,2015-02-11,0,0,3,1,0
