Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U1	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U2	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Regular	MP	notMinister	LRA	Latvijas Reģionu apvienība	Opposition	Centre	KaimiņšArtuss	Kaimiņš, Artuss	M	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U3	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U4	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	Ločmele-LuņovaRegīna	Ločmele-Luņova, Regīna	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U5	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U6	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	Ločmele-LuņovaRegīna	Ločmele-Luņova, Regīna	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U7	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U8	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Regular	MP	notMinister	SASKAŅA	SASKAŅA	Opposition	Centre-left	Ločmele-LuņovaRegīna	Ločmele-Luņova, Regīna	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U9	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U10	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Regular	MP	notMinister	NSL	No sirds Latvijai	-	Right	SudrabaInguna	Sudraba, Inguna	F	-	
ParlaMint-LV-en_2014-11-11-PT12-270	ParlaMint-LV_2014-11-11-PT12-270-U11	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-11	2014-11-11	Unicameralism	12. sasaukums	-	Regulārā	2014-11-11	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
