Session,Date,Male,Female
ParlaMint-HR-en_2003-12-22-0-meta.tsv,2003-12-22,8,1
ParlaMint-HR-en_2003-12-22-1-meta.tsv,2003-12-22,23,4
ParlaMint-HR-en_2003-12-23-0-meta.tsv,2003-12-23,29,7
ParlaMint-HR-en_2004-01-27-0-meta.tsv,2004-01-27,57,22
ParlaMint-HR-en_2004-01-28-0-meta.tsv,2004-01-28,52,9
ParlaMint-HR-en_2004-01-29-0-meta.tsv,2004-01-29,42,25
ParlaMint-HR-en_2004-01-30-0-meta.tsv,2004-01-30,36,16
ParlaMint-HR-en_2004-02-25-0-meta.tsv,2004-02-25,66,19
ParlaMint-HR-en_2004-02-26-0-meta.tsv,2004-02-26,39,11
ParlaMint-HR-en_2004-02-27-0-meta.tsv,2004-02-27,88,27
ParlaMint-HR-en_2004-03-03-0-meta.tsv,2004-03-03,53,20
ParlaMint-HR-en_2004-03-23-0-meta.tsv,2004-03-23,65,19
ParlaMint-HR-en_2004-03-24-0-meta.tsv,2004-03-24,25,4
ParlaMint-HR-en_2004-03-25-0-meta.tsv,2004-03-25,41,10
ParlaMint-HR-en_2004-03-26-0-meta.tsv,2004-03-26,25,10
ParlaMint-HR-en_2004-03-31-0-meta.tsv,2004-03-31,43,15
ParlaMint-HR-en_2004-04-01-0-meta.tsv,2004-04-01,33,6
ParlaMint-HR-en_2004-04-02-0-meta.tsv,2004-04-02,19,2
ParlaMint-HR-en_2004-04-21-0-meta.tsv,2004-04-21,61,23
ParlaMint-HR-en_2004-04-22-0-meta.tsv,2004-04-22,33,13
ParlaMint-HR-en_2004-04-23-0-meta.tsv,2004-04-23,6,12
ParlaMint-HR-en_2004-04-28-0-meta.tsv,2004-04-28,42,10
ParlaMint-HR-en_2004-04-29-0-meta.tsv,2004-04-29,32,9
ParlaMint-HR-en_2004-04-30-0-meta.tsv,2004-04-30,29,4
ParlaMint-HR-en_2004-05-26-0-meta.tsv,2004-05-26,71,26
ParlaMint-HR-en_2004-06-02-0-meta.tsv,2004-06-02,44,18
ParlaMint-HR-en_2004-06-03-0-meta.tsv,2004-06-03,59,13
ParlaMint-HR-en_2004-06-04-0-meta.tsv,2004-06-04,24,7
ParlaMint-HR-en_2004-06-16-0-meta.tsv,2004-06-16,32,7
ParlaMint-HR-en_2004-06-17-0-meta.tsv,2004-06-17,34,12
ParlaMint-HR-en_2004-06-18-0-meta.tsv,2004-06-18,19,11
ParlaMint-HR-en_2004-06-30-0-meta.tsv,2004-06-30,33,13
ParlaMint-HR-en_2004-07-01-0-meta.tsv,2004-07-01,38,22
ParlaMint-HR-en_2004-07-02-0-meta.tsv,2004-07-02,53,15
ParlaMint-HR-en_2004-07-07-0-meta.tsv,2004-07-07,62,16
ParlaMint-HR-en_2004-07-08-0-meta.tsv,2004-07-08,39,13
ParlaMint-HR-en_2004-07-09-0-meta.tsv,2004-07-09,25,10
ParlaMint-HR-en_2004-07-13-0-meta.tsv,2004-07-13,60,15
ParlaMint-HR-en_2004-07-14-0-meta.tsv,2004-07-14,52,12
ParlaMint-HR-en_2004-07-15-0-meta.tsv,2004-07-15,44,13
ParlaMint-HR-en_2004-07-16-0-meta.tsv,2004-07-16,2,0
ParlaMint-HR-en_2004-09-15-0-meta.tsv,2004-09-15,64,19
ParlaMint-HR-en_2004-09-16-0-meta.tsv,2004-09-16,42,9
ParlaMint-HR-en_2004-09-17-0-meta.tsv,2004-09-17,17,3
ParlaMint-HR-en_2004-09-22-0-meta.tsv,2004-09-22,37,11
ParlaMint-HR-en_2004-09-23-0-meta.tsv,2004-09-23,32,10
ParlaMint-HR-en_2004-09-24-0-meta.tsv,2004-09-24,26,4
ParlaMint-HR-en_2004-09-29-0-meta.tsv,2004-09-29,42,13
ParlaMint-HR-en_2004-09-30-0-meta.tsv,2004-09-30,39,8
ParlaMint-HR-en_2004-10-01-0-meta.tsv,2004-10-01,15,6
ParlaMint-HR-en_2004-10-05-0-meta.tsv,2004-10-05,31,18
ParlaMint-HR-en_2004-10-06-0-meta.tsv,2004-10-06,36,7
ParlaMint-HR-en_2004-10-13-0-meta.tsv,2004-10-13,48,12
ParlaMint-HR-en_2004-10-14-0-meta.tsv,2004-10-14,37,4
ParlaMint-HR-en_2004-10-15-0-meta.tsv,2004-10-15,14,1
ParlaMint-HR-en_2004-11-03-0-meta.tsv,2004-11-03,59,18
ParlaMint-HR-en_2004-11-04-0-meta.tsv,2004-11-04,41,14
ParlaMint-HR-en_2004-11-05-0-meta.tsv,2004-11-05,23,5
ParlaMint-HR-en_2004-11-10-0-meta.tsv,2004-11-10,38,19
ParlaMint-HR-en_2004-11-11-0-meta.tsv,2004-11-11,51,13
ParlaMint-HR-en_2004-11-17-0-meta.tsv,2004-11-17,29,16
ParlaMint-HR-en_2004-11-18-0-meta.tsv,2004-11-18,72,27
ParlaMint-HR-en_2004-11-19-0-meta.tsv,2004-11-19,19,6
ParlaMint-HR-en_2004-11-25-0-meta.tsv,2004-11-25,41,9
ParlaMint-HR-en_2004-11-26-0-meta.tsv,2004-11-26,31,9
ParlaMint-HR-en_2004-11-30-0-meta.tsv,2004-11-30,50,7
ParlaMint-HR-en_2004-12-01-0-meta.tsv,2004-12-01,57,14
ParlaMint-HR-en_2004-12-02-0-meta.tsv,2004-12-02,25,12
ParlaMint-HR-en_2004-12-03-0-meta.tsv,2004-12-03,31,7
ParlaMint-HR-en_2004-12-07-0-meta.tsv,2004-12-07,42,7
ParlaMint-HR-en_2004-12-08-0-meta.tsv,2004-12-08,43,9
ParlaMint-HR-en_2005-01-19-0-meta.tsv,2005-01-19,42,14
ParlaMint-HR-en_2005-01-20-0-meta.tsv,2005-01-20,15,5
ParlaMint-HR-en_2005-02-02-0-meta.tsv,2005-02-02,42,7
ParlaMint-HR-en_2005-02-03-0-meta.tsv,2005-02-03,22,5
ParlaMint-HR-en_2005-02-04-0-meta.tsv,2005-02-04,11,4
ParlaMint-HR-en_2005-02-09-0-meta.tsv,2005-02-09,35,15
ParlaMint-HR-en_2005-02-10-0-meta.tsv,2005-02-10,29,8
ParlaMint-HR-en_2005-02-11-0-meta.tsv,2005-02-11,22,9
ParlaMint-HR-en_2005-02-16-0-meta.tsv,2005-02-16,25,15
ParlaMint-HR-en_2005-02-17-0-meta.tsv,2005-02-17,39,8
ParlaMint-HR-en_2005-02-23-0-meta.tsv,2005-02-23,25,18
ParlaMint-HR-en_2005-02-24-0-meta.tsv,2005-02-24,28,21
ParlaMint-HR-en_2005-02-25-0-meta.tsv,2005-02-25,24,5
ParlaMint-HR-en_2005-03-09-0-meta.tsv,2005-03-09,56,15
ParlaMint-HR-en_2005-03-11-0-meta.tsv,2005-03-11,29,9
ParlaMint-HR-en_2005-03-16-0-meta.tsv,2005-03-16,32,7
ParlaMint-HR-en_2005-03-17-0-meta.tsv,2005-03-17,37,6
ParlaMint-HR-en_2005-03-18-0-meta.tsv,2005-03-18,43,9
ParlaMint-HR-en_2005-03-22-0-meta.tsv,2005-03-22,27,10
ParlaMint-HR-en_2005-03-23-0-meta.tsv,2005-03-23,27,4
ParlaMint-HR-en_2005-03-30-0-meta.tsv,2005-03-30,40,8
ParlaMint-HR-en_2005-03-31-0-meta.tsv,2005-03-31,46,12
ParlaMint-HR-en_2005-04-01-0-meta.tsv,2005-04-01,7,1
ParlaMint-HR-en_2005-04-06-0-meta.tsv,2005-04-06,44,11
ParlaMint-HR-en_2005-04-07-0-meta.tsv,2005-04-07,9,4
ParlaMint-HR-en_2005-04-13-0-meta.tsv,2005-04-13,0,0
ParlaMint-HR-en_2005-04-14-0-meta.tsv,2005-04-14,2,0
ParlaMint-HR-en_2005-05-18-0-meta.tsv,2005-05-18,52,16
ParlaMint-HR-en_2005-05-19-0-meta.tsv,2005-05-19,31,7
ParlaMint-HR-en_2005-05-20-0-meta.tsv,2005-05-20,18,19
ParlaMint-HR-en_2005-05-24-0-meta.tsv,2005-05-24,31,10
ParlaMint-HR-en_2005-05-25-0-meta.tsv,2005-05-25,17,2
ParlaMint-HR-en_2005-06-01-0-meta.tsv,2005-06-01,28,19
ParlaMint-HR-en_2005-06-02-0-meta.tsv,2005-06-02,34,6
ParlaMint-HR-en_2005-06-03-0-meta.tsv,2005-06-03,19,4
ParlaMint-HR-en_2005-06-08-0-meta.tsv,2005-06-08,32,15
ParlaMint-HR-en_2005-06-09-0-meta.tsv,2005-06-09,31,4
ParlaMint-HR-en_2005-06-10-0-meta.tsv,2005-06-10,27,10
ParlaMint-HR-en_2005-06-29-0-meta.tsv,2005-06-29,54,18
ParlaMint-HR-en_2005-06-30-0-meta.tsv,2005-06-30,31,14
ParlaMint-HR-en_2005-07-01-0-meta.tsv,2005-07-01,19,2
ParlaMint-HR-en_2005-07-06-0-meta.tsv,2005-07-06,37,10
ParlaMint-HR-en_2005-07-07-0-meta.tsv,2005-07-07,29,8
ParlaMint-HR-en_2005-07-08-0-meta.tsv,2005-07-08,20,5
ParlaMint-HR-en_2005-07-12-0-meta.tsv,2005-07-12,47,23
ParlaMint-HR-en_2005-07-13-0-meta.tsv,2005-07-13,35,14
ParlaMint-HR-en_2005-07-14-0-meta.tsv,2005-07-14,37,7
ParlaMint-HR-en_2005-07-15-0-meta.tsv,2005-07-15,33,12
