Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e473	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e501	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e580	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e604	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e635	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_08237	Tancsits, Walter	M	1951	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e747	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e780	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02821	Donabauer, Karl	M	1945	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e832	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e850	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_02763	Silhavy, Heidrun	F	1956	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e903	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-07-07-022-XXII-NRSITZ-00072	ParlaMint-AT_2004-07-07-022-XXII-NRSITZ-00072_d7e921	Sitting Number 72, Legislative period XXII, Wednesday, 7. July 2004	2004-07-07	Lower house	Legislative period XXII	-	-	Sitting 72	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_01604	Scheibner, Herbert	M	1963	
