ParlaMint-NL_2019-05-14-tweedekamer-21.u1	The first speaker is Mr Paternotte on behalf of D66.
ParlaMint-NL_2019-05-14-tweedekamer-21.u2	Mr. Chairman. Sustainable aviation. We are optimistic that we will be able to fly much cleaner in the future. That will be necessary. This is actually reflected in all the calculations of the future of aviation and the climate goals we set together. This will have to be achieved by electric flying, cleaner engines and more efficient flight routes, but also by cleaner fuels. Mr. Chairman. The first motion concerns cleaner fuels [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that innovations which make aviation considerably cleaner are still a long way from being carried out;]] [[noting that the use of biokerosin in aviation is rapidly producing environmental benefits;]] [[noting that the current aircraft engines can already tolerate a biofuel mixture of 50%;]] [[calls on the Government to work at European level to introduce growth towards an obligation to mix biokerosin and (later) synthetic kerosene for aviation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Paternotte and Mr Stoffer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-597]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u3	The Environment and Infrastructure Council proposes that aviation should now be treated in the same way as any other transport sector, which has an important economic function and which must also be kept at borders. We share that with the Council. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that aviation in the Netherlands is not treated in an equivalent way to other sectors;]] [[noting that other sectors in the Netherlands must clearly comply with safety and environmental requirements;]] [[considers that aviation should be treated in the same way as other sectors;]] [[calls on the Government to establish clear complete environmental limits, such as emissions of noise, greenhouse gases and other harmful substances, for aviation in the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Paternotte. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-598]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u4	The chairman was right about that. Incorporation may be necessary at some point. In order to be able to properly assess the motion on incorporation, it is also important to know what the balance will be with regard to the other biofuel importers. If you can believe the reports, there is a 17-fold demand for biofuels. So could Mr Paternotte perhaps give some explanation or explanation? Or can he change his motion so much that there's some sort of ladder of consideration in it? For sec this motion; in this way no one can vote in favour of the motion. That would be a shame.
ParlaMint-NL_2019-05-14-tweedekamer-21.u5	I understand very well what Mr Van Raan means. That's why I also call synthetic kerosene. That is also what the Environment and Infrastructure Council indicates. It indicates that synthetic kerosene is indeed the long-term solution that allows you to fly much cleaner. And biokerosin is a transition fuel in that respect, because of course it is a biomass product. But when I say that this is an obligation to mix together at European level, I assume that it will indeed be weighed against the other questions. That is also why I literally asked the Rli how we deal with competition with, for example, shipping, which can only look at the same possibility of becoming more sustainable.
ParlaMint-NL_2019-05-14-tweedekamer-21.u6	But when we assess that motion, we really have nothing to gain from it. We still don't know what that trade-off should be. This can only be assessed when Europe has spoken. Would Mr Paternotte, for example, be prepared to extract biofuels and throw them only on synthetic fuels?
ParlaMint-NL_2019-05-14-tweedekamer-21.u7	Well, that would be a pity in that sense that, for example, our own national airline has strong ambitions in the field of biokerosin and one of the few in the world uses it on any scale. As a result, this could at least play an important role for the Dutch aviation industry. So let me first look at how we are going to discuss this in general consultation in this report. In the meantime, I'll think about what you've just said. Finally, I would like to ask the Minister a question about electric flying. Last year, the Minister stood next to the Pipistrel, an electric plane, during a symposium on electric flying. The Minister's commitment is clear and we welcome it. In the run-up to the Aviation Note, she is working on measures to ensure that the Netherlands is one of the first countries to allow for large-scale electric flying. Can she give us any updates on this or tell us what's going on?
ParlaMint-NL_2019-05-14-tweedekamer-21.u8	Thank you very much. I call Mr Van Raan on behalf of the Animal Party.
ParlaMint-NL_2019-05-14-tweedekamer-21.u9	Thank you, Mr President. We have indeed had a wonderful AO on sustainable aviation. If one thing became clear, it was that sustainable aviation does not exist at all. In order to give some direction, I will table the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are no legal restrictions to import a kerosene tax;]] [[noting that the Netherlands is organising an international conference on aviation taxation in June;]] [[calls on the government to take the necessary steps in the short term to introduce an ambitious kerosene tax,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Environment and Infrastructure Council recommends that clear aviation limit values be set in terms of climate, living environment and safety;]] [[calls on the Government to develop aviation limit values in the areas of climate, living environment and safety,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that public authorities underestimate the climate impact of the aviation sector by failing to take sufficient account of the impact of high-level emissions;]] [[noting that science provides a high-level bandwidth in the weighting of CO emissions;]] [[calls on the Government, pending the NLR investigation, to include at least the lower limit of this bandwidth in aviation statistics,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Raan, Mr Laçin and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-599]] [[This motion was tabled by Mr Van Raan and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-600]] [[This motion was tabled by Mr Van Raan and Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-601]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u10	Mr President, the final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Environment and Infrastructure Council recommends the development of a Dutch aviation climate policy with reduction targets for CO emissions;]] [[noting that no CO budget has yet been established for the aviation sector;]] [[calls on the Government to establish a CO budget for the aviation sector in proportion to the objective of limiting global warming to a maximum of 1.5°C and to include it in the Aviation Note,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31936-602]]
ParlaMint-NL_2019-05-14-tweedekamer-21.u11	Thank you, Mr. Chairman.
