ParlaMint-NL_2019-12-18-tweedekamer-5.u1	As mentioned above, we will continue with the VAO Addiction/Drug Policy. I call Mr Mulder.
ParlaMint-NL_2019-12-18-tweedekamer-5.u2	Within GroenLinks, you're a loser if you don't do drugs. D66 opened the 2019 General Financial Reviews with the promotion of mushrooms. And this week, a D66 plan leaked to promote drugs. The PVV does want our youth to grow up healthy and safe and therefore comes with a motion to make schools and schoolyards drug-free. I may also table this motion on behalf of Mr Van der Staaij. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that, as from 1 August 2020, schools and schoolyards will become smoke-free but not drug-free;]] [[calls on the State Secretary, following the smoking ban in schools and schoolyards, to also propose concrete measures leading to drug-free schools and schoolyards,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Edgar Mulder and Mr Van der Staaij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-453]]
ParlaMint-NL_2019-12-18-tweedekamer-5.u3	Mr. Chairman. I have a motion. In view of Mr Mulder's speech from the PVV, I think he is also very much in favour of the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the monitoring of tobacco sales to young people under the age of 18 in supermarkets is not effective;]] [[having noted that the turnover of Dutch supermarkets in smoke products in 2018 was more than EUR 2 billion;]] [[noting that supermarkets account for 50% of tobacco sales and are therefore the number one sales channel for tobacco products;]] [[considers that the sale of tobacco products by supermarkets is undesirable and that, among other things, the Lidl has already stopped selling tobacco products;]] [[calls on the government to call on supermarkets to stop selling tobacco in order to achieve a smoke-free generation,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-454]]
ParlaMint-NL_2019-12-18-tweedekamer-5.u4	This is a very good motion, but it has also been tabled by the CDA once in the prevention debate, namely to reduce sales outlets and call on supermarkets to follow the example of the Lidl. Maybe it's good to put them next to each other.
ParlaMint-NL_2019-12-18-tweedekamer-5.u5	If that motion has already been tabled in this form: fine. I'd like to hear the Secretary of State's appreciation. I am also counting on loyal support from the PVV to reduce smoking among young people.
ParlaMint-NL_2019-12-18-tweedekamer-5.u6	Thank you. Then I'll come to Mrs. Kuik.
ParlaMint-NL_2019-12-18-tweedekamer-5.u7	Mr President, thank you. We have, of course, considerable discussions in this debate, but I think we can agree on one thing, namely that prevention is important, also in order to prevent young people from entering a criminal network. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that experts at schools at all levels of education see young people being recruited by drug criminals to do jobs for them in exchange for money or drugs;]] [[noting that these experts are due, among other things, to standardisation of drug use in society which has shifted morale;]] [[noting that, although more and more schools are teaching information on drug crime and undermining, this is not enough;]] [[Considering that schools indicate that there are no good protocols for trusted persons, mentors and deans that contain clear agreements where teachers and students can go with questions or signals, including a line to the police or the municipality;]] [[calls on the government, in consultation with the VNG and at least the MBO Council, the Association of Colleges and the VSNU, to establish clear protocols aimed at tackling the recruitment of young people in schools by drug criminals,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuik and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-24077-455]]
ParlaMint-NL_2019-12-18-tweedekamer-5.u8	I hear what Mrs Kuik is saying, probably also following an article in one of the newspapers at the end of last month. I also see the problem. The question is, what is the best way to do this? In my view, the Ministers for Justice and Security and the Minister for Legal Protection are working together on a plan of action on undermining, including recruitment. Is it wise, then, to send the Secretary of State on a separate mission now, or should we really have to put it all in there? This problem exists and requires an approach, but please let us do so in a structured manner.
ParlaMint-NL_2019-12-18-tweedekamer-5.u9	Mrs Hermans is, of course, right to say that it is taking place in different policy areas. Undermining has indeed been placed with Mr Grapperhaus, but we are talking about drug prevention. We want to prevent young people from getting involved in crime, but it is also really about drug prevention. We have one government here. I am tabling this motion here, but there must also be a connection in the field of education. So it is also a matter of cooperation by this government to implement this. I think this VAO Drug Prevention is a good time to prevent young people from entering criminal networks. And yes, there is a need for cooperation in the various areas.
ParlaMint-NL_2019-12-18-tweedekamer-5.u10	Finally, Mrs Hermans.
ParlaMint-NL_2019-12-18-tweedekamer-5.u11	Prevention and prevention must be given absolute attention. As far as I know, this is all part of the approach we are currently working on. I really do prefer that we put this together in one place.
