ParlaMint-NL_2019-06-19-tweedekamer-8.u1	The Minister has the floor.
ParlaMint-NL_2019-06-19-tweedekamer-8.u2	Thank you, Mr. Chairman. Today we are discussing the issues at the CBR, the central agency for driving and driving. I want to divide the answer into several blocks. I think that is clear for the Members of Parliament, then you can easily follow whether your questions have already been answered or not. I would like to start with the big overarching issue: how are we going to find solutions here? For this, I would like to begin by explaining the new development of the administrative extension and then looking more broadly at what is needed and possible. Various suggestions have been made from the Chamber, which is more the subject of the structural solution. Of course, I will also discuss the ICT issues afterwards. I would like to focus specifically on the aspect of the medics we need for this. I will also talk about governance and culture, and then I will address some individual questions. Mr. Chairman. First of all, I'm going to say something a little bit about the letter I sent you last night. In that I announced that I would examine the possibility of adapting the rules for the current 75-plus group by allowing an administrative renewal of driving licences for up to one year. The aim is to create room for the CBR to focus on the most risky groups as a matter of priority. Our expectation is that this will help many people who are dealing with a expired driving licence now or in the coming months. The most risky groups are excluded from that administrative extension. You've seen the bullets. I shall deal with this in more detail later. For example, if they already have a licence with a restriction, they cannot be covered. Of course, people who make use of this scheme will also be advised or encouraged to report this when they themselves have doubts. But my experience with 75-plussers in the Netherlands is that they are on average very aware of their own responsibility and that when they get something medical to process they will actually report it. The Association of Insurers states that the scheme does not have to cause any problems in terms of insurability. Of course, that is a very important requirement, because if it would lead to people going on the road uninsuredly, then it will not help, because of course you can never expect that from people. The SWOV, the Stichting Scientifice Onderzoek Verkeerheid (Stichting Scientifice Onderzoek Verkeerheid) (Stichting Scientifice Onderzoek Verkeerheid) (Stichting Scientifice Onderzoek Verkeerheid) gives this solution given that the circumstances are also not unwise to find, in the light of road safety. They really see it as an oppaign to a better system in the future, with reporting over the whole period of time being given a central role. I have a few final comments to make on this. You have read in the letter that I must of course first and foremost know whether the CBR itself can handle this properly, or whether they can handle it, because if this would increase the chaos at the CBR, then we will put the horse behind the cart. So of course the CBR has to see for itself how they fit this into their processes. I'm gonna hold on to that battle for a while. Several MPs have asked: how long is this going to take? I can see Mr Schonis nodding at once, from: yes, I would have asked you to do the same. Within the next two weeks, I really need to be clear about all this, because I want to be able to give you that clarity before the recess, with regard to all the relevant factors. So that is primarily about the CBR, and secondly about the Ministry of Justice and Security and the Public Prosecutor, because of course we need to have clarity about how this can be maintained and about possible criminal consequences, because you all know that a driving licence can also be an identity card. All that kind of complications we need to figure out. The aim is to be able to answer you before the summer recess; that's what we're just going for.
ParlaMint-NL_2019-06-19-tweedekamer-8.u3	Okay, clear. That's gonna take some research, and you'll get back to that. I'm happy with that change and the Alliance of Insurers also says this can be done. I assume that this is only the case within the Netherlands. As you yourself say, the driver's license is also often used as an identity card. Imagine an elder with such an extension crossing the border and something happening there. Do you have a real license or not? We'll find it is because you'll be in the register in a minute. The question remains: when will that register be available? But do the foreign parties agree? There's a piece of liability there, isn't there? Please include that in the answer in a moment.
ParlaMint-NL_2019-06-19-tweedekamer-8.u4	Of course, that is an aspect that we are also looking at. The important thing is that this is a legal amendment, and that is why it really is a regulation, so if it is only a coulance that this is, of course, a legislative amendment, and so it is also a good basis for enforcement. How to resolve it in the intervening period and whether you tolerate or anticipate it in the run-up to the finalisation of that legislation is also part of what we are trying to figure out. I will certainly bring the component from outside the Netherlands.
ParlaMint-NL_2019-06-19-tweedekamer-8.u5	Take it with you. The second argument that I read in the letter and that really is a difference with respect to the coulance is that the confidence that the working stock has really shrunk at the CBR so that people can be helped in time was lacking. Is that right?
ParlaMint-NL_2019-06-19-tweedekamer-8.u6	Yeah, I'm gonna talk a little bit more about what's different and what we're focusing on. The fact that you're taking this group out doesn't only result in this group getting out of the fire, but also has a positive effect that there's more time left to pay attention to the important group of self-detectors. Those are the people who suddenly get hurt. Someone gets a TIA or something else happens that might cause that person to doubt whether this has any consequences for his driving ability. Those are people who want to help you very quickly, because it's a risk group. You'd like to clarify that very quickly. So the CBR gets more room to pick that up. In all respects, it is intended to bring enlightenment.
ParlaMint-NL_2019-06-19-tweedekamer-8.u7	The Minister must have thought very carefully about this administrative arrangement. So she'll probably be able to help me out and tell me how many people we're gonna make happy with this arrangement.
ParlaMint-NL_2019-06-19-tweedekamer-8.u8	I can't exactly describe that. You know how many people fall into that age group. I don't have those numbers right at hand, but I'll get back to you in each one. I'm gonna go check on my petals. Well, I found it pretty soon anyway. An assessment has been made, but we really do not know exactly how many people have a driving licence with a disability and how many people have obtained the driving licence by the police. These are all very specific cases. It is now estimated that there are 200,000 people on an annual basis who enter that category each year. We assume that it will be a solution for the largest majority of them, probably at least 160,000. We're gonna have to take a big hit. I can't imagine that a lot of 75-plussers had to turn in their licenses to the police, but I do have to take a swing at them.
ParlaMint-NL_2019-06-19-tweedekamer-8.u9	The Minister probably bases the figures on the ICT system of the CBR, which worries me. Can the Minister at least give us a percentage of the total number of applications now pending and whether that is just a drop in the ocean?
ParlaMint-NL_2019-06-19-tweedekamer-8.u10	I'll get to that later. The current working stock has also been specifically requested. So I'll come back on those numbers.
ParlaMint-NL_2019-06-19-tweedekamer-8.u11	I understand that before 1 July, we will know whether the coulance regulation is going to do it or not. The Minister also referred to the intervening period. Do we also know in two weeks' time whether this solution, in anticipation, will work for the interim period and whether it will enter into force immediately?
