ParlaMint-NL_2019-12-19-tweedekamer-44.u1	The next item is the VAO Police. I should like to give the floor to Mr Van Raak of the SP.
ParlaMint-NL_2019-12-19-tweedekamer-44.u2	Our agents stand for our safety and that means that we must also stand for our agents when they get into trouble. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that police staff suffering from PTSD often have to sue for years in order to obtain support and obtain their rights;]] [[Considering that until 2015, police officers dealing with PTSS were subject to a coulance policy;]] [[calls on the Government to re-introduce coulance policy for police officers dealing with PTSS as soon as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-922]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u3	Thank you, Mr. Chairman. A bit further on from the AO we had this morning, because that was indeed about PTSD. As far as my group is concerned, the Minister has given a satisfactory response to this. We'll wait for the message in the first quarter. There is one more question I have left open. I would ask the Minister to include that question. I have already asked in the budget for agents who are clearly not going to return to the workplace. Mr Van Raak is talking about a coulance regulation, and I asked for these files to be just bought off. I won't table a motion on it. I'm just gonna ask that question like this. Maybe the Minister can just promise that he'll investigate, because we don't know how many there are. I think we all agree that something must be done about this. Thank you.
ParlaMint-NL_2019-12-19-tweedekamer-44.u4	Thank you. I call Mr Van Dam of the CDA.
ParlaMint-NL_2019-12-19-tweedekamer-44.u5	Mr President, I have two motions and no glasses. So it's going to be a challenge! [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas additional efforts in the field of surveillance and security put very heavy pressure on our police;]] [[Whereas the availability of capacity in the police sector has been a major concern for a long time;]] [[calls on the Government to consider, in the short term, how Defence can contribute to the task of monitoring and securing, in particular where static security is concerned,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Dam and Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-923]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u6	I think we're all worried about the cops who were taken away for personal security after the murder of attorney Wiersum. I therefore appreciate Mr Van Dam's attempt to consider ways of getting these agents back on the streets. But I do not quite understand this motion, because we are also dealing with a staff shortage of 20%. I am very curious how Mr Van Dam sees it. We might be throwing a problem that we have on one side to the other side of the fence, while there is the same problem there.
ParlaMint-NL_2019-12-19-tweedekamer-44.u7	A 20% deficit means that 80% of the people are still present. I ask the Cabinet to examine the possibilities of playing a role in this, particularly in the field of static surveillance. You're talking, for example, about the security of embassies and of buildings here in The Hague, that sort of thing. I do not see whether this is going to work or not, but under the circumstances I think it is worth investigating.
ParlaMint-NL_2019-12-19-tweedekamer-44.u8	Mrs Yeşilgöz, briefly.
ParlaMint-NL_2019-12-19-tweedekamer-44.u9	I do not think that Mr Van Dam means that 80% of our soldiers then have free time to catch up elsewhere. So I'd still like to ask him to consider holding this motion. Since we are dealing with deficits on all sides, I would prefer the Minister to think about how we can solve them within our own domain, so that we do not transfer problems to other areas, in which people also need our support because they also have to deal with human shortages.
ParlaMint-NL_2019-12-19-tweedekamer-44.u10	I'm not going to hold the motion because the motion calls for an investigation. It may well be that the Minister is going to consult with his colleague in the defense and that he says "it can't be" with the arguments that the VVD just mentioned. But everyone is calling for solutions to be devised to solve the problem in the police. Then this is also a solution that needs to be looked at. If it turns out it can't, I'll be the last to want something that can't. But it's a research motion. The second motion has to do with fireworks. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, in accordance with the criminal procedure directives of the Office, the possession of a firearm is punishable by imprisonment, but the possession of one or more shells or cobras is subject to community service;]] [[Considering that heavy-duty fireworks are life-threatening and justifies the arrest of suspects, but that the current Directive constitutes a barrier to this;]] [[calls on the Government to enter into talks with the Public Prosecutor with a view to adapting the Fireworks Directive in such a way that it does not prevent the application of pre-trial detention so that the owners of heavy illegal fireworks can be detained at the end of the year,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Dam. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29628-924]]
ParlaMint-NL_2019-12-19-tweedekamer-44.u11	Mr. Chairman. During the AO this morning, the Minister promised that he would talk to the Chief of State about this tomorrow. I think it is important, in view of the new year, that we in the Chamber should also give our support to this and, so to speak, give our support to the Minister. Thank you.
