ParlaMint-NL_2019-12-11-tweedekamer-17.u1	The next item is the VAO Wadden. I should like to give the floor to Mr Gijs van Dijk of the PvdA.
ParlaMint-NL_2019-12-11-tweedekamer-17.u2	Mr. Chairman. I'll be brief given the time, but just for a moment: tomorrow is Old Sunderklaas on Texel. This is the island's own tradition, as each island has a tradition of its own celebration. I'll just be here tomorrow. It's very nice. Everybody dress up. It's a little carnival, but in a different way. If it falls once on the weekend, I invite you all. But there are also less beautiful things, yes, you have to make a transition when it comes to the Wadden region, such as the MSC Zoe disaster. The Minister's busy with that, too. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is still a lot of MSC Zoe waste in the Wadden Islands on a daily basis;]] [[Considering that the Wadden inhabitants have the impression that MSC is trying to avoid its responsibility;]] [[noting that there is no clarity that MSC remains permanently responsible for the cost of disposing of MSC Zoe waste;]] [[calls on the government to make every effort to keep MSC now and in the future responsible for the disposal costs of MSC Zoe's waste,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Gijs van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-192]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u3	And we're under a motion from the VVD. Thank you.
ParlaMint-NL_2019-12-11-tweedekamer-17.u4	We're facing them. Mrs Kröger van GroenLinks has the floor.
ParlaMint-NL_2019-12-11-tweedekamer-17.u5	Excuse me, Mr. Chairman. I didn't know the VAO was going so fast for this. I have two motions and they're both about the MSC Zoe. Then I also have motions at the VAO Maritime about the MSC Zoe.
ParlaMint-NL_2019-12-11-tweedekamer-17.u6	Well, we can't eat our luck!
ParlaMint-NL_2019-12-11-tweedekamer-17.u7	You can't beat your luck. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in the case of an oil spill based on past experience, there are drawn-up protocols which enter into force immediately to reduce environmental damage;]] [[noting that the MSC Zoe disaster has shown that a disaster with a high level of plastic pollution has serious and long-lasting consequences, but that there is not yet a roadmap for this;]] [[calls on the Government to draw lessons from the MSC Zoe disaster and to ensure it in the incident response plan in order to minimise any future disaster involving plastic environmental damage,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-193]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u8	The Minister has indicated that 25% of the cargo is still missing and that the project Fishing for Litter can play a role in picking up this cargo anyway. But that program costs more money. About the past year, the minister talks with the organization. We are looking forward to ensuring that Fishing for Litter can also do its job by 2020. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas fishermen in the North Sea and Wadden Sea still encounter waste in their nets, partly from MSC Zoe;]] [[Whereas the Fishing for Litter project can thus continue to contribute to the post-disaster recovery work;]] [[calls on the Government to ensure for the coming year that Fishing for Litter has the means to contribute to the clearance of the MSC Zoe cargo and to recover these costs from the shipowner,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kröger. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-194]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u9	Then I have one more question about the Area Agenda Wadden. The nature organisations have written a letter, because they are concerned about the lack of ambition for the Wadden Nature and believe that the main objective, the Wadden Sea, should remain guiding. Would the Minister like to address the concerns of nature organisations? Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-17.u10	Thank you. I call Mr Wassenberg of the Animal Party.
ParlaMint-NL_2019-12-11-tweedekamer-17.u11	Mr. Chairman. We are faced with a clear, unambiguous choice for the Wadden region. In order to preserve the unique nature, we must opt for protection and against harmful activities such as gas extraction, salt extraction, fishing and bulk shipping. In recent years, postponing this choice has led to the deterioration of nature in the Wadden region. The managing authority Wadden Sea runs the risk of becoming a toothless consultative body due to the lack of that clear objective. In addition, the Defense Department is missing at the table while flying jets above the Wad. That's why the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that nature in the Wadden region has been seriously affected, inter alia, by gas extraction, salt extraction, fishing and bulk shipping;]] [[noting that the challenges for the Wadden region will only increase in the future, including due to the climate crisis;]] [[Whereas protection of the unique Wadden region should be priority number one;]] [[calls on the Government to inform the managing authority of Wadden that activities that harm the Waddenecosystem are now history,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg and Mr Van Esch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-195]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u12	Mr. Chairman. Then a brief and simple motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Ministry of Defence is active in the Wadden region, including military flight exercises over sensitive natural areas such as the English Manplate;]] [[calls on the Government to ensure that the Ministry of Defence is represented in the Wadden region administrative consultation,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg and Mr Van Esch. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-196]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u13	Mr. Chairman. One last comment. The Minister's answers to my questions about the Wadden Fund are disappointing. The cabinet confuses purpose with means. Hundreds of millions are spent on projects without any indication of the impact on nature recovery. Those are not well spent euros. Meanwhile, golf courses have been built and bridges raised, all of that money for nature. The direction must be with the Empire and the remaining money must be earmarked for nature projects. This can only be accompanied by the establishment of an independent evaluation and monitoring system and the building up of necessary scientific knowledge. The motions I tabled to the WHO Water on this matter will be put to the vote on Tuesday. Thank you, Mr. Chairman.
ParlaMint-NL_2019-12-11-tweedekamer-17.u14	Thank you. Mrs Aukje de Vries of the VVD has the floor.
ParlaMint-NL_2019-12-11-tweedekamer-17.u15	Thank you, Mr. Chairman. Mine too is a motion on the MSC Zoe. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the MSC Zoe lost 342 containers in the night of 1 to 2 January 2019 and that this was almost a year ago;]] [[noting that on 4 January 2019 the Dutch State held company MSC liable;]] [[noting that MSC has not paid all the costs of EUR 1.93 million so far;]] [[considers that MSC cannot pay the cost of the damage caused quickly and in full;]] [[invites the Government to use the legal and legal possibilities available in the first quarter of 2020 to fully pay the costs of the damage caused by Company MSC,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-197]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u16	Then there's a second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that pressure is currently being put on, inter alia, the Wadden Agenda 2050 and the National Environment Vision (NOVI);]] [[Considers that the accessibility of the Wadden Islands and the Wadden ports is of great importance to residents, tourists and entrepreneurs and thus the viability of the Wadden region;]] [[believes that accessibility is sometimes difficult, such as to Ameland and Lauwersoog;]] [[calls on the Government to identify the accessibility of the Wadden Islands and Wadden ports in policy documents as of social and economic interest,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Aukje de Vries, Mr Gijs van Dijk and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29684-198]]
ParlaMint-NL_2019-12-11-tweedekamer-17.u17	I give the floor to the Minister.
