ParlaMint-NL_2019-04-11-tweedekamer-9.u1	The next item is the Medical Devices Act. I give the floor to the Minister for his first answer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u2	Thank you, Mr President. There have been incredibly many questions asked, and I'm going to try to provide all of them with an answer. But I would also like to make a few preliminary remarks. We are talking here about the medical devices bill, and then, of course, it becomes a bit of a debate about provisions in legislation. Several of you have said it this morning: we have Mrs Roes in mind, for example, whose breast implants have been placed and leaked in several generations of breast implants. You can't say "excuse," but this law needs to be handled carefully. I think it is a good law that tightens the rules for the use of medical devices, as a Belgian would say. That is important, but of course we also have in mind the suffering caused by implants, as we have seen in Mrs Roes' situation. I don't know what happened to you. There are also people who say: I need those implants very badly, imagine they weren't there. I would like to make a comment about what is in the bill. I would like to make a second comment on the report on the safety of breast implants, and in particular the French ban on macro-textured breast implants, a certain category. And I would like to make a comment about reporting incidents at the inspection, not of calamities but of incidents, because that is a point that was not raised this morning, but extended on 21 March. Then I'm gonna answer questions. Mr President, first of all, on the medical devices bill. This bill implements the new European legislation on medical devices and in vitro diagnostics. That bill has been under intensive negotiations for five years. My predecessor has regularly informed you about the progress of these negotiations. These Regulations contain additional measures to ensure the safety and effectiveness of devices for the patient. Additional requirements are imposed on the independence and the necessary expertise in notified bodies. Manufacturers should better substantiate that their tool is safe and does what it promises through additional requirements for clinical trials. For high-risk tools such as implants, an opinion from a panel of independent experts will be forthcoming for a product that receives a CE certificate. Furthermore, the new legislation requires manufacturers to continue to monitor the product by post market surveillance after it is on the market. So not only does the manufacturer have to keep following stricter requirements in advance, but also when the product is on the market. In addition, the regulation should provide a better understanding of the safety and effectiveness of the devices for everyone, including the patient. The new European ICT system EUDAMED is being built for this purpose. I expect that the new regulations will really be a step forward in the safety and effectiveness of tools. The present bill is intended to implement the regulations. The regulations concern mandatory law, with only a limited degree of discretion at national level. Our current law on medical devices is based on a European directive. A directive must be implemented in national law. Today we are talking about the new Medical Devices Act, which is based on a regulation. Regulations are directly reflected in our legal order, which means that provisions of regulations should not be included in our national regulations. Therefore, our national laws and regulations need to be adapted. A large part of the bill that we are debating today therefore contains no great surprises, but matters that are important for patient safety. The IGJ shall be designated as the competent authority for monitoring compliance with the new laws and regulations. Furthermore, the CCMO becomes the competent authority for examining proposals for clinical trials. Furthermore, the possibility is created to lay down additional rules in an AMvB or a ministerial arrangement. The bill lays down several enforcement instruments, including the administrative fine. The Medical and Scientific Research Act is also amended with people. The Regulation now provides for the necessary protection of subjects. Where our own law overlaps with the regulation, it is amended. There is one aspect in which the regulation explicitly leaves room for national choices. The regulation gives Member States the opportunity to allow or not to allow re-processing. Reprocessing is a collective concept for sterilisation, disinfection and cleaning, allowing a used device intended for single use to be re-used. I think it is important that this is allowed under strict conditions, because it offers an opportunity to combat waste and because it can lead to cost savings. In a moment, I will go into the questions that have been asked about the law. Then there is a comment on the coverage of breast implant safety. A lot of attention has recently been paid to ALCL in connection with the French ban on macrotextured and polyurethane coated breast implants. I have received a great deal of information from the French supervisor about the justification for this ban. I've asked RIVM to give an explanation of this scientific information. I want this explanation quickly; I'll get her before the meireces. As soon as more is known, I'll inform the room. In the meantime, I have asked the Dutch Society for Plastic Surgery to temporarily stop using these implants. A list is attached to the letter I sent to your Chamber last week. Depending on the results of the explanation by the RIVM I will take additional actions. I would like to remind you that I attach great importance to the research on this subject. I encourage this research, among other things, by organising a conference on this subject in July. I will also inform you about the results.
ParlaMint-NL_2019-04-11-tweedekamer-9.u3	I should have gotten up a little faster, because I want to ask a question about the minister's previous passage, about the re-processing. As CDA, we've asked questions about that. The minister says he has chosen the strict regime for the Netherlands. Other countries choose differently. It is therefore possible that things that have been reprocessed in other countries will be imported here. If it's okay, the minister's gonna change the law so that it doesn't just happen.
ParlaMint-NL_2019-04-11-tweedekamer-9.u4	That's right. We can welcome re-processing, because it can lead to waste management, but patient safety must always remain at the forefront.
ParlaMint-NL_2019-04-11-tweedekamer-9.u5	Then I understand that materials reprocessed in other countries are subject to the same stringent requirements as Dutch materials. Otherwise an uneven playing field would arise.
ParlaMint-NL_2019-04-11-tweedekamer-9.u6	I couldn't agree more. The strictest safety requirements for the re-processing of medical devices should apply. They can only be used in the Netherlands under these very strict conditions. I will actively focus on that.
ParlaMint-NL_2019-04-11-tweedekamer-9.u7	You will continue your speech.
ParlaMint-NL_2019-04-11-tweedekamer-9.u8	Then about reporting incidents at the inspection. In the debate we had on 21 March on the safety of implants, I promised that I would make it possible for healthcare professionals to report incidents to the inspection. I raised the question as to whether this would require a legislative amendment. At the moment there is only the obligation for caregivers to report calamities to the inspection. This is stated in the Quality, Complaints and Disputes Care Act. In order to also oblige healthcare professionals to report incidents at the inspection, I have promised in that debate that an adaptation of the current Medical Devices Act is necessary. So that's the law we're discussing today. No, that is not the bill we are talking about today, because it concerns the law currently in force. So I'm going to quickly make a letter of amendment to the bill to ensure that reporting of incidents to the IGJ is laid down in the law. I will offer you the letter of amendment very soon. Mr President, I would like to make a few preliminary remarks. I would now like to answer the various questions raised by the speakers. I shall begin with the questions raised by Mr Van Gerven. Mr Van Gerven's first question was: why does the IGJ not impose the same requirements in its supervision of notified bodies as in medicinal products? The answer to this is that the requirements for notified bodies are laid down in the EU Regulation. These requirements have already been strengthened in 2013 and are incorporated into the new Regulation. That is the answer to the question of why there is a difference. Mr Van Gerven's follow-up question is: can the Minister ensure that all research results from clinical research become public? Manufacturers should publish a report containing the results of the clinical trial through EUDAMED regardless of the outcome of the study. This must be done within one year of the completion of the investigation. If the clinical trial has ended prematurely, for safety reasons for example, even within three months should be reported. So that's ample explanation. Yes, research results must therefore be made public. What about the reports that authorities keep reports secret? I'm not aware that authorities keep reports secret. The combination is of course always so that a notification must be indicated. Therefore, if the notification contains information that there is an incident, it must be made public. If that is not the case, it is of course a question of whether it is necessary to report it. This openness is important, but a report should, I think, always be accompanied by an explanation of that report, namely whether there is an incident.
ParlaMint-NL_2019-04-11-tweedekamer-9.u9	Let me ask you a practical question. The Minister said a few words about the disclosure of data, but is he going to go back to that in greater detail? Not only the SP Group, but also other groups have...
ParlaMint-NL_2019-04-11-tweedekamer-9.u10	I'm sure that'll come back.
ParlaMint-NL_2019-04-11-tweedekamer-9.u11	Okay, I'll wait and see. I thought, if that's it, I'd have a few more questions, but...
ParlaMint-NL_2019-04-11-tweedekamer-9.u12	If I understand correctly, the Minister answers the questions per Member of Parliament and not clustered by theme.
ParlaMint-NL_2019-04-11-tweedekamer-9.u13	Per MP and therefore not clustered by theme. Because there are so many different questions and also rather specific questions, I have chosen to answer the questions of the different groups per person.
ParlaMint-NL_2019-04-11-tweedekamer-9.u14	Okay.
ParlaMint-NL_2019-04-11-tweedekamer-9.u15	That's between 80 and 90 somewhere.
ParlaMint-NL_2019-04-11-tweedekamer-9.u16	Look, we're just going to have a nice afternoon!
ParlaMint-NL_2019-04-11-tweedekamer-9.u17	That's for sure, Mr. Chairman. Can the Minister guarantee that reports will be registered? That was a question from Mr Van Gerven. Yeah, that's what the inspection does. The answer to that is therefore in the affirmative. How dependent is EUDAMED's industry? Or should I turn it around: how dependent is EUDAMED on industry? One of the two questions was put by Mr Van Gerven. EUDAMED will be the central system for regulating the European market for medical devices in Europe. It is used by many parties for their work: inspections, notified bodies, evaluators of clinical research, manufacturers and importers. All parties shall put information in EUDAMED. There is therefore no financial dependence. It's a widely used system. It will become a system widely used by an incredible number of parties. I really see it as an important European database for data on medical devices. Then the following question: can the Minister guarantee that patients...
ParlaMint-NL_2019-04-11-tweedekamer-9.u18	Mr Van Gerven has a question on the previous subject.
ParlaMint-NL_2019-04-11-tweedekamer-9.u19	Can the Minister explain in more detail who owns EUDAMED? I understand it's a big platform and that everyone there has information... But who controls that? Is that the European Commission, or is that the countries?
ParlaMint-NL_2019-04-11-tweedekamer-9.u20	It is a system of the European Commission.
ParlaMint-NL_2019-04-11-tweedekamer-9.u21	And the funding is also being provided by the European Commission?
ParlaMint-NL_2019-04-11-tweedekamer-9.u22	Sure. But there's also a payment to be made. Don't ask me exactly for what activities; I'd like to get that straight. But it is a system of the European Commission.
ParlaMint-NL_2019-04-11-tweedekamer-9.u23	Will the Minister explain in more detail how EUDAMED is financed? If you're getting information out of that, you're obviously paying for it. That's the kind of business we're talking about. Because I think it is important to be able to trace the so-called money flows properly, in order to guarantee independence.
ParlaMint-NL_2019-04-11-tweedekamer-9.u24	I'd be happy to make that commitment. I'll get that straight and I'll inform your room about that.
ParlaMint-NL_2019-04-11-tweedekamer-9.u25	Okay. Thank you.
ParlaMint-NL_2019-04-11-tweedekamer-9.u26	Another question from Mr Van Gerven was: can the Minister guarantee that patients will not be placed in their bodies with unsafe equipment? This was about implant placement. I think I should be right here anyway. With the advent of the regulations, the safety requirements of particularly high-risk implants will be raised. They need to provide more clinical evidence that the product is safe and effective. In some cases even an independent expert panel looks at it before a notified body issues a CE certificate. However, so we will continue to argue throughout the afternoon, the choice of an implant always entails risks. Therefore, I think it is important for patients to be well informed by their doctor about the risks of complications. We discussed the additional measures I am taking on that point on 21 March. I have promised you that I will inform you more about this before the summer with a progress report. Then there is the question of Mr Van Gerven, who has also been asked by others: is it not very cynical that women should wait until there is a higher risk before implants have to be removed? Patients who are concerned about their implant can report to their doctor. The doctor will then examine the complaints and take further action if necessary. A balance is made between the risks of the implant and the risks of an operation. Only the medical care that is needed will be reimbursed; that is what we discussed yesterday in the debate. If there is a medical need, then in principle the removal of the implants will be chosen. It should be noted that there may also be risks to the explantation, i.e. the removal of the implants. Then I have the question of Mr Van Gerven, whether it is true that France refers to Dutch research. It's about Radar's broadcast last week. On the basis of the decision taken by my French colleague to ban certain macro-textured implants, I asked: may I have your information, on the basis of which you took that decision? This leads to a few hundred documents, including Dutch articles from magazines. So we already have one. But I submitted all this information to the RIVM to give an explanation of this, to see if the French decision can also be followed by the Netherlands. It takes RIVM, as I said, a few weeks to do that. Therefore, pending the explanation of the RIVM, I asked the Dutch Society for Plastic Surgery not to use those specific breast implants anymore. I hope that this situation of uncertainty will soon come to an end. I'll inform the Chamber about that soon. I have one more question from Mr Van Gerven, who deals with Article 6:77 of the Civil Code. Isn't that article applicable to medical professionals? Is that medical professional liable for damage to unsuitable implants? Why don't we put that responsibility on doctors or hospitals? The answer is: yes, Article 6:77 of the Civil Code also applies to doctors, so doctors can already be held liable. A patient can appeal to his liability both to the manufacturer of a device and to the doctor applying the device. Mr President, that is in the direction of Mr Van Gerven.
ParlaMint-NL_2019-04-11-tweedekamer-9.u27	Mr Van Gerven has a question.
ParlaMint-NL_2019-04-11-tweedekamer-9.u28	Yes, because what the Minister says is true. We know that too, because it's in the Civil Code. But the practice is a different one. I am concerned with the comparison between doctors on the one hand and a carpenter or plumber on the other. If the carpenter causes damage by using defective equipment, he is liable. Actually, there's hardly any discussion about that. The owner of a house can then recover the damage from the carpenter. But in the care sector, that is different in practice. There you see very often that circumstances are cited which lead to liability not with the doctor, but with the producer. Then it is up to the patient to prove that this is inadequate and that there must be satisfaction. What does the Minister think of this observation?
ParlaMint-NL_2019-04-11-tweedekamer-9.u29	The Civil Code is designed in such a way that the manufacturer of something he manufactures is liable for it if that is not proper. In the example of the carpenter and nail the nail manufacturer must make good nails. If they are not good nails, then he can be held liable. There's such a thing as liability. In addition, the carpenter can be addressed to the fact that the work is not sound. That nail could play a part in that. Therefore, both the manufacturer of the device and, back to our example, the doctor can be held liable. That's the policy that's in place.
ParlaMint-NL_2019-04-11-tweedekamer-9.u30	In principle, therefore, the doctor is also liable for, in the specific case, the implants he or she uses and applies. But in practice you often see in case law that the doctor is, as it were, exonerated, for example because a certain side effect was not yet known or not sufficiently known. This has already been discussed in the debate on this subject. Then how does the Minister view it? Doesn't it remain that the doctor is, in principle, responsible for the material he uses at all times?
ParlaMint-NL_2019-04-11-tweedekamer-9.u31	No, Mr. Chairman. Liability rests primarily with the material manufacturer, the nail, the implant. In addition, the doctor can also be held liable, just as the carpenter can be held liable. So it's en-and and not or-or. So that's a wide choice. Both possibilities exist, and that seems to me to be the right way to proceed.
ParlaMint-NL_2019-04-11-tweedekamer-9.u32	Can I conclude, then, that, as far as the Minister is concerned, there is really no difference in liability between the carpenter and the doctor on the one hand?
ParlaMint-NL_2019-04-11-tweedekamer-9.u33	I don't know. The carpenter's product, in my example the nail, is a bit clearer than, for example, the pacemaker. I can well imagine that the carpenter can see whether that nail is sound and that it is much more difficult for the doctor to judge when it comes to a complicated instrument like a pacemaker. But the core remains that both the producer and the doctor can be held liable.
ParlaMint-NL_2019-04-11-tweedekamer-9.u34	Before you continue to answer the questions, I would say that there are four amendments tabled by Mr Van Gerven. Do you want to respond to that already, or do you prefer to do so in the second term?
ParlaMint-NL_2019-04-11-tweedekamer-9.u35	I would prefer to do so in second place because I do not yet have all the amendments, Mr President. They were not all mentioned in the debate either. I'd be happy to do it in the second term.
ParlaMint-NL_2019-04-11-tweedekamer-9.u36	Yes.
ParlaMint-NL_2019-04-11-tweedekamer-9.u37	Mr. Chairman. I come to the questions of the PvdA Group. Mrs Ploumen's first question was about the population survey on breast cancer, and more specifically about the side findings directive. Mrs Ploumen's question was: is a warning sent to the general practitioners if it appears that the implant is worn out? The answer is yes. If there is a suspicion of damage, serious damage, i.e. visible damage, then the screening radiologist informs the GP. That is what the directive says. To refer to the word'serious' here, I say that the condition is of course that the damage must be visible. There must therefore be visible wear and tear. Mrs Ploumen asked whether the parallel findings directive has already been amended by the RIVM and, if not, when it is ready. That adjustment is not yet ready. There are still discussions about this directive. I know more about this before the summer and I will report to the Chamber before the summer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u38	I have an enlightening question. If I listen carefully to the Minister, does he say that it is not yet in the directive, but that it is being worked on and that we will hear more before the summer?
ParlaMint-NL_2019-04-11-tweedekamer-9.u39	Yes. The Centre for Population Research of the RIVM is still in discussion with the professional association concerned. A further discussion is being held on questions such as: what does the directive say, what does it look like? So I don't know exactly when they're ready either. That is why I propose that we examine this matter and inform the Chamber before the summer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u40	Thanks to the Minister. He does share my urgency, doesn't he? Because, yes, every day women get that breast examination and every day there are women in whom it is possible to find that the implant is defective; let me put it this way.
ParlaMint-NL_2019-04-11-tweedekamer-9.u41	In this context, this 'needle finding' is a strange word, but I understand Mrs Ploumen's question very well. I would therefore very much like that clarity to exist. And if it can be done by means of a directive, it is wonderful, but I would also like to listen to it if it can be done in a different way. For that, we have to wait for that conversation with the professional association concerned. I would like to inform you of the findings before the summer, with the same sense of urgency.
ParlaMint-NL_2019-04-11-tweedekamer-9.u42	Thank you.
ParlaMint-NL_2019-04-11-tweedekamer-9.u43	The next question was whether the Minister is prepared to ensure that doctors interpret the guidelines in such a way that care for patients is taken seriously. Take patients seriously. We have already discussed what should or should not be included in a directive. In addition, I announced in my letter of approval of late December 2018 that I am setting up a campaign aimed at healthcare professionals. A lot of attention will be paid to the side effects and to taking complaints seriously. I would also like to draw attention to the proper interpretation of the directive. It is therefore a question of both the directive and its communication. Mrs Ploumen's next question was: do we respond with the new regulation to the urgent need for tightening up? From my introductory remarks, I think that is what we are doing. That is what is happening with the regulation. Is it then completely, finally, settled forever with this new legislation? I don't think so. I think we should take further steps. In Europe, the issue will always remain: do we have all the information and do we have all the information transparent? That will be the issue there. I think that, in the Dutch context, we should take back a bit of the debate on 21 March, and put a lot of extra energy into it, for example, in the awareness of such reporting and expertise points of side effects, their use and the linking of systems and registers, so that parties can all make use of them. Mrs Van den Berg and Mr Rutte asked for this earlier. So we're not finished with the subject of medical devices.
ParlaMint-NL_2019-04-11-tweedekamer-9.u44	I would understand what the Minister is saying when he talks about progressive insight, because of course there will be other implants in five years' time. I think we all understand that. I'm glad he shares with me that this isn't the end of the story. But what's to stop him from taking steps already? Take that scientific research. A report must be made public, but that report is a summary made by the manufacturers. If I understand correctly, this is mainly about research carried out within the European Union. Most research is done outside the European Union. So it seems like that's a big step, but it's not at all. Is the Minister prepared to take this step further with many of my colleagues?
