ParlaMint-NL_2019-11-21-tweedekamer-4.u1	We are now going to deal with the budget for the States-General (35300-IIA).
ParlaMint-NL_2019-11-21-tweedekamer-4.u2	I give the floor to Mr Bosma as the first speaker to speak on behalf of the PVV.
ParlaMint-NL_2019-11-21-tweedekamer-4.u3	Thank you, Mr. Chairman. So we're talking today about the Jetten motion. And who's the only one absent today? Mr. Jetten. I'm sure it's a coincidence. D66 tabled a motion to spend an additional 10 million on doubling the number of policy-makers per Member of Parliament. D66 is worried about the House of Representatives and needs more money. To quote Fat Voormeaar: no, now it's going to be beautiful! What does the House of Representatives do? Well, he's controlling the cabinet. But what do D66 roommates do? They're the cheerleader of the cabinet. They sit in the plenary room with a flag and shout all day: oh, what a fantastic minister we have! I'll back that up. Scientifically, it is the purest thing to look back on my last debates. For reasons of piety, I would like to leave out the names of my fellow Members. Example one. Last Monday, during the debate on culture, the D66 representative starts with the words: here is a proud D66. Then for 15 minutes the D66 Minister is praised in heaven. Then she's gonna talk to society. Moreover, society has not yet responded. For such a text you do not need a policy officer. You're just gonna write that on your own, aren't you? Example two. Last week's Question Time is about an alleged incident at a squat with Kick Out Zwarte Piet. The representative of D66 does nothing but recite unconfirmed rumours about fireworks, bats and a raid. Question: How many policy staff do you need to be the echoput of rumors? Example three. In the Home Affairs budget, D66 even needed two MPs to say nothing about policy. Everything else was covered. The contribution of D66... usually consists of using the wave for the cabinet on their own. Conclusion: D66 does not need more policy staff, but less, much less. If you don't get any further than hip, hip, hooray for the minister, what do you need more support for? There is no doubt that there is a word processing program that can do that much cheaper. D66 always reminds me of a poem by Gerard Reve, The True Faith, which reads as follows. When the cardinal farts, they say: Boy, does it smell good in here. It's like someone's baking liver with onions. That kind of Catholics, I'm not crazy about that. End of poem. D66 people are people who say with every stinky wind of the minister: Boy, does it smell good in here. But for that, they need twice as many policy staff. However, the question arises: if D66 wants to confess democracy so badly, why don't they just start with it? Take an example of the tiny fraction of the SGP, which has been providing top quality support with a man and a half for years. Christian working ethics is apparently superior to the hedonistic, postmodern working methods of the genderless D66. This cabinet and certainly the D66 ministers produce very little. Minister Ollongren has not yet sent a proper law to the Chamber in two years. D66 Minister Van Engelshoven is busy with genderless children's toys, but an education law is hardly in place. As a cultural minister, she throws money, but a law: no! She'll announce she'll talk to Johan Derksen if he makes a joke that D66's laughing mouth can't laugh about. D66 ministers hardly send laws to the Chamber. So what exactly are these extra policy staff supposed to check? How the hell can you control something that isn't there? The party of the two sixs scores a big insufficient score for its contribution to democracy everywhere. First, the great democrats announce that if they do not like the outcome of the elections, they will not recognise that result and move on to the Republic of Amsterdam. Then they abolish the referendum, destroy more than 30 municipalities and rob our organs. Then they clap the whole judiciary full of party mates, start a campaign against information they don't like, or fake news. Then they ship our last piece of national sovereignty, for which generations of Dutch people have given their lives, from Heiligerlee to the Grebbeberg, towards unelected bureaucrats of the Great European Empire under German leadership. Oh, don't mention the war. And now suddenly they say: we need EUR 10 million extra, because we are so worried about democracy. That's as credible as Prince Andrew, who says I'm going to buy child stamps tomorrow, because I'm so worried about kids. One more thing, Mr. Chairman. D66 is the party of judges, prosecutors, senior officials, sustainability coaches, gender advisors, diversity pushers, windmillers, climate profiteers and other supermodal state grapers. But who gets to cough up the 10 million of them? The tenants, the rent supplement budget. I get that, because that's not where the D66 pickers are. This is typically a proposal from a party whose people have never seen a company inside; 10 million in salaries! I have some news: those new employees have to work somewhere. You can't pile them up. This building is full. So the House of Representatives has to hire extra space somewhere, plus extra desks, extra computers and so on. Where exactly are these people supposed to work? Can I hear the exact location later or hadn't they thought about it? And is that all included in the 10 million or is the rent and all the other costs going to come up again and this 10 million joke might cost us 40 or 50 million? And what about the First Chamber? Does he get half, a quarter or two-quarters? I like to hear it. Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u4	I had a question about the first part of Mr Bosma's story, but I did not have the opportunity. But what an obsession with D66. We are talking about the state budget of the States-General. You bring in Prince Andrew and everything, and the chairman doesn't intervene. I thought, what is Mr Bosma doing? What are we doing here? People don't understand what you're doing.
ParlaMint-NL_2019-11-21-tweedekamer-4.u5	You get the word to interrupt and then you start: I don't get the opportunity.
ParlaMint-NL_2019-11-21-tweedekamer-4.u6	No, not the moment I tried to interrupt.
ParlaMint-NL_2019-11-21-tweedekamer-4.u7	No, but I'm dealing with the interruptions. You know that in the meantime, at least, I assume.
ParlaMint-NL_2019-11-21-tweedekamer-4.u8	Mr Öztürk asks the question: what are we doing? My group has been clear for a long time that he does not know that. This is the first time that we have explicitly discussed the budget of the States-General here. There is a reason for this, namely the Jetten motion. An additional 10 million has been allocated by way of a motion. That's gotta be in the books by January 1st. That is why we have this budget as a separate issue today. We've never done that before. The reason for this is the Jetten motion. That's a D66 motion. I'll comment on that. It's called controlling the government. It would be nice if our Ottoman colleagues could also begin to do so. Well, Mr Öztürk doesn't get back from that. That's gonna save you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u9	First of all, I would like to thank Mr Bosma for his impressive speech and also for the beautiful poem by Reve. I have a question for him. For in his speech, which I find convincing in itself, I do perhaps miss the main argument against these absurd proposals which are now apparently supported by a large part of the Chamber, namely that the majority of what is happening here is totally absurd occupational therapy. What you see is that all these MPs all day producing nonsense-motions in endless, ein-de-lo-ze debates. If we get more employees, we'll get more madness, more nonsense, more busy, more wasting time in this place. Can you say something about that? Do you agree with me?
ParlaMint-NL_2019-11-21-tweedekamer-4.u10	That's right. It would be good if we made a large number of changes to the functioning of our democracy. Think about the referendum, think about abolishing the First Chamber. But it would be a good thing for the House of Representatives to just check on the government instead of just being a cheer machine. We are now working on number 621 on the list of the VVD, but it would be good if the House of Representatives would not be a pigeon loft, but people took that course seriously and just sat here for four years. There's such a huge flow in it. Why? Because people see this function to cheer up their résumé and don't want to sit here to learn the trade and control the government. We should stop with all these crazy chords, these climate agreements. That's some sort of corporate policy that we don't have any control over, et cetera. We should look much more closely at the functioning of democracy, rather than taking such a dick D66 motion seriously and talking about money again. Because money isn't the problem. What matters is a democratic attitude, which is simply lacking in the House of Representatives.
ParlaMint-NL_2019-11-21-tweedekamer-4.u11	I share that analysis. But if you look at how Parliament functioned in the nineteenth century, you can see that it was still a serious parliament back then, I think. At that time it still functioned as a controlling body of the government. Then you had people like you and me, who could make a normal speech. But when did that change? When have the people here stopped having a level, thinking independently, not endlessly but stalling time with these endless, pointless debates? How did that go in your eyes?
